start,end,script
00:00:48.181,00:00:50.083,Because you smell like dog poo.
00:00:50.216,00:00:52.819,"You're so stupid, just like dog poo."
00:00:53.153,00:00:54.487,You're made out of poo!
00:00:55.588,00:00:59.225,GIGI: But usually someone is there to offer words of wisdom.
00:00:59.359,00:01:00.560,Made...
00:01:00.693,00:01:02.195,...of...
00:01:02.529,00:01:03.830,...dog...
00:01:04.164,00:01:05.432,...poo.
00:01:05.565,00:01:06.800,Honey...
00:01:07.133,00:01:12.338,...do you know why that little boy did those things and said those things?
00:01:12.472,00:01:14.340,It's because he likes you.
00:01:15.075,00:01:16.643,GIGI: And there it is.
00:01:16.776,00:01:19.512,That's the beginning of our problem.
00:01:20.480,00:01:25.752,That little boy is doing those terrible things because he's got a crush on you.
00:01:26.085,00:01:27.353,GIGI: Do you know what this means?
00:01:27.487,00:01:28.588,We're all encouraged...
00:01:28.721,00:01:29.856,"...no, programmed..."
00:01:30.190,00:01:32.625,...to believe that if a guy acts like a total jerk...
00:01:32.759,00:01:35.328,...that means he likes you.
00:01:37.797,00:01:40.400,Here's the problem: He likes you too much.
00:01:40.533,00:01:42.435,You're too pretty and too awesome.
00:01:42.569,00:01:44.671,-Yes. -He can't handle it.
00:01:47.140,00:01:49.742,That Phi Delt so obviously liked you.
00:01:49.876,00:01:52.245,I'm sure he just lost your number.
00:01:53.680,00:01:58.351,He's not asking you out because he's intimidated by your professional success.
00:02:08.261,00:02:12.165,Trust me. It's because he's just getting out of a serious relationship.
00:02:12.632,00:02:16.302,Trust me. It's because he's never had a serious relationship.
00:02:28.748,00:02:30.717,GIGI: Why do we say this stuff to each other?
00:02:31.317,00:02:34.454,Is it possible that it's because we're too scared...
00:02:34.587,00:02:37.724,...and it's too hard to say the one obvious truth...
00:02:37.857,00:02:40.860,...that's staring everyone in the face?
00:02:57.744,00:02:59.779,So Janine says you're a real-estate agent.
00:02:59.913,00:03:02.315,"Yeah, but I'm not one of those cheesy ones..."
00:03:02.448,00:03:05.385,...that puts my headshots on bus benches and grocery carts.
00:03:05.518,00:03:07.787,"So just, like, Frisbees and notepads?"
00:03:07.921,00:03:08.955,Basically.
00:03:09.289,00:03:11.224,-It's much classier. -My thoughts exactly.
00:03:14.794,00:03:17.497,Wonder why Janine never thought to introduce us before.
00:03:17.630,00:03:19.465,I don't know. I don't know.
00:03:19.599,00:03:22.635,"-Hey, guys. Want another round? -You want one more?"
00:03:23.770,00:03:28.908,"Only if you do. I mean, if you need to get going, I totally...."
00:03:30.376,00:03:31.511,Uh....
00:03:32.245,00:03:34.347,"Okay, well...."
00:03:35.782,00:03:37.517,Sure. One more. Ketel and soda?
00:03:38.384,00:03:39.886,"And a beer, please."
00:03:40.220,00:03:41.921,WAITRESS: Be right back.
00:03:42.889,00:03:46.926,"GIGI: Well, Conor, I had a really nice time. -It was really nice meeting you."
00:03:47.694,00:03:49.596,-Bye. -See you.
00:03:57.804,00:03:58.805,"Hey, it's me."
00:03:58.938,00:04:01.507,"He's cute, and I think it went well."
00:04:01.641,00:04:06.279,And I think he might be leaving me a message at home as we speak.
00:04:06.412,00:04:10.483,"Hey, it's me. Just wanted to let you know I was thinking about you."
00:04:10.950,00:04:13.553,"Oh, that's very sweet of you, Conor. Thanks."
00:04:13.686,00:04:16.689,"Listen, I was wondering if you wanted to grab a late bite."
00:04:17.657,00:04:19.459,Tonight? I....
00:04:19.592,00:04:23.663,"No, I was supposed to meet friends but I'm burnt out. Don't be mad at me."
00:04:23.796,00:04:26.499,"No, of course, I'm not mad. Well, I'll be up for a while."
00:04:26.633,00:04:28.568,-Do you wanna go ahead of me? -I'll be up.
00:04:28.701,00:04:29.902,"-Oh, can you hold on? -Okay."
00:04:30.036,00:04:32.405,"No, that's fine. You just have one thing, so...."
00:04:32.538,00:04:34.374,"No, technically I have six..."
00:04:34.507,00:04:37.977,"...and I'm mulling over a gum purchase, so I think you should go."
00:04:38.311,00:04:39.579,Okay.
00:04:39.712,00:04:40.947,Let me call you right back.
00:04:41.281,00:04:42.315,All right. Okay.
00:04:42.448,00:04:43.983,-Hi. -Hey.
00:04:44.317,00:04:46.452,"Just that and that, please."
00:04:46.586,00:04:48.454,Thank you.
00:04:52.725,00:04:53.993,"Oh, my word."
00:04:55.862,00:04:57.430,Seriously? That's not possible.
00:04:57.563,00:05:00.600,"I just deposited cash three days ago, so it's just not possible."
00:05:00.733,00:05:03.569,"Oh, it's not that. Let me check something."
00:05:04.404,00:05:05.705,"Congratulations, you won."
00:05:06.706,00:05:07.740,What?
00:05:07.874,00:05:11.911,Our Funky Fall promotion. You're our 1000th customer this month.
00:05:12.045,00:05:13.713,What?
00:05:19.085,00:05:20.553,Are you kidding me?
00:05:21.087,00:05:22.822,I don't do kidding.
