start,end,script
00:00:46.333,00:00:59.916,"GIRL: 14, 15, 16, prime, 18, prime, 20, 21, 22, prime..."
00:00:59.958,00:01:04.333,MAN: West Virginia Collegiate Institute is the best school for Negros in the state.
00:01:04.375,00:01:07.750,It's the only school past the eighth grade anywhere near here.
00:01:07.791,00:01:09.875,Isosceles.
00:01:09.916,00:01:11.916,Scalene.
00:01:11.958,00:01:13.583,Equilateral.
00:01:14.375,00:01:15.750,Rhombus.
00:01:15.791,00:01:17.708,Trapezoid.
00:01:17.750,00:01:20.958,-Katherine's in the sixth grade.
00:01:20.958,00:01:22.625,KATHERINE: Tetrahedron.
00:01:23.833,00:01:25.583,Dodecahedron.
00:01:25.625,00:01:27.291,MAN: They're offering a full scholarship.
00:01:27.333,00:01:28.833,All you have to do is get there.
00:01:30.541,00:01:35.625,"Ms. Coleman, why don't you solve the equation on the board?"
00:01:42.500,00:01:45.708,WOMAN: We took up a collection amongst the teachers and such.
00:01:45.750,00:01:49.958,"It's not a lot, but it's enough to help get you settled in."
00:01:50.041,00:01:52.458,"That's more than kind, Ms. Sumner."
00:02:04.125,00:02:11.166,"If the product of two terms is zero, then common sense says at least one of the two terms has to be zero to start with."
00:02:11.208,00:02:21.291,"So if you move all the terms over to one side, you can put the quadratics into a form that can be factored, allowing that side of the equation to equal zero."
00:02:21.333,00:02:23.916,"Once you've done that, it's pretty straightforward from there."
00:02:27.208,00:02:33.250,"SUMNER: In all my years of teaching, I've never seen a mind like the one your daughter has."
00:02:33.291,00:02:36.666,-MOTHER: Katherine!
00:02:36.708,00:02:38.208,SUMNER: You have to go.
00:02:38.958,00:02:40.625,Let Mama tuck you in.
00:02:46.958,00:02:49.708,SUMNER: You have to see what she becomes.
00:03:14.375,00:03:17.333,"-WOMAN: Okay, try to turn it over now."
00:03:17.375,00:03:19.958,-Katherine?
00:03:19.958,00:03:21.750,Mary!
00:03:21.791,00:03:23.375,Somebody!
00:03:23.416,00:03:26.750,Katherine!
00:03:26.791,00:03:28.458,I got it.
00:03:29.708,00:03:32.208,-I'm not deaf.
00:03:33.583,00:03:34.958,Here it goes!
00:03:37.416,00:03:39.916,"Yeah, it's the starter."
00:03:39.958,00:03:42.958,That is definitely the starter.
00:03:43.000,00:03:44.916,The starter is starting to make us late.
00:03:44.958,00:03:48.916,We all gonna end up unemployed riding around in this pile of junk to work every day.
00:03:48.958,00:03:50.666,You're welcome to walk the 16 miles.
00:03:50.708,00:03:54.208,-Or sit in the back of the bus.
00:03:54.250,00:03:56.166,I won't do neither.
00:03:56.208,00:03:59.166,I'll hitchhike.
00:04:01.708,00:04:03.375,Girls.
00:04:08.958,00:04:10.958,No crime in a broken-down car.
00:04:11.000,00:04:13.208,No crime being Negro neither.
00:04:13.250,00:04:14.958,"Button it up, Mary."
00:04:15.000,00:04:17.416,Nobody wants to go to jail behind your mouth.
00:04:17.458,00:04:19.875,"-I'll do my best, sugar."
00:04:31.916,00:04:34.291,Not a great place for three of y'all be having car trouble.
00:04:34.333,00:04:37.500,"We didn't pick the place, Officer. It picked us."
00:04:37.541,00:04:39.166,You being disrespectful?
00:04:39.208,00:04:40.708,"No, sir."
00:04:40.750,00:04:42.500,You have identification on you?
00:04:42.541,00:04:44.083,"-Yes, sir."
00:04:45.958,00:04:49.416,We're just on our way to work at Langley.
00:04:49.458,00:04:51.541,"NASA, sir."
00:04:51.583,00:04:53.583,We do a great deal of the calculating.
00:04:53.625,00:04:55.458,Getting our rockets into space.
00:04:55.500,00:04:57.083,-All three of you?
00:04:57.125,00:04:58.125,"Yes, Officer."
00:04:59.583,00:05:00.708,NASA.
00:05:00.750,00:05:02.916,Now that's something.
00:05:02.958,00:05:05.500,I had no idea they hired...
00:05:05.541,00:05:09.083,There are quite a few women working in the space program.
00:05:17.791,00:05:19.958,Damn Russians are watching us right now.
00:05:19.958,00:05:22.416,Sputniks.
00:05:22.458,00:05:25.083,You girls ever meet those astronauts?
00:05:25.125,00:05:26.708,Mercury Seven?
00:05:26.750,00:05:28.250,Absolutely.
00:05:28.291,00:05:32.750,"Uh, yes, sir. We work with those gentlemen all the time."
00:05:32.791,00:05:35.208,Those boys are the best we got.
00:05:35.250,00:05:36.541,-Yeah.
