start,end,script
00:00:20.296,00:00:21.546,mine was the year after.
00:00:21.630,00:00:46.296,"Anybody that was drafted in 2011 or lockout class, you'd probably do it the year following, but when you're drafted, you're with your team for a while, you have a good four- or five-day period where they bring you together in New York and go over the ins and outs of the league and things to expect, but, no, I think they do a good job in trying to present everything that's gonna be there but there's nothing like the experience and living it is still..."
00:00:46.796,00:00:50.421,Someone telling me what I'd go through and living it was two different worlds.
00:00:50.505,00:00:53.005,"I tried to prepare to the best of my ability, but..."
00:00:53.713,00:00:57.088,it's a monster that I don't think anybody can prepare for.
00:01:10.088,00:01:11.921,"I said, Let me hold something to float me by."
00:01:19.546,00:01:22.130,"Last time this happened, folks went broke."
00:01:24.421,00:01:30.880,"You ain't even in the league yet-- Uh, wait a second. Here you go."
00:01:35.380,00:01:37.088,"So, what? Now you rushin' me off?"
00:01:38.421,00:01:40.296,I am no longer having a good time.
00:01:40.380,00:01:41.588,"Yeah, me and you both."
00:01:42.755,00:01:44.296,-He got yo' ass. -Who?
00:01:44.963,00:01:46.255,You a owl now? You.
00:01:47.588,00:01:51.463,"You just telling me this now, jumping at me, Erick Scott, when you got got."
00:01:52.380,00:01:56.421,That man ain't meet you by happenstance at your homie's party six months ago.
00:01:56.921,00:02:01.005,He meant to rock up to whoever's pre-season soiree was going down and catch him a rookie.
00:02:01.088,00:02:02.796,"And he caught the big fish, yeah."
00:02:02.880,00:02:05.171,"-Come on, man. -Oh, the number-one signer!"
00:02:05.546,00:02:06.755,He got yo' ass.
00:02:07.296,00:02:10.880,Don't get me wrong. You helped. Smilin'. What'd he say?
00:02:11.838,00:02:14.255,Big fan. Saw all your games at LSU.
00:02:14.546,00:02:17.505,"Couldn't wait for you to sign to New York, wouldn't have to travel to you?"
00:02:17.588,00:02:20.213,"Gave a nerdy laugh, made you think he was a cornball?"
00:02:20.338,00:02:21.463,-Damn. -Mm-hmm.
00:02:21.880,00:02:25.421,"See, he heard about the trouble. Meetings happening and no resolution."
00:02:25.505,00:02:31.588,"Everybody expecting something to come down to the wire, as always, and the owners or players to fold, but if they didn't..."
00:02:32.546,00:02:34.546,Wonder how people are gonna survive.
00:02:34.880,00:02:38.421,"He scared you, describing how a lockout doesn't affect the Stephs and Durants."
00:02:38.505,00:02:39.671,They got that long money.
00:02:39.755,00:02:41.963,It'll take a minute before it affect their daily life.
00:02:42.046,00:02:44.963,"But those check-to-check fellas just starting out, the rookies..."
00:02:45.046,00:02:47.963,-He said... He used the term freshmen. -Mm-hmm.
00:02:48.796,00:02:51.630,He saw you panic and offered you some dumb interest loan from his bank.
00:02:51.713,00:02:58.005,"You should have asked yourself then, What's his angle? Why is he being so damn generous to me?"
00:02:58.213,00:03:00.963,"Then you should have said, Hey, man, I'm doing all right."
00:03:01.046,00:03:05.796,"My agent, who isn't being paid during the lockout, told me don't take a loan unless I can pay for it."
00:03:05.880,00:03:08.755,"At which point, I'd have said, I being you in this case..."
00:03:08.838,00:03:09.838,That's stupid.
00:03:09.921,00:03:11.546,"That's right, Erick. That's stupid."
00:03:11.630,00:03:13.713,It wouldn't be a loan if I could pay it back then.
00:03:13.796,00:03:15.838,-See that logic? Don't take loans. -I needed money.
00:03:15.921,00:03:17.338,For the fuck what?!
00:03:17.421,00:03:20.713,You had money to move here. You moved here. Your rent is paid.
00:03:21.505,00:03:22.505,Now I'm shouting.
00:03:23.046,00:03:27.296,"-Look, Ray, I'm sorry-- -Hey, E, spare me your apologies, okay?"
00:03:27.505,00:03:34.421,"This isn't Sister Ray's Prep Academy where you do something stupid, I rap your knuckles, tell you to say the rosary and all is forgiven. You just being you."
00:03:34.880,00:03:35.713,What?
00:03:36.171,00:03:38.213,Here's what you thought signing to the NBA would be.
00:03:38.296,00:03:46.630,"Not a chance to show your talent, not as a vehicle to a better world or to change how the game is played by pushing your limits, your team's limits into athletic glory. No."
00:03:46.838,00:03:50.671,"You thought, I can't wait to sign that contract and stunt on these fools."
00:03:50.880,00:03:53.963,It'll be a big 'fuck you' to the naysayers and the hate swayers.
00:03:54.046,00:03:59.505,"Just wait till I swag out, finally get Moms a new spot and use Ray as the daddy I never met."
00:03:59.671,00:04:01.755,"But signed or not, we are in a lockout."
00:04:02.005,00:04:04.338,Time for you to get that daddy's dream dick out your mouth.
00:04:04.421,00:04:11.380,"-Yo, pause, bro. -Or after you made that stupid decision, you could've told Joe Blow loan shark, Thanks, man."
00:04:11.463,00:04:14.213,"Yeah, I got your money, I spent it on some dumb shit."
00:04:14.296,00:04:20.463,"I know it was a six-month, very short-term loan with very stupid, dumb-ass interest, but I thought I'd be playing by now."
00:04:20.546,00:04:22.421,"I'm not, so I don't got money to pay you back."
00:04:22.505,00:04:23.921,"Fuck you, have a nice life."
00:04:24.005,00:04:26.838,What's the worst he could do? Give you bad credit?
00:04:26.921,00:04:28.088,-I already got-- -Rhetorical.
00:04:28.171,00:04:29.338,Right.
00:04:32.546,00:04:33.796,he can't do shit else.
00:04:34.296,00:04:39.505,"He's gon' call non-stop, maybe send a summons, but you're stressing like he can schedule a drive-by."
00:04:40.046,00:04:41.880,-You wrong. -On what? Climate change?
00:04:41.963,00:04:44.171,I didn't come to the league to say fuck you to nobody.
00:04:44.255,00:04:46.713,-I was made for the league. -The league is a business.
00:04:46.796,00:04:49.671,"-It's all business? -Yes, Erick, business."
00:04:57.005,00:05:00.213,You want to get back on the court and I want to get you there.
00:05:00.838,00:05:02.838,"But right now, we have to wait, okay?"
00:05:03.880,00:05:06.421,"You can do that. Or I don't know, man, practice."
00:05:06.796,00:05:08.713,Still got your pregame ritual down?
00:05:09.005,00:05:11.546,-No sex before a game. -I'll assume you practicing.
00:05:14.463,00:05:15.296,Listen.
00:05:16.963,00:05:22.255,"You think these fools, these rich white dudes gon' let the sexiest sport fall by the wayside?"
00:05:26.088,00:05:34.921,"You can't see the players half the time. Baseball... is a whole lot of tradition, but in order to move merch and inspire rap lyrics, they need your services."
00:05:35.338,00:05:36.588,Too much money at stake.
00:05:37.421,00:05:38.796,"So, just chill the fuck out."
00:05:39.130,00:05:40.588,"Wait on the Lord, Job."
00:05:41.380,00:05:42.255,Who?
00:05:42.338,00:05:44.921,"Man, did they ever let you go to class at LSU?"
00:05:45.005,00:05:46.838,"Yo, stop low-key stupiding me."
00:05:48.046,00:05:49.088,My apologies.
00:05:49.630,00:05:51.088,"When I'm hungry, I get mean."
00:05:52.880,00:05:54.088,Hmm.
00:05:54.338,00:05:56.005,-This money? -A bible.
00:05:56.713,00:05:58.296,Bible? We finna pray?
00:05:59.255,00:06:02.713,"Not the Bible, a bible, and don't open it now. Excuse me."
00:06:02.796,00:06:04.255,"Ray, the card's denied."
00:06:04.338,00:06:07.088,We tried it a few times and called. They said to cut it.
00:06:08.880,00:06:10.630,Here. I have cash.
00:06:19.671,00:06:20.713,"Ray, look..."
00:06:21.338,00:06:22.338,You right.
00:06:22.713,00:06:26.213,"I got caught in a bad position, I got taken advantage of, I know."
00:06:27.296,00:06:29.713,I just want the game. That's what I know.
00:06:30.505,00:06:31.630,That's what I want.
00:06:32.505,00:06:34.963,"We'll get it for you, I promise. But..."
00:06:35.963,00:06:37.171,you ruined my lunch.
00:06:40.005,00:06:41.380,When should I open this?
00:06:41.880,00:06:42.880,You'll know.
00:06:44.713,00:06:45.755,Need a ride?
00:06:45.838,00:06:47.505,"Nah, I'm up the block. I'm good."
00:06:48.505,00:06:50.755,"Hey, thanks, though, man. For real, I mean it."
00:08:53.838,00:08:57.088,because there are no actual games to watch.
00:08:57.171,00:09:00.255,She can talk all day about how good Jamero Umber is.
00:09:01.838,00:09:03.713,We've seen the tapes. Come on.
00:09:04.421,00:09:06.421,"But, listen, he spent it on something."
00:09:09.463,00:09:10.838,Does his mama have a Tesla?
00:09:10.921,00:09:11.921,A what?
00:09:12.338,00:09:13.796,How am I supposed to know?
00:09:14.671,00:09:16.171,-You give him the bible? -Just now.
00:09:16.255,00:09:18.421,-Mr. Starr is in his office. -I hope the hell so.
00:09:18.505,00:09:21.171,He needs to explain why my corporate cards are deactivated.
00:09:21.671,00:09:23.255,You need me to call you back?
00:09:23.338,00:09:28.463,"Nah, that's Sam, walking with me every step towards my meeting that is not with Sam."
00:09:28.546,00:09:31.088,"-Sam, I'm on the phone. -I know. I tried to call you."
00:09:31.171,00:09:32.838,-I'm trying to-- -I appreciate it.
00:09:32.921,00:09:34.713,"I like my news no-chaser, but thank you."
00:09:34.796,00:09:39.338,"Spence, I'm trying to see how far the kid is in over his head, so that I can manage him."
00:09:42.380,00:09:44.255,He's about to be a 30 for 30 episode.
00:09:45.963,00:09:49.421,"Hey, man, stop talking to me while that woman is talking to you."
00:09:49.588,00:09:54.421,I called to find out if any of the players you manage are coming to the Back Court Day.
00:09:55.505,00:09:58.796,Let me call you back. I think we're preparing for a nuclear strike.
00:09:58.880,00:10:01.046,"We deporting people or something, Samantha?"
00:10:01.171,00:10:02.880,"Oh, now you want to talk to me?"
00:10:05.755,00:10:08.171,How may I help you? Ain't that what you're supposed to ask?
00:10:08.255,00:10:10.005,"-You are my assistant, yeah? -No."
00:10:10.088,00:10:11.380,"No? What, you mad?"
00:10:11.546,00:10:13.546,"No, I work for Avery James now."
00:10:15.505,00:10:17.338,Avery James? In golfing tournaments?
00:10:19.588,00:10:22.588,if you'd responded to any of your phone calls or emails.
00:10:22.671,00:10:24.546,I know you're old school. I sent you a fax.
00:10:24.630,00:10:26.088,"Whoa, are you crying?"
00:10:26.505,00:10:29.213,I am not any emotion except for maybe urgent right now.
00:10:29.296,00:10:31.838,"-Oh, urgent isn't an emotion. -I'm aware."
00:10:31.921,00:10:34.755,"Listen, I'm sure Starr has a good reason for moving you."
00:10:36.088,00:10:38.921,It's temporary. Starr don't know shit from Shine.
00:10:41.963,00:10:44.921,"Hey, maybe you'll be happier with Avery. She answers faxes."
00:10:45.046,00:10:46.046,Mm-hmm.
00:10:48.546,00:10:52.046,Why does it look like the interns are preparing for a visit from Mar-a-Lago?
00:10:52.505,00:10:53.671,What the hell's going on?
00:10:53.755,00:10:55.796,What do you think I've been trying to tell you?
00:10:57.171,00:11:01.546,I'm clearly trying to make a shitty situation sound less shitty.
00:11:01.921,00:11:05.671,"Uh, the point is, Ray, we can only take on so much weight."
00:11:06.046,00:11:07.963,But you're not taking on any weight.
00:11:09.255,00:11:12.380,"We aren't making any money, anything for almost six months."
00:11:12.463,00:11:14.588,You aren't making the money you're used to making.
00:11:14.671,00:11:16.380,Ads are still running. That's a trickle.
00:11:17.130,00:11:19.130,The larger agency has concerns.
00:11:24.505,00:11:25.505,Don't do this.
00:11:28.963,00:11:31.713,to run the way it does. Most of our clients are basketball.
00:11:31.796,00:11:33.130,Why would you want to rep hockey?
00:11:33.213,00:11:34.796,We built this machine out of nowhere.
00:11:34.880,00:11:38.046,And it runs and it will run. Repetition - do not do this.
00:11:38.130,00:11:43.005,"Listen... when you started, no one, not even you-- Okay. All right. You know what?"
00:11:43.088,00:11:45.463,Please don't put me in the category with everybody else.
00:11:45.546,00:11:49.046,"Right, 'cause your blood is in the game. You care about the game."
00:11:49.838,00:11:51.213,You think this is personal?
00:11:51.921,00:11:54.296,You think I'm here because my feelings are hurt?
00:11:57.171,00:11:58.255,Do you like this?
00:11:59.963,00:12:01.755,"Well, I hate this part of the job."
00:12:01.838,00:12:03.296,What part? Are you firing me?
00:12:03.755,00:12:05.088,"No, but it's bad news."
00:12:05.171,00:12:08.046,"Pump's off near six months, the sand's drying up in the mirage."
00:12:08.130,00:12:11.588,"It-- I know, I messed that metaphor up, but you know what I'm saying."
00:12:11.671,00:12:13.421,You've been in this all your life.
00:12:13.630,00:12:18.421,"So, you have been calling me, leaving messages, to tell me that this is my life's work."
00:12:18.505,00:12:19.880,Why you got to be snippy?
00:12:19.963,00:12:20.838,Snip...?
00:12:21.921,00:12:23.380,"You know, I came in today."
00:12:25.296,00:12:27.671,-First time in weeks! -We are in a lockout.
00:12:28.088,00:12:40.088,"I've been trying to stop... No, I have stopped players from leaving this agency, players who called me saying, I don't think I can be signed with you anymore, until I showed them the money management fund I furrowed away from my 15 percent for a rainy."
00:12:40.713,00:12:43.171,-You did what? -Why you think my list is so long?
00:12:43.755,00:12:47.088,"Thought you didn't want to work for the big shots, the Brons, the Kobes - RIP."
00:12:47.171,00:12:50.546,-Kobe is not dead. -You wanted to work with guys the level of your cousin before he...
00:12:51.671,00:12:56.296,"Look, Ray, you cannot take a cut of your commission."
00:12:56.380,00:12:57.671,It's my commission.
00:12:58.296,00:13:06.921,"Besides, it's what the players are asking for - a larger cut of the gross for that day when the court ain't dry and they lose an ankle or they piss off a coach or..."
00:13:09.296,00:13:10.380,The owners will cave.
00:13:10.463,00:13:12.130,-How much are they making-- -Not enough.
00:13:19.046,00:13:21.130,"-You want this over, yes? -Is that what you want?"
00:13:21.213,00:13:23.588,"That's what you want too, just a quick over?"
00:13:24.046,00:13:25.296,-It's coming. -When?
00:13:30.463,00:13:34.546,My corporate card wasn't being honored at places where our company is respected.
00:13:34.630,00:13:36.463,It'd be nice if you could fix that.
00:13:37.380,00:13:38.963,"Well, I can't."
00:13:39.546,00:13:46.713,All expense accounts for the division are frozen until we see signs of life from the owners and the PA and that includes...
00:13:47.963,00:13:50.588,"I am afraid, your salary."
00:13:51.630,00:13:52.880,I make salary here?
00:13:57.338,00:13:59.755,"Let her get a rebound, why play defense at all?"
00:14:01.213,00:14:02.380,"Okay, stop."
00:14:03.963,00:14:04.963,Take a break.
00:14:06.005,00:14:10.630,"And by break, I mean run your asses around this court until I get tired."
00:14:12.421,00:14:13.338,Run!
00:14:15.838,00:14:16.838,Run!
00:14:23.671,00:14:24.713,Working 'em hard?
00:14:28.588,00:14:31.421,"Even if they were, you'd still be cracking that whip."
00:14:33.213,00:14:35.380,I love the Lord and all His black people.
00:14:36.171,00:14:37.213,That's better.
00:14:38.463,00:14:42.046,You here to tell me none of the players you represent can come to the event?
00:14:42.130,00:14:44.171,"-Nah, we gon' get some out here. -Erick?"
00:14:44.755,00:14:45.755,I can get Erick.
00:14:47.546,00:14:51.421,"Good, I gotta make some money this year. I'm trying to buy them some new jerseys."
00:14:55.630,00:14:59.130,Stop staring off into the distance. What the hell's wrong with you?
00:15:01.713,00:15:03.630,"Spence, when did you know it was time?"
00:15:06.380,00:15:08.755,"Oh... it's that bad, huh?"
00:15:13.880,00:15:14.838,None of 'em.
00:15:15.505,00:15:18.713,"The owners, the Players Association... The firm is just a siphon."
00:15:19.296,00:15:22.296,"The smallest shift in the system, everything gets fucked up."
00:15:23.046,00:15:25.046,"Player gets hurt, his life is fucked."
00:15:25.671,00:15:27.755,"Team owner says Negroes, his life is..."
00:15:27.838,00:15:31.630,"Well, annoying, but more effectively, his players get fucked."
00:15:33.213,00:15:35.921,"City can't afford to house its home team, Brooklyn gets fucked."
00:15:36.005,00:15:43.255,"-Brooklyn gets fucked. -I'm sitting, looking Starr in his face, he's acting like the life of that company is gon' be worse off than some of these players about to go back to..."
