start,end,script
00:00:39.250,00:00:47.708,"Yet for some of us, the American dream, the singular hope of our people, remains ever out of reach."
00:00:54.791,00:01:06.916,"even in our God… And though others may scorn our beliefs, let us hold faith not only in that God, but in ourselves and our character."
00:01:13.458,00:01:19.458,"be this flight generations in the making, be it delayed so long our faith is bound."
00:01:20.708,00:01:22.666,Let that faith never be broken.
00:01:41.083,00:01:46.375,"I say Ohio 'cause that's where I lived most of my life, but that's only part of my story."
00:01:48.583,00:01:53.833,"Ask me where I feel most at home, that's the hill country, Jackson, Kentucky."
00:01:57.541,00:02:00.125,Down those hollers is where I spent every summer.
00:02:00.750,00:02:03.166,Hands down the best part of my childhood.
00:02:04.000,00:02:05.833,It's where my people come from.
00:02:07.000,00:02:08.000,Whoa.
00:02:11.000,00:02:11.833,Hey.
00:02:25.291,00:02:26.708,-Hey. -Hey.
00:02:29.791,00:02:30.916,What you got there?
00:02:31.708,00:02:34.833,"It's a, uh… it's a turtle. See?"
00:02:38.916,00:02:42.833,It can't live without his shell. Ribcage is fused to the carapace.
00:02:55.375,00:02:57.416,I told Kevin we'd be home by 1:00.
00:02:57.500,00:03:01.125,"-Hey, old woman. You packed? -What's your rush, Bev? Got a hot date?"
00:03:01.208,00:03:04.791,"Yeah, with not being bored off my ass. Next time I'll bring Chip."
00:03:04.875,00:03:07.541,"No, you ain't. We don't need that drama here."
00:03:07.625,00:03:08.541,Just get your stuff!
00:03:09.125,00:03:12.250,Perch and swivel. I'll go when I'm ready.
00:03:16.208,00:03:18.625,-Where's your brother at? -He rode off.
00:03:18.708,00:03:21.375,You couldn't keep an eye on him for two seconds?
00:04:06.083,00:04:09.583,but Mamaw and Papaw taught me that you never start a fight.
00:04:10.125,00:04:13.625,"But if someone starts one with you, make damn sure you end it."
00:04:25.875,00:04:27.083,Get off him!
00:04:32.750,00:04:35.666,-Get off him! -What the hell you think you're doing?
00:04:35.750,00:04:36.708,You son of a bitch.
00:04:36.791,00:04:41.500,"I oughta put my foot up your ass so far, you gonna have hemorrhoids for ten years."
00:04:41.583,00:04:43.833,"-You Hugh McCall's boy? -Eat shit, old man."
00:04:47.083,00:04:48.916,Get your ass outta here before I call your pa.
00:04:50.125,00:04:51.166,Freak.
00:05:00.416,00:05:01.875,What happened to you?
00:05:04.583,00:05:11.000,"Of all the lamebrain ways to get out of going home… -Who did that? I'll kill him. -Mom, come on."
00:05:11.083,00:05:13.000,I'll kill him. Give me a name. C'mon.
00:05:13.083,00:05:16.083,Hugh McCall's boy and a couple other little assholes.
00:05:16.166,00:05:18.791,"That McCall boy had an idea, it'd die of loneliness."
00:05:18.875,00:05:20.500,-Will you get him some ice? -Yup!
00:05:20.583,00:05:24.791,Did you tell them dickhead bastards the three of them ain't worth one Vance?
00:05:28.500,00:05:31.208,"-Are you all right? -I'm all right, Mom."
00:05:31.291,00:05:33.416,-Are you sure? -Yeah.
00:05:39.208,00:05:43.083,Whoo! And dry off! I ain't sitting next to that for three hours!
00:05:49.500,00:05:53.250,"Let's get the family picture 'fore we go. Bev, get over here."
00:05:53.333,00:05:55.375,"God forbid, we get on the road before noon."
00:05:59.000,00:06:02.916,"I want the sisters together. Everybody, look at the camera. C'mon."
00:06:16.750,00:06:18.000,"C'mon, let's go."
00:06:18.083,00:06:20.458,I've had about all the Kentucky I can take.
00:06:25.708,00:06:28.666,Why can't we stay longer? We're always the first ones to leave.
00:06:28.750,00:06:30.708,I don't get why you ever left Jackson.
00:06:30.791,00:06:34.291,"'Cause when you're knocked up at 13, you get the hell out of Dodge. That's why."
00:06:52.875,00:07:01.250,"Imagining Mamaw at almost my same age just running, pregnant, from everything she knew, every scrap of family she had."
00:07:03.666,00:07:13.416,"I felt like I'd stumbled onto something. A puzzle piece, an answer to a question I had barely begun to ask about our family and what became of us."
00:08:54.291,00:08:56.583,"Oh, thank God. Back to civilization."
00:09:02.041,00:09:04.250,I wouldn't call Middletown civilization.
00:09:13.083,00:09:14.958,"Bev, give me some of them ribs."
00:09:16.041,00:09:18.291,His no-good mother behind the curtains.
00:09:18.375,00:09:21.583,Wouldn't spit on her ass if her guts were on fire.
00:09:27.333,00:09:30.041,All right. You take that home.
00:09:30.583,00:09:32.583,-All right. -Thank you.
00:09:37.083,00:09:40.208,I'm gonna head on down to my place. See ya tomorrow.
00:10:28.208,00:10:29.458,they never caught it.
00:10:30.458,00:10:33.250,We were all different in Middletown somehow.
00:10:34.166,00:10:36.250,"I don't know, like something was missing."
00:10:36.875,00:10:38.125,Maybe hope.
00:11:09.083,00:11:10.583,-Paycheck. -Sorry. Thanks.
00:11:11.083,00:11:17.458,"You couldn't get to Yale on Route 23, but I'd come closer than any of 'em to that dream of something better."
00:11:17.541,00:11:20.208,I could see it right there in front of me.
00:11:20.958,00:11:24.375,But a part of me knew the road from here to there is rocky.
00:11:35.958,00:11:37.583,"-Eat it. -No, I have to study."
00:11:37.666,00:11:40.666,"-Usha, you have to eat. -They'll boot me if they see food in here."
00:11:42.083,00:11:44.375,I'll cover for you. Come on.
00:11:53.125,00:11:54.916,Put it away! They know! They're coming!
00:11:55.000,00:11:56.250,-Okay. -The cameras!
00:12:04.291,00:12:06.750,"No, I have a dinner tonight."
00:12:09.666,00:12:11.833,-Are you nervous? What's going on? -No.
00:12:11.916,00:12:15.208,I'm going to shine up against the triple Ivy League types.
00:12:15.291,00:12:18.916,"If you're desperate, talk about the Hatfield-McCoy thing."
00:12:21.041,00:12:22.125,This is ridiculous.
00:12:22.208,00:12:25.375,"Hey. You're gonna get this, okay?"
00:12:25.458,00:12:29.458,I have to 'cause I'm not letting you go to D.C. without me.
00:12:30.000,00:12:31.916,I don't want to be there without you.
00:12:40.458,00:12:41.916,I have a meeting.
00:12:42.000,00:12:43.958,-Mm. -But I love you.
00:12:46.666,00:12:47.958,I love you.
00:12:48.041,00:12:49.541,-Yeah? -Yeah.
00:12:50.250,00:12:51.458,I love you back.
00:12:55.833,00:12:56.750,Thanks.
00:13:06.541,00:13:08.916,So you got your aid package for next year?
00:13:09.791,00:13:12.541,"Yeah, I've been meaning to talk to you about that."
00:13:13.083,00:13:15.541,I know. It's not as much as the first year.
00:13:15.625,00:13:19.958,"Jill, I'm working three jobs. I still can't afford $21,000."
00:13:21.333,00:13:22.750,How's firm week going?
00:13:23.333,00:13:31.625,"It's going. I got a callback, a dinner tonight, interviews tomorrow-- The standard salary for a summer associate is well over $30,000."
00:13:31.708,00:13:34.875,If I get the job. What if I don't?
00:13:34.958,00:13:37.125,I'm looking for a contingency plan.
00:13:37.750,00:13:39.000,Is there one?
00:13:39.833,00:13:41.875,I'd do more for you if I could.
00:13:43.333,00:13:45.708,"You're gonna get one of these jobs, J.D."
00:13:46.291,00:13:47.708,I'm sure of it.
00:13:53.333,00:13:56.083,"but I could also see myself going the firm route, as well."
00:13:56.166,00:13:59.125,Makes perfect sense. Keep your options open.
00:14:00.125,00:14:02.041,Let's introduce you around.
00:14:02.125,00:14:04.708,Perfect. There's actually someone I was hoping to meet.
00:14:04.791,00:14:07.000,Holly! You made it!
00:14:07.083,00:14:09.000,"Brooks! Yes, I did."
00:14:12.625,00:14:19.083,"I had the opportunity to meet with all the top firms, so I would consider something… Excuse me."
00:14:19.833,00:14:21.041,Call me Tuesday.
00:14:22.250,00:14:23.416,"Care for wine, sir?"
00:14:24.625,00:14:27.208,Have some. They're serving the good stuff.
00:14:27.291,00:14:28.208,Red or white?
00:14:28.291,00:14:29.458,White is fine.
00:14:29.541,00:14:32.083,Chardonnay or Sauvignon Blanc?
00:14:35.333,00:14:36.375,Try the Chardonnay.
00:14:38.708,00:14:54.375,"-Thank you. -You were saying… Um, so, my girlfriend has a summer position in D.C., and I was hoping to talk to Phillip Roseman -because his firm-- -There he is right there."
00:14:54.458,00:14:55.875,Tall guy with the glasses.
00:14:57.500,00:15:00.000,Remind me. Where did you go for undergrad?
00:15:00.083,00:15:03.166,-Ohio State. -Right. Plenty of great state schools.
00:15:21.583,00:15:24.583,"So litigation, pretty big transition."
00:15:24.666,00:15:25.833,Is this seat taken?
00:15:26.875,00:15:27.708,Go ahead.
00:15:29.708,00:15:30.666,Phillip Roseman.
00:15:31.458,00:15:33.875,"Uh, J.D. Vance. Thanks."
00:15:34.916,00:15:38.000,That's the thing to do. That's what I did my first summer.
00:15:50.375,00:15:51.958,You on the Journal?
00:15:52.541,00:15:54.791,"-No, I didn't get in this time. -Too bad."
00:15:55.875,00:16:00.083,"-I'm gonna try again, though. -Lot of firms won't touch you without it."
00:16:00.666,00:16:02.583,"Yes, sir. That's what I've heard."
00:16:05.916,00:16:07.875,Will you excuse me? I'm sorry.
00:16:14.625,00:16:15.458,J.D.?
00:16:15.541,00:16:17.583,Why are there so many fuckin' forks?
00:16:17.666,00:16:20.291,"Usha, what am I supposed to do with all these forks?"
00:16:20.791,00:16:24.250,They had two different kinds of white wine. It's like a test.
00:16:25.333,00:16:28.041,Next time just say you'll have whatever's driest.
00:16:29.541,00:16:32.875,"Listen, use the silverware from the outside in."
00:16:32.958,00:16:36.125,"If the knife has a funny edge, it's for fish."
00:16:36.208,00:16:41.208,"If the spoon's too big, it's for soup, and the spoon at the top, that's for dessert."
00:16:41.291,00:16:45.666,Try this: put your first finger and your thumb together on each hand.
00:16:49.750,00:16:53.666,You have D for drink on the right and B for bread on the left.
00:16:54.416,00:16:56.083,-Got it? -Okay.
00:16:56.166,00:16:57.916,Now put your hands up to your eyes.
00:17:00.166,00:17:03.333,"-Now what? -Oh, my God. You actually did it?"
00:17:04.583,00:17:07.791,"Oh, my God. I'm such an idiot. Why are you with me?"
00:17:07.875,00:17:12.458,"Well, because you're not a douchebag and you don't know how to use forks."
00:17:12.541,00:17:16.000,You got a callback at the best firm. Are you registering that?
00:17:16.875,00:17:18.541,"It's just a dinner, right?"
00:17:18.625,00:17:22.958,"Just a dinner, piece of cake. Thank you, spirit guide."
00:17:23.583,00:17:27.625,"-Ah, don't mention it. Okay, bye. -Bye."
00:17:32.000,00:17:35.166,"Jesus, Linds. What is it? I'm at a dinner interview thing."
00:17:37.541,00:17:39.625,She's in the hospital.
00:17:39.708,00:17:41.875,"Well, is she okay? What happened?"
00:17:42.708,00:17:44.125,She started using again.
00:17:46.541,00:17:48.958,I can't do this right now.
00:17:49.041,00:17:50.166,Heroin.
00:17:51.541,00:17:52.500,What?
00:17:54.083,00:17:55.500,She OD'd.
