start,end,script
00:35:43.958,00:35:44.958,She lives.
00:41:08.458,00:41:11.208,Don't leave me with nothing.
01:06:51.791,01:06:53.666,I know what you are.
01:07:06.000,01:07:07.958,This is just a dream.
01:07:11.791,01:07:13.041,Where is she?
01:07:15.000,01:07:15.958,Who?
01:07:17.291,01:07:18.375,My daughter.
01:07:22.041,01:07:23.125,Who?
01:12:47.500,01:12:49.000,I'll protect you.
00:02:00.541,00:02:01.375,Nyagak!
00:02:15.583,00:02:16.916,What did you dream about?
00:02:19.791,00:02:21.000,Our wedding day.
00:02:25.500,00:02:27.166,Explains the screams.
00:02:50.375,00:02:51.666,You're wanted in the gym.
00:02:54.416,00:02:55.375,Why?
00:03:12.083,00:03:17.458,"They will send you back to die, like the bastards always do."
00:04:00.583,00:04:04.458,You're being released from detention. Today if you're lucky.
00:04:18.833,00:04:21.833,"This is bail, Mr. and Mrs. Majur."
00:04:21.916,00:04:24.458,You're being released on bail as asylum seekers.
00:04:24.541,00:04:26.541,"Not as citizens, not yet."
00:04:26.625,00:04:27.791,You both understand?
00:04:29.458,00:04:32.333,"Until then, you'll be subject to certain conditions."
00:04:32.416,00:04:36.833,"If you fail to meet these, even just the once, you'll be returned to detention."
00:04:36.916,00:04:40.291,Your case may be disqualified and you'll be sent back.
00:04:40.375,00:04:41.708,Do you understand?
00:04:43.500,00:04:45.583,"Okie-dokie. All right, conditions."
00:04:45.666,00:04:48.291,You will be reviewed and must report to us weekly.
00:04:48.375,00:04:50.458,You must not miss a single report.
00:04:50.541,00:04:52.208,"A yes, if you understand, please."
00:04:53.125,00:04:54.791,-Yes. -Yes. Yes.
00:04:54.875,00:04:58.625,You will be given financial weekly support of 74 pounds in total.
00:04:58.708,00:05:03.166,You do not have permission to work or to supplement your earnings by any other means.
00:05:03.250,00:05:04.916,"A yes, if you understand, please."
00:05:05.500,00:05:06.500,-Yes. -Yes.
00:05:06.583,00:05:10.833,Final condition. You will be sent to a home of our choosing.
00:05:10.916,00:05:13.041,You must reside at this address.
00:05:13.125,00:05:15.583,You must not move from this address.
00:05:15.666,00:05:17.291,This is your home now.
00:05:17.958,00:05:19.375,"A yes, if you understand."
00:05:20.375,00:05:21.416,We are good people.
00:05:21.500,00:05:23.958,"A yes, if you understand."
00:05:25.208,00:05:26.541,-Yes. -Yes.
00:05:26.625,00:05:30.875,"Whether or not you're good people, it's not me that needs convincing."
00:05:49.166,00:05:50.583,Where are we going?
00:07:14.250,00:07:15.375,Do you speak English?
00:07:24.000,00:07:25.000,This is for you.
