start,end,script
00:01:12.072,00:01:17.745,"This is Berk, the best kept secret this side of, well..."
00:01:17.786,00:01:19.621,anywhere.
00:01:19.663,00:01:24.752,"Granted, it may not look like much, but this wet heap of rock packs more than a few surprises."
00:01:29.924,00:01:35.303,"Life here is amazing, just not for the faint of heart."
00:01:35.345,00:01:41.685,"You see, where most folks enjoy hobbies like whittling or needlepoint, we Berkians prefer..."
00:01:43.102,00:01:46.273,...a little something we like to call...
00:01:48.233,00:01:51.028,...dragon racing!
00:02:02.581,00:02:04.666,Whoa-ho-ho!
00:02:04.708,00:02:07.878,"I'm sorry, Fishlegs, did you want that?"
00:02:07.920,00:02:11.799,"Oh, Snotlout, that was mine!"
00:02:11.840,00:02:13.092,"Here you go, babe."
00:02:13.133,00:02:14.927,Did I tell you that you look amazing today?
00:02:14.969,00:02:16.136,'Cause you do.
00:02:16.177,00:02:17.554,"Come on, Barf."
00:02:17.596,00:02:19.139,It's starting to stink around here.
00:02:19.180,00:02:20.557,"Nope, still hates you."
00:02:20.599,00:02:22.142,"Let's blow this place, Belch!"
00:02:22.183,00:02:23.560,SNOTLOUT: Aah!
00:02:23.602,00:02:25.479,All right!
00:02:25.520,00:02:27.147,MAN: Come on!
00:02:30.943,00:02:32.319,"Oh, yeah!"
00:02:32.360,00:02:33.904,"Ah, ha-ha!"
00:02:33.946,00:02:35.697,That's nine for the Twins!
00:02:35.739,00:02:37.908,Astrid lags with three!
00:02:37.950,00:02:41.703,Fishlegs and Snotlout trail with none!
00:02:41.745,00:02:43.747,And Hiccup is...
00:02:43.789,00:02:45.916,nowhere to be found.
00:02:45.958,00:02:47.459,Hmm.
00:02:47.501,00:02:51.130,"Scared him off with the big talk, didn't you, Stoick?"
00:02:52.131,00:02:53.882,"What are you doing, Snotlout?"
00:02:53.924,00:02:55.676,They're gonna win now.
00:02:55.717,00:02:58.137,"She's my princess-- whatever she wants, she gets."
00:02:58.177,00:03:01.056,Ruffnut? Didn't she try to bury you alive?
00:03:01.098,00:03:03.642,Only for a few hours.
00:03:03.684,00:03:05.019,MAN: Look at 'em go!
00:03:05.060,00:03:09.940,"HICCUP: Now, dragons used to be a bit of a problem here, but that was five years ago."
00:03:09.982,00:03:12.151,Now they've all moved in.
00:03:12.191,00:03:14.736,"And, really, why wouldn't they?"
00:03:14.778,00:03:21.827,"We have custom stables, all-you-can-eat feeding stations, a full-service dragon wash..."
