start,end,script
00:00:38.163,00:00:40.624,and a few degrees south of freezing to death.
00:00:40.666,00:00:44.043,It's located solidly on the meridian of misery.
00:00:45.253,00:00:48.799,My village.
00:00:48.841,00:00:53.595,"It's been here for seven generations, but every single building is new."
00:00:53.637,00:00:58.141,"We have fishing, hunting and a charming view of the sunsets."
00:00:58.183,00:01:02.062,The only problems are the pests.
00:01:02.103,00:01:05.691,"You see, most places have mice or mosquitoes."
00:01:05.733,00:01:08.193,We have...
00:01:10.779,00:01:13.323,...dragons.
00:01:13.365,00:01:16.326,would leave. Not us.
00:01:16.368,00:01:19.914,We're Vikings. We have stubbornness issues.
00:01:21.832,00:01:24.083,My name is Hiccup.
00:01:24.125,00:01:26.754,"Great name, I know."
00:01:26.795,00:01:30.591,Parents believe a hideous name will frighten off gnomes and trolls.
00:01:30.632,00:01:32.968,Like our charming Viking demeanor wouldn't do that.
00:01:37.180,00:01:39.307,- What are you doing here?!
00:01:39.349,00:01:41.769,- What are you doing out?!
00:01:44.271,00:01:46.982,Hiccup!
00:01:47.024,00:01:49.276,What are you doing out?!
00:01:49.317,00:01:52.947,"the Vast, chief of the tribe."
00:01:52.988,00:01:57.952,"They say when he was a baby, he popped a dragon's head clean off its shoulders."
00:01:57.993,00:02:00.161,Do I believe it?
00:02:00.203,00:02:01.329,What have we got?
00:02:01.371,00:02:03.331,Gronckles. Nadders.
00:02:03.373,00:02:05.667,"Oh, and Hoark saw a Monstrous Nightmare."
00:02:06.877,00:02:08.837,- Any Night Furies?
00:02:08.879,00:02:09.964,Good.
00:02:17.721,00:02:19.890,Oh! Nice of you to join the party!
00:02:19.932,00:02:21.433,I thought you'd been carried off!
00:02:21.475,00:02:26.229,"Who, me? Come on, I'm way too muscular for their taste."
00:02:26.271,00:02:29.316,They wouldn't know what to do with all this.
00:02:29.357,00:02:32.277,"They need toothpicks, don't they?"
00:02:32.319,00:02:35.990,with attitude and interchangeable hands is Gobber.
00:02:36.031,00:02:38.366,I've been his apprentice since I was little.
00:02:38.408,00:02:40.869,"Well, littler."
00:02:40.911,00:02:44.414,Move to the lower defenses.
00:02:47.084,00:02:50.462,"See? Old village, lots and lots of new houses."
00:02:50.504,00:02:51.964,Fire!
00:02:53.465,00:02:57.845,"That's Fishlegs, Snotlout, the twins: Ruffnut and Tuffnut..."
00:02:57.886,00:03:00.014,...and...
00:03:01.180,00:03:03.182,...Astrid.
00:03:12.734,00:03:15.236,"Oh, their job is so much cooler."
00:03:15.278,00:03:18.490,- Eh!
00:03:18.532,00:03:19.867,I need to make my mark.
00:03:19.908,00:03:22.828,"You've made plenty of marks, all in the wrong places."
00:03:22.870,00:03:24.955,"Please, two minutes."
00:03:24.997,00:03:28.542,My life will get infinitely better.
00:03:28.583,00:03:30.961,You can't lift a hammer.
00:03:31.003,00:03:32.379,You can't even throw one of these!
00:03:35.049,00:03:37.843,"OK, fine, but this will throw it for me."
00:03:37.885,00:03:39.720,- Ohh!
00:03:39.761,00:03:42.514,See? Now this right here is what I'm talking about!
00:03:42.556,00:03:44.933,calibration issue...
00:03:44.975,00:03:48.228,If you ever want to get out there to fight dragons...
00:03:48.269,00:03:51.231,...you need to stop all this.
00:03:51.272,00:03:53.400,But you just pointed to all of me.
00:03:53.441,00:03:56.319,"Yes, that's it!"
00:03:56.361,00:03:59.280,- Ohh...
00:03:59.322,00:04:02.159,"You, sir, are playing a dangerous game."
00:04:02.201,00:04:06.371,Keeping this much raw Vikingness contained?
00:04:06.413,00:04:08.331,There will be consequences!
00:04:08.373,00:04:11.251,I'll take my chances.
00:04:13.045,00:04:15.422,I'll get out there.
00:04:15.463,00:04:17.257,Because killing a dragon...
00:04:17.298,00:04:20.343,...is everything around here.
00:04:20.385,00:04:23.931,A Nadder head is sure to get me at least noticed.
00:04:23.972,00:04:26.850,Gronckles are tough.
00:04:23.972,00:04:28.852,Taking down one of those would definitely get me a girlfriend.
00:04:29.770,00:04:30.979,A Zippleback?
00:04:32.773,00:04:35.150,twice the status.
00:04:35.192,00:04:36.651,They found the sheep!
00:04:36.693,00:04:38.862,Concentrate fire over the lower bank.
00:04:38.904,00:04:41.615,- Fire!
00:04:41.656,00:04:44.451,And then there's the Monstrous Nightmare.
00:04:44.492,00:04:47.579,Only the best Vikings go after those.
00:04:47.621,00:04:50.665,They have this nasty habit of setting themselves on fire.
00:04:53.210,00:04:55.336,Reload!
00:04:57.172,00:05:01.176,But the ultimate prize is the dragon no one's ever seen.
00:05:01.218,00:05:03.220,- We call it the...
00:05:03.262,00:05:05.305,- Get down!
00:05:07.808,00:05:10.144,Jump!
00:05:10.185,00:05:14.231,"This thing never steals food, never shows itself, and..."
00:05:15.649,00:05:17.442,...never misses.
00:05:17.484,00:05:19.736,No one has ever killed a Night Fury.
00:05:19.778,00:05:22.447,That's why I'm going to be the first.
00:05:22.489,00:05:25.450,"Man the fort, Hiccup."
00:05:26.827,00:05:29.704,Stay. Put. There.
00:05:31.123,00:05:34.001,You know what I mean.
00:05:34.042,00:05:36.335,"- Yeah, I know!"
00:05:36.377,00:05:38.337,- Be right back!
00:05:47.388,00:05:49.348,The devils still have some juice in them!
00:05:59.400,00:06:01.778,Come on.
00:06:01.820,00:06:05.199,- Give me something to shoot at.
00:06:18.586,00:06:19.629,- Aah!
00:06:25.384,00:06:28.222,"I hit it. Yes, I hit it!"
00:06:28.263,00:06:30.389,- Did anybody see that?
00:06:31.558,00:06:32.851,Except for you.
00:06:37.939,00:06:41.318,let them escape!
00:06:59.920,00:07:01.338,You're all out.
00:07:07.844,00:07:10.430,one more thing you need to know.
00:07:20.565,00:07:22.984,"- Sorry, Dad."
00:07:32.411,00:07:34.871,"OK, but I hit a Night Fury. Aah!"
00:07:34.913,00:07:37.040,"It's not like the last few times, Dad!"
00:07:37.082,00:07:38.875,"I really, actually hit it!"
00:07:38.917,00:07:41.586,You guys were busy.
00:07:41.628,00:07:44.881,It went down off Raven Point.
00:07:44.923,00:07:48.635,Stop! Just stop.
00:07:48.676,00:07:51.930,"Every time you step outside, disaster follows."
00:07:51.972,00:07:54.266,Can you not see that I have bigger problems?
00:07:54.308,00:07:57.477,Winter is almost here and I have an entire village to feed!
00:07:59.229,00:08:03.024,"Between you and me, the village could do with a little less feeding."
00:08:03.066,00:08:05.068,"This isn't a joke, Hiccup!"
00:08:05.110,00:08:08.696,follow the simplest orders?
00:08:08.738,00:08:13.410,I can't stop myself.
00:08:13.452,00:08:15.454,"It's who I am, Dad."
00:08:15.495,00:08:18.123,"Oh, you're many things, Hiccup."
00:08:18.165,00:08:21.042,But a dragon killer is not one of them.
00:08:21.084,00:08:22.127,Get back to the house.
00:08:22.961,00:08:24.212,Make sure he gets there.
00:08:25.339,00:08:27.841,I have his mess to clean up.
00:08:27.882,00:08:30.218,- Quite the performance.
00:08:30.260,00:08:32.262,I've never seen anyone mess up that badly.
00:08:32.304,00:08:34.681,"Thank you, thank you."
00:08:39.560,00:08:41.688,- I really did hit one.
00:08:41.729,00:08:43.690,- He never listens.
00:08:43.731,00:08:49.070,"When he does, it's with this disappointed scowl, like someone skimped on meat in his sandwich."
00:08:49.112,00:08:50.780,"Excuse me, barmaid."
00:08:50.822,00:08:53.658,I'm afraid you brought me the wrong offspring.
00:08:53.700,00:08:58.538,"I ordered an extra-large boy with beefy arms, extra guts and glory on the side."
00:08:58.579,00:09:01.375,"This here, this is a talking fishbone."
00:09:01.416,00:09:03.584,You're thinking about this wrong.
00:09:03.626,00:09:07.755,"It's not so much what you look like, it's what's inside that he can't stand."
00:09:09.090,00:09:11.092,Thank you for summing that up.
00:09:11.134,00:09:15.096,"Look, the point is, stop trying so hard to be something you're not."
00:09:15.138,00:09:16.764,I just want to be one of you guys.
00:09:27.401,00:09:30.737,or they'll finish us!
00:09:30.778,00:09:33.323,It's the only way we'll be rid of them.
00:09:33.365,00:09:38.828,"If we find the nest and destroy it, the dragons will leave."
00:09:38.870,00:09:41.415,One more search before the ice sets in.
00:09:41.456,00:09:43.750,Those ships never come back.
00:09:43.791,00:09:48.171,We're Vikings. It's an occupational hazard.
00:09:50.048,00:09:51.758,- Today's no good for me.
00:09:51.799,00:09:55.011,All right. Those who stay will look after Hiccup.
00:09:56.430,00:09:57.722,Aye.
00:09:59.099,00:10:01.518,Right.
00:10:01.560,00:10:04.438,"No, I need you to stay and train some new recruits."
00:10:04.479,00:10:09.025,"Perfect. And, while I'm busy, Hiccup can cover the stall."
00:10:09.067,00:10:12.529,"Molten steel, razor-sharp blades, lots of time to himself."
00:10:12.571,00:10:14.739,What could possibly go wrong?
00:10:14.781,00:10:17.033,"to do with him, Gobber?"
00:10:17.075,00:10:18.368,Put him in training.
00:10:18.410,00:10:20.828,"- No, I'm serious."
00:10:20.870,00:10:23.664,He'd be killed before the first dragon is out of its cage.
00:10:23.706,00:10:25.333,- You don't know that.
00:10:25.375,00:10:27.001,"- No, you don't."
00:10:27.043,00:10:28.420,"No, you don't."
00:10:28.462,00:10:30.380,"Listen, you know what he's like."
00:10:30.422,00:10:34.551,"From the time he could crawl, he's been... different."
00:10:36.219,00:10:39.389,He has the attention span of a sparrow.
00:10:39.431,00:10:42.850,I take him fishing and he goes hunting for trolls!
00:10:42.892,00:10:45.728,Trolls exist.
00:10:45.770,00:10:48.648,But only the left ones.
00:10:48.689,00:10:50.191,- When I was a boy...
00:10:50.233,00:10:53.320,...my father told me to bang my head against a rock and I did it.
00:10:53.361,00:10:56.030,"I thought it was crazy, but I didn't question him."
00:10:56.072,00:10:58.283,- And you know what happened?
