start,end,script
00:03:11.942,00:03:12.818,Thing of beauty.
00:03:19.240,00:03:21.326,"MASCULINE VOICE: Good morning, sir."
00:03:21.368,00:03:23.578,Yet another on-time delivery from...
00:03:23.620,00:03:26.707,"Get the hell out of my face, canner."
00:03:26.748,00:03:29.208,Have a nice day.
00:03:30.544,00:03:35.924,And we believe our Destination: Anywhere package to be the best value ever.
00:03:35.966,00:03:41.471,Let us take you to your dream destination aboard our auto-space flight...
00:03:51.231,00:03:55.152,"Glowfish, the world's hottest-selling transgenic..."
00:03:59.364,00:04:01.491,"ROBOT: Excuse me, sir."
00:04:01.533,00:04:05.537,"...total readiness, total security."
00:04:05.579,00:04:07.539,So good-bye to lengthy upgrades and service calls.
00:04:07.581,00:04:13.461,An uplink to USR's central computer provides this state-of-the-art robot with new programs daily.
00:04:13.503,00:04:16.965,The Nestor Class Five is tomorrow's robot today.
00:04:17.007,00:04:21.344,YOUNG MAN: Spoon! Spoony!
00:04:21.386,00:04:22.387,Hey!
00:04:23.638,00:04:25.182,Uh... hold up.
00:04:25.224,00:04:27.392,"Hold on, hold on."
00:04:27.434,00:04:29.228,"Spoon, man, where you been at?"
00:04:29.269,00:04:31.063,"Ah, just away, Farber."
00:04:31.105,00:04:33.190,On vacation and stuff?
00:04:33.232,00:04:34.315,"Listen, I got a favor to ask."
00:04:34.357,00:04:36.568,"I need to borrow the car for, like, ten, 15 minutes."
00:04:36.610,00:04:37.611,"No, no, this is different."
00:04:37.652,00:04:39.154,"This is different, Spoon."
00:04:39.196,00:04:40.405,"Listen, I got this fine-ass little yummie."
00:04:40.447,00:04:41.823,"I mean, she is complete and agreeable."
00:04:41.865,00:04:43.742,"I mean, ass-hot spankable, Spoon."
00:04:43.784,00:04:45.827,What does that even mean?
00:04:45.869,00:04:48.580,"Okay? Now, stop barricading, let me get the damn-ass keys, Spoon."
00:04:48.622,00:04:51.332,"First of all, stop cussing, 'cause you're not good at it."
00:04:51.374,00:04:53.418,"Let me get ten for the bus, then, man. I been there for you."
00:04:53.460,00:04:55.378,Go home.
00:04:55.420,00:04:57.714,That's strike one.
00:05:09.143,00:05:12.604,What are you going to do for us?
00:05:18.359,00:05:19.694,You talk to Marci?
00:05:21.196,00:05:23.490,"No, Gigi, I haven't talked to Marci."
00:05:23.531,00:05:29.454,"GIGI: When I was coming up, we didn't just marry someone, then divorce them, then not talk to them..."
00:05:30.747,00:05:32.457,"Del, don't play with me."
00:05:32.499,00:05:37.296,"I'll bet if I stop cooking, you'd call Marci."
00:05:37.336,00:05:40.966,"Boy, what is that on your feet?"
00:05:41.008,00:05:42.217,Mm.
00:05:42.259,00:05:45.053,"Converse All-Stars, vintage 2004."
00:05:46.221,00:05:47.346,Don't turn your face up like that.
00:05:47.388,00:05:48.515,I know you want some.
00:05:48.556,00:05:49.850,All you got to do is ask.
00:05:49.891,00:05:51.101,"No, thank you very much."
00:05:51.143,00:05:52.351,Mm.
00:05:52.393,00:05:54.104,Sweet potato pie.
00:05:54.146,00:05:55.563,Put that on the plate.
00:05:55.605,00:06:01.153,"You know, I've seen on TV they're giving away some of them new robots in the lottery."
00:06:01.195,00:06:03.322,"You know, Gigi..."
00:06:03.362,00:06:05.406,those robots don't do anybody any good.
00:06:05.448,00:06:08.827,"Of all the people on God's earth, you should know better."
00:06:08.869,00:06:12.039,Sometimes the stuff that comes out of your mouth.
00:06:14.249,00:06:16.210,"You listening to me, Del?"
00:06:27.637,00:06:30.849,MAN: Hey! Hey!
00:06:34.186,00:06:35.229,Hold my pie.
00:06:35.270,00:06:37.231,"Sir, hold it or wear it."
00:06:42.485,00:06:43.611,Hey!
00:06:43.653,00:06:45.113,Move it!
00:06:50.869,00:06:52.579,Hey! Hey!
00:06:52.620,00:06:54.455,Freeze!
00:06:58.335,00:06:59.586,Hey! Stop!
00:07:08.678,00:07:10.805,Stop!
00:07:16.353,00:07:17.645,I said stop!
00:07:19.606,00:07:21.900,Relax. Relax.
00:07:21.942,00:07:23.610,I'm a police officer.
00:07:23.651,00:07:25.612,WOMAN: You...
00:07:25.653,00:07:28.156,...are a asshole.
00:07:28.198,00:07:31.034,"Ma'am, is that your purse?"
