start,end,script
00:02:06.668,00:02:11.172,ARE YOU HERE TO KILL ME?
00:02:17.888,00:02:21.182,I KNOW WHAT THIS IS.
00:02:21.224,00:02:23.852,I'VE SEEN ONE BEFORE...
00:02:25.104,00:02:28.065,"...MANY, MANY YEARS AGO."
00:02:28.107,00:02:33.570,IT BELONGED TO A MAN I MET IN A HALF-REMEMBERED DREAM.
00:02:35.697,00:02:40.661,A MAN POSSESSED OF SOME RADICAL NOTIONS.
00:02:43.831,00:02:46.834,Cobb: WHAT IS THE MOST RESILIENT PARASITE?
00:02:46.875,00:02:49.419,A BACTERIA?
00:02:49.461,00:02:51.588,A VIRUS?
00:02:51.630,00:02:53.256,AN INTESTINAL WORM?
00:02:53.298,00:02:57.845,UH...WHAT MR. COBB IS TRYING TO SAY -- AN IDEA.
00:02:58.846,00:03:00.848,RESILIENT.
00:03:00.889,00:03:05.894,"ONCE AN IDEA HAS TAKEN HOLD OF THE BRAIN, IT'S ALMOST IMPOSSIBLE TO ERADICATE."
00:03:05.936,00:03:10.065,"AN IDEA THAT IS FULLY FORMED, FULLY UNDERSTOOD -- THAT STICKS."
00:03:10.107,00:03:12.026,RIGHT IN THERE SOMEWHERE.
00:03:12.067,00:03:13.610,FOR SOMEONE LIKE YOU TO STEAL?
00:03:13.652,00:03:14.903,YES.
00:03:13.652,00:03:19.282,"IN THE DREAM STATE, YOUR CONSCIOUS DEFENSES ARE LOWERED, AND THAT MAKES YOUR THOUGHTS VULNERABLE TO THEFT."
00:03:19.324,00:03:20.826,IT'S CALLED EXTRACTION.
00:03:20.868,00:03:27.041,"MR. SAITO, WE CAN TRAIN YOUR SUBCONSCIOUS TO DEFEND ITSELF FROM EVEN THE MOST SKILLED EXTRACTOR."
00:03:27.082,00:03:28.583,HOW CAN YOU DO THAT?
00:03:28.625,00:03:31.086,BECAUSE I AM THE MOST SKILLED EXTRACTOR.
00:03:31.128,00:03:34.006,I KNOW HOW TO SEARCH YOUR MIND AND FIND YOUR SECRETS.
00:03:34.048,00:03:35.215,I KNOW THE TRICKS.
00:03:35.256,00:03:41.096,"AND I CAN TEACH THEM TO YOU, SO THAT EVEN WHEN YOU'RE ASLEEP, YOUR DEFENSE IS NEVER DOWN."
00:03:41.138,00:03:45.851,"LOOK, IF YOU WANT MY HELP, YOU'RE GONNA HAVE TO BE COMPLETELY OPEN WITH ME."
00:03:45.893,00:03:51.690,"I NEED TO KNOW MY WAY AROUND YOUR THOUGHTS BETTER THAN YOUR WIFE, BETTER THAN YOUR THERAPIST, BETTER THAN ANYONE."
00:03:51.732,00:03:57.404,"IF THIS IS A DREAM, AND YOU HAVE A SAFE FULL OF SECRETS, I NEED TO KNOW WHAT'S IN THAT SAFE."
