start,end,script
00:00:58.851,00:01:00.101,"Hey! Hey, guys!"
00:01:18.662,00:01:19.788,GIRL: Faster!
00:01:21.582,00:01:23.208,"Hey, what you got under there?"
00:01:23.291,00:01:24.960,"-Hey, you want to race? -Oh, please."
00:01:25.044,00:01:26.754,"-Come on! -Come on, let's go!"
00:01:34.678,00:01:35.971,Come on!
00:01:38.849,00:01:40.726,Please?
00:01:40.809,00:01:41.977,Come on! Let's go! Come on!
00:01:58.744,00:01:59.995,MAN: Come on. Let's go.
00:02:02.581,00:02:03.457,Go faster! Faster!
00:02:52.798,00:02:53.924,"Sorry, gentlemen."
00:02:54.008,00:02:56.927,This whole area is closed for weapons testing for the next 24 hours.
00:02:57.011,00:02:59.805,That includes all on-base personnel.
00:02:59.888,00:03:01.348,"Good afternoon, sir."
00:03:08.897,00:03:10.357,"I'm afraid that goes for you, too, Colonel, sir."
00:03:10.440,00:03:11.859,The Pentagon sent out revised...
00:04:36.110,00:04:37.027,Russians.
00:04:39.113,00:04:41.489,This ain't gonna be easy.
00:04:41.573,00:04:43.408,Not as easy as it used to be.
00:04:43.491,00:04:44.743,"Well, we've been through worse."
00:04:44.826,00:04:46.411,Yeah? When?
00:04:46.494,00:04:48.538,Flensburg. There was twice as many.
00:04:48.622,00:04:50.665,-We were younger. -I still am young!
00:04:50.749,00:04:52.126,We had guns.
00:04:52.209,00:04:54.920,"Put your hands down, will you? You're embarrassing us."
00:04:55.921,00:04:57.881,Bet you 500 bucks we can get out of this.
00:05:07.515,00:05:08.725,Oh.
00:05:08.809,00:05:09.810,Let's call it 100.
00:05:13.981,00:05:15.774,"You recognize building, yes?"
00:05:23.073,00:05:24.032,Drop dead.
00:05:29.913,00:05:31.873,I'm sorry.
00:05:31.957,00:05:33.917,"I meant drop dead, comrade."
00:05:51.768,00:05:52.894,Where was he found?
00:05:53.436,00:05:54.813,In Mexico.
00:05:54.896,00:05:57.607,"They were digging in the dirt, looking for this stuff."
00:06:03.362,00:06:06.116,"You're not from around here, are you?"
00:06:06.200,00:06:10.912,"Where is it you would imagine I am from, Dr. Jones?"
00:06:11.370,00:06:16.417,"Well, the way you're sinking your teeth into those wubble-u's, I should think maybe Eastern Ukraine."
00:06:17.294,00:06:19.254,Highest marks.
00:06:19.338,00:06:20.964,Colonel Dr. Irina Spalko.
00:06:23.382,00:06:26.803,Three times I have received Order of Lenin.
00:06:26.887,00:06:30.640,Also medal as Hero of Socialist Labor.
00:06:30.724,00:06:31.850,And why?
00:06:33.392,00:06:38.190,Because I know things. I know them before anyone else.
00:06:38.481,00:06:41.360,"And what I do not know, I find out."
00:06:42.527,00:06:47.741,"Now, what I need to know now is in here."
00:07:02.797,00:07:06.051,"You are a hard man to read, Dr. Jones."
00:07:06.176,00:07:07.426,Ouch.
00:07:07.510,00:07:12.140,"So, we will do this, what is expression, old-fashioned way."
00:07:12.266,00:07:15.727,You will tell us. You will help us find what we seek.
00:07:37.999,00:07:43.504,"This warehouse is where you and your government have hidden all of your secrets, yes?"
00:07:43.588,00:07:44.881,This is a military warehouse.
00:07:44.965,00:07:47.384,I've never been here before in my life.
00:07:49.261,00:07:55.225,"Object we seek, rectangular storage container, dimensions 2 meters by 0.5 meter by 66 centimeters."
00:07:55.350,00:07:58.561,"Contents of box, mummified remains."
00:07:58.645,00:08:01.356,This is no doubt familiar to you.
00:08:01.440,00:08:04.401,What makes you think I've got any idea what box you're talking about?
00:08:04.484,00:08:09.530,Because 10 years ago you were part of the team that examined it.
00:08:12.784,00:08:14.077,Look...
00:08:14.577,00:08:17.664,Even if I knew what you were talking about...
00:08:17.872,00:08:21.418,You will help us find it.
00:08:32.720,00:08:35.349,Compass. I need a compass.
00:08:35.432,00:08:36.891,"You know, north, south, east..."
00:08:36.975,00:08:38.101,West.
00:08:40.020,00:08:41.480,No compass?
00:08:43.564,00:08:44.899,I need your bullets.
00:08:53.033,00:08:55.910,The contents of that box are highly magnetized.
00:08:56.661,00:08:57.871,I need gunpowder.
00:08:57.954,00:09:00.707,You want my help or not?
00:09:13.553,00:09:17.932,"Don't toy with me, Dr. Jones. What is the point of all this?"
00:09:18.016,00:09:22.479,"If it's still magnetic, the metal in this gunpowder should point the way."
00:09:53.593,00:09:56.471,INDY: Shells. Give me some shotgun shells.
00:09:59.640,00:10:00.475,Pliers.
00:13:18.757,00:13:23.094,"Drop the guns, or Colonel Dr. Spalko is dead."
00:13:43.698,00:13:45.533,"Why, Mac?"
00:13:45.617,00:13:47.285,"Well, what can I say, Jonesey?"
00:13:48.035,00:13:51.289,"I'm a capitalist, and they pay."
00:13:53.333,00:13:56.419,After all those years we spent spying on the Reds?
00:13:58.713,00:14:00.839,"I thought we were friends, Mac."
00:14:00.923,00:14:03.593,"I've had a run of bad luck with the cards lately, mate."
00:14:04.135,00:14:06.638,Awful. Bloody awful.
00:14:08.389,00:14:10.517,I can't go home empty-handed again.
00:14:11.726,00:14:15.021,"No defiant last words, Dr. Jones?"
00:14:17.315,00:14:18.775,I like Ike.
00:14:19.526,00:14:20.943,Put down gun.
00:14:21.944,00:14:23.321,"You got it, pal."
00:14:50.515,00:14:52.475,"Damn, I thought that was closer."
00:14:57.438,00:14:58.314,Come on. Come on.
00:15:16.833,00:15:18.752,He's not to get out of here alive! Block the exits!
00:15:24.965,00:15:27.176,"Don't get clever, Boris. You don't know him."
00:15:27.260,00:15:28.595,Know him. Know him.
00:15:28.678,00:15:30.805,You don't know him! You don't know him!
00:15:30.889,00:15:33.474,You don't know him! You don't know...
00:17:13.616,00:17:14.868,You did well.
00:18:54.926,00:18:57.720,Hello? Hello?
00:19:03.392,00:19:04.268,Hello!
00:19:06.062,00:19:08.314,Hey. I knocked. You guys got a...
00:19:15.613,00:19:17.239,Wait a minute.
00:19:17.323,00:19:18.992,"MAN ON TV: Come on, gang!"
00:19:32.046,00:19:33.756,"Oh, that can't be good."
00:19:36.383,00:19:39.971,"AUTOMATED VOICE: All personnel, it is now one minute to zero time."
00:19:40.054,00:19:42.765,Put on goggles or turn away.
00:19:42.849,00:19:48.021,Do not remove goggles or face burst until 10 seconds after first light.
00:19:48.104,00:19:49.522,That can't be good at all.
00:19:57.613,00:20:00.908,"INDY: Wait! Wait! Wait, wait, wait! Wait!"
00:20:04.037,00:20:06.288,Sure! Great! Don't wait for me!
00:20:06.372,00:20:07.999,AUTOMATED VOICE: Minus 15 seconds.
00:20:15.840,00:20:18.342,AUTOMATED VOICE: Minus 10 seconds.
00:20:18.718,00:20:33.357,"Niner, eight, seven, six, fiver, four, three, two, one, zero."
00:22:03.948,00:22:06.784,INDY: I had no reason to believe that Mac was a spy.
00:22:07.201,00:22:09.912,He was MI6 when I was in OSS.
00:22:09.996,00:22:12.748,"We did 20, 30 missions together in Europe and the Pacific."
00:22:12.832,00:22:14.875,"Don't wave your war record in our face, Colonel Jones."
00:22:14.959,00:22:17.003,We all served.
00:22:17.086,00:22:19.755,No kidding? What side were you on?
00:22:19.839,00:22:22.341,I don't think you recognize the gravity of your situation.
00:22:22.424,00:22:30.850,"You aided and abetted KGB agents who broke into a top-secret military installation in the middle of the United States of America, my country."
00:22:31.058,00:22:32.977,What was in the steel box they took?
00:22:34.103,00:22:36.354,You tell us. You've seen it before.
00:22:39.942,00:22:43.487,Oh. You mean that Air Force fiasco in '47.
00:22:46.240,00:22:51.245,I was tossed into a bus with blacked-out windows and 20 people I wasn't allowed to speak to.
00:22:51.329,00:22:56.125,Hauled out in the middle of the night in the middle of nowhere on some urgent recovery project and shown what?
00:22:56.209,00:23:01.922,Pieces of wreckage and an intensely magnetic shroud covering mutilated remains?
00:23:02.006,00:23:05.259,None of us was ever given the full picture.
00:23:05.343,00:23:07.887,And we were threatened with treason if we ever talked about it.
00:23:07.970,00:23:09.596,"So, you tell me, what was in the box?"
00:23:09.680,00:23:11.224,"Indy, thank God."
00:23:11.307,00:23:13.600,Don't you know it's dangerous to climb into a refrigerator?
00:23:13.684,00:23:15.393,Those things can be deathtraps!
00:23:15.477,00:23:16.770,"Good to see you, too, Bob."
00:23:17.897,00:23:20.149,"Relax, boys. I can vouch for Dr. Jones."
00:23:20.233,00:23:22.276,What the hell is going on?
00:23:22.360,00:23:24.737,KGB on American soil? Who is that woman?
00:23:25.154,00:23:26.197,Describe her.
00:23:26.906,00:23:30.993,"Tall, thin, mid-30s, carried a sword of some kind, a rapier, I think."
00:23:35.081,00:23:36.999,"Yeah, that's her."
00:23:37.083,00:23:38.751,You sure she's here?
00:23:38.834,00:23:41.003,Here and gone. Who is she?
00:23:41.087,00:23:44.715,"Irina Spalko, she was Stalin's fair-haired girl."
00:23:44.798,00:23:48.761,"His favorite scientist, if you can call psychic research science."
00:23:48.844,00:23:49.929,General Ross...
00:23:50.012,00:23:52.223,She's leading teams from the Kremlin all over the world.
00:23:52.306,00:23:56.310,Scooping up artifacts she thinks might have paranormal military applications.
00:23:56.394,00:23:57.435,General Ross!
00:23:57.519,00:23:59.105,"Back off, Paul."
00:23:59.188,00:24:02.983,Not everyone in the Army's a Commie and certainly not Indy.
00:24:03.067,00:24:07.445,"What exactly am I being accused of, besides surviving a nuclear blast?"
00:24:07.529,00:24:08.614,Nothing yet.
00:24:08.697,00:24:14.536,"But frankly your association with George Michale makes all your activities suspicious, including those during the war."
00:24:15.037,00:24:16.580,Are you nuts?
00:24:16.914,00:24:19.959,Do you have any idea how many medals this son of a bitch won?
00:24:20.334,00:24:22.336,"A great many, I'm sure."
00:24:23.296,00:24:24.964,But does he deserve them?
00:24:26.048,00:24:30.052,"Dr. Jones, let's just say for now that you are of interest to the Bureau."
00:24:30.136,00:24:32.721,Of great interest.
