start,end,script
00:02:07.252,00:02:45.665,1941 Go back inside and shut the door.
00:02:47.375,00:02:51.087,"Julie, get me some water for my wash up..."
00:02:52.213,00:02:53.756,...then get inside with your sisters.
00:03:19.908,00:03:20.992,"Ready, Papa."
00:03:31.336,00:03:32.378,"Thank you, my darling..."
00:03:33.087,00:03:34.714,...now you go inside with your sisters.
00:03:39.260,00:03:40.303,Don't run.
00:04:02.951,00:04:05.078,Is this the property of Perrier LaPadite?
00:04:05.536,00:04:06.621,I am Perrier LaPadite.
00:04:07.997,00:04:11.084,"It is a pleasure to meet you, Monsieur LaPadite..."
00:04:11.668,00:04:13.628,...I am Colonel Hans Landa of the SS.
00:04:14.170,00:04:15.213,What can I do for you?
00:04:15.797,00:04:18.633,I was hoping you could invite me inside your home...
00:04:18.716,00:04:21.094,...and we may have a discussion.
00:04:22.595,00:04:24.097,Certainly. After you.
00:04:33.189,00:04:35.900,"Colonel Landa, this is my family."
00:04:46.077,00:04:47.328,Colonel Hans Landa of the SS...
00:04:47.704,00:04:48.788,...Mademoiselle...
00:04:48.871,00:04:50.123,...at your service.
00:04:51.040,00:04:55.253,The rumors I have heard in the village about your family are all true.
00:04:58.589,00:05:01.259,Each one of your daughters is more lovely than the last.
00:05:02.385,00:05:03.428,Merci.
00:05:04.679,00:05:05.722,Please...
00:05:06.472,00:05:07.515,...have a seat.
00:05:13.271,00:05:15.148,"Suzanne, would you be so good as to get the Colonel some wine?"
00:05:16.607,00:05:17.650,But no.
00:05:17.817,00:05:20.111,"Merci beaucoup, Monsieur LaPadite, but no wine."
00:05:21.154,00:05:25.992,"This being a dairy farm, one would be safe in assuming you have milk?"
00:05:26.075,00:05:27.160,Oui.
00:05:27.243,00:05:28.619,Then milk is what I prefer.
00:05:28.995,00:05:30.079,Very well.
00:05:31.205,00:05:32.874,"Julie, would you mind closing the window?"
00:05:53.269,00:05:54.312,Merci.
00:06:10.411,00:06:14.290,"Monsieur, to both your family and your cows..."
00:06:15.583,00:06:17.043,"...I say, Bravo."
00:06:18.127,00:06:19.170,Thank you.
00:06:20.463,00:06:23.216,Please join me at your table.
00:06:24.092,00:06:25.134,Very well.
00:06:30.640,00:06:31.682,Monsieur LaPadite...
00:06:32.475,00:06:36.687,...what we have to discuss would be better discussed in private.
00:06:38.022,00:06:40.441,You'll notice I left my men outdoors.
00:06:41.567,00:06:46.447,"If it wouldn't offend them, could you ask your lovely ladies to step outside?"
00:06:48.241,00:06:49.283,You are right.
00:06:50.284,00:06:52.453,"Charlotte, would you take the girls outside?"
00:06:53.412,00:06:54.914,The Colonel and I need to have a few words.
00:07:06.968,00:07:08.136,Monsieur LaPadite...
00:07:09.804,00:07:14.559,...I regret to inform you I've exhausted the extent of my French.
00:07:15.852,00:07:19.605,To continue to speak it so inadequately would only serve to embarrass me.
00:07:19.856,00:07:23.693,"However, I've been led to believe you speak English quite well."
00:07:25.027,00:07:26.070,Yes.
00:07:26.154,00:07:30.324,"Well, it just so happens, I do as well. This being your house..."
00:07:30.616,00:07:33.035,...I ask your permission to switch to English...
00:07:33.202,00:07:34.871,...for the remainder of the conversation.
00:07:36.164,00:07:37.206,By all means.
00:12:07.935,00:19:22.327,Amos 9-10 Monsieur LaPadite...
00:19:24.705,00:19:27.416,...I thank you for the milk...
00:19:29.334,00:19:30.419,...and your hospitality.
00:19:33.172,00:19:35.132,I do believe our business here is done.
00:19:40.179,00:19:41.388,"Ah, ladies."
00:19:44.558,00:19:47.853,I thank you for your time.
00:19:50.355,00:19:52.191,We shan't be bothering your family any longer.
00:19:52.900,00:19:53.942,"So, Monsieur..."
00:19:54.985,00:19:56.028,...Mademoiselle.
00:19:56.528,00:19:59.364,I bid farewell to you and say...
00:19:59.907,00:20:00.991,...adieu.
00:21:20.487,00:24:13.535,"Chapter Two INGLOURIOUS BASTERDS No, no, no, no, no, no, no!"
00:24:13.994,00:24:17.706,How much more of these Jew swine must I endure?
00:24:19.124,00:24:21.168,They butcher my men like they were flies!
00:24:22.294,00:24:28.466,Do you know the latest rumor they've conjured up in their fear-induced delirium?
00:24:28.592,00:24:29.676,The one...
00:24:29.885,00:24:33.096,...that beats my boys with a bat!
00:24:33.180,00:24:36.141,The one they call The Bear Jew...
00:24:36.516,00:24:37.684,...is a Golem!
00:24:37.851,00:24:39.644,"My Führer, this is just soldiers' gossip."
00:24:40.896,00:24:45.317,No one really believes The Bear Jew is a Golem.
00:24:45.609,00:24:46.693,Why not?
00:24:46.902,00:24:49.946,They seem to be able to elude capture like an apparition.
00:24:51.948,00:24:54.701,They seem to be able to appear and disappear at will.
00:24:55.785,00:24:58.955,You want to prove they're flesh and blood?
00:24:59.206,00:25:01.458,Then bring them to me!
00:25:03.293,00:25:07.297,"I will hang them naked, by their heels, from the Eiffel Tower!"
00:25:08.131,00:25:11.676,And then throw their bodies in the sewers...
00:25:11.801,00:25:15.347,...for the rats of Paris to feast!
00:25:19.726,00:25:20.769,Kliest!
00:25:20.977,00:25:22.062,"Yes, my Führer!"
00:25:22.604,00:25:27.609,I have an order I want relayed to all German soldiers stationed in France.
00:25:28.652,00:25:35.784,"The Jew degenerate known as The Bear Jew, henceforth, is never to be referred to as The Bear Jew again."
00:25:35.867,00:25:36.910,"Yes, my Führer!"
00:25:37.202,00:25:39.496,Do you still wish to see Private Butz?
00:25:39.746,00:25:41.623,Who and what is a Private Butz?
00:25:41.873,00:25:44.292,He's the soldier you wanted to see personally.
00:25:44.626,00:25:48.213,His squad was ambushed by Lt. Raine's Jews.
00:25:48.463,00:25:50.173,He was its only survivor.
00:25:50.465,00:25:53.802,"Indeed, I do want to see him. Thank you for reminding me."
00:25:53.969,00:25:55.053,Send him in.
00:26:05.981,00:26:11.236,"Sergeant Rachtmann, Ludwig and I were the only ones left alive after the ambush."
00:26:12.737,00:26:16.658,"While one man guarded us, the rest removed the hair."
00:35:54.861,00:35:57.071,How did you survive this ordeal?
00:35:58.865,00:35:59.907,They let me go.
00:36:17.008,00:36:21.470,You are not to tell anybody anything. Not one word of detail!
00:36:22.763,00:36:25.266,"Your outfit was ambushed, and you got away!"
00:36:25.558,00:36:26.934,Not one word more!
00:36:28.269,00:36:29.353,"Yes, my Führer."
00:36:32.440,00:36:35.276,Did they mark you like they did the other survivors?
00:36:36.694,00:36:37.778,"Yes, my Führer."
00:36:45.411,00:36:47.997,I will hug my mother like I've never hugged her before.
00:36:58.799,00:37:00.968,"Not only shall I remove it, but I intend to burn it."
00:37:56.482,00:39:04.091,Chapter Three What starts tomorrow?
00:39:06.719,00:39:08.346,A Max Linder festival.
00:39:10.348,00:39:12.099,I always preferred Linder to Chaplin.
00:39:13.559,00:39:16.187,Except Linder never made a film as good as The Kid.
00:39:17.063,00:39:19.398,"The chase climax of The Kid, superb."
00:39:26.322,00:39:27.698,I adore your cinema very much.
00:39:28.949,00:39:30.034,Merci.
00:39:30.993,00:39:32.036,Is it yours?
00:39:33.704,00:39:34.705,Do I own it?
00:39:39.919,00:39:42.588,How is it a girl as young as you owns a cinema?
00:39:43.130,00:39:44.548,My aunt left it to me.
00:39:45.758,00:39:47.635,Merci for hosting a German night.
00:39:49.053,00:39:50.137,I don't have a choice...
00:39:50.805,00:39:51.806,...but you're welcome.
00:39:52.932,00:39:54.934,I love the Riefenstahl mountain films...
00:39:55.142,00:39:56.143,...especially Piz Palü.
00:39:57.645,00:39:59.980,It's nice to see a French girl who's an admirer of Riefenstahl.
00:40:00.564,00:40:02.441,Admire would not really be the word I would use...
00:40:02.525,00:40:05.236,...to describe my feelings towards Fräulein Riefenstahl.
00:40:07.488,00:40:09.490,"But you do admire the director Pabst, don't you?"
00:40:11.117,00:40:12.868,That's why you include his name on the marquee...
00:40:14.120,00:40:15.204,...when you didn't have to.
00:40:23.045,00:40:27.383,I'm French. We respect directors in our country.
00:40:28.217,00:40:29.385,Even Germans.
00:40:29.677,00:40:30.845,"Even Germans, oui."
00:40:32.179,00:40:33.973,"Merci for your assistance, soldier. Adieu."
00:40:36.183,00:40:37.226,You're not finished.
00:40:37.685,00:40:38.853,I'll finish in the morning.
00:40:39.145,00:40:40.354,May I ask your name?
00:40:43.190,00:40:44.191,You wish to see my papers?
00:40:59.373,00:41:00.374,Emmanuelle Mimieux.
00:41:01.876,00:41:03.169,That's a very pretty name.
00:41:04.378,00:41:05.379,Merci.
00:41:05.546,00:41:06.755,Are you finished with my papers?
00:41:11.051,00:41:12.761,"Mademoiselle, may I introduce myself..."
00:41:13.721,00:41:14.930,...Fredrick Zoller.
00:41:22.438,00:41:23.522,Well...
00:41:24.857,00:41:28.736,...it's been a pleasure chatting with a fellow cinema lover.
00:41:30.112,00:41:31.197,"Sweet dreams, mademoiselle."
00:41:32.031,00:41:33.073,Adieu.
00:42:14.114,00:42:15.115,"Hello, mademoiselle."
00:42:16.242,00:42:17.284,May I join you?
00:42:18.577,00:42:19.620,"Look, Fredrick..."
00:42:21.121,00:42:22.122,You remember my name?
00:42:22.456,00:42:23.457,Yes.
00:42:24.625,00:42:27.336,"Look, you seem a pleasant enough fellow..."
00:42:27.419,00:42:28.462,Thank you.
00:42:28.671,00:42:29.755,You're welcome.
00:42:30.297,00:42:31.840,"Regardless, I want you to stop pestering me."
00:42:35.427,00:42:37.137,"I apologize, mademoiselle..."
00:42:37.805,00:42:39.014,...I wasn't trying to be a pest.
00:42:40.140,00:42:41.642,I was simply trying to be friendly.
00:42:42.768,00:42:43.852,I don't wish to be your friend.
00:42:45.437,00:42:46.480,Why not?
00:42:48.524,00:42:49.984,Don't act like an infant. You know why.
00:42:52.653,00:42:54.154,I'm more than just a uniform.
00:42:54.613,00:42:55.656,Not to me.
00:42:56.323,00:42:58.450,If you are so desperate for a French girlfriend...
00:42:59.201,00:43:00.619,...I suggest you try Vichy.
00:43:32.818,00:43:33.861,Who are you?
00:43:34.903,00:43:36.155,I thought I was just a uniform.
00:43:36.905,00:43:38.407,You're not just a German soldier.
00:43:40.034,00:43:41.076,Are you somebody's son?
00:43:41.910,00:43:44.038,Most German soldiers are somebody's son.
00:44:16.111,00:44:19.615,"You're a very lucky girl, catching a brave war hero."
00:44:19.782,00:44:22.576,"No, no, no, no, the mademoiselle is not my girlfriend."
00:44:23.744,00:44:26.246,Can you write Amour Babette?
00:44:47.267,00:44:48.811,So you're a war hero.
00:44:50.604,00:44:51.647,What did you do?
00:44:55.776,00:44:58.612,I was alone in a bell tower in a walled off city.
00:44:59.488,00:45:02.116,"It was myself and a thousand rounds of ammo, in a bird's nest..."
00:45:03.409,00:45:05.285,...against three hundred enemy soldiers.
00:45:06.787,00:45:07.913,What's a bird's nest?
00:45:10.707,00:45:13.919,A bird's nest is what a sniper would call a bell tower.
00:45:14.253,00:45:17.256,"It's a high structure, offering a three hundred and sixty degree view."
