start,end,script
00:01:30.423,00:01:32.967,"-Nah, I got this. -Crossing the Straights."
00:01:35.428,00:01:37.139,"-Shutting it down, Cooper. -No!"
00:01:38.640,00:01:41.100,"-Shutting it all down. -No, I need power up!"
00:01:45.438,00:01:46.439,GIRL: Dad?
00:01:55.823,00:01:58.326,-I thought you were the ghost. -No.
00:01:59.994,00:02:01.996,"There are no such things as ghosts, babe."
00:02:02.164,00:02:04.332,Grandpa says you can get ghosts.
00:02:05.792,00:02:10.505,Maybe that's because Grandpa's close to being one himself. Back to bed.
00:02:10.838,00:02:12.674,Were you dreaming about the crash?
00:02:14.134,00:02:16.428,"Get your butt back in bed, Murph. Heh."
00:02:43.455,00:02:44.956,WOMAN 1: The wheat had died.
00:02:45.790,00:02:48.125,The blight came and we had to burn it.
00:02:49.001,00:02:51.713,And we still had corn. We had acres of corn.
00:02:51.879,00:02:54.173,"But, uh, mostly we had dust."
00:02:56.551,00:02:59.178,WOMAN 2: I guess I can't describe it. It was just constant.
00:02:59.346,00:03:01.848,Just that steady blow...
00:03:02.014,00:03:03.225,...of dirt.
00:03:05.352,00:03:08.396,"WOMAN 3: We wore, um, little strips of sheet..."
00:03:08.563,00:03:11.316,...sometimes over our nose and mouth...
00:03:11.483,00:03:13.985,...so that we wouldn't breathe so much of it.
00:03:15.695,00:03:18.197,"MAN: When we set the table, we always set the plate..."
00:03:18.365,00:03:21.243,"...upside-down. Glasses or cups, whatever it was..."
00:03:21.409,00:03:22.577,...upside-down.
00:03:28.040,00:03:30.252,"Shake a leg! Murph, get a move on!"
00:03:30.418,00:03:33.880,"Tom, 4:00 today, you and me in the barn, Herbicide Resistance 101."
00:03:34.046,00:03:35.548,"-Check? -Yes, sir."
00:03:36.841,00:03:38.510,"Not at the table, Murph."
00:03:39.261,00:03:41.095,"Dad, can you fix this?"
00:03:42.680,00:03:44.015,COOPER: What the heck did you do...
00:03:44.181,00:03:45.350,-...to my lander? -Wasn't me.
00:03:45.517,00:03:47.394,Let me guess. It was your ghost?
00:03:47.560,00:03:49.896,It knocked it off. It keeps knocking books off.
00:03:50.062,00:03:51.564,"TOM: No such thing as ghosts, dumb-ass."
