start,end,script
00:28:17.792,00:28:20.250,"Where did you live, Adele, before you came to Thornfield?"
00:28:20.959,00:28:25.792,With Mama but she has gone to the Holy Virgin now.
00:28:30.667,00:28:33.792,Mama taught me to dance and recite poems.
00:28:33.876,00:28:39.876,When gentlemen came to see her she would let me sit on their knees and sing.
00:28:39.959,00:28:41.501,"May I sing for you now, Mademoiselle?"
00:28:42.000,00:28:43.501,That would be lovely.
00:30:02.876,00:30:04.167,What is it?
00:30:21.959,00:30:24.125,"Why, what will it do?"
00:30:33.417,00:30:38.167,Sophie told me there is a woman who walks the halls of this house at nigh.
00:30:38.250,00:30:49.167,I have never seen her but people say she has hair black as ebony white skin like the moon and eyes like sapphires.
00:30:49.751,00:30:52.709,She can also walk through walls.
00:30:54.459,00:30:58.918,They say she comes to suck your blood.
00:35:46.876,00:35:49.459,"Monsieur, this is Mademoiselle."
00:42:01.501,00:42:03.667,"Oh my box, my box."
00:42:09.709,00:42:12.542,"Oh heavens, it is so beautiful."
00:42:38.334,00:42:42.334,"Monsieur, thank you a thousand times for your generosity."
00:54:16.083,00:54:18.042,"What is wrong, Mademoiselle?"
00:56:46.626,00:56:48.125,"Oh, she is so beautiful."
00:56:48.209,00:56:50.417,So elegant.
00:03:45.417,00:03:47.792,I will die.
00:03:47.834,00:03:49.500,I'll die.
00:04:17.333,00:04:19.250,St. John?
00:04:19.291,00:04:21.000,I found her at the door.
00:04:21.041,00:04:22.875,She's white as death.
00:04:25.000,00:04:27.166,"Hannah, some of that hot milk."
00:04:27.208,00:04:32.375,"St. John, we would have stumbled upon her corpse in the morning, and she would have haunted us for turning her away."
00:04:32.417,00:04:35.625,She's no vagrant.
00:04:35.667,00:04:37.792,There's milk for you.
00:04:39.375,00:04:40.875,Here.
00:04:43.000,00:04:44.917,Ask her her name.
00:04:46.041,00:04:48.709,Jane Eyre.
00:04:48.750,00:04:51.000,Tell us how we may help you.
00:04:51.041,00:04:52.458,Your name.
00:04:56.375,00:04:58.291,Where are you?
00:05:01.750,00:05:03.458,Must hide.
00:05:07.709,00:05:09.959,"St. John, we must get her warm."
00:05:10.000,00:05:12.125,Let us take her upstairs.
00:05:12.166,00:05:14.875,Will she die?
00:05:15.917,00:05:17.875,"Where are you, rat?"
00:05:29.542,00:05:31.500,I know you're here.
00:05:36.083,00:05:40.375,"If you crawl out and say Forgive me, Master Reed, I might consider it."
00:05:47.667,00:05:49.250,Mama.
00:05:49.291,00:05:50.959,John.
00:06:06.291,00:06:08.417,There you are.
00:06:09.750,00:06:11.458,"That book belongs to me, rat."
00:06:11.500,00:06:13.041,It belongs to my Uncle Reed.
00:06:27.375,00:06:31.250,"Spoilt, miserable brat!"
00:06:32.417,00:06:34.625,Mama!
00:06:36.333,00:06:38.000,Rat!
00:06:38.041,00:06:39.625,Mama!
00:06:39.667,00:06:43.583,- You wretched imp!
00:06:43.625,00:06:46.875,"- Hilary, take her. Take her!"
00:06:48.166,00:06:50.875,- Lock her in the red room.
00:06:53.542,00:06:55.792,"Please, please."
00:06:55.834,00:06:58.667,It's haunted. No!
00:06:58.709,00:07:00.583,Please! Please!
00:07:00.625,00:07:03.000,"If you don't sit still, you will be tied down."
00:07:03.041,00:07:04.750,What we do is for your own good.
00:07:04.792,00:07:09.208,"Pray for forgiveness, Miss Eyre, or something bad will come down that chimney and fetch you away."
00:07:15.542,00:07:18.625,"Let me out, please!"
00:08:03.041,00:08:07.375,"Jane Eyre, where the wicked go after death?"
00:08:08.542,00:08:10.333,They go to hell.
00:08:10.375,00:08:12.375,And what is hell?
00:08:14.375,00:08:17.083,A pit full of fire.
00:08:17.125,00:08:20.250,Should you like to fall into this pit and be burned there forever?
00:08:20.291,00:08:21.959,"No, sir."
00:08:22.875,00:08:25.166,How might you avoid it?
00:08:25.208,00:08:27.834,I must keep in good health and not die.
00:08:27.875,00:08:31.041,What is her parentage?
00:08:32.458,00:08:34.375,She's an orphan.
00:08:35.792,00:08:38.417,Her mother was my husband's sister.
00:08:38.458,00:08:41.417,"On his deathbed, he exhorted me to care for her."
00:08:43.208,00:08:45.333,I've always treated her as one of my own.
00:08:45.375,00:08:52.667,"If you accept her at Lowood School, Mr. Brocklehurst, keep a strict eye on her."
00:08:54.458,00:08:56.583,She has a heart of spite.
00:08:59.333,00:09:02.667,I'm sorry to say that her worst fault is that of deceit.
00:09:02.709,00:09:05.750,You can rest assured...
00:09:05.792,00:09:08.875,that we shall root out the wickedness...
00:09:08.917,00:09:11.458,"in this small, ungrateful plant."
00:09:11.500,00:09:17.291,"And as for its vacations, it must spend them all at Lowood."
00:09:31.083,00:09:33.125,You may leave.
00:09:37.208,00:09:40.542,You said I was a liar.
00:09:41.792,00:09:43.834,"If I were, I should say I loved you."
00:09:43.875,00:09:45.834,And I don't.
00:09:45.875,00:09:49.166,I dislike you worse than anybody in the world.
00:09:49.208,00:09:54.166,"People think you are good, but you're bad and hard-hearted."
00:09:54.208,00:09:56.166,I'll let everyone know what you have done.
00:09:56.208,00:09:58.875,Children must be corrected for their faults.
00:09:58.917,00:10:01.291,Deceit is not my fault.
00:10:01.333,00:10:03.291,But you are passionate.
00:10:03.333,00:10:07.041,My Uncle Reed is in heaven.
00:10:07.083,00:10:09.667,They know how you hate me and wish me dead.
00:10:09.709,00:10:12.875,"They see everything you do, and they will judge you, Mrs. Reed."
00:10:14.417,00:10:16.542,Get out.
00:11:11.083,00:11:13.500,Next. Show me your hands.
00:11:13.542,00:11:15.959,Stop there.
00:11:23.583,00:11:25.959,Very grand.
00:11:26.000,00:11:28.542,All right. Next.
00:11:36.375,00:11:38.750,Step out of your fine dress.
00:11:41.250,00:11:43.583,- Stay there.
00:11:45.041,00:11:47.041,Show me your hands.
00:11:56.458,00:11:59.667,My name is Jane Elliott.
00:11:59.709,00:12:02.291,Who can we send for to help you?
00:12:02.333,00:12:04.709,No one.
00:12:04.750,00:12:07.083,I mustn't ever be found.
00:12:18.083,00:12:21.625,Join me to thyself with an inseparable band of love.
00:12:21.667,00:12:26.041,For thou-- even thou alone-- dost satisfy him that loveth thee.
00:12:27.291,00:12:32.250,"And without thee, all things are vain..."
00:12:33.500,00:12:35.000,Amen.
00:12:35.041,00:12:36.208,Amen.
00:12:36.250,00:12:37.959,Amen.
00:12:47.208,00:12:49.709,"It's wonderful to see you up, Miss Elliott."
00:12:49.750,00:12:53.667,Last week we thought we'd be escorting your remains to an unmarked grave.
00:12:53.709,00:13:00.125,"She read The Bride of Lindorf, and suddenly it's all woebegone maidens and dramatic deaths."
00:13:00.166,00:13:02.125,I'm sorry to have caused so much trouble.
00:13:02.166,00:13:04.750,Nonsense.
00:13:04.792,00:13:06.709,since St. John's sermon on the fall of Babylon.
00:13:13.208,00:13:16.750,"I hope I'll not be eating long at your expense, Mr. Rivers."
00:13:16.792,00:13:18.917,Then tell me where to place you.
00:13:18.959,00:13:21.166,Show me where to seek work.
00:13:21.208,00:13:24.667,- You're not fit enough to work.
00:13:24.709,00:13:28.959,You return to your posts at the end of the month.
00:13:35.375,00:13:37.291,I'll endeavor to help you.
00:13:38.333,00:13:40.291,If that's what you wish.
00:13:40.333,00:13:42.709,"With all my heart, sir."
00:13:48.917,00:13:56.166,"This school you were at, Miss Elliott, this charitable institution, what did it prepare you for?"
00:13:57.291,00:14:00.625,Was it a thorough education?
00:14:02.500,00:14:04.417,Most thorough.
00:14:05.583,00:14:13.792,A little wit-- A little wit-- Will serve-- Will serve-- A fortunate man.
00:14:13.834,00:14:15.542,A fortunate man.
00:14:15.583,00:14:17.917,Again.
00:14:15.583,00:14:22.166,A little wit-- A little wit-- Will serve-- Will serve-- A fortunate man.
00:14:25.375,00:14:28.875,- A fortunate man.
00:14:28.917,00:14:30.792,Burns!
00:14:30.834,00:14:33.583,I will not have you before me in that attitude.
00:14:39.542,00:14:41.667,All rise.
00:14:43.417,00:14:47.208,I see you are mortifying this girl's flesh.
00:14:47.250,00:14:52.667,"Sir, she was not paying-- It is your mission to render her contrite and self-denying."
00:14:52.709,00:14:54.375,Continue.
00:15:08.375,00:15:10.125,The new girl.
00:15:15.208,00:15:17.417,This is the pedestal of infamy.
00:15:18.542,00:15:21.500,And you will remain upon it all day long.
00:15:21.542,00:15:29.125,"You will have neither food nor drink, for you must learn how barren is the life of a sinner."
00:15:29.166,00:15:32.291,"Children, I exhort you to shun her."
00:15:32.333,00:15:34.083,Exclude her.
00:15:34.125,00:15:36.542,Shut her out from this day forth.
00:15:37.834,00:15:46.208,"Withhold the hand of friendship, and deny your love to Jane Eyre, the liar."
00:16:22.333,00:16:24.542,How do you bear being struck?
