start,end,script
00:00:27.820,00:00:33.784,"for many years, and he goes to war."
00:00:33.826,00:00:37.329,"And afterward, he turns the rifle in at the armory..."
00:00:37.371,00:00:39.832,and he believes he's finished with the rifle.
00:00:41.124,00:00:44.503,But no matter what else he might do with his hands...
00:00:44.545,00:00:54.304,"love a woman, build a house, change his son's diaper-- his hands remember the rifle."
00:00:54.346,00:00:56.264,You are no longer black...
00:00:56.306,00:00:59.935,or brown or yellow or red!
00:01:00.143,00:01:02.145,You are now green!
00:01:02.145,00:01:05.983,You are light green or dark green!
00:01:06.025,00:01:08.027,Do you understand?
00:01:08.151,00:01:10.029,"Sir, yes, sir!"
00:01:10.153,00:01:12.322,-Swofford.
00:01:12.364,00:01:15.283,You the maggot whose father served in Vietnam?
00:01:15.325,00:01:17.327,"-Sir, yes, sir."
00:01:17.369,00:01:19.287,Did he have the balls to die there?
00:01:19.329,00:01:22.165,"-Sir, no, sir!"
00:01:22.165,00:01:24.418,-He ever talk about it?
00:01:24.459,00:01:27.170,Good.
00:01:28.296,00:01:31.050,Are you eyeballing me with those baby blues?
00:01:31.174,00:01:33.176,-Are you?
00:01:33.176,00:01:36.221,"-Are you in love with me, Swofford?"
00:01:36.263,00:01:39.975,"Oh, you don't think I look good in my uniform, Swofford?"
00:01:40.017,00:01:42.853,"Sir, the drill sergeant looks fabulous in his uniform, sir!"
00:01:42.895,00:01:45.981,"Oh, so you're gay then, and you love me, huh?"
00:01:46.023,00:01:47.441,"Sir, I'm not gay, sir!"
00:01:47.482,00:01:49.818,"Do you have a girlfriend, Swofford?"
00:01:49.860,00:01:52.071,"-Sir, yes, sir!"
00:01:52.195,00:01:54.197,Jody's banging her right now!
00:01:54.197,00:01:58.201,Get on your face and give me 25 for every time she gets fucked this month.
00:01:58.201,00:02:00.788,Down on your face!
00:02:00.829,00:02:04.249,It was shortly after meeting Drill Instructor Fitch...
00:02:04.291,00:02:08.879,that I realized that joining the Marine Corps might have been a bad decision.
00:02:08.921,00:02:11.465,What in the fuck is this?
00:02:11.506,00:02:14.093,"Sir, it's the recruit's drawing of a foot locker, sir."
00:02:14.217,00:02:17.220,"Jesus, Joseph and doggy-style Mary!"
00:02:17.220,00:02:19.264,That is a pile of dog shit.
00:02:19.306,00:02:21.433,"Sir, the recruit's never been good at drawing, sir!"
00:02:21.475,00:02:24.019,Why the fuck are you my scribe then?
00:02:24.061,00:02:26.271,Isn't my scribe supposed to know how to draw?
00:02:26.313,00:02:28.899,"Sir, the recruit doesn't know."
00:02:28.941,00:02:31.693,"-to write, sir!"
00:02:31.735,00:02:36.239,The recruit doesn't know because I haven't told him!
00:02:36.239,00:02:43.038,"-All right, come-for-brains, show me exactly where your skivvies -and running shoes go."
00:02:40.744,00:02:45.248,"-Sir, the recruit can't think while the drill instructor's hitting him on his head, sir."
00:02:45.248,00:02:48.293,You can't think while I'm giving you a few love taps?
00:02:48.335,00:02:50.963,How the fuck are you going to fire your rifle...
00:02:51.005,00:02:54.549,when grenades are going off in your face?
00:02:54.591,00:02:56.885,What the fuck are you even doing here?
00:02:56.927,00:02:59.930,"Sir, I got lost on the way to college, sir!"
00:03:06.645,00:03:30.127,"So now my hands were dick skinners, a flashlight was a moonbeam, a pen was an ink stick, my mouth was a come receptacle, a bed was a rack, a wall was a bulkhead, a shirt was a blouse, a tie was still a tie and a belt a belt, but many other things would never be the same."
00:03:38.802,00:03:40.303,"One, two, three-- three."
00:04:12.335,00:04:15.338,Swofford.
00:04:17.007,00:04:18.508,It's English.
00:04:18.550,00:04:22.804,My great-grandfather came over here in the 19th century.
00:04:22.846,00:04:24.681,Whatever.
00:04:24.723,00:04:27.768,I'm putting you in Golf Company.
00:04:27.809,00:04:29.895,It's full of retards and fuck-ups.
00:04:29.937,00:04:33.523,Maybe you can elevate the sons of bitches a little.
00:04:34.357,00:04:36.777,Or maybe not.
00:04:38.862,00:04:39.613,Next.
00:04:46.369,00:04:51.250,"Jarhead, noun-- slang for marine."
00:04:51.374,00:04:52.375,Origin...
00:04:52.375,00:04:54.044,from the resemblance to a jar...
00:04:54.086,00:04:57.881,of the regulation high-and-tight haircut.
00:04:57.923,00:05:04.387,"The marine's head, by implication, therefore also a jar, an empty vessel."
00:05:12.395,00:05:16.399,Hey! Can I help you?
00:05:16.399,00:05:19.527,"Uh, yeah."
00:05:19.569,00:05:22.072,-Second platoon?
00:05:27.661,00:05:31.123,"-What's going on, boss?"
00:05:31.165,00:05:32.916,-Welcome to second platoon.
00:05:32.958,00:05:35.169,"Hey, boys, fresh fucking meat!"
00:06:06.700,00:06:09.203,Fuck!
00:06:11.454,00:06:15.000,"-Boo, motherfucker!"
00:06:22.007,00:06:23.466,Get some!
00:06:32.475,00:06:35.020,"Oh, fuck."
00:06:50.577,00:06:53.330,"Yeah, we switched out the hot brand."
00:06:53.997,00:06:56.666,A little fuck-fuck trick we play on the new guys.
00:06:59.002,00:07:00.003,Nice.
00:07:01.504,00:07:04.132,"You want a brand, you gotta earn it."
00:07:10.513,00:07:12.515,Welcome to the suck.
00:07:31.285,00:07:33.828,"Still got that stomach flu, Swofford?"
00:07:33.870,00:07:36.081,I can't seem to shake it.
00:07:36.123,00:07:39.167,That's all right.
00:07:39.209,00:07:41.753,But for me there was nowhere else.
00:07:41.795,00:07:43.546,That was the truth.
00:07:43.546,00:07:45.882,"After all, I was made in a war."
00:07:46.967,00:07:48.551,Here's Mr.
00:07:48.551,00:07:53.556,"on R&amp;R from Vietnam, Honolulu Hilton, 1969."
00:07:54.557,00:07:59.146,"I can't watch, and neither can you."
00:07:59.187,00:08:02.357,And here's some other things I can't show you.
00:08:02.399,00:08:04.567,Visiting my sister.
00:08:04.567,00:08:07.862,Making muffins with Mom.
00:08:10.573,00:08:13.576,Breakfast conversations with Dad.
00:08:15.162,00:08:17.580,But here's some things you can see.
00:08:17.580,00:08:18.832,Taking a dump.
00:08:19.624,00:08:22.461,Thinking about going to college.
00:08:22.585,00:08:25.130,Studying after school with my girlfriend.
00:08:25.172,00:08:28.591,"-Oh, my God, I love you."
00:08:28.591,00:08:32.595,Giving away my favorite U.S.M.C. T-shirt.
00:08:32.595,00:08:33.638,I'll write you every day.
00:08:33.680,00:08:34.973,Hey!
00:08:37.100,00:08:38.393,Swofford?
00:08:42.105,00:08:44.732,-Swofford.
00:08:46.818,00:08:50.071,What the fuck?
00:08:50.113,00:08:52.866,"Oh, no, I just had a stomach thing, sir."
00:08:52.907,00:08:56.619,Staff Sergeant Sykes.
00:08:56.619,00:09:03.626,"I heard it took six guys to pull that little branding trick on you, and your file says that you ain't too fucking dumb either, so you better get un-sick most motherfucking ricky-tick..."
00:09:03.626,00:09:07.214,because there's a chance that you could be a scout/sniper.
00:09:09.841,00:09:12.302,What the fuck is this?
00:09:13.928,00:09:16.181,"The Stranger, by Camus."
00:09:16.223,00:09:18.475,"That's some heavy dope right there, marine."
00:09:18.517,00:09:25.857,"Mary, however--  Indoc class starts on Monday."
00:09:25.899,00:09:27.526,"Is that an order, Staff Sergeant?"
00:09:30.195,00:09:32.655,"Uh, no."
00:09:32.655,00:09:34.908,It's a fucking opportunity.
00:09:34.949,00:09:37.202,It's a fucking honor.
00:09:37.244,00:09:39.871,It's the best fucking job in the marine corps.
00:09:40.372,00:09:42.416,"Sounds good, Staff Sergeant."
00:09:43.833,00:09:46.669,"-Sounds good, Staff Sergeant."
00:09:46.669,00:09:48.713,-Could I have my-- You know what?
00:09:48.755,00:09:52.217,I got a better idea.
00:09:53.176,00:09:55.429,"I played a trumpet in third grade, Staff Sergeant."
00:09:55.470,00:09:57.472,Played a trumpet in third grade?
00:09:57.514,00:10:02.643,"A little, for small holiday concerts and festivals-- You ain't gotta be Chuck Mangione."
00:10:02.685,00:10:06.189,"Somebody to play taps, reveille, battle march, that type of shit-- raise the morale."
00:10:06.231,00:10:08.024,-Does that interest you?
00:10:08.066,00:10:10.651,Good.
00:10:10.693,00:10:13.572,"-All right, thank you, Staff Sergeant."
00:10:13.613,00:10:19.369,-Can I get my boo-- There's 60 of you.
00:10:19.411,00:10:22.330,That means 52 of you will perish.
00:10:22.372,00:10:25.292,There's no possible way that all of you can make it.
00:10:25.333,00:10:27.961,-If you think you were some shit-- -Staff Sergeant Sykes!
00:10:28.002,00:10:31.672,Private Swofford reporting for bugle tryout!
00:10:31.714,00:10:34.259,"Indoc, atten-hut!"
00:10:36.303,00:10:42.683,"I don't give out too many special treats, but this morning, we have a very special treat."
00:10:42.725,00:10:46.896,Private Swofford here is going to play reveille for us.
00:10:47.772,00:10:49.857,"Okay, Swofford, play reveille."
00:10:50.900,00:10:52.611,"Oh, I don't have a bugle."
00:10:52.652,00:10:54.821,-You don't have a what?
