start,end,script
00:00:42.308,00:00:47.447,"At 9:30, Joshua made his speech, and we are getting ready for Joshua to lead us."
00:00:49.115,00:00:50.183,I feel so sick.
00:00:50.250,00:00:53.720,"You know, when you can't breathe, because you're too nervous."
00:00:54.354,00:00:59.125,A crowd of 1500 is more than I expected here today.
00:00:59.559,00:01:03.563,"I want to know, where are the adults?"
00:01:13.239,00:01:20.780,"No matter what the price, we can't dump this on the next generation."
00:01:20.847,00:01:23.450,This generation must complete our mission!
00:01:26.686,00:01:30.356,Now let's go take Civic Square together!
00:03:46.960,00:03:49.362,Have you been to Mr. Siu's class?
00:03:49.429,00:03:50.730,Can I see your paper?
00:03:51.898,00:03:53.766,"No, he hasn't given the paper back yet."
00:03:53.833,00:03:55.602,"Oh, he hasn't graded it yet?"
00:03:58.905,00:04:02.809,"Before I was involved in politics I was just a normal student, a normal kid."
00:04:04.677,00:04:08.982,"I went to school, put effort in my studies, but those days are now gone."
00:04:12.318,00:04:20.893,"Instead of just focusing on GPA, why don't we try to care about the city that we live and the city that we love?"
00:04:22.729,00:04:23.997,"Hello, Hong Kong."
00:04:24.264,00:04:26.266,"We are Scholarism, a student organization."
00:04:26.332,00:04:32.272,Please take two seconds and sign your name to demand the government withdraw National Education.
00:04:32.338,00:04:33.539,Defend freedom of thought.
00:04:33.606,00:04:36.709,Oppose brainwashing education.
00:05:00.933,00:05:15.381,"The mainstream and the teachers just teach us, if you become an accountant or doctor, or even you become the management trainee of the investment bank, you gain a successful life and future."
00:05:16.616,00:05:28.561,"However, instead of asking society to define what is success, I would just ask why I can't define what is valuable for myself and what is important for the society?"
00:05:29.562,00:05:34.500,It's the time for us to show our disagreement against interference from the Communist Party of China.
00:08:27.507,00:08:30.109,I founded Scholarism when I was 14 years old.
00:08:31.244,00:08:37.617,What we hope to do is just demand for freedom of mind and freedom of speech.
00:08:38.584,00:08:40.987,To show our disagreement to brainwashing education.
00:09:00.606,00:09:04.610,"When I founded Scholarism, I knew it was important to recruit members."
00:09:08.881,00:09:14.186,I met Derek because actually we knew each other from the Christian fellowship in our high school.
00:09:17.690,00:09:20.660,and join the fight against the National Education?
00:09:21.294,00:09:25.131,China is a rising darkness that destroys the things in Hong Kong.
00:09:25.197,00:09:29.969,"But if you want to defeat Darth Vader, then you have to train some Jedi."
00:09:58.798,00:10:01.233,We are totally not Chinese people.
00:10:02.101,00:10:03.035,We are unique.
00:10:04.003,00:10:05.805,Hong Kong people is Hong Kong people.
00:10:06.172,00:10:08.007,Bruce Lee is Hong Kong people.
00:10:10.209,00:10:14.380,"Hong Kong is the place that I'm born, I live, and the place that I love."
00:10:14.647,00:10:19.752,And the future of Hong Kong should be decided by Hong Kongers instead of the Chinese government.
00:11:22.114,00:11:38.831,"The first time for me to meet CY Leung is in March of 2012 because he organized a Facebook event, and if your post under that Facebook event can get the highest number of likes, you can get a chance to meet with CY Leung."
00:11:40.032,00:11:43.202,I just shared to my Facebook and shared to Scholarism's Facebook page.
00:11:43.269,00:11:51.410,"And finally, I get around a few thousand likes and I can meet CY Leung and ask him, Why do you still need to implement the National Education?"
00:11:55.414,00:11:56.816,"Hello, CY Leung."
00:11:56.882,00:11:58.284,I'm Joshua Wong and a sophomore.
00:11:58.350,00:12:03.456,Maybe you find it odd that students show up at an event like this.
00:12:03.722,00:12:04.757,"And we have exams, too."
00:12:04.824,00:12:07.059,"Actually, I have one tomorrow."
00:12:08.494,00:12:13.933,"We are from Scholarism, the alliance against National Education."
