start,end,script
00:01:05.858,00:01:07.860,"Oh, Paul, leave me alone."
00:01:25.252,00:01:27.963,Bon appétit.
00:01:38.432,00:01:39.892,Butter.
00:01:47.148,00:01:49.777,"Oh, my goodness."
00:01:50.903,00:01:53.072,You have to taste this.
00:01:55.323,00:01:56.784,Here.
00:02:04.541,00:02:05.834,Mmm.
00:02:05.834,00:02:07.335,I mean... It's...
00:02:07.335,00:02:08.837,I know.
00:02:08.837,00:02:12.257,I know. I know. I know.
00:02:15.803,00:02:20.515,JULIA: Look at that!
00:02:27.314,00:02:28.690,PAUL: Slow down.
00:02:29.900,00:02:31.443,JULIA: Sorry.
00:02:40.243,00:02:41.745,PAUL: This is it.
00:02:41.745,00:02:43.330,Just stop.
00:02:45.707,00:02:50.045,I can't believe we get to live here.
00:02:51.379,00:02:53.048,Paul!
00:03:17.990,00:03:19.324,Is this a mistake?
00:03:17.990,00:03:20.701,Should we have stayed in Brooklyn?
00:03:20.701,00:03:23.202,We're gonna love Queens.
00:04:09.917,00:04:12.086,Moving truck's here.
00:04:23.180,00:04:24.806,You okay?
00:04:24.806,00:04:26.558,Everything is falling down.
00:04:26.558,00:04:27.851,Hey.
00:04:27.851,00:04:30.020,What are we doing here?
00:04:30.020,00:04:31.813,Repeat after me.
00:04:31.813,00:04:35.109,Nine hundred square feet.
00:04:35.109,00:04:37.945,Nine hundred square feet.
00:04:37.945,00:04:40.114,"Plus, it's close to your office."
00:04:40.114,00:04:43.075,"Plus, it's close to my office, but we don't have to move."
00:04:43.075,00:04:48.455,"We could renege on the lease, repack everything and live in the Jeep."
00:04:49.998,00:04:53.418,You're right.
00:04:54.878,00:04:56.838,"Eric, what is that noise?"
00:04:56.838,00:04:58.465,What noise?
00:04:59.883,00:05:03.220,Is it going to be like this every night?
00:05:05.722,00:05:07.182,Maybe.
00:05:10.727,00:05:12.854,Oh.
00:05:12.854,00:05:14.314,PAUL: Jule?
00:05:16.691,00:05:18.735,It's Versailles.
00:05:20.612,00:05:24.074,"I'm so happy you like it, darling."
00:06:41.943,00:06:45.322,"FEMALE OPERATOR: Good morning, Lower Manhattan Development Corporation."
00:06:45.322,00:06:47.199,MALE OPERATOR: LMDC.
00:06:47.199,00:06:50.285,"Lower Manhattan Development Corporation, Julie Powell."
00:06:50.285,00:06:54.539,WOMAN 1: My son died in the second tower.
00:06:54.539,00:06:56.917,I'm sorry.
00:06:58.459,00:07:01.129,I'm so sorry.
00:07:01.129,00:07:06.176,MAN 1: Are you the person to speak to if I don't like the plan for the memorial that was in this morning's Times?
00:07:06.176,00:07:07.844,You can speak to me.
00:07:07.844,00:07:10.264,Do you have any power?
00:07:10.264,00:07:11.848,I wanna speak to someone with power.
00:07:11.848,00:07:13.474,I don't like the plan.
00:07:13.474,00:07:16.436,I don't like the plan either.
00:07:16.436,00:07:19.564,WOMAN 2: You people are a bunch of heartless bureaucratic goons.
00:07:19.564,00:07:24.736,"I am not a heartless bureaucratic goon. I am just a person in a cubicle, and I am doing the best I can, ma'am."
00:07:24.736,00:07:30.742,This is my sixth phone call and the only thing anyone ever tells me is I have to fill out a form to get in line for an insurance payment.
00:07:30.742,00:07:37.291,"And you do. But, I mean, if you don't wanna fill out a form, I will fill one out for you, but you're still going to have to come in and sign it."
00:07:37.291,00:07:38.499,To your cubicle?
00:07:38.499,00:07:40.627,Yes.
00:07:40.627,00:07:44.214,"I feel terrible about what you're going through, Mr. Diamond, but..."
00:07:44.214,00:07:46.466,"MAN 2: You have no idea what I'm going through, Ms. Powell."
00:07:46.466,00:07:48.427,You have no idea.
00:07:48.427,00:07:50.387,This whole thing is completely inefficient.
00:07:50.387,00:07:52.722,Please stop yelling at me.
00:07:52.722,00:07:54.515,My 3-year-old is more capable of helping.
00:07:54.515,00:07:55.767,I am your friend.
00:07:55.767,00:07:58.686,WOMAN 3: And now the doctor says there's fiberglass in his lungs.
00:07:58.686,00:08:01.273,He coughs.
00:08:01.273,00:08:03.317,I don't know what to do.
00:08:03.317,00:08:09.614,"His wife says there's so much crap in his lungs he can't breathe, and now his insurance is refusing to pay for this drug that might really work."
00:08:09.614,00:08:11.325,Tell her to call the Health Department.
00:08:11.325,00:08:12.533,That's an answering machine.
00:08:12.533,00:08:15.703,Andrea Gomez in the mayor's office.
00:08:15.703,00:08:19.666,Thank you. Thank you.
00:08:31.094,00:08:33.721,Chocolate cream pie.
00:08:36.516,00:08:38.352,You know what I love about cooking?
00:08:38.352,00:08:39.853,ERIC: What's that?
00:08:39.853,00:08:56.870,"I love that after a day when nothing is sure, and when I say nothing I mean nothing, you can come home and absolutely know that if you add egg yolks to chocolate and sugar and milk, it will get thick."
00:08:56.870,00:08:59.039,Bad day?
00:08:59.039,00:09:00.290,Mmm.
00:09:00.290,00:09:02.417,When will this pie be ready?
00:09:02.417,00:09:05.420,"Soon, but I have to make the whipped cream first and let it set."
00:09:05.420,00:09:08.340,I'll be here.
00:09:10.425,00:09:13.761,Ritual Cobb salad lunch tomorrow.
00:09:13.761,00:09:16.264,"Dreading, dreading, dreading."
00:09:18.308,00:09:19.434,Subway.
00:09:19.434,00:09:21.186,Hi.
00:09:21.186,00:09:22.687,How are you?
00:09:24.314,00:09:26.024,What can I get for you ladies?
00:09:26.024,00:09:28.651,"I will have a Cobb salad, no bleu cheese."
00:09:28.651,00:09:30.153,"Cobb salad, no beets."
00:09:30.153,00:09:31.488,"Cobb salad, no bacon."
00:09:31.488,00:09:33.823,"Cobb salad, no eggs."
00:09:33.823,00:09:36.243,"Are you listening carefully, Tracy?"
00:09:36.243,00:09:38.870,Tell them to take the offer up to 185.
00:09:38.870,00:09:40.580,"Repeat after me, Tracy."
00:09:40.580,00:09:43.542,1-8-5.
00:09:43.542,00:09:46.461,And call me the second you hear back.
00:09:46.461,00:09:49.172,My assistant. It's almost not worth having one.
00:09:49.172,00:09:51.091,REGINA: I know.
00:09:49.172,00:09:53.968,"Yesterday I said to Allison, Go to the pharmacy, get me a pair of black pantyhose."
00:09:53.968,00:09:55.845,"She came back and said, They didn't have any."
00:09:55.845,00:09:57.638,"I said, Did you try another pharmacy?"
00:09:57.638,00:09:59.682,"I mean, really."
00:09:59.682,00:10:01.309,Or Bloomingdale's.
00:09:59.682,00:10:02.810,What's wrong with trying Bloomingdale's?
00:10:02.810,00:10:04.645,"CASSIE: Yeah, I don't get it."
00:10:02.810,00:10:05.939,If only I could be my own assistant.
00:10:05.939,00:10:07.441,You can be.
00:10:07.441,00:10:09.943,Fire your assistant and don't hire a replacement.
00:10:11.278,00:10:13.530,"No, that's not what I mean, Julie."
00:10:13.530,00:10:16.116,Excuse me. Oh...
00:10:16.116,00:10:19.160,"Oh, those are cute."
00:10:19.160,00:10:23.748,"Okay, tell them 190, 1-9-0. Great."
00:10:23.748,00:10:26.876,1-9-0. What?
00:10:26.876,00:10:29.421,$190 million.
00:10:29.421,00:10:31.256,We're assembling a parcel at Midtown.
00:10:31.256,00:10:34.008,"Oh, wow. Oh, oh, that is so great, Cassie."
00:10:34.008,00:10:35.552,A parcel of what?
00:10:35.552,00:10:38.096,Buildings.
00:10:38.096,00:10:40.848,We're gonna tear them all down and put up a high-rise.
00:10:40.848,00:10:42.642,REGINA: To your parcel.
00:10:46.062,00:10:48.523,"And enough about you, here's to me."
00:10:48.523,00:10:53.653,"As of yesterday, I am the senior vice president in charge of corporate publicity."
00:10:53.653,00:10:55.655,CASSIE: No.
00:10:53.653,00:10:59.493,Which means I get a raise and I can borrow half a million dollars at 2% if I want to.
00:10:59.493,00:11:00.910,CASSIE: Great.
00:11:02.454,00:11:05.290,"So how's your job, Julie?"
00:11:05.290,00:11:06.958,I can only imagine.
00:11:06.958,00:11:08.126,So sad.
00:11:08.126,00:11:09.419,Painful.
00:11:09.419,00:11:11.379,Excuse me.
00:11:11.379,00:11:13.131,Excuse me.
00:11:13.131,00:11:14.424,Hello?
00:11:14.424,00:11:15.842,Hi.
00:11:15.842,00:11:17.802,"Hey, Jules?"
00:11:15.842,00:11:19.513,I have got to interview you for this piece that I'm writing.
00:11:19.513,00:11:23.099,"Sure, Annabelle, great."
00:11:23.099,00:11:25.059,Call Julie about interview.
00:11:25.059,00:11:27.354,Find out about dry cleaning.
00:11:25.059,00:11:28.771,Find out before dinner on Thursday.
00:11:28.771,00:11:30.689,Saturday party.
00:11:30.689,00:11:33.527,No.
00:11:33.527,00:11:36.821,REGINA: I cannot computer-coach you every day while I'm with my girlfriends.
00:11:36.821,00:11:39.157,What is it about?
00:11:39.157,00:11:43.870,It's about our generation turning 30.
00:11:43.870,00:11:49.209,People turning 30.
00:11:49.209,00:11:53.588,I don't know when I can fit you in.
00:11:53.588,00:11:57.217,"May I remind you, I don't want to see you, you want to see me?"
00:11:57.217,00:11:59.844,Yeah. Would a breakfast work?
00:12:03.223,00:12:05.433,JULIE: I believed her.
00:12:05.433,00:12:08.895,"She said, It's about our generation turning 30."
00:12:08.895,00:12:11.565,What'd you expect?
00:12:11.565,00:12:26.580,"Julie Powell, once the editor of the Amherst literary magazine, the one we all knew would be 'The One,' temped for eight years before giving up on her novel, and now works in a cubicle as a mid-level bureaucrat, attempting to deal with the aftereffects of 9/11."
00:12:27.914,00:12:31.792,"Oh, God, you memorized it?"
00:12:31.792,00:12:33.794,She left so much out.
00:12:35.422,00:12:36.923,"Anyway, the picture was good."
00:12:36.923,00:12:38.299,I looked fat.
00:12:38.299,00:12:39.676,Just your face.
00:12:44.431,00:12:46.307,JULIE: I forgot to tell you.
00:12:44.431,00:12:48.184,Do you know what Annabelle's doing now?
00:12:48.184,00:12:49.977,Sarah told me. A blog.
00:12:49.977,00:12:51.438,Of what?
00:12:51.438,00:12:54.274,What do you mean of what?
00:12:54.274,00:12:57.026,Of every thought that passes through her brain.
