start,end,script
00:00:52.792,00:00:54.792,"Don't worry, it's just a pack of wolves."
00:00:54.792,00:00:57.917,"Come on, we're almost rid of it."
00:01:14.834,00:01:16.583,"Caleb, it's after me!"
00:01:16.583,00:01:17.834,Grab on!
00:01:18.792,00:01:20.041,Run! Run!
00:01:20.041,00:01:22.834,"No, Benjamin!"
00:01:22.834,00:01:24.000,"Come on, help me bury it."
00:01:28.291,00:01:31.000,What if someone digs it up?
00:01:33.333,00:01:35.959,May God have mercy on his soul.
00:01:37.458,00:01:39.625,Yah!
00:02:09.750,00:02:11.917,"Hi, Alan."
00:02:11.917,00:02:14.458,"Good afternoon, Alan."
00:02:21.875,00:02:22.875,"All yours, Alan."
00:02:22.875,00:02:25.083,"Thanks, Bill."
00:02:38.041,00:02:40.000,BOY: Get him!
00:02:46.917,00:02:48.291,"Prepare to die, Parrish!"
00:02:50.834,00:02:53.834,"Hey, Parrish, what's the rush?"
00:02:59.834,00:03:02.041,BOY: He's going to his dad's factory.
00:03:03.750,00:03:07.291,BOY 2: Parrish wants his daddy now.
00:03:19.417,00:03:20.875,"Go on, Parrish!"
00:03:20.875,00:03:22.834,Run to Daddy!
00:03:22.834,00:03:24.041,We'll be waiting.
00:03:44.625,00:03:45.625,"Hi, Carl."
00:03:45.625,00:03:47.500,"Hey, Alan, my man!"
00:03:47.500,00:03:49.834,I've gotta show you something.
00:03:49.834,00:03:51.917,"Now, I've been working on this for almost a year."
00:03:51.917,00:03:57.125,And I got an appointment this afternoon with your father to show him this.
00:03:57.125,00:03:58.166,Go ahead. Take it!
00:03:59.834,00:04:02.083,"So, what do you think?"
00:04:02.083,00:04:04.208,What is it?
00:04:04.208,00:04:05.333,What is it?
00:04:05.333,00:04:07.083,"Man, this is the future!"
00:04:07.083,00:04:12.834,"If I can get Wilt Chamberlain to wear 'em, I predict there'll be a pair of those in every closet in America."
00:04:12.834,00:04:14.917,That's gonna be the height of fashion.
00:04:17.208,00:04:20.041,CARL: What's wrong?
00:04:20.041,00:04:21.542,Nothing.
00:04:21.542,00:04:22.917,MAN: Alan!
00:04:22.917,00:04:24.750,"Thanks, Bob."
00:04:24.750,00:04:26.375,What are you doing here?
00:04:26.375,00:04:28.625,I've told you. This factory isn't a playground.
00:04:28.625,00:04:29.792,It's dangerous.
00:04:29.792,00:04:31.667,"Dad, can I have a ride home?"
00:04:31.667,00:04:36.375,"Oh, Alan, is Billy Jessup picking on you again?"
00:04:37.625,00:04:40.834,"Son, you're gonna have to face him sooner or later."
00:04:40.834,00:04:42.000,Look.
00:04:42.000,00:04:45.625,"If you're afraid of something, you've got to stand and face it."
00:04:45.625,00:04:47.917,"Now, run on, son."
00:04:48.834,00:04:52.792,"Carl, you should know better than to let the boy play in here."
00:04:52.792,00:04:54.083,"Oh, sorry, sir."
00:04:54.083,00:04:56.583,"Oh, uh, what was it you wanted to show me?"
00:04:56.583,00:04:58.917,"Just a minute, sir."
00:05:06.083,00:05:07.792,What the devil--?
00:05:11.458,00:05:14.125,MAN: An extinguisher!
00:05:23.166,00:05:25.500,MR. PARRISH: Who did this?
00:05:25.500,00:05:27.125,Well?
00:05:31.125,00:05:33.000,"I did, sir."
00:05:46.333,00:05:50.375,Just because you're a Parrish doesn't mean you can hang around with my girlfriend.
00:05:50.375,00:05:52.250,We're just friends.
00:05:52.250,00:05:54.041,Not anymore.
00:05:54.041,00:05:55.208,BOY: Get him!
00:05:55.208,00:05:56.166,BOY 2: Yeah!
00:05:59.458,00:06:02.250,BOY 3: Let's go.
00:06:02.250,00:06:04.333,BOY 2: Whoo! Yeah!
00:06:07.417,00:06:09.500,Jerks!
00:08:05.333,00:08:07.792,Wow.
00:08:56.375,00:08:59.375,Neat.
00:09:05.375,00:09:06.917,WOMAN: Alan?
00:09:08.375,00:09:10.458,Are you home?
00:09:15.625,00:09:18.083,"Oh, Alan."
00:09:18.083,00:09:20.417,Not again.
00:09:22.667,00:09:26.166,"MR. PARRISH: ...hard work, determination, a cheerful outlook."
00:09:26.166,00:09:32.125,Attributes that have exemplified the Brantford spirit since our forefathers first settled this town.
00:09:32.125,00:09:40.333,"Despite the harshness of our native clime and the granite of our soil, we have-- Prospects."
00:09:40.333,00:09:42.500,I knew the whole damn thing this morning.
00:09:42.500,00:09:44.417,You'll know the whole...
00:09:44.417,00:09:45.959,"Right, let's go."
00:09:45.959,00:09:48.583,Hmm?
00:09:54.750,00:09:57.125,"Well, we're, uh..."
00:09:57.125,00:09:58.792,Okay.
00:09:58.792,00:10:03.333,"I told your father what you told me this afternoon, that it wasn't just Billy Jessup."
00:10:03.333,00:10:05.417,"Look, if I..."
00:10:03.333,00:10:08.041,"if I'd known that, Alan, I wouldn't have-- It's okay, Dad."
00:10:08.041,00:10:10.041,But I want you to know how proud I am of you.
00:10:10.041,00:10:12.667,"I mean, you faced them, even though you were outnumbered."
00:10:12.667,00:10:13.792,And...
00:10:13.792,00:10:21.458,"since you took it like a man, your mother and I have decided that you're ready to go to The Cliffside School for Boys."
00:10:21.458,00:10:23.917,There.
00:10:26.083,00:10:27.959,You don't want me living here anymore?
00:10:27.959,00:10:33.417,MRS. PARRISH: Alan-- It's always been the plan that you'd go to Cliffside when you were ready.
00:10:33.417,00:10:37.917,"I mean, Parrishes have been going to Cliffside, uh, ever since the 1700s."
00:10:37.917,00:10:39.625,Even your Uncle Skylar went there.
00:10:39.625,00:10:41.000,Look at this.
00:10:41.000,00:10:43.041,Parrish Hall?
00:10:43.041,00:10:44.834,MR. PARRISH: It's the main dormitory.
00:10:46.875,00:10:49.041,"Oh, this is great."
00:10:49.041,00:10:52.417,Kids are on my case here because I'm a Parrish.
00:10:52.417,00:10:55.917,Just wait till I'm living in a building named after me.
00:10:55.917,00:10:58.417,It was named after my father.
00:10:58.417,00:11:00.250,Good. Why don't you live in it?
00:11:00.250,00:11:02.125,I did.
00:11:02.125,00:11:04.917,I wouldn't be who I am today if it weren't for my years there.
00:11:06.291,00:11:08.667,Maybe I don't want to be who you are.
00:11:08.667,00:11:10.542,Maybe I don't even want to be a Parrish.
00:11:12.959,00:11:16.041,You won't be. Not till you start acting like one.
00:11:16.041,00:11:18.333,Sam-- Get your coat.
00:11:21.583,00:11:24.750,I guess I'm not ready for Cliffside then!
00:11:24.750,00:11:26.792,We're taking you there next Sunday!
00:11:26.792,00:11:29.417,And I don't want to hear another word about it!
00:11:29.417,00:11:32.834,You won't! I'm never talking to you again!
00:11:39.166,00:11:41.583,Sam.
00:11:41.583,00:11:42.625,Sam!
00:11:42.625,00:11:43.750,What?
00:11:43.750,00:12:13.375,Nothing. Just-- What are you doing here?
00:12:13.375,00:12:15.834,I brought your bike back.
00:12:15.834,00:12:17.500,You didn't have to.
00:12:17.500,00:12:19.875,I was going over to Billy's to get it myself.
00:12:19.875,00:12:21.834,I told Billy to stop picking on you.
00:12:21.834,00:12:23.792,You shouldn't have wasted your breath.
00:12:23.792,00:12:27.125,But we've got to talk about this some other time.
00:12:28.750,00:12:30.291,What was that?
00:12:31.834,00:12:33.500,You heard it too?
00:12:33.500,00:12:34.875,Of course I heard it.
00:12:34.875,00:12:36.834,Come on.
00:12:36.834,00:12:39.208,I found this really weird game in the factory.
00:12:39.208,00:12:41.583,A game?
00:12:57.792,00:12:59.500,Jumanji.
00:12:59.500,00:13:04.083,A game for those who seek to find a way to leave their world behind.
00:13:04.083,00:13:06.834,You roll the dice to move your token.
00:13:06.834,00:13:08.792,Doubles get another turn.
00:13:08.792,00:13:11.125,The first player to reach the end wins. Want to play?
00:13:11.125,00:13:14.917,I quit playing board games five years ago.
00:13:17.792,00:13:19.917,Sarah!
00:13:25.667,00:13:28.458,It's got to be magnetized or something.
00:13:28.458,00:13:29.792,"Alan, look."
00:13:32.333,00:13:40.291,"At night they fly, you better run, these winged things are not much fun."
00:13:46.291,00:13:47.625,What was that?
00:13:47.625,00:13:49.917,I-I don't know.
00:13:50.792,00:13:52.875,"Put it away, Alan."
00:13:59.750,00:14:00.917,"Oh, no."
00:14:00.917,00:14:03.667,The game thinks I rolled.
00:14:03.667,00:14:06.917,What do you mean the game thinks?
00:14:09.250,00:14:15.750,"ALAN: In the jungle you must wait, until the dice read five or eight."
00:14:15.750,00:14:18.709,In the jungle you must wait.
00:14:18.709,00:14:20.875,What's that mean?
00:14:24.500,00:14:27.667,Aahhh!
00:14:36.291,00:14:38.417,Sarah!
00:14:38.417,00:14:40.750,ALAN: Roll the dice!
00:14:41.834,00:14:44.125,Sarah!
00:15:19.792,00:15:23.792,WOMAN: I think a bed and breakfast is just what this town needs.
00:15:23.792,00:15:27.458,"NORA: Well, it was pretty hard to pass up, especially full of furniture."
00:15:27.458,00:15:28.875,"Oh, boy."
00:15:28.875,00:15:31.917,I keep forgetting how big this place is.
00:15:31.917,00:15:34.000,"Judy, Peter, come look at this!"
00:15:34.000,00:15:36.834,I'm gonna put a reception area right over here.
00:15:36.834,00:15:38.917,Uh-huh.
00:15:38.917,00:15:41.542,A bar over here in the parlor.
00:15:45.000,00:15:46.542,That sounds lovely.
00:15:46.542,00:15:49.875,I'm sure you and your kids are gonna be very happy here.
00:15:49.875,00:15:51.625,"Oh, well..."
00:15:51.625,00:15:54.709,"Actually, they're my late brother's."
00:15:54.709,00:15:57.834,He and his wife passed away just last winter.
00:16:00.792,00:16:03.625,Is this something or what?
00:16:04.542,00:16:06.917,It sure is.
00:16:20.750,00:16:23.917,"What do you think, young man?"
00:16:35.250,00:16:38.834,Peter hasn't spoken a word since it happened.
00:16:38.834,00:16:40.291,Oh.
00:16:40.291,00:16:41.792,"Oh, my."
00:16:41.792,00:16:44.500,I'm so sorry.
00:16:44.500,00:16:47.333,It's okay.
00:16:48.667,00:16:50.750,We barely even knew our parents.
00:16:50.750,00:16:52.083,They were always away.
00:16:52.083,00:16:55.458,"Skiing in St Moritz, gambling in Monte Carlo."
00:16:55.458,00:16:58.583,Safariing in darkest Africa.
00:16:58.583,00:17:01.291,We didn't even know if they loved us.
00:17:01.291,00:17:04.750,"But when the sheik's yacht went down, well..."
00:17:04.750,00:17:12.166,they managed to write us a really beautiful goodbye note that was found floating in a champagne bottle amongst the debris.
00:17:13.792,00:17:15.083,Excuse me.
00:17:22.291,00:17:24.291,They were very devoted parents.
00:17:24.291,00:17:26.000,It was a car crash in Canada.
00:17:26.000,00:17:27.875,So you'll send me those escrow papers?
00:17:27.875,00:17:29.000,First thing tomorrow.
00:17:30.166,00:17:32.834,WOMAN: I know you've always...
00:18:01.792,00:18:04.834,"Oh, I'll have to get a locksmith out for this one."
00:18:04.834,00:18:08.125,"Peter, pick up your toys, please."
00:18:14.875,00:18:17.875,"Peter, take this suitcase up to the attic."
00:18:17.875,00:18:20.041,Then we can all have ice cream.
00:18:20.041,00:18:22.458,And bourbon.
00:18:40.834,00:18:42.709,PETER: Arggh!
00:18:47.250,00:18:49.875,What? What is it?
00:18:51.542,00:18:52.834,I'm going to Motel 6.
00:18:52.834,00:18:55.917,"Oh, for heaven's sake."
00:19:21.000,00:19:23.000,I don't see any guano.
00:19:28.333,00:19:29.875,He said it looked like that.
00:19:29.875,00:19:32.083,MAN: That's an African bat.
00:19:32.083,00:19:34.792,Some kid said she saw a bunch of those back in the '60s.
00:19:34.792,00:19:37.959,But we don't get bats like that in New England.
00:19:37.959,00:19:39.875,But that's what he saw.
00:19:39.875,00:19:44.667,"Well, whatever it was, it's gone now."
00:19:44.667,00:19:48.834,"Bats aren't what I'd worry about in this house, anyways."
00:19:48.834,00:19:50.834,What would you worry about?
00:19:50.834,00:19:57.041,"Well, personally, I wouldn't want to live in a house where someone was murdered."
00:19:58.792,00:19:59.959,Murdered?
00:19:59.959,00:20:01.875,Little Alan Parrish.
00:20:01.875,00:20:03.417,I say his father did it.
00:20:03.417,00:20:08.542,There's a thousand and one places he could have hid the body in this house.
00:20:08.542,00:20:12.458,Especially if he chopped it up first.
00:20:12.458,00:20:14.458,"NORA: Hey, up there!"
00:20:14.458,00:20:18.083,You kids don't want to be late for your first day of school.
00:20:20.834,00:20:22.875,"Not a bat in sight, ma'am."
00:20:22.875,00:20:24.500,NORA: You hear that?
00:20:24.500,00:20:27.417,There's nothing to be afraid of in this house!
00:20:54.291,00:20:58.125,I can't believe I have to see your principal after your first day.
00:20:58.125,00:20:59.917,What am I gonna do?
00:21:01.875,00:21:06.917,"Now, let's just try to relax and finish our dinner and talk about something else."
00:21:06.917,00:21:09.375,"Well, we found out why you got this house so cheap."
00:21:09.375,00:21:13.834,"Twenty-six years ago, a kid named Alan Parrish used to live here."
00:21:13.834,00:21:20.375,"Then one day, he just disappeared 'cause his parents chopped him up in little pieces and hid him in the walls."
00:21:20.375,00:21:23.125,"Okay. That's it. I am sick and tired of your lies, young lady."
00:21:23.125,00:21:24.500,You're grounded.
00:21:27.625,00:21:31.458,Fine. There's nowhere to go in this stupid town anyway.
00:21:31.458,00:21:35.917,"But just for your information, that wasn't a lie."
00:22:12.041,00:22:14.375,Did you hear anything a little while ago?
00:22:18.625,00:22:21.250,Do you miss Mom and Dad?
00:22:22.792,00:22:24.542,No.
00:22:24.542,00:22:25.709,Liar.
00:22:25.709,00:22:29.208,"If you don't cut that out, they're gonna send you to a shrink."
00:22:29.208,00:22:33.333,Where do you think they're gonna send you if you don't start talking?
00:22:50.625,00:22:54.208,"If I get held up at the permit office, I'll give you a call."
00:22:54.208,00:22:56.083,School bus should be here any minute.
00:22:59.417,00:23:01.125,You guys still have your house keys?
00:23:02.917,00:23:04.291,Are you guys listening to me?
00:23:05.834,00:23:07.583,Hello?
00:23:07.583,00:23:09.083,Hello?
00:23:10.083,00:23:11.291,What?
00:23:13.083,00:23:15.375,Maybe I should wait with you till the bus comes.
00:23:15.375,00:23:18.291,Did your parents used to put you on the bus?
00:23:18.291,00:23:19.458,No.
00:23:20.333,00:23:22.291,No.
00:23:23.375,00:23:25.083,I could drop you off.
00:23:25.083,00:23:29.375,No. Don't worry about us.
00:23:29.375,00:23:31.166,Okay.
00:23:31.166,00:23:33.166,Please be good today.
00:23:43.083,00:23:44.208,You do hear it.
00:23:44.208,00:23:46.709,Hear what?
00:24:01.208,00:24:03.417,Where's it coming from?
00:24:34.291,00:24:35.834,Wow!
00:24:35.834,00:24:39.417,Let's bring it over here.
00:24:50.875,00:24:53.750,Weird. They're stuck.
00:24:53.750,00:24:54.875,Jumanji.
00:24:54.875,00:24:58.291,A game for those who seek to find a way to leave their world behind.
00:24:58.291,00:25:00.125,You roll the dice to move your token.
00:25:00.125,00:25:01.500,Doubles get another turn.
00:25:01.500,00:25:03.500,The first player to reach the end wins.
00:25:09.875,00:25:12.834,It's got to be microchips or something.
00:25:14.417,00:25:16.667,You go first.
00:25:17.834,00:25:20.166,Okay.
00:25:23.166,00:25:24.500,Six.
00:25:36.959,00:25:41.583,"JUDY: A tiny bite can make you itch, make you sneeze, make you twitch."
00:26:19.417,00:26:20.917,JUDY: Don't.
00:26:24.792,00:26:28.375,PETER: This will not be an easy mission.
00:26:28.375,00:26:31.333,Monkeys slow the expedition.
00:26:33.959,00:26:35.625,What is that?
00:27:17.375,00:27:19.959,I bet those monkeys came from the game.
00:27:19.959,00:27:22.375,The mosquitoes too.
00:27:23.542,00:27:25.458,Uh-oh!
00:27:25.458,00:27:27.917,I didn't see this part.
00:27:30.583,00:27:40.792,"Adventurers, beware-- JUDY: Adventurers, beware."
00:27:40.792,00:27:43.250,Do not begin unless you intend to finish.
00:27:43.250,00:27:49.500,The exciting consequences of the game will vanish only when a player has reached Jumanji and called out its name.
00:27:49.500,00:27:51.542,The monkeys are gone.
00:27:51.542,00:27:53.792,Put it away.
00:27:53.792,00:27:56.834,The instructions say if we finish the game it will all go away.
00:27:56.834,00:27:58.917,"We better do it, or Aunt Nora's gonna pitch a fit."
00:27:58.917,00:28:00.834,We should just get through it quickly.
00:28:00.834,00:28:03.834,"I mean, there's no skill involved."
00:28:05.000,00:28:06.542,No.
00:28:06.542,00:28:09.500,You rolled doubles.
00:28:09.500,00:28:11.083,Roll!
00:28:12.000,00:28:13.417,Five.
00:28:15.500,00:28:18.750,His fangs are sharp.
00:28:18.750,00:28:20.417,He likes your taste.
00:28:20.417,00:28:25.458,Your party better move posthaste.
00:28:25.458,00:28:28.000,I don't like the sound of that.
00:28:29.834,00:28:31.875,"Judy, someone's in here."
00:28:51.959,00:28:53.959,"It's not real, Peter."
00:28:53.959,00:28:56.583,It's a hallucination.
00:28:59.834,00:29:01.375,"Run, Peter!"
00:29:21.625,00:29:23.667,Hup!
00:29:29.583,00:29:30.625,Haaaa!
00:29:31.834,00:29:33.834,Ha!
00:30:03.834,00:30:05.917,Aah!
00:30:34.667,00:30:36.750,I'm back.
00:30:41.750,00:30:43.917,My bike.
00:31:29.750,00:31:33.834,Somebody roll a five or an eight?
00:31:35.333,00:31:37.125,He did.
00:31:37.125,00:31:39.166,Ha-ha!
00:31:43.417,00:31:45.500,"Oh, thank you! Thank you!"
00:31:45.500,00:31:47.291,Thank you! Thank you!
00:31:47.291,00:31:49.792,Thank you! Thank you!
00:31:49.792,00:31:52.500,Thank you.
00:31:52.500,00:31:53.959,Sorry if I scared you.
00:31:53.959,00:31:54.959,Thank you.
00:31:54.959,00:31:57.041,I'm back!
00:31:57.041,00:31:59.625,Mom! Dad!
00:32:01.125,00:32:03.834,I'm home!
00:32:03.834,00:32:06.458,I'm back!
00:32:06.458,00:32:07.834,It's me!
00:32:07.834,00:32:10.792,"It's me, Alan, Mom and Dad."
00:32:10.792,00:32:12.625,I'm home!
00:32:12.625,00:32:14.792,I'm back...
00:32:14.792,00:32:17.834,Are you my little sister?
00:32:17.834,00:32:19.083,No.
00:32:19.083,00:32:21.000,"I'm Judy, and he's Peter."
00:32:21.000,00:32:23.834,Where's Mom?
00:32:23.834,00:32:28.834,Are you...Alan Parrish?
00:32:28.834,00:32:30.458,Yeah.
00:32:30.458,00:32:31.834,Who are you?
00:32:31.834,00:32:33.834,We live here now.
00:32:33.834,00:32:36.834,Where's my mom and dad?
00:32:36.834,00:32:38.834,We don't know.
00:32:38.834,00:32:42.834,This house has been empty for years.
00:32:42.834,00:32:46.542,Everyone thought you were dead.
00:32:56.834,00:32:58.834,Sorry.
00:33:03.875,00:33:05.250,Give me that description again.
00:33:05.250,00:33:06.959,"WOMAN: I said red fur, long tail."
00:33:13.834,00:33:16.750,Oh!
00:33:16.750,00:33:19.792,"Get down off of my car, please."
00:33:19.792,00:33:22.542,And get up on the sidewalk.
00:33:23.875,00:33:25.709,What year is it?
00:33:25.709,00:33:26.834,Uh...it was brand-new.
00:33:26.834,00:33:30.875,No. What year is it?
00:33:30.875,00:33:32.542,"Uh...1995, remember?"
00:33:32.542,00:33:34.291,'95.
00:33:34.291,00:33:35.792,"Oh, let me guess."
00:33:35.792,00:33:37.792,"You left it in the other Tarzan outfit, right?"
00:33:37.792,00:33:40.834,Twenty-six years!
00:33:40.834,00:33:42.291,I was.
00:33:42.291,00:33:44.333,But I've been in Jumanji.
00:33:44.333,00:33:45.375,JUDY: Indonesia.
00:33:45.375,00:33:47.125,He was in the Peace Corps.
00:33:54.333,00:33:57.417,Carl Bentley. The Sole Man.
00:33:57.417,00:33:58.542,"JUDY: Yes, sir."
00:33:58.542,00:33:59.959,He's our...uncle.
00:33:59.959,00:34:01.834,CARL: Does he always dress like that?
00:34:01.834,00:34:04.834,"JUDY: Well, yeah. He's a vegetarian."
00:34:04.834,00:34:06.875,Get out of there!
00:34:06.875,00:34:08.792,Ah! Ah! Ahhhh! Ahhhh!
00:34:12.709,00:34:13.834,Monkeys!
00:34:13.834,00:34:15.667,Monkeys.
00:34:15.667,00:34:18.208,Is--? Is he all right upstairs?
00:34:18.208,00:34:20.875,He suffered a head injury a few months ago.
00:34:35.667,00:34:36.875,Don't you move!
00:34:36.875,00:34:39.667,Freeze! Hey! Stop!
00:34:39.667,00:34:41.667,Don't move. Don't move.
00:34:41.667,00:34:43.959,"Hey, wait a minute!"
00:34:43.959,00:34:46.917,To find my parents!
00:34:47.834,00:34:49.709,Come on!
00:35:15.834,00:35:17.792,Wait!
00:36:12.041,00:36:16.000,My dad used to make shoes here.
00:36:16.000,00:36:19.625,They were the best shoes in New England.
00:36:21.542,00:36:25.875,Hey!
00:36:29.625,00:36:30.875,S-sorry.
00:36:33.125,00:36:35.959,"MAN: Easy, girl."
00:36:39.709,00:36:42.875,Do you know what happened to this shoe factory?
00:36:42.875,00:36:45.834,Yeah. It folded up.
00:36:45.834,00:36:49.208,Like everything else in this town.
00:36:49.208,00:36:52.125,It's pretty cold out there.
00:36:52.125,00:36:55.542,Why would they close Parrish Shoes?
00:36:55.542,00:36:58.333,Well...when his kid ran away...
00:36:58.333,00:37:00.875,Sam put everything he had into trying to find him.
00:37:00.875,00:37:02.875,"His time, his money."
00:37:02.875,00:37:04.917,Everything.
00:37:04.917,00:37:07.917,"After a while, he stopped coming to work."
00:37:07.917,00:37:11.458,He just quit caring.
00:37:11.458,00:37:16.125,I don't think anybody loved his boy more than Sam did.
00:37:17.375,00:37:19.458,Here.
00:37:21.000,00:37:23.834,You're gonna freeze out there.
00:37:23.834,00:37:26.583,Thank you.
00:37:26.583,00:37:28.834,Are the Parrishes still around?
00:37:28.834,00:37:31.000,I see them now and then.
00:37:31.000,00:37:32.834,Yeah?
00:37:32.834,00:37:35.709,They're over on Adams Street.
00:37:54.208,00:37:57.041,Our parents are dead too.
00:37:58.792,00:38:11.417,They were in the Middle East negotiating peace-- Our dad was in advertising.
00:38:12.542,00:38:15.709,"Bet you miss him, huh?"
00:38:15.709,00:38:17.375,Me too.
00:38:21.583,00:38:23.917,There he goes again.
00:38:25.834,00:38:29.792,"Listen, I know you're upset and all, but I kind of feel we should finish the game."
00:38:29.792,00:38:31.792,We? Why do you need me?
00:38:31.792,00:38:34.875,Well...just in case any other scary stuff comes out.
00:38:34.875,00:38:36.709,Plus there's a lion in my aunt's bedroom.
00:38:36.709,00:38:38.000,What am I supposed to do about that?
00:38:38.000,00:38:39.792,What do I look like?
00:38:39.792,00:38:42.917,But she'll be home soon.
00:38:42.917,00:38:44.792,I hope she's not allergic to cats.
00:39:00.333,00:39:03.583,MAN: Larry! We need the wheels.
00:39:03.583,00:39:05.291,We hit her that hard?
00:39:05.291,00:39:08.834,No. It looks like another one of those weird bites.
00:39:14.166,00:39:16.375,"Yeah, it's another one, all right."
00:39:16.375,00:39:19.792,Jesus! Number 50.
00:39:19.792,00:39:21.792,Easy now. Easy!
00:39:21.792,00:39:24.000,Isn't that Mrs. Thomas?
00:39:24.000,00:39:25.083,The realtor.
00:39:25.083,00:39:27.583,Quiet. Listen.
00:39:27.583,00:39:29.417,You hear that?
00:39:29.417,00:39:31.834,Hear what?
00:39:31.834,00:39:33.917,Get in the car.
00:39:38.792,00:39:40.542,ALAN: Okay. Think.
00:39:40.542,00:39:43.250,What came out of the game before me?
00:39:43.250,00:39:46.834,"Um, there was a lion, a bunch of monkeys, and, um..."
00:39:46.834,00:39:47.834,That!
00:39:47.834,00:39:50.000,Ah!
00:39:50.000,00:39:53.250,It's okay. It's okay.
00:39:53.250,00:39:55.375,We're safe in here.
00:39:55.375,00:39:57.125,See? We're fine.
00:39:59.834,00:40:02.875,"We'll stay low. He can't get through there too far, okay?"
00:40:02.875,00:40:03.875,Don't you worry.
00:40:03.875,00:40:04.917,ALAN: We're fine.
00:40:06.083,00:40:07.542,Hey! He can't get us in here.
00:40:07.542,00:40:09.250,He can't get through the glass.
00:40:09.250,00:40:11.291,We're safe.
00:40:13.000,00:40:15.583,Either one of you know how to drive?
00:40:15.583,00:40:16.709,No?
