start,end,script
00:01:25.417,00:01:28.166,"Everybody, heads up!"
00:01:28.208,00:01:31.583,Keep it clear!
00:01:31.625,00:01:35.375,"¡Andale, si! Vamonos."
00:01:35.417,00:01:38.208,Mark it down!
00:01:42.917,00:01:45.792,"That's good, stay!"
00:01:45.834,00:01:49.125,¡No lo vayan a tirar!
00:01:49.166,00:01:50.792,"¡Traigala, traigala!"
00:01:56.792,00:01:59.083,"Okay, pushing team, move in there."
00:01:59.125,00:02:03.917,"¡Cuidado, vamos!"
00:02:03.959,00:02:06.291,Aaah!
00:02:06.333,00:02:07.542,Steady!
00:02:07.583,00:02:11.417,Move it!
00:02:11.458,00:02:12.458,And push!
00:02:20.208,00:02:23.125,We're locked.
00:02:23.166,00:02:24.583,Gatekeeper!
00:02:30.375,00:02:33.125,"Jophery, raise the gate."
00:02:45.125,00:02:46.500,Aaah!
00:02:47.542,00:02:49.917,Aaah!
00:02:49.959,00:02:52.083,Block the opening!
00:02:59.291,00:03:00.583,Aaah!
00:03:00.625,00:03:04.250,Somebody help him!
00:03:04.291,00:03:06.458,Work her back!
00:03:13.125,00:03:15.375,Don't let me go!
00:03:15.417,00:03:17.250,Help!
00:03:17.291,00:03:18.792,Shoot her!
00:03:20.500,00:03:23.166,- Shoot her!
00:03:49.041,00:03:50.709,Apuesto mil pesos que se cae.
00:03:52.959,00:03:57.000,"Hola, Juanito."
00:03:57.041,00:03:58.291,What's this I hear at the airport?
00:03:58.333,00:04:00.709,Hammond's not even here?
00:04:00.750,00:04:06.625,"We are facing a $20-million lawsuit by the family of that worker, and you're telling me that Hammond can't even be bothered to see me?"
00:04:06.667,00:04:09.500,He had to leave early to be with his daughter.
00:04:09.542,00:04:12.709,"I understand that, but we've been advised to deal with the situation now."
00:04:12.750,00:04:14.959,The insurance company-- You okay?
00:04:17.083,00:04:19.291,The underwriters feel that the accident has raised...
00:04:19.333,00:04:22.500,some very serious safety questions about the park.
00:04:22.542,00:04:25.125,"That makes the investors very, very anxious."
00:04:25.166,00:04:28.000,I had to promise to conduct a very thorough on-site inspection.
00:04:29.959,00:04:32.417,Hammond hates inspections.
00:04:32.458,00:04:35.041,"Juanito, they'll pull the funding."
00:04:35.083,00:04:37.250,That'll slow him down more.
00:04:37.291,00:04:39.542,¿Seguro?
