start,end,script
00:02:06.543,00:02:08.503,"Boys, let's do this!"
00:02:16.928,00:02:18.888,"Honey, what are you doing?"
00:02:18.972,00:02:20.723,What is this? Here. Let's go.
00:02:20.807,00:02:23.101,"Come on, honey. Your flight's in two hours."
00:02:23.184,00:02:25.854,"Dane County Airport is 36 minutes away, 60 with traffic."
00:02:26.563,00:02:30.024,How many minutes to get your little butt in the van? Hmm?
00:02:30.984,00:02:32.026,How many of those?
00:02:33.027,00:02:34.863,-Feed the monster under your bed? -Yes.
00:02:38.158,00:02:42.245,"Call me every day, and text me pics so I don't forget what you look like."
00:02:42.745,00:02:44.330,I'm only gonna be gone a week.
00:02:44.414,00:02:47.417,Zach. You're not going off to war here.
00:02:48.001,00:02:48.668,Please.
00:02:49.252,00:02:50.044,Come on.
00:02:50.420,00:02:52.964,I-- - I love you. - …will see you later.
00:02:54.507,00:02:55.925,-Bye. Okay? -Bye.
00:03:02.473,00:03:05.101,"-I know it hurts, sweetheart. -Are you gonna be okay?"
00:03:11.149,00:03:12.358,Everything right on there?
00:03:13.026,00:03:16.362,I'm so jealous. You're gonna have so much fun!
00:03:16.654,00:03:18.740,-I love you. -I love you too.
00:03:25.955,00:03:27.540,"Okay, right."
00:03:27.624,00:03:30.710,"All right, um, let's give these to your brother. Okay?"
00:03:31.461,00:03:32.503,"You hold these, please."
00:03:32.879,00:03:35.298,"Can you hold these? Honey, I need you to take care of these."
00:03:35.381,00:03:36.716,-Yeah. -Hey.
00:03:37.217,00:03:38.384,-Alright. -Listen to your mother.
00:03:41.012,00:03:43.014,I'm serious. It's the green button.
00:03:43.097,00:03:45.058,"When you see my name, push it. Okay?"
00:03:45.266,00:03:48.853,"And remember, something chases you, run."
00:03:50.355,00:03:52.565,"-Come on! Alright. -Ah, you're funny."
00:03:52.649,00:03:54.150,"-Okay, let's go. Come on. -Bye, guys."
00:03:54.442,00:03:56.027,-Bye. -I miss you already!
00:03:56.277,00:03:57.320,Yeah.
00:03:59.072,00:04:01.074,So much for our last family breakfast.
00:04:02.700,00:04:04.285,Why do you have to say things like that?
00:04:06.204,00:04:07.580,Did you call your sister?
00:04:08.748,00:04:09.958,Straight to voice mail.
00:04:10.833,00:04:14.087,"It'll be fine. She handles 20,000 people a day, right?"
00:04:14.837,00:04:16.381,She can handle two more.
00:04:22.637,00:04:25.306,-Big. -But how many pounds?
00:04:26.057,00:04:27.267,Doesn't make sense.
00:04:33.064,00:04:36.109,Now they have 14 herbivores and six carnivores.
00:04:36.192,00:04:37.777,"That's, like, 50 tons of food a week."
00:05:01.259,00:05:03.886,We hope you have a safe and enjoyable stay with us.
00:05:07.390,00:05:08.516,Where's Aunt Claire?
00:05:27.493,00:05:30.663,taking ecosystems millions of years to recover.
00:05:31.080,00:05:35.084,"Okay, those of you in the front of the train should be able to see our main gates."
00:05:35.168,00:05:40.339,Those were part of the original park over 20 years ago.
00:05:54.103,00:05:56.147,Your aunt arranged to greet you at 1:00.
00:05:56.230,00:05:58.691,-Can he slow down? -Nope.
00:05:58.775,00:06:00.359,Come on!
00:06:06.699,00:06:10.745,"Your aunt's got you VIP access, so you can get on all the rides without waiting in line."
00:06:10.828,00:06:13.289,"-Let's go! -Dude, she said we had to wait."
00:06:13.372,00:06:15.416,I don't wanna wait anymore!
00:06:44.695,00:06:46.114,"Hal Osterly, vice president."
00:06:46.197,00:06:48.032,"Jim Drucker, bad hair."
00:06:48.116,00:06:50.159,"Erica Brand, deserves better."
00:06:50.243,00:06:52.954,"Hal, Jim, Erica. Hal, Jim, Erica."
00:06:53.037,00:06:54.831,And I am Claire.
00:07:01.087,00:07:02.964,Welcome to Jurassic World.
00:07:06.926,00:07:09.595,operating costs are higher than ever.
00:07:09.679,00:07:12.849,"Our shareholders have been patient, but let's be honest."
00:07:13.182,00:07:15.977,No one's impressed by a dinosaur anymore.
00:07:16.394,00:07:19.272,"Twenty years ago, de-extinction was right up there with magic."
00:07:19.814,00:07:23.818,"These days, kids look at a stegosaurus like an elephant from the city zoo."
00:07:24.277,00:07:26.863,That doesn't mean Asset Development is falling behind.
00:07:26.946,00:07:30.575,Our DNA excavators discover new species every year.
00:07:30.658,00:07:34.287,"But consumers want them bigger, louder."
00:07:34.370,00:07:35.204,More teeth.
00:07:36.164,00:07:37.206,The good news?
00:07:37.290,00:07:40.460,Our advances in gene splicing have opened up a whole new frontier.
00:07:42.044,00:07:47.258,We've learned more from genetics in the past decade… than a century of digging up bones.
00:07:47.675,00:07:53.973,"So, when you say you want to sponsor an attraction, what do you have in mind?"
00:07:55.725,00:07:57.018,We want to be thrilled.
00:07:57.852,00:07:58.811,Don't we all?
00:08:03.107,00:08:04.066,The Indominus rex.
00:08:04.442,00:08:06.986,Our first genetically modified hybrid.
