start,end,script
00:01:31.633,00:01:37.556,"You know, I'll bet I could fry an egg on your head right now."
00:01:38.765,00:01:40.058,If I wanted to.
00:01:42.477,00:01:58.368,"You know, Kiddo… I'd like to believe you're aware enough, even now, to know that there's nothing sadistic in my actions."
00:02:00.287,00:02:04.207,"Well, maybe towards those other jokers."
00:02:06.585,00:02:07.836,But not you.
00:02:11.673,00:02:12.924,"No, Kiddo."
00:02:13.383,00:02:23.685,At this moment… this is me at my most… masochistic.
00:02:24.061,00:05:47.430,"Bill, Sarah, I cannot believe you are early."
00:06:51.119,00:06:53.747,"What you gonna do now, huh? What you got?"
00:06:54.164,00:06:56.249,I got your ass! Remember that? Huh? Remember?
00:07:05.967,00:07:07.510,"Okay. Come on, bitch."
00:07:09.429,00:07:12.182,Come on. Bring it on.
00:07:52.013,00:07:53.264,"Mommy, I'm home."
00:07:53.348,00:07:54.432,"Hey, baby."
00:07:54.766,00:07:55.892,How was school?
00:07:58.603,00:08:01.648,"Mommy, what happened to you and the TV room?"
00:08:01.731,00:08:02.983,Oh.
00:08:03.817,00:08:08.363,That good-for-nothing dog of yours got his little ass in the living room and acted a damn fool.
00:08:08.655,00:08:09.906,"That's what happened, baby."
00:08:10.365,00:08:13.827,"-Barney did this? -Baby, now, you can't come in here."
00:08:13.952,00:08:17.288,"There's broken glass everywhere, and you could cut yourself."
00:08:23.461,00:08:26.131,This is an old friend of Mommy's I ain't seen in a long time.
00:08:27.298,00:08:28.383,"Hi, honey."
00:08:30.927,00:08:32.178,What's your name?
00:08:35.890,00:08:37.142,Her name is Nikki.
00:08:38.184,00:08:39.227,Nikki.
00:08:40.645,00:08:42.731,Such a pretty name for such a pretty girl.
00:08:45.150,00:08:46.443,"How old are you, Nikki?"
00:08:54.242,00:08:55.410,I'm four.
00:08:56.411,00:08:57.746,"Four years old, eh?"
00:08:59.289,00:09:02.876,"You know, I had a little girl once."
00:09:04.502,00:09:06.004,She'd be about four now.
00:09:10.175,00:09:14.763,"Now, baby, me and Mommy's friend got some grown-up talk to talk about."
00:09:15.138,00:09:16.389,So you can go in your room now.
00:09:16.514,00:09:20.226,And I want you to leave us alone till I tell you to come out. Okay?
00:09:22.854,00:09:23.897,Nikkia!
00:09:24.397,00:09:26.566,In your room. Now.
00:09:39.788,00:09:41.039,You want some coffee?
00:09:54.260,00:09:56.471,Her husband is Dr. Lawrence Bell.
00:09:56.930,00:10:01.976,"But back when we were acquainted four years ago, her name was Vernita Green."
00:10:02.060,00:10:04.521,Her code name was Copperhead.
00:10:04.687,00:10:06.439,"Mine, Black Mamba."
00:10:06.523,00:10:07.732,Do you have a towel?
00:10:14.072,00:10:15.115,Thanks.
00:10:15.490,00:10:17.158,"You still take cream and sugar, right?"
00:10:17.534,00:10:18.535,Yeah.
00:10:21.746,00:10:24.290,"So I suppose it's a little late for an apology, huh?"
00:10:24.457,00:10:26.209,You suppose correctly.
00:10:26.751,00:10:31.631,"Look, bitch, I need to know if you're gonna start any more shit around my baby girl."
00:10:31.881,00:10:33.550,You can relax for now.
00:10:35.260,00:10:38.054,"I'm not gonna murder you in front of your child, okay?"
00:10:40.431,00:10:43.685,That's being more rational than Bill led me to believe you were capable of.
00:10:44.060,00:10:47.272,"It's mercy, compassion, and forgiveness I lack."
00:10:48.398,00:10:49.774,Not rationality.
00:10:56.739,00:10:58.032,I know I fucked you over.
00:10:58.950,00:11:02.245,"I fucked you over bad. I wish to God I hadn't, but I did."
00:11:08.293,00:11:09.544,No.
00:11:09.752,00:11:18.720,"To get even, even-steven… I would have to kill you, go up to Nikki's room, kill her."
00:11:19.637,00:11:23.600,"Then wait for your husband, the good Dr. Bell, to come home, and kill him."
00:11:24.601,00:11:26.311,"That would be even, Vernita."
00:11:26.936,00:11:28.479,That'd be about square.
00:11:29.189,00:11:32.150,"Look, if I could go back in a machine, I would."
00:11:32.442,00:11:33.568,But I can't.
00:11:35.361,00:11:37.655,All I can tell you is that I'm a different person now.
00:11:38.573,00:11:40.116,"Oh, great."
00:11:41.409,00:11:47.040,"-I don't care. -Be that as it may, I know I don't deserve your mercy or your forgiveness."
00:11:47.457,00:11:51.294,"However, I beseech you for both on behalf of my daughter."
00:11:52.170,00:11:55.006,"Bitch, you can stop right there."
00:11:56.591,00:12:04.098,Just because I have no wish to murder you before the eyes of your daughter does not mean that parading her around in front of me is gonna inspire sympathy.
00:12:05.642,00:12:08.603,You and I have unfinished business.
00:12:08.895,00:12:16.527,"And not a goddamn fucking thing you've done in the subsequent four years, including getting knocked up, is gonna change that."
00:12:17.820,00:12:19.489,So when do we do this?
00:12:20.448,00:12:21.950,It all depends.
00:12:22.533,00:12:24.661,When do you want to die?
00:12:25.203,00:12:28.248,Tomorrow? The day after tomorrow?
00:12:28.331,00:12:29.582,"How about tonight, bitch?"
00:12:29.666,00:12:31.501,Splendid. Where?
00:12:32.001,00:12:35.880,There's a baseball diamond where I coach our little league about a mile from here.
00:12:36.297,00:12:41.636,"We meet there around 2:30 in the morning, dressed all in black, your hair in a black stocking."
00:12:42.553,00:12:44.222,And we have us a knife fight.
00:12:45.348,00:12:46.808,We won't be bothered.
00:12:47.558,00:13:06.577,"Now… Bill always said you were one of the best ladies he ever saw -with an edged weapon. -Fuck you, bitch."
00:13:07.036,00:13:09.122,I know he didn't qualify that shit.
00:13:09.622,00:13:12.709,"So you can just kiss my motherfucking ass, Black Mamba."
00:13:14.294,00:13:15.586,Black Mamba.
00:13:16.296,00:13:18.423,I should have been motherfucking Black Mamba.
00:13:19.090,00:13:20.341,Weapon of choice?
00:13:20.425,00:13:22.885,"Hey, if you want to stick with your butcher knife, that's fine with me."
00:13:24.679,00:13:25.763,"Very funny, bitch."
00:14:26.532,00:14:29.077,It was not my intention to do this in front of you.
00:14:31.913,00:14:33.373,"For that, I'm sorry."
00:14:35.333,00:14:37.043,But you can take my word for it.
00:14:40.588,00:14:42.590,Your mother had it coming.
00:14:57.897,00:15:09.367,When you grow up… if you still feel raw about it… I'll be waiting.
00:15:16.958,00:15:24.549,when engaged in combat the vanquishing of thine enemy can be the warrior's only concern.
00:15:26.759,00:15:45.528,"Suppress all human emotion and compassion… kill whoever stands in thy way, even if that be Lord God, or Buddha himself."
00:15:49.949,00:15:55.705,This truth lies at the heart of the art of combat.
00:16:22.857,00:16:28.696,"This is rockabilly rhythms on KTRN, Wichita Falls. And next, we got some record."
00:16:28.988,00:16:31.782,"Very own wild man, Charlie Feathers."
00:17:07.401,00:17:12.240,"Well, give me the gory details, son number one."
00:17:12.323,00:17:14.325,"It's a goddamn massacre, Pop."
00:17:16.327,00:17:19.372,"They wiped out the whole wedding party, execution style."
00:17:22.208,00:17:23.626,Give me a figure.
00:17:23.709,00:17:25.044,Nine dead bodies.
00:17:25.753,00:17:27.713,And we're talking the whole shebang.
00:17:28.464,00:17:30.758,Bride. Groom.
00:17:31.342,00:17:32.552,Reverend.
00:17:33.219,00:17:34.428,Reverend's wife.
00:17:35.680,00:17:38.724,"Hell, they even shot that old colored fella that plays the organ."
00:17:40.017,00:17:44.146,It would appear to me somebody objected to this union and wasn't able to hold their peace.
00:17:49.485,00:17:52.405,"Good gravy, Marie."
00:17:58.786,00:18:00.663,"What'd I tell you, Pop?"
00:18:00.788,00:18:03.207,It's like a goddamn Nicaraguan death squad.
00:18:03.541,00:18:05.960,"You better shit-can that blasphemy, boy."
00:18:06.419,00:18:08.629,"-You're in a house of worship. -Sorry, Pop."
00:18:11.632,00:18:13.593,"Well, this is definitely the work of professionals."
00:18:14.385,00:18:17.847,I'd guesstimate Mexican mafia hit squad.
00:18:19.307,00:18:21.100,"Four, maybe five strong."
00:18:21.892,00:18:23.227,How can you tell?
00:18:24.020,00:18:26.355,"Well, a sure and steady hand did this."
00:18:28.274,00:18:30.151,This ain't no squirrelly amateur.
00:18:31.027,00:18:33.529,This is the work of a salty dog.
00:18:34.614,00:18:37.241,You can tell by the cleanliness of the carnage.
00:18:37.825,00:18:43.205,"Now, a kill-crazy rampage, though it may be, all the colors are kept inside the lines."
00:18:44.373,00:18:47.543,"If you was a moron, you could almost admire it."
00:18:59.930,00:19:01.182,Who's the bride?
00:19:03.684,00:19:07.396,The name on the marriage certificate is Arlene Machiavelli.
00:19:08.356,00:19:09.607,That's a fake.
00:19:10.358,00:19:13.486,We've all just been calling her The Bride on account of the dress.
00:19:16.656,00:19:21.285,Man would have to be a mad dog to shoot a goddamn good-looking gal like that in the head.
