start,end,script
00:00:50.718,00:00:54.054,Mid-Continent Airport.
00:00:54.054,00:00:56.974,"Convenient, friendly, affordable."
00:00:56.974,00:00:58.517,Fly with us.
00:01:02.688,00:01:08.027,"Please note, the Kansas Clean Air Act has designated this airport as non-smoking."
00:01:19.287,00:01:22.917,"Your attention, please."
00:01:19.287,00:01:25.126,Baggage claim is located on the east side of the terminal.
00:01:25.126,00:01:32.217,Hotel and ground transportation information boards and public telephones are located opposite the baggage carousels.
00:01:46.732,00:01:52.613,"Ladies and gentlemen, please maintain visual contact with your personal property at all times."
00:01:52.613,00:01:56.867,Please do not leave your baggage or other items unattended.
00:01:56.867,00:01:59.036,Thank you for your cooperation.
00:02:25.437,00:02:27.230,MAN: Excuse me.
00:02:27.230,00:02:29.566,"So, I'm gonna make it onto the earlier flight, right?"
00:02:29.566,00:02:31.234,Are you gonna check that?
00:02:31.234,00:02:33.862,"No, I'm gonna carry it on."
00:02:33.862,00:02:35.280,Here you are.
00:02:56.010,00:02:59.429,"God, excuse me."
00:02:59.429,00:03:01.348,"That bag is wicked heavy, anyhow."
00:03:01.348,00:03:04.559,I was looking at my phone. I hate it when people do that.
00:03:07.729,00:03:12.442,You have a little smudge.
00:03:25.372,00:03:27.248,What are these?
00:03:27.248,00:03:30.044,Those are two barrel carburetors for a Pontiac Tri-Power.
00:03:35.340,00:03:39.094,Those are exhaust tips for a '74 Z-28.
00:03:40.345,00:03:43.140,"I restore old cars, so..."
00:03:44.850,00:03:49.604,Hair-dryer.
00:03:55.694,00:03:58.864,"Oh, my God, I'm so sorry."
00:04:00.741,00:04:02.993,This is getting to be a habit.
00:04:02.993,00:04:04.494,"Yeah, it is."
00:04:06.205,00:04:08.540,Sorry about that.
00:04:08.540,00:04:10.167,Thank you.
00:04:11.919,00:04:13.378,Thank you.
00:04:13.378,00:04:14.755,Boston?
00:04:14.755,00:04:16.090,Yeah.
00:04:16.631,00:04:18.675,Gate 12.
00:04:18.675,00:04:20.761,"Enjoy your flight, Mr. Garcia."
00:04:20.761,00:04:22.096,Hi.
00:04:23.513,00:04:25.724,I'm sorry. You're not on this flight.
00:04:25.724,00:04:28.309,"Well, I just checked in for this one, like, 10 minutes ago."
00:04:28.309,00:04:29.937,That must be some sort of mistake.
00:04:29.937,00:04:32.355,"I'm sorry, the computer shows that we're booked."
00:04:32.355,00:04:33.690,"Listen, Sharry."
00:04:33.690,00:04:35.817,Tomorrow my little sister's getting married.
00:04:35.817,00:04:38.987,I practically raised her.
00:04:38.987,00:04:42.157,"JUNE: Listen, can you help me out for a second?"
00:04:42.157,00:04:46.369,"She's April, I'm June, she's counting on me to march her down the aisle tomorrow."
00:04:46.369,00:04:51.541,"That's very sweet, but the 11:50 will get you there tomorrow morning with plenty of time."
00:04:51.541,00:04:54.461,"Your boarding pass, sir?"
