start,end,script
00:00:37.955,00:00:41.583,were the stuff of legend.
00:00:41.625,00:00:47.548,He traveled the land in search of worthy foes.
00:00:57.265,00:01:02.312,I see you like to chew. Maybe you should chew on my fist!
00:01:02.354,00:01:06.400,"The warrior said nothing, for his mouth was full."
00:01:06.441,00:01:09.945,Then he swallowed.
00:01:09.987,00:01:12.155,Enough talk.
00:01:12.197,00:01:13.824,Shashabooey!
00:01:16.577,00:01:22.082,"He was so deadly, in fact, that his enemies would go blind from overexposure to pure awesomeness."
00:01:22.123,00:01:24.626,- My eyes!
00:01:24.668,00:01:27.379,- And attractive.
00:01:27.421,00:01:30.465,There is no charge for awesomeness.
00:01:30.507,00:01:33.218,- Or attractiveness.
00:01:33.260,00:01:35.054,Kablooey!
00:01:35.094,00:01:37.138,how many foes he faced.
00:01:37.180,00:01:40.517,They were no match for his bodacity!
00:01:49.359,00:01:50.778,Yah!
00:01:52.738,00:01:57.910,Never before had a panda been so feared! And so loved.
00:01:57.952,00:02:06.501,"Even the most heroic heroes in all of China, the Furious Five, bowed in respect to this great master."
00:02:06.543,00:02:09.588,- We should hang out.
00:02:12.215,00:02:14.676,would have to wait.
00:02:14.718,00:02:22.142,"Because when you're facing the 10,000 demons of Demon Mountain, there's only one thing that matters and that's..."
00:02:22.183,00:02:23.852,Po! Get up!
00:02:23.894,00:02:25.646,You'll be late for work!
00:02:25.687,00:02:27.522,What?
00:02:33.403,00:02:35.864,Po! Get up!
00:02:50.963,00:02:54.091,you doing up there?
00:02:54.133,00:02:55.759,Uh... nothing.
00:02:59.304,00:03:03.017,Monkey! Mantis!
00:03:04.351,00:03:06.478,Uh...
00:03:09.648,00:03:12.943,You're late for work.
00:03:12.985,00:03:14.486,Coming!
00:03:24.412,00:03:28.834,"- Sorry, Dad."
00:03:28.876,00:03:31.210,What were you doing up there?
00:03:31.252,00:03:33.714,Oh. Nothing.
00:03:33.755,00:03:35.090,- About what?
00:03:35.132,00:03:36.717,What were you dreaming about?
00:03:36.758,00:03:39.178,What was I...? Uh...
00:03:39.219,00:03:41.346,I was dreaming about...
00:03:41.805,00:03:42.973,...uh...
00:03:43.015,00:03:45.809,- ...noodles.
00:03:45.851,00:03:48.187,You were really dreaming about noodles?
00:03:48.228,00:03:50.939,Uh... yeah. What else would I be dreaming about?
00:03:50.981,00:03:53.525,Oh! Careful!
00:03:53.567,00:03:59.322,"Oh, happy day! My son, finally having the noodle dream!"
00:03:59.364,00:04:04.369,You don't know how long I've been waiting for this moment.
00:04:04.411,00:04:08.082,"- This is a sign, Po."
00:04:08.123,00:04:15.296,You are almost ready to be entrusted with the secret ingredient of my Secret Ingredient Soup.
00:04:15.338,00:04:20.427,And then you will fulfill your destiny and take over the restaurant!
00:04:20.468,00:04:24.181,"Just as I took it over from my father, who took it over from his father..."
00:04:24.223,00:04:26.808,...who won it from a friend in mahjong.
00:04:26.850,00:04:31.730,"- Dad, Dad, Dad, it was just a dream."
00:04:31.772,00:04:35.483,We are noodle folk.
00:04:35.525,00:04:39.487,"But, Dad, didn't you ever want to do something else?"
00:04:39.529,00:04:41.489,Something besides noodles?
00:04:41.531,00:04:48.622,"Actually, when I was young and crazy, I thought about running away and learning how to make tofu."
00:04:48.663,00:04:49.831,So why didn't you?
00:04:49.873,00:04:51.792,Because it was a stupid dream.
00:04:51.833,00:04:55.170,Can you imagine me making tofu?
00:04:58.423,00:05:01.843,No! We all have our place in this world.
00:05:01.885,00:05:04.471,"Mine is here, and yours is..."
00:05:04.512,00:05:05.847,"I know, is here."
00:05:05.889,00:05:11.103,"No, it's at tables 2, 5, 7, and 12 Service with a smile."
00:05:40.339,00:05:44.761,"Well done, students... if you were trying to disappoint me."
00:05:44.803,00:05:48.015,"Tigress, you need more ferocity!"
00:05:48.056,00:05:50.809,"Crane, height."
00:05:50.851,00:05:52.894,- Master Shifu. Aah!
00:05:52.936,00:05:55.480,It's Master Oogway.
00:06:06.283,00:06:09.828,"Master Oogway, you summoned me?"
00:06:16.043,00:06:20.421,Why must something be wrong for me to want to see my old friend?
00:06:20.463,00:06:22.674,"So, nothing's wrong?"
00:06:22.716,00:06:25.510,"Well, I didn't say that."
00:06:43.778,00:06:48.242,- You were saying?
00:06:48.283,00:06:51.203,Tai Lung will return.
00:06:55.374,00:06:58.585,That is impossible!
00:06:58.626,00:07:01.255,Nothing is impossible.
