start,end,script
00:01:08.818,00:01:10.278,Yeah.
00:02:01.996,00:02:03.039,Yah.
00:02:05.166,00:02:06.209,Yah.
00:02:48.793,00:02:50.295,Hey. How you doing?
00:02:53.256,00:02:54.924,"-Hey, Jimmy. -Leg seems better."
00:03:01.556,00:03:04.809,"Thinking I'd take him out, check the fence line after breakfast."
00:03:20.033,00:03:22.035,Yeah. You want to come dance with me?
00:03:26.122,00:03:27.498,Yeah. Yeah.
00:03:27.582,00:03:29.918,"Yeah, you like that so much, don't you?"
00:03:34.047,00:03:36.132,There's Grandma and Grandpa.
00:03:38.760,00:03:40.261,Got your nose.
00:03:49.187,00:03:50.730,Oh.
00:03:51.731,00:03:52.941,Lorna.
00:03:53.316,00:03:54.609,"Honey, it's too hot."
00:03:55.902,00:03:57.695,I know. I hadn't checked it yet.
00:03:57.779,00:04:01.407,"Here. Let… Oh, that's all right."
00:04:01.741,00:04:03.076,That's all right.
00:04:05.036,00:04:06.412,You rest.
00:04:11.751,00:04:13.002,Ah.
00:04:13.753,00:04:15.088,I see you.
00:04:15.171,00:04:16.756,I see you.
00:04:16.839,00:04:18.508,I see you.
00:04:18.591,00:04:20.176,"Hi, handsome."
00:04:26.933,00:04:28.559,Oh.
00:04:44.534,00:04:45.535,James.
00:04:58.965,00:05:00.091,George!
00:05:19.360,00:05:20.778,Where's George going?
00:05:22.155,00:05:23.614,Where's James?
00:05:33.207,00:05:34.500,James!
00:05:44.552,00:05:45.928,James!
00:05:54.645,00:05:56.064,"Oh, no."
00:06:00.193,00:06:01.778,"Oh, my God."
00:07:41.919,00:07:54.056,"I, Lorna Blackledge… take you, Donnie… take you, Donald Weboy, to be my lawfully wedded husband."
00:07:55.183,00:07:59.270,"To have and to hold, from this day forward, for better, for worse."
00:07:59.353,00:08:04.150,"To have and to hold, from this day forward, for better, for worse."
00:08:04.609,00:08:08.529,"For richer, for poorer, in sickness and in health."
00:08:09.238,00:08:12.867,"For richer, for poorer, in sickness and in health."
00:08:13.075,00:08:15.203,Until death do us part.
00:08:16.245,00:08:18.331,Until death do us part.
00:08:19.540,00:08:26.255,"By the power vested in me by the state of Montana, I now pronounce you man and wife."
00:08:26.339,00:08:27.924,You may kiss the bride.
00:08:28.466,00:08:29.967,"Thank you, sir."
00:08:30.551,00:08:32.178,Think I will.
00:08:41.604,00:08:44.232,"-Congratulations, Donald. -Thank you, sir."
00:08:46.442,00:08:47.777,You want some cake?
00:08:48.361,00:08:49.779,Mama B.
00:09:30.611,00:09:34.615,"So, uh, kitchen."
