start,end,script
00:02:58.470,00:03:04.309,"This is Dr. Miranda North, quarantine officer on board the International Space Station."
00:03:04.351,00:03:10.565,"Today the Pilgrim capsule, with its valuable Mars soil samples, completes its eight-month return from Mars."
00:03:12.109,00:03:16.905,Preparing to receive these samples has been the purpose of our mission these last few months.
00:03:18.157,00:03:21.242,But the Pilgrim capsule is damaged.
00:03:21.284,00:03:26.999,"At 0630 UTC, Pilgrim was struck by debris and veered off course."
00:03:27.041,00:03:33.296,"Rory Adams will spacewalk to establish visual contact with the incoming space capsule, and he will grab it with a remote arm."
00:03:35.090,00:03:42.556,"We've been waiting a long time for this sample, and Rory is placing himself at great risk to secure it."
00:03:42.597,00:03:43.640,Over and out.
00:03:43.682,00:03:45.893,"EMU at 4.7 psi, pure O2."
00:03:45.934,00:03:48.395,Is that how you're gonna do it?
00:03:48.436,00:03:50.271,"faster, faster, faster."
00:03:53.274,00:03:54.735,"Faster, faster, faster."
00:03:54.776,00:03:56.444,"Rory, slow to go fast."
00:03:58.279,00:03:59.447,she have against fast?
00:03:59.489,00:04:01.366,eight billion people.
00:04:01.408,00:04:02.784,"Rory, if you can't save it..."
00:04:02.826,00:04:04.995,I'm fucking saving it.
00:04:05.037,00:04:07.789,"Rory, just push the capsule into deep space, okay?"
00:04:07.831,00:04:08.832,Do you hear me?
00:04:09.833,00:04:11.668,"Sorry, CDC out of my face?"
00:04:11.710,00:04:13.837,'Cause I got a big operation.
00:04:13.879,00:04:15.296,-I can't... I can't hear you...
00:04:15.338,00:04:16.631,"-I love you, too."
00:04:16.673,00:04:18.383,"EMU at 4.7 psi, pure O2."
00:04:18.425,00:04:19.760,Where's the remote?
00:04:19.801,00:04:21.469,-Here. The arm's yours.
00:04:21.511,00:04:23.055,-Full manual.
00:04:23.097,00:04:24.806,"Sorry, you know this."
00:04:24.848,00:04:26.558,"Yeah, yeah. No more sorries."
00:04:26.600,00:04:28.894,"to the Cupola, please."
00:04:28.936,00:04:30.145,Yep.
00:04:58.423,00:05:00.508,David? Are you on your way?
00:05:00.550,00:05:02.010,On my way.
00:05:02.052,00:05:03.053,"Slow, Sho."
00:05:04.179,00:05:05.764,How do you say breathe in Japanese?
00:05:05.806,00:05:06.765,Kokyu shiro.
00:05:06.807,00:05:08.600,This was supposed to be routine.
00:05:08.642,00:05:09.851,The airlock is sealed.
00:05:09.893,00:05:11.979,I am walking.
00:05:17.525,00:05:20.403,"After striking debris, Pilgrim non-responsive."
00:05:20.445,00:05:23.073,Inbound on collision course with ISS.
00:05:23.115,00:05:26.827,Initiating emergency course correction and manual retrieval.
00:05:28.662,00:05:30.747,Transferring control to wireless.
00:05:32.124,00:05:34.209,-Initiating sequence.
00:05:35.460,00:05:37.420,about the committee.
00:05:37.462,00:05:38.630,Where's Rory?
00:05:39.547,00:05:40.966,He is at risk out there.
00:05:41.008,00:05:42.801,"Easy, folks. Mics are live."
00:05:44.094,00:05:45.512,"You ready, Sho?"
00:05:53.312,00:05:54.855,I have control of the arm.
00:06:32.226,00:06:34.728,Your worry lines are showing.
00:06:34.769,00:06:36.897,"Yeah, well, I get paid by the line."
00:06:39.524,00:06:40.817,feeling about this.
00:06:40.859,00:06:42.069,Yeah?
00:06:43.570,00:06:45.364,deliver that sample.
00:06:49.910,00:06:51.494,for course correction.
00:06:53.288,00:06:56.541,.050-niner by .076.
00:06:56.583,00:06:57.709,Remember your training.
00:06:57.751,00:06:58.960,We never trained for this.
00:06:59.002,00:07:03.298,"Five, four, three, two, one."
00:07:13.767,00:07:16.519,negative 0.50.
00:07:16.561,00:07:19.231,Proximity alert.
00:07:19.273,00:07:21.358,Ignore the proximity alert.
00:07:21.400,00:07:24.527,"New station trajectory, negative .32."
00:07:24.569,00:07:27.239,The capsule will miss us. Just.
00:07:27.281,00:07:29.324,-Rory?
00:07:31.034,00:07:33.745,And it's coming in shallow.
00:07:33.787,00:07:36.748,Any moment now.
00:07:36.790,00:07:38.292,I'm having fun.
00:07:38.333,00:07:40.710,-Are you guys having fun?
00:07:40.752,00:07:42.087,"Yeah, yeah, yeah."
00:07:42.129,00:07:43.797,If...
00:07:43.838,00:07:48.009,Just gonna skip off the atmosphere like a flat stone on water.
00:07:48.051,00:07:51.096,Just fly off into nowhere.
00:07:53.932,00:07:55.725,There.
00:07:55.767,00:07:57.685,-There.
00:07:57.727,00:07:59.146,"All right, here we go, here we go, here we go."
00:07:59.187,00:08:00.605,This is fun.
00:08:00.647,00:08:02.899,It's gonna hit you.
00:08:02.941,00:08:05.110,"-No, it's not."
00:08:07.446,00:08:09.864,Visual confirmation of Mars Capsule Pilgrim.
00:08:09.906,00:08:12.242,but only in tee-ball.
00:08:12.284,00:08:14.286,-Not now.
00:08:14.328,00:08:17.789,"Not now. No, come on, come here, come here, come on, come on, come on."
00:08:22.794,00:08:24.045,Rory?
00:08:25.297,00:08:26.298,Rory?
00:08:36.391,00:08:38.268,Cue Instagram!
00:08:38.310,00:08:39.644,I didn't want to jinx it.
00:08:40.979,00:08:42.814,"Point and shoot, motherfucker!"
00:08:57.578,00:09:00.707,in locked position.
00:09:05.128,00:09:06.421,Whoo!
00:09:06.463,00:09:07.839,I'm coming home.
00:09:10.467,00:09:13.845,This is Mission Commander Ekaterina Golovkina.
00:09:13.887,00:09:18.016,Tell the committee Pilgrim's landed on Plymouth Rock.
00:09:18.058,00:09:20.601,The Mars samples are safe and sound.
00:09:20.643,00:09:22.270,"Copy that, Commander."
00:09:22.312,00:09:23.604,Congratulations.
00:10:08.233,00:10:10.193,0640 UTC.
00:10:13.238,00:10:16.657,wasn't just seeing things in Mars' soil.
00:10:16.699,00:10:19.536,We're looking at a large single cell.
00:10:19.578,00:10:20.870,Inert.
00:10:20.912,00:10:22.705,Unmistakably biological.
00:10:22.747,00:10:28.295,"And, like organisms on Earth, has what appears to be a nucleus, cytoplasm..."
00:10:30.255,00:10:32.257,The cell wall is thick.
00:10:33.550,00:10:35.552,Those hairs look like cilia.
00:10:35.594,00:10:37.720,Longer than we're used to seeing on Earth.
00:10:37.762,00:10:39.180,More like flagella.
00:10:42.976,00:10:46.146,-What's our temperature?
00:10:46.187,00:10:47.439,Start bringing it up.
00:10:59.159,00:11:01.578,This is some Re-Animator shit.
00:11:01.620,00:11:03.622,"Oh, that's a very obscure reference."
00:11:03.663,00:11:05.957,-Not for a nerd.
00:11:09.377,00:11:10.962,Zero degrees.
00:11:14.299,00:11:16.259,Nineteen...
00:11:16.301,00:11:18.303,20 degrees Celsius.
00:11:22.307,00:11:23.350,Nothing.
00:11:27.854,00:11:29.063,Update?
00:11:32.609,00:11:34.402,I'm gonna try a different atmosphere.
00:11:35.778,00:11:38.948,Closer to Proterozoic Earth than today's Mars.
00:11:40.033,00:11:41.951,Less oxygen...
00:11:41.993,00:11:44.454,-More carbon dioxide.
00:11:44.496,00:11:49.000,"And then, when Sho's ready, a growth medium."
00:11:49.750,00:11:51.961,"In this case, glucose."
00:11:56.090,00:11:57.091,"Come on, dance."
00:12:23.451,00:12:24.703,Hugh?
00:12:37.048,00:12:39.884,It worked. You woke it.
00:12:43.346,00:12:47.892,We're looking at the first incontrovertible proof of life beyond Earth.
00:12:54.566,00:12:56.651,"Oh, it's beautiful."
00:13:12.375,00:13:15.169,question is from Allen.
00:13:15.211,00:13:18.005,"And, Allen, what is your question for Commander Golovkina?"
00:13:18.047,00:13:19.591,Is it green?
00:13:19.633,00:13:20.925,"It isn't visible at all, actually. It's microscopic."
00:13:22.176,00:13:23.970,A single cell.
00:13:24.011,00:13:27.140,"To put it into perspective, your body is made up of trillions."
00:13:27.181,00:13:30.184,There's an alien inside of me?
00:13:30.226,00:13:33.062,"Oh, I bet your teacher sometimes thinks so."
00:13:33.104,00:13:35.315,we have another question from 8-year-old Mari.
00:13:35.356,00:13:37.484,Are you bringing the alien back to Earth?
00:13:37.525,00:13:40.320,"No, we're gonna keep it up here. We're gonna study it where it's safe."
00:13:42.572,00:13:46.033,The ISS is the most expensive house ever built.
00:13:46.075,00:13:49.162,$200 billion American and counting.
00:13:49.203,00:13:51.205,Because we keep adding rooms.
00:13:51.247,00:13:55.042,It flies around Earth 16 times a day.
00:13:55.084,00:14:02.258,"In 30 years, over 100 people have lived here, thanks to generous countries like Russia, the USA, and China."
00:14:02.300,00:14:04.636,We call this Tranquility Node.
00:14:04.678,00:14:07.846,Dr. Jordan here is about to break the record for consecutive days in space.
00:14:09.140,00:14:11.850,"Four hundred and seventy-three, straight."
00:14:11.892,00:14:14.020,Your mommy must miss you.
00:14:15.438,00:14:16.648,"Ah, she does."
00:14:17.440,00:14:19.442,But I have family here.
00:14:19.484,00:14:23.112,"Yeah, the kind that teases him 'cause his mommy misses him."
00:14:23.154,00:14:24.572,one of our newest crew members.
00:14:26.574,00:14:28.159,Miranda North from the Centers for Disease Control.
00:14:28.201,00:14:29.494,"She's a doctor, too."
00:14:29.536,00:14:31.871,You guys are witnessing a space triathlon.
00:14:31.912,00:14:33.873,"Yeah, I'm winning."
00:14:33.914,00:14:36.250,We have another question from 7-year-old Leila.
00:14:36.292,00:14:39.003,We think this question is a little personal.
00:14:39.045,00:14:40.463,Go ahead.
