start,end,script
00:02:53.465,00:02:58.762,remember that winter as the coldest of our childhood.
00:02:58.804,00:03:03.350,A temporary poverty had settled upon our family some years before.
00:03:03.391,00:03:06.979,The war had made fuel and lamp oil scarce.
00:03:07.021,00:03:10.440,But necessity is indeed the mother of invention.
00:03:10.482,00:03:18.115,"Somehow in that dark time, our family, the March family, seemed to create its own light."
00:03:18.157,00:03:20.075,Marmee!
00:03:27.457,00:03:28.792,Marmee! Marmee!
00:03:28.834,00:03:30.502,Marmee! Marmee!
00:03:30.544,00:03:33.714,We waited and waited!
00:03:33.755,00:03:35.007,"Have you, my darling?"
00:03:35.049,00:03:37.258,"Expecting, featherhead."
00:03:37.300,00:03:38.760,"Oh, Marmee, you're frozen!"
00:03:38.802,00:03:42.014,"Yes, if you could see the people lined up outside of Hope House in this bitter cold."
00:03:42.056,00:03:44.058,"Mmm, your cheeks are so warm."
00:03:44.099,00:03:45.350,"Thank you, cricket."
00:03:45.392,00:03:46.852,You finished your Christmas bundles?
00:03:46.894,00:03:48.979,So many this year.
00:03:49.021,00:03:50.313,"Oh, how is your cold?"
00:03:50.355,00:03:51.398,Better.
00:03:51.439,00:03:53.274,That's good.
00:03:51.439,00:03:56.070,We were handing out food as quickly as we could make up the baskets.
00:03:56.111,00:03:58.822,"Now, Miss Amy, what is this in my pocket?"
00:03:59.280,00:04:00.615,Father!
00:04:09.416,00:04:13.045,"My dearest family, I am well and safe."
00:04:13.087,00:04:15.255,Our battalion is encamped on the Potomac.
00:04:15.296,00:04:16.339,Potomac.
00:04:16.381,00:04:18.508,Potomac.
00:04:18.550,00:04:22.637,"December makes a hard, cold season for all of us so far from home."
00:04:22.679,00:04:27.475,"I think of my girls day and night, and find my best comfort in your affection."
00:04:27.517,00:04:31.271,I pray that your own hardships will not be too great to bear.
00:04:31.312,00:04:34.691,Give them all my dear love and a kiss.
00:04:34.733,00:04:38.195,"Tell them I think of them by day, pray for them by night."
00:04:38.237,00:04:40.072,Poor father.
00:04:40.114,00:04:41.823,I'm a selfish girl.
00:04:43.784,00:04:46.245,Little ones.
00:04:46.286,00:04:49.581,Father wouldn't want us to be sad now.
00:04:51.875,00:05:13.188,"are ringing Is riv'n with angel singing To bed, Miss Amy."
00:05:13.230,00:05:14.397,Merry Christmas.
00:05:14.439,00:05:20.487,be swungen Merry Christmas.
00:05:20.528,00:05:22.239,Merry Christmas.
00:05:25.867,00:05:27.327,"Merry Christmas, love."
00:05:27.368,00:05:29.079,-Love you.
00:05:33.083,00:05:35.710,My Jo.
00:05:35.752,00:05:37.504,"Merry Christmas, Marmee."
00:05:41.675,00:05:42.634,And don't sit up too late.
00:05:44.052,00:05:44.886,I won't.
00:05:46.972,00:06:13.999,"Your evetime song, my mind would come alive with voices and stories, and friends as dear to me as any in the real world."
00:06:14.041,00:06:18.586,"I gave myself up to it, longing for transformation."
00:06:23.967,00:06:26.553,"Oh, what miraculous food!"
00:06:26.594,00:06:27.888,"Isn't this just like the old days, Hannah?"
00:06:27.929,00:06:29.056,Oh.
00:06:32.391,00:06:34.686,We shouldn't eat it.
00:06:34.728,00:06:35.812,I'm going to eat it.
00:06:35.854,00:06:38.357,Jo?
00:06:48.242,00:06:50.077,Horrible piano.
00:06:51.745,00:06:54.413,Hannah's put together an absolute Christmas miracle.
00:06:54.956,00:06:57.125,Is that sausage?
00:06:58.501,00:06:59.336,Wait!
00:07:01.963,00:07:06.134,isn't butter divinity?
00:07:06.176,00:07:08.011,"Oh, God, thank you for this breakfast."
00:07:08.053,00:07:10.264,"Jo, angel, fetch your Marmee."
00:07:10.305,00:07:13.975,She went out at the crack of dawn to see some Germans.
00:07:14.017,00:07:17.645,"Hummel, the boy said."
00:07:17.687,00:07:22.734,His da's gone.
00:07:22.776,00:07:24.736,May as well take 'em a stick of firewood.
00:07:24.778,00:07:26.071,Sure they haven't got any.
00:07:26.821,00:07:27.906,Or breakfast either.
00:07:30.158,00:07:32.411,Perhaps we could send the Hummels our bread.
00:07:36.039,00:07:38.041,Might as well send the butter too.
00:07:38.083,00:07:40.835,Butter's not much use without bread to put it on.
00:07:59.646,00:08:03.191,Don't you wish you could roll about in it like dogs?
00:08:03.233,00:08:05.152,Once one of our finest families.
00:08:12.200,00:08:14.328,for a picnic!
00:08:14.369,00:08:16.746,"Come along, Theodore."
00:08:23.128,00:08:26.340,"Jo, you should let them speak first."
00:08:26.381,00:08:28.008,What will they think of us?
00:08:28.049,00:08:29.426,"Oh, don't look back!"
00:08:29.468,00:08:38.393,Among the leaves so green So fair to be seen.
00:08:38.435,00:09:09.049,"And to you your wassail too send you a Happy New Year elves and pages, monks and flower girls All mingled gaily in the dance."
00:09:09.090,00:09:19.642,"Pauline cried out in horror as her bridegroom's mask fell, disclosing not her lover Ferdinand, but the face of his sworn enemy, Count Antonio."
00:09:21.811,00:09:25.399,'Revenge is mine!' quoth he.
00:09:29.444,00:09:32.197,Continued in the following edition.
00:09:32.239,00:09:34.408,"Excellent installment, Mr. Snodgrass."
00:09:38.661,00:09:40.705,"Oh, I love forbidden marriages!"
00:09:40.747,00:09:41.956,"You ought to publish it, Jo."
00:09:41.998,00:09:44.459,Really! Not just in The Pickwick Portfolio.
00:09:44.501,00:09:46.920,"Mr. Tupman, are you demeaning our fine newspaper?"
00:09:46.961,00:09:48.004,Mr. Winkle.
00:09:50.465,00:09:54.344,One periwink...
00:09:54.386,00:10:05.063,"One periwinkle sash belonging to Mr. N. Winkle, has been abscondated from the wash line, which gentleman, desires any reports leading to its recovery."
00:10:10.402,00:10:14.364,"Gentlemen of the press, hear, hear!"
00:10:10.402,00:10:16.699,I call to your attention our Mr. Tupman's The History of the Squash.
00:10:16.741,00:10:17.951,"Oh, don't read mine."
00:10:17.992,00:10:20.120,"Beth, this isn't a story."
00:10:20.161,00:10:22.372,"Oh, dear, I never know what to write."
00:10:22.414,00:10:26.209,"First rule of writing, Mr. Tupman, is never write what you know."
00:10:28.420,00:10:31.047,What do we think of the boy?
00:10:31.089,00:10:35.676,Is he a captive like Smee and Nicholas Nickleby?
00:10:35.718,00:10:39.389,He looks lonely.
00:10:39.431,00:10:43.684,Maybe he has a secret.
00:10:43.726,00:10:46.104,He's had no upbringing at all they say.
00:10:46.146,00:10:48.731,He was reared in Italy among artists and vagrants.
00:10:49.732,00:10:51.943,Doesn't he have a noble brow?
00:10:51.985,00:10:54.654,"If I were a boy, I'd want to look just like that."
00:10:54.695,00:10:57.824,Imagine giving up Italy to come live with that awful old man!
00:10:57.865,00:10:59.951,"Oh, Jo, please don't say awful."
00:10:59.993,00:11:01.869,I'd be terrified to live with him.
00:11:04.038,00:11:07.542,"living in such a fine house, and having nice things."
00:11:09.377,00:11:11.921,"Oh, it doesn't seem like Christmas this year without presents."
00:11:13.756,00:11:16.801,I'm desperate for drawing pencils.
00:11:16.843,00:11:22.307,"I wish I didn't have to work for Great-Aunt March, that crabby old miser."
00:11:22.349,00:11:25.726,"And you, Beth."
00:11:25.768,00:11:28.938,I'd like the war to end so Father can come home.
00:11:28.980,00:11:33.026,"Oh, sweet Beth."
00:11:34.653,00:11:36.404,They do have a beautiful piano.
00:11:36.446,00:11:40.200,Wait till I'm a writer.
00:11:40.241,00:11:43.495,"And if she doesn't, you can come over and play mine."
00:11:43.537,00:11:46.164,"When I marry, I'm going to be disgustingly rich."
00:11:46.206,00:11:50.709,"And what if the man you love is a poor man, but good like Father?"
00:11:50.751,00:11:54.797,"Well, it isn't like being stuck with the dreadful nose you get."
00:11:54.839,00:11:57.008,One does have a choice to whom one loves.
00:11:58.717,00:12:00.554,I wouldn't marry for the money.
00:12:00.595,00:12:03.890,"I mean, what if his business goes bust?"
00:12:03.931,00:12:08.228,"Besides, down at The Eagle, they pay $5 for each story they print."
00:12:08.269,00:12:11.022,"Why, I have ten stories in my head right now!"
00:12:11.064,00:12:15.402,"Gentlemen, I dislike all this money talk."
00:12:15.443,00:12:22.741,"Well, if lack of attention to personal finances is a mark of refinement, then I'd say the Marches are the most elegant family in Concord."
00:12:24.911,00:12:27.539,"We'll all grow up someday, Meg."
00:12:27.581,00:12:29.249,We might as well know what we want.
00:12:32.293,00:12:35.754,"That'll do, that'll do."
00:12:42.761,00:12:44.972,I have the most wonderful feeling about tonight.
00:12:45.014,00:12:49.143,"Meg and Jo, you have to tell me exquisitely everything about Belle Gardiner."
00:12:49.185,00:12:51.020,What her nose looks like and about her ring.
00:12:51.062,00:12:52.731,Annie Gardiner says it's an emerald.
00:12:52.813,00:12:55.609,Can you imagine?
00:12:55.650,00:13:01.030,"I'm glad I don't have to go and be with those frightening people, and try to think of things to say."
00:13:01.072,00:13:02.365,Hush now.
00:13:02.407,00:13:04.783,"Oh, mind you, Jo, don't eat much at supper."
00:13:04.825,00:13:07.412,And don't shake hands with people.
00:13:07.454,00:13:08.622,"Jo, your dress!"
00:13:08.663,00:13:09.956,"Oh, I know!"
00:13:09.997,00:13:13.167,You always stand too close to the fire.
00:13:13.209,00:13:16.045,"Oh, dear. Well, just keep your backside to the wall."
00:13:16.087,00:13:18.381,"Meg, look."
00:13:19.966,00:13:23.386,It's only for one night.
00:13:23.428,00:13:26.097,"You don't suppose anyone will notice they came out of the rag bag, do you?"
00:13:27.432,00:13:29.142,You have to have heels.
00:13:29.183,00:13:32.520,What's that strange smell?
00:13:35.440,00:13:37.024,Like burnt feathers.
00:13:44.449,00:13:46.159,You've ruined me!
00:13:46.200,00:13:50.079,I'm sorry! I'm sorry.
00:13:50.121,00:13:52.373,"-Meg, don't worry."
00:13:53.625,00:13:56.085,I can't go out like this!
00:13:56.127,00:13:58.087,Good!
00:13:58.129,00:14:00.131,"Here, we'll place my bow in front."
00:14:04.302,00:14:06.053,"It's very becoming, Meg."
00:14:06.095,00:14:09.932,I'll never have any suitors.
00:14:09.974,00:14:12.477,You don't need scores of suitors.
00:14:12.519,00:14:15.021,"You only need one, if he's the right one."
00:14:15.814,00:14:17.898,Listen to the child.
00:14:17.940,00:14:20.109,"Meg isn't going to be married right away, is she?"
00:14:21.194,00:14:22.779,"With Jo's help, I never will."
00:14:26.324,00:14:27.908,"Oh, you must be so happy."
00:14:27.950,00:14:29.744,"Oh, Belle, it's enchanting."
00:14:32.455,00:14:35.834,"Well, I best go and help mama."
00:14:48.847,00:14:50.306,I think it's Mrs. Barkley.
00:14:51.766,00:14:53.393,She's going to try it.
00:15:14.873,00:15:17.166,"Oh, yes, I would like it very much."
00:15:28.678,00:15:31.180,Jehoshaphat! I'm sorry.
00:15:31.222,00:15:34.975,"No, no, stay!"
00:15:35.017,00:15:38.479,"You see, I don't know anyone so I felt awkward standing and staring at people."
00:15:38.521,00:15:42.149,Should I put on my jacket?
00:15:42.191,00:15:44.944,"Um, um, I'm Laurie."
00:15:44.985,00:15:48.239,"Theodore Laurence, but I'm, uh, I'm called Laurie."
00:15:48.281,00:15:49.365,Jo March.
00:15:51.992,00:15:54.537,"So, who were you staring at?"
00:15:54.579,00:15:58.541,"Uh, you, actually."
00:15:58.583,00:16:00.710,"I don't know, but I think I won."
00:16:01.669,00:16:02.503,Who else?
00:16:03.421,00:16:04.589,"Well, I was..."
00:16:05.882,00:16:07.717,I was quite taken with that one.
00:16:13.306,00:16:16.434,That's Meg.
00:16:18.770,00:16:20.605,She's completely bald in front.
