start,end,script
00:00:58.958,00:01:00.916,No messing around.
00:01:01.083,00:01:03.208,"You mess those wheels up this time, Chong, I'm gonna have your ass."
00:01:03.291,00:01:04.291,Move!
00:01:04.916,00:01:07.125,"MAN 2: Right there, homes."
00:01:07.291,00:01:08.333,"MAN 1: Where's your party, boy?"
00:01:08.416,00:01:09.916,Turn down the radio.
00:01:10.083,00:01:11.416,"You inviting the cops, too, or what?"
00:01:11.541,00:01:12.625,MAN 2: I want el cromo.
00:01:14.250,00:01:17.250,"MAN 1: Gonna get some green for this shit right here, homes."
00:01:19.000,00:01:20.000,Fuck.
00:01:23.291,00:01:24.291,MAN 1: Hey.
00:01:39.375,00:01:40.416,"Uh, guys?"
00:01:41.791,00:01:44.250,Those are chrome-plated lugs.
00:01:44.416,00:01:45.416,"MAN 1: Look at this guy, eh?"
00:01:45.583,00:01:47.250,The plating flakes off.
00:01:47.416,00:01:48.500,Yeah?
00:01:48.666,00:01:50.041,This is a lease.
00:02:03.666,00:02:04.666,Shit.
00:02:09.166,00:02:10.291,"MAN 3: Come on, man."
00:02:14.416,00:02:16.208,"Uh, guys, guys."
00:02:16.333,00:02:17.500,MAN 1: What the fuck?
00:02:17.666,00:02:20.208,"Guys, seriously, you don't wanna do this."
00:02:23.833,00:02:25.208,MAN 1: Take him out.
00:02:31.833,00:02:33.000,MAN 1: Fuck him up!
00:02:41.750,00:02:43.583,No! Not the car!
00:02:47.416,00:02:48.708,MAN 1: Get that puto!
00:02:49.041,00:02:50.041,"Fuck him up, man!"
00:02:52.541,00:02:53.541,Fuck him up!
00:02:56.250,00:02:57.375,Get him!
00:02:57.541,00:02:58.875,Hit that fool!
00:03:03.875,00:03:05.000,Motherfucker!
00:03:35.458,00:03:36.583,Shit.
00:03:57.541,00:03:58.833,Fuck.
00:04:49.333,00:04:51.291,"Everyone's asleep, Burt."
00:04:51.375,00:04:53.166,Sleepwalking.
00:04:51.375,00:04:55.666,"Between the ice caps, the pornographers, poisoned water, mutants..."
00:04:56.208,00:04:57.291,it's all connected.
00:04:57.375,00:04:59.791,"BURT: Hey, Clyde. It's 2029."
00:05:00.041,00:05:02.500,Why are we still talking about mutants?
00:05:03.000,00:05:05.416,"Hey, it's me. I'm in the car."
00:05:06.416,00:05:07.750,"Yeah, it was a good trip."
00:05:08.375,00:05:10.125,Killed it up and down the fence.
00:05:10.250,00:05:12.750,USA! USA! USA!
00:05:16.166,00:05:19.833,USA! USA! USA! USA!
00:05:46.916,00:05:48.250,GABRIELA: Wolverine.
00:05:50.208,00:05:51.208,I knew it was you.
00:05:52.208,00:05:53.708,"Oh, fuck."
00:05:54.000,00:05:55.541,I'm in trouble!
