start,end,script
00:02:00.166,00:02:01.458,Wave to your father.
00:02:05.125,00:02:08.083,"Today, I will be delivered to the Archduke Ferdinand at the gala."
00:02:09.041,00:02:12.125,I expect you to behave with distinction on this hunt.
00:02:14.166,00:02:15.375,and Godspeed.
00:02:15.458,00:02:17.916,"Could they not fit you a rocking chair on that horse, grandad?"
00:02:18.458,00:02:21.958,You'll all be my gun bearers by evening. Have no doubt of that!
00:03:10.375,00:03:11.500,Ha!
00:03:20.458,00:03:22.625,"Major, there's no path there!"
00:03:39.125,00:03:40.125,Good boy.
00:04:03.291,00:04:06.916,To death... the best source to life!
00:04:14.833,00:04:16.958,"-Daddy did it! -Come here, you."
00:04:17.625,00:04:20.166,"-Daddy! -Well done, Daddy."
00:04:20.333,00:04:23.125,"Someday, you and I will go hunting together."
00:04:54.291,00:04:55.916,We're going to be late.
00:04:56.041,00:04:58.333,"Oh, God, it's this damn thing."
00:05:01.916,00:05:04.666,"You must be so pleased with yourselves. You, men."
00:05:05.666,00:05:07.708,Making us wear these awful things.
00:05:12.916,00:05:13.916,I know.
00:05:15.750,00:05:16.750,Well?
00:05:18.458,00:05:19.875,Rather lovely.
00:05:22.750,00:05:24.708,What is it? What's amiss?
00:05:29.000,00:05:39.583,"Well, my darling, I will be the only man there tonight, of my rank, -whose uniform is unadorned. -How can that matter now?"
00:05:40.416,00:05:43.875,The great Secretary Bryce will be at the gala.
00:05:44.500,00:05:46.166,"Oh, Ms. Fawcett..."
00:05:47.333,00:05:48.875,You've no medals.
00:05:49.000,00:05:54.750,"Oh, no, Mr. Bryce. You see, I've been terribly busy teaching ancient militiamen to point their rifles at tree stumps, so..."
00:05:55.166,00:05:56.166,"No, no."
00:05:56.583,00:05:58.333,"No medals for me, Sir."
00:06:02.500,00:06:03.625,Tell me...
00:06:05.583,00:06:08.083,Who's this Secretary Bryce when he's at home?
00:06:09.791,00:06:14.833,The last man here upon whom we might possibly rely for advancement.
00:06:15.666,00:06:16.666,I see.
00:06:18.958,00:06:24.875,"I'm getting older, cheeky... and very impatient of lost years."
00:06:25.708,00:06:28.791,I know the medals are ridiculous. I do.
00:06:44.875,00:06:45.875,"Honor's mine, Sir."
00:06:46.083,00:06:49.291,"Good to meet you. Meet Secretary Bryce, Secretary Bryce, Mrs. Bellamy."
00:07:16.291,00:07:18.750,May I present this magnificent animal.
00:07:20.375,00:07:23.458,"Well, I am dancing with you, so I've got the better of the bargain."
00:07:27.916,00:07:29.291,Spoken too soon.
00:07:38.250,00:07:40.250,"By the way, who got the kill?"
00:07:40.750,00:07:43.791,"Oh, that would be Major Fawcett, Mr. Secretary."
00:07:44.125,00:07:46.166,"Well, we should invite him to supper."
00:07:46.833,00:07:47.833,Oh...
00:07:48.333,00:07:55.166,"Well, may I say... he's been rather unfortunate in his choice of ancestors."
00:07:56.000,00:07:57.000,I see.
00:07:57.333,00:07:58.333,"Well, then..."
00:07:59.000,00:08:01.666,Tell me. How is Lady Bernard?
00:08:48.333,00:08:53.000,"-Sir? -You're off to London tomorrow, to the Royal Geographical Society."
00:08:53.791,00:08:55.791,"The Royal Geographical, Society?"
00:09:06.000,00:09:07.000,"Thank you, Sir."
00:09:28.125,00:09:29.125,Thank you.
00:09:45.416,00:09:47.000,"Major Fawcett, Sir."
00:09:48.708,00:09:50.750,"Oh, yes, yes. Come in."
00:09:53.041,00:09:55.833,I am Sir George Goldie. President of the RGS.
00:09:56.333,00:09:59.500,"This is Mr. John Scott Keltie, our Secretary."
00:09:59.625,00:10:01.666,"-How do you do, Major? -How do you do, Sir?"
00:10:01.958,00:10:05.791,"Our paths have not crossed during our work here several years back, did they?"
00:10:06.291,00:10:07.416,"They did not, Sir."
00:10:07.916,00:10:10.500,I was likely consumed with my studies at the time.
00:10:11.125,00:10:12.125,Of course.
00:10:21.000,00:10:24.916,"Yes, I've served in Ceylon, and in Hong Kong before that."
00:10:25.083,00:10:26.916,Most recently in Ireland.
00:10:34.291,00:10:37.708,"Major, what do you know about Bolivia?"
00:10:38.541,00:10:40.958,"-In South America, Sir? -That's right."
00:10:42.291,00:10:43.541,Only what I've read.
00:10:43.666,00:10:45.541,Hm. Then you can't know very much.
00:10:45.916,00:10:49.208,This is as good a map of Bolivia as we have.
00:10:49.333,00:10:52.666,"Most of it's blank, as you can see. Nothing's really known about it at all."
00:10:55.750,00:10:59.250,But there are rubber plantations all over Amazonia.
00:11:00.041,00:11:01.250,Very profitable.
00:11:02.833,00:11:09.083,"There is now considerable argument between Bolivia and Brazil, as to what constitutes their border."
00:11:09.208,00:11:14.708,"So fantastically high is the price of rubber, that war could arise."
00:11:15.375,00:11:16.708,Do you follow?
00:11:18.416,00:11:20.000,"-I do, Sir. -Mm-hm."
00:11:20.500,00:11:23.416,"Although, I'm not sure what this has to do with me."
00:11:26.833,00:11:34.708,"Neither country will accept mapping done by the other, so they've requested us to act as referee."
00:11:35.000,00:11:42.125,"Mm. As you've completed your mapping here with distinction, you came under our consideration."
00:11:43.000,00:11:44.541,-I see. -Mm-hm.
00:11:48.416,00:11:50.958,"-Sirs, may I speak candidly? -Please."
00:11:52.833,00:11:55.458,My survey work was long ago.
00:11:56.708,00:12:02.375,"And to be quite honest, I was rather hoping for a position -where I might see a fair bit of action. -Major."
00:12:02.958,00:12:06.041,This is far more than just survey work.
00:12:06.916,00:12:09.666,This is exploration in the jungle.
00:12:10.208,00:12:12.291,The environment's brutally difficult.
00:12:13.041,00:12:14.625,Terrible disease.
00:12:14.750,00:12:18.541,Murderous savages. The journey may well mean your life.
00:12:18.958,00:12:22.041,"At the very least, you will be gone for several years."
00:12:24.666,00:12:28.625,such an undertaking could earn you soldierly decoration.
00:12:29.541,00:12:30.791,And...
00:12:30.916,00:12:33.333,even reclaim your family name.
00:12:40.625,00:12:41.625,Did you?
00:12:43.125,00:12:44.125,Yes.
00:12:45.166,00:12:46.583,I did not.
00:12:47.625,00:12:48.791,Terrible thing...
00:12:49.083,00:12:52.250,A man's love of drink and gaming.
00:12:52.875,00:12:57.833,"But as I say, success in this venture could change your lot."
00:12:59.083,00:13:00.500,Considerably.
00:13:12.000,00:13:15.375,"-Like that. -Does it look big, like a big brain?"
00:13:15.958,00:13:17.458,It looks round.
00:13:22.000,00:13:23.333,"Jack, will you go and play?"
00:13:24.291,00:13:26.041,I want to talk to your father for a minute.
00:13:53.750,00:13:55.666,He'll not know you when you return.
00:14:02.708,00:14:04.250,I have something to tell you.
00:14:08.500,00:14:10.958,I believe I'm going to have another child.
00:14:16.875,00:14:18.791,I know I'm having another child.
00:14:24.708,00:14:25.916,Don't be sad.
00:14:27.625,00:14:29.375,I'm an independent woman.
00:14:34.833,00:14:37.791,Cheeky... Darling...
00:14:39.916,00:14:42.583,I know this is a sacrifice for all of us.
00:14:44.083,00:14:45.708,But it will be worth it.
00:17:10.791,00:17:12.083,Henry Costin.
00:17:12.916,00:17:15.125,I applied to your advert in the Times.
00:17:15.625,00:17:17.083,I'm your aide-de-camp.
00:17:17.750,00:17:20.458,"-Mr. Costin? -Reporting for duty, Sir."
00:17:21.250,00:17:25.250,We've been at sea a week. Why are you just presenting yourself now?
00:17:25.583,00:17:28.083,"I wanted to make sure you were up to the task, Sir."
00:17:30.625,00:17:33.291,"-Are you drunk, Mr. Costin? -No."
00:17:35.166,00:17:36.166,Well...
