start,end,script
00:00:28.041,00:00:36.750,"Ladies and gentlemen of the jury, it is time to rip off the blindfold and let justice see."
00:00:41.083,00:00:44.208,"Sorry, honey, you were really on a roll, but I got court in ten, so..."
00:00:45.125,00:00:46.875,I am liking that second version.
00:00:48.000,00:00:50.833,I should use the basement ladies' room more often.
00:00:51.208,00:00:52.875,It's where all the magic happens.
00:01:01.875,00:01:04.250,"A widower, starting to date again."
00:01:05.000,00:01:11.083,"Crossing items off his bucket list, like zipping around town on one of those hip electric scooters."
00:01:11.833,00:01:18.208,What was not on his list was a broken hip from being sideswiped by a city bus on Pike Street.
00:01:19.083,00:01:28.750,"The Seattle Transit Authority thwarts victims from pursuing damages by overwhelming them with confusing, endless, bureaucratic red tape."
00:01:29.250,00:01:33.708,They count on justice to turn a blind eye.
00:01:34.625,00:01:41.291,But it is time to rip off the blindfold and let justice see.
00:01:47.375,00:01:49.250,"You saved my heinie in there, kid."
00:01:49.625,00:01:51.250,I'll find a way to pay you back.
00:01:51.500,00:01:53.500,-I promise. -Don't worry about it.
00:01:54.041,00:01:55.125,Just get home safe.
00:01:55.708,00:01:57.291,All right.
00:02:01.208,00:02:03.125,"Nah, I ghosted her. She gone."
00:02:04.583,00:02:05.708,Nothing but net.
00:02:10.625,00:02:12.291,"Excuse me, you... um..."
00:03:22.125,00:03:24.541,"-Hey, sis! How'd it go? -Hey."
00:03:24.875,00:03:26.166,Score one for the good guys.
00:03:28.000,00:03:31.333,Want to come over and celebrate? Gideon's teaching Oliver to make pizza.
00:03:34.250,00:03:35.458,We might be ordering that pizza.
00:03:35.916,00:03:41.833,"Uh... you know, I would. But I'm just kinda beat, and I got a full inbox calling my name, so, rain check?"
00:03:42.291,00:03:43.333,Game night Friday.
00:03:43.708,00:03:44.916,"Yes, definitely."
00:03:45.000,00:03:47.541,Monopoly money's the only kind I'm going to be seeing this week.
00:03:49.416,00:03:50.333,-See ya. -Bye!
00:04:59.083,00:05:00.166,"and, yep, more rain."
00:05:01.875,00:05:04.625,And now it's time for the KNVB radio traffic report.
00:05:10.458,00:05:12.458,"No, Ms. Kapoor, just, just slow down."
00:05:12.625,00:05:13.875,"Okay, what's happening?"
00:05:15.958,00:05:18.750,"No, your landlord can not put a padlock on your front door."
00:05:18.833,00:05:21.416,Double espresso for Nick. Pumpkin spice latte for Susan.
00:05:21.500,00:05:23.375,"Yes. Yes, I'm sure."
00:05:24.208,00:05:26.750,"Yes. No, I don't care what the notice says."
00:05:27.416,00:05:28.250,I'm positive.
00:05:28.916,00:05:31.500,"And it's not just immoral, by the way, it's illegal."
00:05:31.750,00:05:42.208,"Yes. All right, well I'm gonna get into it with his lawyer Yes. I'm so sorry this is happening, you know, it's not-- -Oh. -I'm so sorry, I just didn't see you."
00:05:42.625,00:05:44.250,Guess they forgot to patch me in.
00:05:45.333,00:05:46.208,Uh...
00:05:46.291,00:05:47.125,Okay.
00:05:47.791,00:05:49.041,"No, I'm still here."
00:05:49.416,00:05:51.666,"Yes, I will call you as soon as I can."
00:05:57.708,00:05:58.541,What?
00:05:58.916,00:06:01.250,Pumpkin spice latte. No pumpkin in it.
00:06:01.708,00:06:03.333,-Just pumpkin flavoring. -Hmm.
00:06:03.875,00:06:10.166,"Every fall, the coffee industry acts like some bountiful pumpkin harvest just came in, so they can peddle their drinks to the masses."
00:06:10.708,00:06:11.875,You're drinking a lie.
00:06:12.833,00:06:14.458,Why are you still talking to me?
00:06:14.541,00:06:16.458,"I dunno, we're walking in the same direction?"
00:06:16.541,00:06:18.500,"Better to make conversation than have awkward silence, right?"
00:06:18.583,00:06:21.333,This is neither. This is an awkward conversation.
00:06:21.416,00:06:23.250,Well... then it's both.
00:06:32.291,00:06:36.166,-Can I help you with something? -The door? I have a 9 a.m. appointment.
00:06:37.958,00:06:40.083,-Welcome to Whitaker and Associates. -Thank you.
00:06:46.833,00:06:48.416,-Yay! -Woohoo!
00:06:51.875,00:06:53.583,Where's the water cooler going?
00:06:53.958,00:06:56.250,"The wave was part celebration, part smoke screen."
00:06:56.375,00:07:00.083,"Turns out, pro bono is Latin for tap water."
00:07:00.291,00:07:03.166,"If you're gonna work for free, I have to make budget cuts."
00:07:04.500,00:07:05.333,Bye.
00:07:08.541,00:07:09.500,Is it my birthday?
00:07:10.375,00:07:12.708,You must be Nick Evans. Nick is your 9 a.m..
00:07:13.500,00:07:14.375,This is awkward.
00:07:16.583,00:07:20.291,"So... how can I help you, Mr. Evans?"
00:07:20.375,00:07:22.083,I need a lawyer.
00:07:22.166,00:07:27.125,And you have a reputation of being one of the classiest bus bench lawyers in town.
00:07:27.208,00:07:28.916,Never done a bus bench ad.
00:07:29.000,00:07:30.375,"Oh, I'm sorry, what is it?"
