start,end,script
00:46:57.875,00:46:59.291,... you're getting chubbier every day.
00:48:26.916,00:48:29.750,"Fuck, it's cold!"
00:48:36.500,00:48:39.125,This stuff better be good.
00:48:43.208,00:48:47.541,I don't want to drown saving some shit my grandmother could have written.
00:48:49.291,00:48:52.000,What kind of an idiot doesn't make copies?
00:48:58.250,00:49:00.708,Try not to disturb the eels.
00:49:22.958,00:49:25.958,Maybe you could name one of the characters after me.
00:49:27.875,00:49:29.875,Or give me 50% of the profits.
00:49:37.291,00:49:38.958,What kind of book is it?
00:49:54.875,00:49:56.875,Thriller... crime...
00:50:02.416,00:50:03.625,Frightening?
00:50:24.916,00:50:26.916,I'd better get back to work.
00:50:29.958,00:50:31.958,And then later you'll drive me home?
00:50:45.875,00:50:49.666,"It's the saddest part of my day, leaving you."
01:01:23.708,01:01:24.708,Thank you...
01:01:32.041,01:01:34.041,I will miss you.
01:01:36.875,01:01:38.875,And your very slow typing...
01:01:40.833,01:01:42.833,and your very bad driving...
01:22:38.791,01:22:40.375,Is this the way to the train station?
01:22:48.541,01:22:51.750,"Oh my God, I've got a terrible stomach ache."
01:22:51.833,01:22:53.833,It must have been the prawns.
01:22:58.666,01:23:02.833,"My goodness, this is a very big fish!"
01:23:03.166,01:23:05.625,It tastes delicious!
01:58:20.958,01:58:21.958,Good evening.
01:58:26.416,01:58:29.666,I am here to ask your daughter...
01:58:29.750,01:58:31.708,for her hands in marriage.
01:58:32.041,01:58:34.041,You want to marry my daughter?
01:58:34.541,01:58:35.541,Yes.
01:58:36.541,01:58:37.458,Come here...
01:58:37.541,01:58:39.083,... there is a man at the door.
01:58:40.541,01:58:41.875,He wants to marry you.
01:58:42.916,01:58:44.291,But I've never seen him before.
01:58:44.458,01:58:45.541,Who cares?
01:58:45.791,01:58:47.791,You're going to sell me to a complete stranger?
01:58:48.208,01:58:49.625,Sell? Who said sell?
01:58:49.833,01:58:51.250,I'll pay him.
01:58:51.333,01:58:54.958,Pardon me. I'm meaning your other daughter... Aurelia.
01:58:55.208,01:58:59.125,She's not here. She's at work. I'll take you.
01:58:59.666,01:59:01.083,You! Stay here.
01:59:01.166,01:59:02.541,As if I would.
01:59:02.625,01:59:03.625,Stupid!
01:59:07.458,01:59:11.125,Father is about to sell Aurelia as a slave to this Englishman.
01:59:24.208,01:59:26.208,"You better not say yes, father."
01:59:26.583,01:59:29.583,"Shut up, Miss Dunkin' Donut 2003."
02:01:22.958,02:01:25.708,Apparently he is going to kill Aurelia.
02:01:25.958,02:01:27.291,Cool!
02:03:10.833,02:03:12.291,Where is Aurelia?
02:03:12.375,02:03:13.833,Why should I tell you?
02:03:13.916,02:03:15.875,The man wants to marry her.
02:03:16.375,02:03:18.791,He can't do that. She's our best waitress.
02:03:58.333,02:04:00.583,Beautiful Aurelia...
02:04:01.708,02:04:06.458,I've come here with a view to asking you...
02:04:06.541,02:04:08.541,... to marriage me.
02:04:10.416,02:04:15.416,I know I seems an insane person because I hardly knows you...
02:04:17.083,02:04:28.208,"but sometimes things are so transparency, ... they don't need evidential proof."
02:04:31.000,02:04:36.000,"And I will inhabit here, or you can inhabit with me in England."
02:04:36.500,02:04:38.500,"Definitely go for England, girl."
02:04:38.625,02:04:41.875,You'll meet Prince William! Then you can marry him instead.
02:04:43.541,02:04:54.166,"Of course I don't expecting you to be as foolish as me, and of course I prediction you say no..."
02:04:56.375,02:05:03.375,... but it's Christmas and I just wanted to... check.
02:05:08.125,02:05:11.125,"Oh God! Say yes, you skinny moron."
02:05:29.750,02:05:30.958,What did you say?
02:05:32.125,02:05:33.541,"Yes, of course."
00:01:13.407,00:01:19.079,"Whenever I get gloomy with the state of the world, I think about the arrivals gate at Heathrow Airport."
00:01:19.079,00:01:25.210,"General opinion's starting to make out that we live in a world of hatred and greed, but I don't see that."
00:01:25.210,00:01:27.838,Seems to me that love is everywhere.
00:01:27.838,00:01:32.634,"Often it's not particularly dignified or newsworthy, but it's always there."
00:01:32.634,00:01:39.266,"Fathers and sons, mothers and daughters, husbands and wives, boyfriends, girlfriends, old friends."
00:01:39.266,00:01:46.356,"When the planes hit the Twin Towers, as far as I know, none of the phone calls from the people on board were messages of hate or revenge."
00:01:46.356,00:01:48.859,They were all messages of love.
00:01:48.859,00:01:53.072,"If you look for it, I've got a sneaky feeling you'll find that love actually..."
00:01:53.072,00:01:56.157,is all around.
00:02:26.063,00:02:29.149,"- I'm afraid you did it again, Bill."
00:02:29.149,00:02:33.695,"It's just I know the old version so well, you know."
00:02:33.695,00:02:35.990,"Well, we all do."
00:02:35.990,00:02:40.201,- That's why we're making the new version.
00:02:54.675,00:02:57.427,"Oh, fuck!"
00:02:57.427,00:03:00.179,"Wank, bugger, shitting, arsehead and hole."
00:03:02.349,00:03:04.351,Start again.
00:03:50.397,00:03:54.359,"- This is shit, isn't it?"
00:03:54.359,00:03:58.279,"Yep, solid gold shit, maestro."
00:04:21.469,00:04:25.390,"God, I'm so late."
00:04:25.390,00:04:28.727,Are you sure... you don't mind me going without you?
00:04:28.727,00:04:31.188,"No, really."
00:04:31.188,00:04:33.941,I love you.
00:04:33.941,00:04:38.112,I love you even when you're sick and look disgusting.
00:04:38.112,00:04:41.865,"I know. Now go, or you will actually miss it."
00:04:41.865,00:04:43.992,Right.
00:04:46.203,00:04:48.872,- Did I mention that I love you?
00:04:48.872,00:04:51.458,"Get out, loser."
00:05:07.975,00:05:10.894,"Karen, it's me again."
00:05:10.894,00:05:15.523,"I'm sorry, I-- I literally don't have anybody else to talk to."
00:05:15.523,00:05:19.694,Absolutely.
00:05:19.694,00:05:22.864,- Of course.
00:05:19.694,00:05:25.325,- Doesn't mean I'm not terribly concerned that your wife just died.
00:05:25.325,00:05:27.452,Understood.
00:05:27.452,00:05:30.164,"Uh, bugger off and call me later."
00:05:33.625,00:05:37.629,- So what's this big news then?
00:05:37.629,00:05:39.506,And I'm the lobster.
00:05:39.506,00:05:41.758,The lobster?
00:05:41.758,00:05:43.927,In the Nativity play?
00:05:43.927,00:05:48.389,First lobster.
00:05:48.389,00:05:50.184,Duh.
00:05:55.647,00:05:58.025,Best sandwiches in Britain.
00:05:59.109,00:06:01.278,Try my lovely nuts?
00:06:03.655,00:06:06.449,Beautiful muffin for a beautiful lady.
00:06:09.828,00:06:12.122,"Morning, my future wife."
00:06:29.848,00:06:31.933,"Okay, you can stop there."
00:06:31.933,00:06:35.062,"Dave, I'm gonna need a couple of orange gels please, mate."
00:06:35.062,00:06:38.606,"By the way, he introduced me as John, but actually everyone calls me Jack."
00:06:38.606,00:06:41.360,"Oh, fine."
00:06:41.360,00:06:45.822,He got me right though.
