start,end,script
00:01:49.359,00:01:51.903,"You moved to the west side, you'd lose."
00:01:58.827,00:02:01.788,"Speaking of movements, I forgot to congratulate you on Mr. Leung's promotion."
00:02:02.372,00:02:04.499,What kind of promotion is that? He's in charge of rice.
00:02:05.416,00:02:07.418,It's hard to even get someone to buy rice from India.
00:02:07.502,00:02:10.004,That's better than being in charge of the treasury.
00:02:10.088,00:02:11.673,It's good if you listen to Mrs. Yee.
00:02:11.756,00:02:14.217,Me? I'm no savior.
00:02:14.300,00:02:16.302,Mr. Ma should have listened to me.
00:02:16.386,00:02:17.929,He became in charge of transportation.
00:02:18.012,00:02:20.473,"Now, he's often away and lets you run wild."
00:02:20.557,00:02:21.975,I've got my hands full.
00:02:22.058,00:02:25.228,His relatives kept coming to stay with us. My halls are crammed.
00:02:25.311,00:02:26.146,Mine.
00:02:26.229,00:02:29.482,"Not only do I have to find them jobs, but I even have to feed them."
00:02:29.566,00:02:32.026,I don't even get paid for doing all that.
00:02:32.110,00:02:33.069,Right.
00:02:33.695,00:02:35.488,Let's not give Mrs. Mak the wrong impression.
00:02:35.572,00:02:38.950,She'd think the Wang government's positions are appointed by us while playing mahjong.
00:02:39.868,00:02:41.202,Isn't that so?
00:02:41.870,00:02:45.832,The Japanese would never imagine that the officials are henpecked by their wives.
00:02:48.877,00:02:50.795,Eat while the food is still hot.
00:02:51.588,00:02:54.132,I really shouldn't eat. I'm so fat already.
00:02:54.632,00:02:56.426,Everybody is hoarding these days.
00:02:56.509,00:02:58.678,All we can do is hoard fat on our bodies.
00:02:59.304,00:03:01.139,"What should we hoard these days, Mrs. Yee?"
00:03:01.222,00:03:03.308,You know my husband is an importer.
00:03:03.391,00:03:04.225,Pong.
00:03:04.309,00:03:08.104,"Even though Hong Kong has fallen, ships must still come into port."
00:03:08.187,00:03:09.355,Mine.
00:03:11.482,00:03:12.358,Western medicine.
00:03:12.901,00:03:14.694,The last shipment sold out quickly.
00:03:14.777,00:03:16.321,Tell him to get more.
00:03:20.366,00:03:22.535,I heard you all went to Shuyu yesterday.
00:03:22.619,00:03:26.039,"Yes, a bunch of us. Mrs. Mak has never been there."
00:03:26.122,00:03:27.916,Everyone laughed when I told them that.
00:03:28.666,00:03:30.668,They've already opened two branches in Hong Kong.
00:03:30.752,00:03:33.546,The chefs from Sichuan and Hong Kong can't get along. It doesn't work.
00:03:34.088,00:03:36.257,"People from Hong Kong aren't used to spicy food, right?"
00:03:37.050,00:03:38.968,"It was really spicy yesterday, wasn't it?"
00:03:40.261,00:03:43.890,Very spicy. So spicy that I… Nine of Characters.
00:03:47.810,00:03:48.978,Two of Characters.
00:03:49.687,00:03:50.813,Pong.
00:03:54.734,00:03:56.027,"Mrs. Ma, you didn't go yesterday?"
00:03:56.110,00:03:58.529,RED DRAGON She hasn't been here for days.
00:03:58.613,00:03:59.572,I was tied up at home.
00:03:59.656,00:04:01.824,"You have a guest, so I didn't come for a couple of days."
00:04:01.908,00:04:04.410,"You can't get out of treating us as promised, so you went hiding."
00:04:05.370,00:04:08.122,Who was busy when I called a few days ago?
00:04:08.206,00:04:09.332,That doesn't count.
00:04:09.415,00:04:11.459,I went to pick up Mrs. Mak. You can ask her.
00:04:11.542,00:04:14.170,Mrs. Ma deliberately chose the day I had to pick you up to treat us.
00:04:14.254,00:04:15.129,She did it on purpose.
00:04:16.756,00:04:17.757,Pong.
00:04:25.098,00:04:26.849,Did you bring more stockings?
00:04:27.600,00:04:28.768,"Yes, but I gave them all away."
00:04:29.686,00:04:31.604,I'll bring more next time.
00:04:31.688,00:04:32.981,Sure.
00:04:33.064,00:04:35.066,Shanghai is short of everything these days.
00:04:35.149,00:04:36.901,Even toothpaste and soap are being sold illegally.
00:04:37.527,00:04:38.778,You should come more often.
00:04:38.861,00:04:40.989,You have a place to stay now.
00:04:56.796,00:04:57.922,He won't last much longer.
00:04:58.006,00:04:59.590,The Kenpeitai will surely take him.
00:05:00.591,00:05:02.468,They didn't say dead or alive.
00:05:02.552,00:05:03.803,Let him die a quick death.
00:05:04.846,00:05:06.931,What will you tell Mr. Miura?
00:05:07.015,00:05:09.600,They're investigating the arms the Americans provided to Chongqing.
00:05:10.518,00:05:12.186,I'll see him tonight.
00:05:12.270,00:05:14.564,His secretary called to cancel tonight's dinner.
00:05:15.064,00:05:17.734,He wants you to report to the Kenpeitai Headquarters tomorrow morning.
00:05:31.789,00:05:33.541,Won't you be returning to the office today?
00:05:33.624,00:05:34.959,I have another appointment.
00:05:35.835,00:05:36.961,Sir.
00:05:46.137,00:06:26.260,THE WORLD IS SHARED BY ALL She wanted a companion.
00:06:26.344,00:06:28.137,She bought it from Hong Kong.
00:06:28.221,00:06:31.557,She said it's my translation fee.
00:06:31.641,00:06:33.059,I was incredible.
00:06:34.227,00:06:36.896,My relative bought a diamond from a Russian.
00:06:36.979,00:06:38.981,A yellow one from an aristocrat.
00:06:39.565,00:06:41.734,The Russian aristocrats are begging on the streets.
00:06:41.818,00:06:43.194,Watch out for fakes.
00:06:43.277,00:06:45.029,I see you ladies started early today.
00:06:45.571,00:06:47.824,-Yes. -You're in luck today.
00:06:48.616,00:06:50.243,You've got Mr. Yee here rooting for you.
00:06:53.663,00:06:54.831,My turn?
00:06:56.124,00:06:57.041,Three of Characters.
00:06:57.125,00:06:58.459,Yours is nice.
00:06:59.043,00:07:02.088,How many carats is it? Three?
00:07:02.171,00:07:03.381,Is this nice?
00:07:03.464,00:07:05.925,But I think it's out of fashion.
00:07:06.008,00:07:07.718,I was planning to get it redesigned.
00:07:08.261,00:07:09.804,Pinfen came a few days ago.
00:07:09.887,00:07:11.222,She showed me a five-carat one.
00:07:11.806,00:07:14.142,"It was big, but not as bright as yours."
00:07:14.225,00:07:15.685,Pong.
00:07:15.768,00:07:17.228,Why didn't you call me?
00:07:17.311,00:07:19.188,I only had time for a quick look myself.
00:07:19.730,00:07:20.940,Pong.
00:07:21.023,00:07:23.151,Pinfen has things that others don't.
00:07:24.485,00:07:26.904,"She once had a premier diamond, but you wouldn't buy it for me."
00:07:27.905,00:07:29.449,Do you know how much that's worth now?
00:07:29.949,00:07:32.326,That premier diamond was over ten carats.
00:07:32.410,00:07:33.619,It's not a pigeon egg.
00:07:34.120,00:07:35.705,It's a stone after all.
00:07:35.788,00:07:37.915,"With that on your finger, you couldn't play mahjong."
00:07:40.209,00:07:42.336,You wouldn't buy it and you still give me an earful.
00:07:42.962,00:07:44.422,I win.
00:07:45.006,00:07:46.799,"Five sets, white dragon."
00:07:46.883,00:07:47.842,I'm one tile away.
00:07:47.925,00:07:50.261,"Mr. Yee, this is your fault for saying that about diamonds."
00:07:50.344,00:07:52.305,"-He's here to spoil our game. -Thank you, Mr. Yee."
00:07:52.388,00:07:54.307,This won't do. Mr. Yee better treat us to dinner.
00:07:54.390,00:07:56.392,No problem. Where would you like to go?
00:07:57.185,00:07:58.895,Shuyu.
00:07:58.978,00:08:00.813,"-You eat spicy food, right? -Let's not go there."
00:08:00.897,00:08:01.814,It's expensive.
00:08:06.986,00:08:08.738,"Gosh, look at me."
00:08:08.821,00:08:10.740,I'm supposed to meet someone at 3 p.m.
00:08:10.823,00:08:12.492,I completely forgot.
00:08:13.618,00:08:17.497,"This won't do, how can you do this? Why didn't you say so before?"
00:08:17.580,00:08:18.539,You're wicked.
00:08:19.081,00:08:20.541,I need to talk to that person.
00:08:21.125,00:08:22.251,I forgot. What should I do?
00:08:22.335,00:08:24.921,"Mr. Yee, please take my place first."
00:08:25.671,00:08:27.131,I'll be right back.
00:08:27.215,00:08:30.176,My luck just improved. Goodness.
00:08:30.259,00:08:33.012,Not today. I'm busy. I'll play with you all night next time.
00:08:33.095,00:08:34.931,"Mrs. Mak, you're so bad."
00:08:35.765,00:08:37.433,It's Mak's money.
00:08:37.517,00:08:40.645,"After all these years, we're finally getting part of it back."
00:08:41.354,00:08:43.105,Let's invite Mrs. Liao.
00:08:43.773,00:08:46.776,Mrs. Chen! Get Mrs. Liao on the phone.
00:08:46.859,00:08:48.819,-You're buying tonight. -Right.
00:09:18.724,00:09:21.978,"Mrs. Mak, Mrs. Yee said you can use her car."
00:09:22.061,00:09:23.271,It's waiting right outside.
00:09:24.480,00:09:25.982,How can I do that?
00:09:26.065,00:09:31.529,Isn't Mrs. Yee going to… All right then. Thank you.
00:09:31.612,00:09:32.697,I'll be right down.
00:09:57.388,00:09:59.932,There are so few cars here compared to Hong Kong.
00:10:00.016,00:10:01.475,Gas is expensive.
00:10:01.559,00:10:03.352,Even those who have cars don't drive anymore.
00:10:05.771,00:10:08.024,"Mrs. Mak, your Shanghainese is quite good."
00:10:09.775,00:10:11.485,My mom's from Shanghai.
00:10:11.569,00:10:15.072,We moved to Hong Kong when the war started.
00:10:15.573,00:10:16.532,Is that right?
00:10:24.457,00:10:25.416,Kneel!
00:10:27.960,00:10:29.754,Kneel!
00:10:30.963,00:10:33.549,-I told you to kneel! -Kneel!
00:10:35.468,00:10:36.510,Kneel!
00:10:43.184,00:10:46.854,These foreigners are only allowed to withdraw 20 yuan a day.
00:10:46.937,00:10:48.606,"So they settle for dry, hard bread."
00:11:06.582,00:11:07.625,Shall I come back for you?
00:11:07.708,00:11:09.001,"Don't bother, I'll get a cab."
00:12:49.727,00:12:51.312,That's odd. Did I dial the wrong number?
00:13:05.326,00:13:06.327,Hello?
00:13:06.827,00:13:08.829,"Hello? My second brother, it's me."
00:13:09.413,00:13:10.456,Yes.
00:13:14.001,00:13:16.170,I'm calling from Kiessling's Cafe.
00:13:16.253,00:13:17.838,Is everything okay at home?
00:13:18.672,00:13:19.798,Yes.
00:13:20.382,00:13:21.675,I'm doing good.
00:13:21.759,00:13:23.928,Just too busy to call home.
00:13:27.181,00:13:28.682,I'm planning to go shopping today.
00:13:28.766,00:13:30.643,I have an appointment. I'm going now.
00:13:31.352,00:13:32.394,Okay.
00:13:37.900,00:13:39.527,That's all.
00:13:41.195,00:13:42.780,All right. We're fine here.
00:13:43.531,00:13:45.658,I'll get going. Bye.
00:13:51.247,00:13:52.414,Make a move.
00:15:18.125,00:15:20.461,"After you defeat the Japanese, we'll marry you!"
00:15:23.005,00:15:24.590,I wasn't referring to myself.
00:15:24.673,00:15:27.468,"With all the men off to war, who'll be left for us to marry?"
00:15:27.551,00:15:30.471,Why do you say that? Go marry him then.
00:15:43.233,00:15:45.819,I heard the Japanese took over Guangzhou.
00:15:46.737,00:15:49.031,Do you think we'll be safer in Hong Kong?
00:15:49.657,00:15:52.368,I didn't expect us to rely on the British for protection.
00:15:53.410,00:15:54.912,Isn't your dad in England?
00:15:54.995,00:15:56.288,Why didn't he take you with him?
00:15:58.415,00:15:59.875,He took my little brother.
00:16:00.751,00:16:03.462,"After my mom died, he said he'd bring me there."
00:16:03.545,00:16:05.089,But the war broke out later on.
00:16:07.466,00:16:09.176,I'll never go back home.
00:16:09.259,00:16:11.845,War gave me the chance to go to Hong Kong.
00:16:11.929,00:16:14.181,"From there, I'll go overseas and see the world."
00:16:32.116,00:16:34.118,I'll meet you this evening by the pond.
00:16:34.201,00:16:35.536,Let's go home together.
00:16:35.619,00:16:36.954,Okay.
00:16:37.037,00:16:38.080,Lai Shujin!
00:16:43.585,00:16:44.753,I was hoping to run into you.
00:16:44.837,00:16:47.589,"Kuang Yumin, not bad. You remember me."
00:16:47.673,00:16:51.427,I do. I saw you perform for the Women's Drama Club at Lingnan University.
00:16:51.510,00:16:52.970,We started a new drama club.
00:16:53.053,00:16:55.264,We're holding the auditions tomorrow afternoon.
00:16:56.140,00:16:59.727,But the Women's Drama Club has never acted with men.
00:16:59.810,00:17:02.062,We just borrow classrooms here at the Hong Kong University.
00:17:02.146,00:17:04.231,There are very few of us. We must work together.
00:17:05.899,00:17:07.901,Then let's perform lbsen's A Doll's House.
00:17:07.985,00:17:09.820,I know Nora's lines inside out.
00:17:09.903,00:17:14.199,"In times like these, who would be in the mood for that kind of bourgeois drama?"
00:17:14.283,00:17:17.536,We're planning to do a patriotic play to raise money for the resistance.
00:17:18.495,00:17:20.122,You can audition too.
00:17:22.708,00:17:25.294,But I'm only a freshman. I've never acted before.
00:17:25.377,00:17:26.420,So what?
00:17:26.503,00:17:29.048,We must all pitch in for the resistance.
00:17:29.131,00:17:34.219,Our soldiers are fighting for their lives at the frontlines while people in Hong Kong continue their leisure life.
00:17:34.303,00:17:36.638,We have to wake them up with our drums and gongs.
00:17:40.976,00:17:43.187,What a typical director. He never listens to anyone else.
00:17:44.480,00:17:45.773,But he mentioned the resistance.
00:17:45.856,00:17:47.066,Women should help too.
00:17:49.026,00:17:53.989,But when I think about letting him have his way… He seems very passionate.
00:17:56.241,00:18:01.121,"His brother died from the war shortly after graduating from military school, so his parents forbade him from joining the army."
00:18:01.705,00:18:02.998,That's why he's so worked up.
00:18:06.085,00:18:07.795,I don't want him to join either.
00:18:11.173,00:18:15.219,"I go back to the land that nurtured me, -my soul will soon return. -A bit to the left."
00:18:16.136,00:18:18.347,-A little bit more. -Is this okay?
00:18:18.430,00:18:20.474,Good. That's it.
00:18:21.517,00:18:23.268,-One more time. -Try it.
00:18:40.202,00:18:58.095,WITH MS. LINDA… What's the matter?
00:18:59.763,00:19:01.056,My dad remarried.
00:19:01.849,00:19:04.059,I'm writing him a congratulatory letter.
00:20:01.074,00:20:03.410,Your stage fright will be gone after we get started.
00:20:51.208,00:20:52.209,Mrs. Zhao!
00:20:55.671,00:20:57.881,They found this soldier behind the hills.
00:20:57.965,00:20:59.967,"Xiaohong, is your brother home?"
00:21:01.051,00:21:02.761,-Come inside. -Be careful.
00:21:02.844,00:21:04.554,-My son! -Be careful.
00:21:04.638,00:21:06.306,Go boil some water!
00:21:06.390,00:21:09.559,-Be careful. -How did you get hurt this way? Gosh!
00:21:09.643,00:21:12.145,"He's a soldier, not your son!"
00:21:15.565,00:21:17.901,My son is coming home tonight.
