start,end,script
00:00:36.912,00:00:39.373,"YO, LET'S GO."
00:01:17.786,00:01:19.705,"WE HAVE GOT TO GET A RETAIL SPACE, MAN."
00:01:19.747,00:01:23.208,I'M SO OVER THESE CONTRACTORS NICKEL AND DIMING OUR MARGINS ALL DAY.
00:01:23.250,00:01:25.210,YEAH.
00:01:25.252,00:01:26.879,WATCH THE MIRROR.
00:01:33.427,00:01:35.679,THAT'S IT.
00:01:35.721,00:01:37.347,"COME ON, MAN."
00:01:44.897,00:01:46.648,"HEY, PAL, IT'S TARZAN."
00:01:46.690,00:01:50.360,FOUND YOUR NUMBER ON GOOGLE.
00:01:50.402,00:01:57.158,"LOOK, I KNOW IT'S BEEN A WHILE, BUT SINCE WE'RE COMING UP THROUGH TAMPA, I FIGURED YOU'D WANT TO KNOW."
00:01:57.200,00:02:00.537,I GOT SOME REAL BAD NEWS ABOUT DALLAS.
00:02:00.579,00:02:02.539,"HE'S GONE, BRO."
00:02:34.655,00:02:35.864,CAN I HELP YOU?
00:02:35.906,00:02:38.993,HI.
00:02:39.034,00:02:40.661,THERE'S NO WAKE HERE.
00:02:40.702,00:02:45.373,Ozzy Osbourne: OKAY. SORRY.
00:03:02.181,00:03:04.685,"COME ON, BABY!"
00:03:04.726,00:03:06.145,WHOO!
00:03:13.652,00:03:17.072,HOLY SHIT. WHAT THE FUCK ARE YOU DOING HERE?
00:03:17.114,00:03:19.033,YOUR TOWEL. YOUR TOWEL.
00:03:19.074,00:03:20.492,OH.
00:03:21.785,00:03:23.662,"HEY, FELLAS!"
00:03:23.704,00:03:24.788,NO!
00:03:33.463,00:03:35.632,Richie: NICE ENTRANCE.
00:03:35.674,00:03:38.218,"Tobias: HEY, WHAT'S WITH THIS FUCKING SUIT, BRO?"
00:03:38.259,00:03:39.302,"WELL, I DON'T KNOW."
00:03:39.344,00:03:40.888,SOMEBODY TOLD ME THIS WAS A WAKE.
00:03:40.929,00:03:42.056,A WAKE?
00:03:42.097,00:03:44.683,YEAH. DALLAS.
00:03:44.725,00:03:46.894,YOU TOLD HIM HE WAS DEAD?
00:03:50.105,00:04:01.282,"WE WERE GONNA INVITE YOU, BUT WE GOT -- BUT WE HAD A FUCKING COUPLE OF DRINKS, AND WE WERE LIKE, HE'S GOT THE GIRL AND THE JOB, AND HE'S NOT GONNA COME UNLESS WE REALLY GET HIS ATTENTION."
00:04:01.324,00:04:04.203,"OKAY, IF HE'S NOT DEAD, THEN WHERE IS HE?"
00:04:04.244,00:04:07.831,"HE FUCKING BAILED ON US, MAN."
00:04:07.873,00:04:09.833,STARTED A NEW SHOW OVERSEAS.
00:04:11.126,00:04:12.711,WOW.
00:04:12.753,00:04:14.588,MACAW.
00:04:14.629,00:04:15.714,MACAU.
00:04:15.756,00:04:17.465,FUCKING CHINA.
