start,end,script
00:01:26.832,00:01:28.500,Even if you fail.
00:01:33.881,00:01:35.799,Sam Carmichael.
00:01:36.508,00:01:38.010,Bill Anderson.
00:01:41.346,00:01:42.598,Harry Bright.
00:01:54.994,00:01:56.495,"Gentlemen, I have to go."
00:01:56.579,00:01:59.071,Thank you very much. You take care.
00:02:06.013,00:02:07.037,"Morning, Rodney."
00:02:26.365,00:02:27.366,Taxi!
00:02:29.493,00:02:31.411,"JFK, please, as quick as you can."
00:02:54.042,00:02:58.224,"Oh, my God! Oh, my God!"
00:03:10.266,00:03:11.266,-I'm tough. -I'm tall.
00:03:16.121,00:03:17.955,Sophie!
00:03:18.039,00:03:21.517,"-It's beautiful. I want one. -He did well, didn't he?"
00:03:21.642,00:03:23.478,I'm getting married tomorrow!
00:03:23.936,00:03:29.358,I'm so glad you're here because I have a secret and I can't tell anybody else.
00:03:29.817,00:03:33.738,-Sophie! You're knocked up? -No! No! No!
00:03:34.280,00:03:36.949,"Um, I've invited my dad to my wedding."
00:03:37.116,00:03:40.411,-You are joking! -You found him at last?
00:03:40.620,00:03:42.538,"No! No, no, no, no, no, not exactly."
00:03:45.333,00:03:49.962,Okay. You know what my mom always said when I asked about my father.
00:03:50.463,00:03:58.596,"It was a summer romance, and he'd gone long before she realized that she was expecting me. And I'd always kind of accepted that that's all I'd ever know."
00:03:59.113,00:04:03.326,"Well, I was ransacking some old trunks and I found this."
00:04:04.887,00:04:07.771,It's the diary she kept the year she was pregnant with me.
00:04:07.855,00:04:09.440,"Oh, Sophie!"
00:04:10.149,00:04:12.902,July 17th.
00:04:13.194,00:04:15.821,-What a night! -I don't know if I want to hear this.
00:04:15.905,00:04:16.947,I do.
00:04:17.031,00:04:19.283,Sam rowed me over to the little island.
00:04:19.367,00:04:21.202,That's here. That's Kalokairi.
00:04:22.078,00:04:28.126,"We danced on the beach, and we kissed on the beach, and dot, dot, dot."
00:04:28.417,00:04:30.085,"-What? -Dot, dot, dot."
00:04:30.169,00:04:32.213,That's what they did in the olden days.
00:04:32.421,00:04:34.215,-Oh! -Stop it.
00:04:35.341,00:04:38.136,Sam's the one. I know he is.
00:04:38.302,00:04:40.638,I've never felt like this before.
00:05:39.447,00:05:41.616,"So this guy, Sam, is your father."
00:05:41.782,00:05:43.367,The plot thickens.
00:05:43.576,00:05:46.495,"All this time, Sam has been telling me he loves me."
00:05:47.205,00:05:53.377,"And now he's announced that he's engaged, so he's gone home to get married and I'm never going to see him again."
00:05:53.502,00:05:54.753,Poor Donna.
00:05:54.837,00:05:57.131,August 4th. What a night.
00:05:58.758,00:06:03.512,Bill rented a motorboat and I took him over to the little island.
00:06:03.596,00:06:05.973,"-Bill? Sophie, wait! -Hang on!"
00:06:06.766,00:06:12.896,"Though I'm still obsessed with Sam, Bill's so wild. He's such a funny guy."
00:06:12.980,00:06:16.651,"One thing led to another, and, dot, dot, dot!"
00:06:16.859,00:06:22.823,"August 11th. Harry turned up out of the blue, so I said I'd show him the island."
00:06:22.990,00:06:26.118,"He's so sweet and understanding, I couldn't help it. And..."
00:06:31.457,00:06:32.875,-Donna! -Donna!
00:06:33.626,00:06:36.295,Look at you. Oh...
00:06:36.827,00:06:39.173,God. Stop growing!
00:06:40.840,00:06:42.426,You sound like you're having fun already.
00:06:42.510,00:06:43.719,"Oh, we are."
00:07:16.544,00:07:18.379,-Whoa! -Come back!
00:07:20.172,00:07:23.634,-Bugger. -My sentiments exactly.
00:07:28.764,00:07:31.141,"So who is your dad? Sam, Bill or Harry?"
00:07:31.225,00:07:33.728,-I don't know. -But which one did you invite?
00:07:40.026,00:07:41.360,Do they know?
00:07:41.444,00:07:43.111,What would you write to a total stranger?
00:07:43.195,00:07:45.864,"Please come to my wedding, you might be my father? No."
00:07:45.948,00:07:51.787,"They think that Mom sent the invites, and with what's in here, no surprise, they said yes!"
00:08:26.197,00:08:29.408,I'm trying to get to Kalokairi. When's the next ferry?
00:08:32.578,00:08:34.413,-What? -Monday.
00:08:35.122,00:08:38.125,"-Bollocks. -Yeah, my sentiments exactly."
00:08:40.920,00:08:43.631,-Bride or groom? -Bride.
00:08:44.048,00:08:45.966,Although I've actually never met her.
00:08:54.058,00:08:56.685,"Oh! Excuse me, coming through!"
00:08:56.769,00:08:59.814,I have a senior citizen with me. Thank you.
00:09:00.439,00:09:05.110,-My mother needs a perch. -Mother? We're the same age.
00:09:05.194,00:09:08.239,"Yeah. Well, parts of us are."
00:09:10.658,00:09:12.201,Ooh. Sailor.
00:09:13.953,00:09:15.537,"Um, no."
00:09:24.672,00:09:28.217,"-Oh, he has your book. -Oh."
00:09:30.386,00:09:33.556,"-Stavros, Stavros. -Stavros."
00:09:44.900,00:09:46.819,It's just a fish.
00:09:47.653,00:09:49.654,You are so clever.
00:09:49.738,00:09:51.740,We're going to look fabulous tomorrow.
00:09:52.324,00:09:55.786,"I want the perfect wedding, and I want my father to give me away."
00:09:55.870,00:09:58.330,Better be a wide aisle. Ow.
00:09:58.622,00:10:01.250,I will know my father as soon as I see him.
00:10:02.835,00:10:04.712,"Sky! Come here, gorgeous!"
00:10:04.920,00:10:07.089,Put me down! I'm getting married tomorrow!
00:10:07.173,00:10:08.841,-Please be careful. -So?
00:10:08.966,00:10:11.635,-There are pins in the dresses! -What do you think?
00:10:12.303,00:10:14.888,"-Oh, yes. -Oh, yes."
00:10:14.972,00:10:20.352,"If you had your way, it'd be a three-minute wedding in jeans and T-shirts, washed down with a bottle of beer."
00:10:20.519,00:10:22.604,You make me sound so unromantic.
00:10:22.688,00:10:24.815,I just thought we should save our money for traveling.
00:10:24.899,00:10:26.691,"Well, we're not going anywhere yet."
00:10:26.775,00:10:29.236,"Anyway, please leave. We're very, very busy."
00:10:29.695,00:10:31.739,I'm just getting some props for tonight.
00:10:31.989,00:10:34.533,-Ooh! -For his bachelor party.
00:10:38.454,00:10:40.831,Why haven't you told him you've invited your dads?
00:10:40.915,00:10:43.126,Because he would say that I'd have to tell my mom.
00:10:43.210,00:10:45.293,Donna's absolutely gonna kill you when she finds out.
00:10:45.377,00:10:47.713,"By the time she finds out, it'll be too late."
00:10:49.882,00:10:51.800,I feel like there's a part of me missing.
00:10:54.220,00:10:55.846,And when I meet my dad...
00:10:58.766,00:11:00.518,everything...
00:11:01.435,00:11:03.062,will fall into place.
00:11:10.536,00:11:12.487,-More open! -I'm on it. I'm on it.
00:11:15.950,00:11:17.243,That's it.
00:11:25.501,00:11:27.127,"Come on, Cleopatra."
00:11:40.432,00:11:43.185,Will you look at what the tide washed in?
00:11:45.020,00:11:49.400,-For one night! -And one night only!
00:12:03.622,00:12:05.040,Look at you.
00:12:05.624,00:12:07.876,-You baby. -Look at you.
00:12:07.960,00:12:10.587,-You look fantastic. -You look like an old hippie.
00:12:10.671,00:12:12.714,"Oh, she looks fab."
00:12:12.798,00:12:14.799,"These are new, though. Where did you get these?"
00:12:14.883,00:12:16.718,Husband number three!
00:12:31.358,00:12:36.404,So any men at this wedding? Gorgeous Greeks of independent means?
00:12:36.488,00:12:39.407,Here we go! Husband number four!
00:12:39.491,00:12:43.203,"-He's coming! -No. Not for me, for her."
00:12:43.370,00:12:51.211,"For her, now that her book is a bestseller, and she's got the whole world stuffing, what, mushrooms?"
00:12:51.545,00:12:53.505,Various vegetables?
00:12:53.589,00:12:58.468,"-It's time to find Mr. Right. -Oh, please! Boring!"
00:12:58.552,00:13:01.596,Great couple of role models you two are for Sophie.
00:13:01.680,00:13:04.057,A serial bride and a little hermit over here.
00:13:05.559,00:13:08.312,That's me. I'm a lone wolf.
00:13:18.697,00:13:23.285,"You know, I do not know what's going on in that child's head sometimes."
00:13:23.452,00:13:28.999,"She wants a big white wedding, and she and Sky are making all kind of plans for the hotel."
00:13:29.124,00:13:31.209,Sometimes I think they'll never leave.
00:13:31.293,00:13:33.461,"Yeah, but do you really want her to?"
00:13:33.545,00:13:35.881,"Well, I want what's best for her."
00:13:45.057,00:13:46.891,He's the leading man at tomorrow's shindig.
00:13:46.975,00:13:48.643,-The lucky man. -Hello!
00:13:48.727,00:13:51.229,-You must be Rosie. -I am.
00:13:51.313,00:13:53.982,-How are you? -Very well. Oh.
00:13:54.358,00:13:58.112,And you must be Tanya. I've heard so much about you.
00:14:00.155,00:14:01.615,-Yes. -And all true.
00:14:01.699,00:14:03.242,"Donna. Here, let me get them."
00:14:04.910,00:14:08.664,"I know who you are. You're Bill Anderson, aren't you?"
00:14:10.791,00:14:12.751,Bloke In A Boat In Botswana.
00:14:13.001,00:14:14.377,"Yes, I am."
00:14:14.461,00:14:16.922,"You know, your books are a godsend on dull business trips."
00:14:17.715,00:14:25.263,"Now, I may look like I'm pondering my securities, but in reality, I'm trekking across some remote corner of the planet."
00:14:25.347,00:14:27.349,You should try it for real sometime.
00:14:27.433,00:14:30.477,"No, certainly, I'll never be the spontaneous adventurer."
00:14:30.561,00:14:32.563,You're a close friend of Donna's?
00:14:32.730,00:14:34.606,"No, I haven't heard from her for 20 years."
00:14:34.690,00:14:37.400,-Really? -And then this invite out of the blue.
00:14:37.484,00:14:39.361,"You know, that's a coincidence, neither had I."
00:14:39.486,00:14:40.987,-Going about. -You got it.
00:14:41.071,00:14:42.739,Aye-aye. Right.
00:14:44.867,00:14:47.494,I've got it. I've got it. I've got it. Fine. Fine.
00:14:49.455,00:14:51.373,You should have brought the iron lung.
00:14:55.461,00:14:57.337,"-Oxygen. -Oh, my God."
00:14:58.922,00:15:01.383,-Auntie Rosie! -Hey!
00:15:01.467,00:15:04.511,Look at Sophie. She's gotten so beautiful.
00:15:04.595,00:15:05.804,I know.
00:15:05.888,00:15:10.975,Come here to me! Oh! Sophie Sheridan.
00:15:11.059,00:15:16.273,You get more gorgeous every time I see you.
00:15:16.774,00:15:19.859,-I bet you don't remember me. -Not with all that plastic surgery.
00:15:21.820,00:15:25.616,"Of course I do, Auntie Tanya. You haven't changed at all."
00:15:26.408,00:15:27.742,I'm so happy for you.
00:15:27.826,00:15:30.204,Her whole life ahead of her.
00:15:30.496,00:15:35.208,"Oh, please, I'm getting married! I'm not joining a convent!"
00:15:37.711,00:15:40.088,-Yeah. -She's a chip off the old block.
00:15:40.172,00:15:44.301,"Ooh. If she were more like me, she wouldn't be getting married at 20."
00:15:46.970,00:15:49.806,"Oh, I meant to get the laundry down before you came."
00:15:51.433,00:15:57.397,"And you'd think with all this new technology, they would figure out a machine that would make the beds."
