start,end,script
00:02:08.087,00:02:10.089,Jor-El: DO YOU NOT UNDERSTAND?
00:02:10.130,00:02:12.967,KRYPTON'S CORE IS COLLAPSING.
00:02:13.008,00:02:15.343,WE MAY ONLY HAVE A MATTER OF WEEKS.
00:02:15.385,00:02:16.595,I WARNED YOU.
00:02:16.637,00:02:18.764,HARVESTING THE CORE WAS SUICIDE.
00:02:18.806,00:02:21.600,IT HAS ACCELERATED THE PROCESS OF IMPLOSION.
00:02:21.642,00:02:24.311,OUR ENERGY RESERVES WERE EXHAUSTED!
00:02:24.352,00:02:26.605,"WHAT WOULD YOU HAVE US DO, EL?"
00:02:26.647,00:02:29.650,"LOOK TO THE STARS, LIKE OUR ANCESTORS DID!"
00:02:29.691,00:02:31.735,THERE ARE HABITABLE WORLDS WITHIN REACH.
00:02:31.777,00:02:33.779,WE CAN BEGIN BY USING THE OLD OUTPOSTS.
00:02:33.821,00:02:37.741,ARE YOU SERIOUSLY SUGGESTING THAT WE EVACUATE THE ENTIRE PLANET?
00:02:37.783,00:02:41.328,NO. EVERYBODY HERE IS ALREADY DEAD.
00:02:41.369,00:02:43.288,GIVE ME CONTROL OF THE CODEX.
00:02:43.330,00:02:45.749,I WILL ENSURE THE SURVIVAL OF OUR RACE.
00:02:45.791,00:02:47.835,THERE IS STILL HOPE.
00:02:47.876,00:02:51.088,I HAVE HELD THAT HOPE IN MY HANDS.
00:03:04.643,00:03:07.604,THIS COUNCIL HAS BEEN DISBANDED.
00:03:07.646,00:03:09.940,ON WHOSE AUTHORITY?
00:03:09.982,00:03:11.775,MINE.
00:03:14.653,00:03:18.949,THE REST OF YOU WILL BE TRIED AND PUNISHED ACCORDINGLY.
00:03:21.326,00:03:24.079,"WHAT'RE YOU DOING, ZOD?"
00:03:24.121,00:03:25.664,WHAT I SHOULD HAVE DONE YEARS AGO!
00:03:25.706,00:03:29.793,"THESE LAWMAKERS, WITH THEIR ENDLESS DEBATES, HAVE LED KRYPTON TO RUIN!"
00:03:31.962,00:03:34.048,AND IF YOUR FORCES PREVAIL...
00:03:34.089,00:03:35.674,YOU'LL BE THE LEADER OF NOTHING!
00:03:35.716,00:03:36.925,THEN JOIN ME.
00:03:36.967,00:03:39.469,HELP ME SAVE OUR RACE.
00:03:39.511,00:03:41.555,WE'LL START ANEW.
00:03:41.596,00:03:44.516,WE'LL SEVER THE DEGENERATIVE BLOODLINES THAT LED US TO THIS STATE.
00:03:44.558,00:03:48.854,"AND WHO WILL DECIDE WHICH BLOODLINES SURVIVE, ZOD?"
00:03:48.896,00:03:50.355,YOU?
00:03:52.273,00:03:54.651,"DON'T DO THIS, EL."
00:03:54.693,00:03:57.529,THE LAST THING I WANT IS FOR US TO BE ENEMIES.
