start,end,script
00:02:03.248,00:02:06.251,"MAN: Oh, no. Oh-- CROWD: Oh!"
00:02:06.251,00:02:15.552,"Come on, you promised to sit through the entire hockey game without being bored, and I'll sit through the Wagner opera with you next week."
00:02:15.552,00:02:18.597,With your eyesight I'm surprised you can see the puck.
00:02:18.597,00:02:21.016,Yay. All right!
00:02:24.770,00:02:28.482,"LARRY: God, I can't wait to get into bed and stretch out."
00:02:28.482,00:02:31.068,There's a Bob Hope movie on television later.
00:02:31.068,00:02:33.946,I know. Can you believe this guy in Indiana?
00:02:33.946,00:02:36.865,"Killed 12 victims, dismembered them, and ate them."
00:02:36.865,00:02:39.118,Really?
00:02:39.118,00:02:40.494,Yeah. I'll say.
00:02:47.793,00:02:50.629,PAUL: Hold the elevator!
00:02:50.629,00:02:54.215,PAUL: Hold the elevator.
00:02:54.215,00:02:56.010,Oh!
00:02:56.010,00:02:58.595,I see you at the gym sometimes.
00:02:58.595,00:03:01.015,"Oh, you do?"
00:02:58.595,00:03:02.683,Yeah we live in the apartment down the hall.
00:03:01.015,00:03:04.559,"Oh, well I go whenever I have the discipline."
00:03:04.559,00:03:07.062,It's important to put time in. Does wonders.
00:03:07.062,00:03:09.523,"Oh, yeah, I agree."
00:03:09.523,00:03:12.526,I prefer to atrophy.
00:03:12.526,00:03:14.402,We bought a treadmill last week.
00:03:14.402,00:03:18.406,"Well, we had one, but we got rid of it because it was taking up space."
00:03:18.406,00:03:22.327,Especially as you have to turn it on and get on it once in a while.
00:03:22.327,00:03:24.913,It's so confusing with those buttons and programs.
00:03:24.913,00:03:26.373,I'm never going to get that.
00:03:26.373,00:03:29.084,LILLIAN: It was so wonderful meeting you...
00:03:29.084,00:03:30.377,"Well, yeah."
00:03:32.379,00:03:35.090,Anyway. Good night.
00:03:35.090,00:03:36.967,Such a lovely couple.
00:03:36.967,00:03:39.178,"Oh, say-- Hello?"
00:03:39.178,00:03:44.516,"Listen, why don't you come in for a second and have a drink with us?"
00:03:44.516,00:03:45.726,"Oh, well, that'd be fine."
00:03:45.726,00:03:47.769,PAUL: She makes great Irish coffee.
00:03:47.769,00:03:52.066,There's a movie on television I want to watch-- LILLIAN: Give me a treadmill lesson.
00:03:52.066,00:03:55.443,"CAROL: If I can figure it out, then believe me, anybody can."
00:03:58.238,00:03:59.865,I don't know what I'm doing.
00:03:59.865,00:04:02.910,Let's look at this wonderful book they've given me.
00:04:02.910,00:04:04.995,"Now, I'm at level five."
00:04:04.995,00:04:07.706,You're that advanced?
00:04:07.706,00:04:10.084,I work out all the time.
00:04:10.084,00:04:12.211,I can't understand this even.
00:04:12.211,00:04:13.921,"Yeah, well. See this?"
00:04:13.921,00:04:17.216,"Now, let me show you a mint 1933 airmail."
00:04:17.216,00:04:21.011,Very rare and very beautiful.
00:04:21.011,00:04:25.849,And this plate block is quite unique because it has a flaw in the engraving.
00:04:25.849,00:04:27.392,See if you can see it.
00:04:27.392,00:04:29.978,It's hard for me.
00:04:29.978,00:04:32.439,Interesting? Yeah.
00:04:32.439,00:04:34.649,"That makes it quite valuable, you see."
00:04:34.649,00:04:39.196,I just got a commemorative set of issues that are gonna be quite valuable.
00:04:39.196,00:04:42.032,Look at the color.
00:04:39.196,00:04:45.119,These are gonna become real-- We're probably keeping you up.
00:04:45.119,00:04:47.829,I think I should be going.
00:04:47.829,00:04:50.290,Me? I'm in book publishing.
00:04:50.290,00:04:53.252,Are you? I own an old cinema.
00:04:53.252,00:04:58.381,"Used to have a string of three, but business is not what it used to be."
00:04:58.381,00:05:01.218,"Look at the color, the perforations are still intact."
00:05:01.218,00:05:03.220,Where's Carol?
00:05:03.220,00:05:04.638,"Oh, really?"
00:05:04.638,00:05:05.973,Coffee's ready.
00:05:04.638,00:05:07.515,"Coffee, I forgot coffee..."
00:05:07.515,00:05:09.977,PAUL: We can get back to this later. Come on in.
00:05:09.977,00:05:14.189,We never had any children but it's easy to empathize.
00:05:14.189,00:05:16.399,What college does your son attend?
00:05:16.399,00:05:17.901,Brown.
00:05:17.901,00:05:20.612,Nice color.
00:05:20.612,00:05:23.448,Paul never attended college.
00:05:23.448,00:05:25.659,Always regretted it.
00:05:23.448,00:05:27.661,I think knowledge is the second most important thing.
00:05:27.661,00:05:29.997,First is health.
00:05:29.997,00:05:33.792,It's amazing how time just-- And do you work?
00:05:33.792,00:05:35.627,Do I?
00:05:35.627,00:05:41.091,"Well actually I used to work at an ad agency, but that was many years ago."
00:05:41.091,00:05:44.886,But I've been seriously thinking of starting a little restaurant.
00:05:44.886,00:05:47.889,Really?
00:05:44.886,00:05:50.349,"Yeah, but Larry is trying to talk me out of it."
00:05:50.349,00:05:58.192,Her duck and fennel omelet on scallops in hollandaise sauce with truffles and sweetbreads will make you snap into fetal position screaming for a month.
00:05:58.192,00:06:01.695,"He loves to tease me but actually, he loves exotic food."
00:06:01.695,00:06:06.241,My weakness is any rich dessert.
00:06:06.241,00:06:09.328,I'll fix a dessert that'll make your eyes roll.
00:06:09.328,00:06:12.080,You'll have to exercise a month to work it off.
00:06:12.080,00:06:14.624,PAUL: We're going to Le Cirque for our anniversary.
00:06:14.624,00:06:17.127,CAROL: Really?
00:06:17.127,00:06:19.754,What do you buy the woman who buys everything?
00:06:19.754,00:06:21.756,We already have twin cemetery plots.
00:06:21.756,00:06:25.135,"Well, I always think a Bentley is in good taste."
00:06:25.135,00:06:29.556,"On our 20th, I got her some lovely handkerchiefs."
00:06:29.556,00:06:33.227,They had my initials on them.
00:06:33.227,00:06:35.187,And I didn't even know her size.
00:06:39.524,00:06:43.904,"LARRY: Jesus, couldn't you keep the conversation going longer?"
00:06:43.904,00:06:47.615,I was signaling you.
00:06:47.615,00:06:51.494,Neighborly? If this guy showed me his stamps one more time...
00:06:51.494,00:06:55.082,My favorite thing is to look at canceled postage.
00:06:55.082,00:06:57.292,"CAROL: Come on, Larry, it was sweet."
00:06:57.292,00:06:59.920,They're looking forward to their anniversary.
