start,end,script
00:02:30.567,00:02:36.991,WOMAN: Friendship between Austria and France must be cemented by marriage.
00:02:36.991,00:02:43.956,"My youngest daughter, Antoine, will be queen of France."
00:02:55.717,00:02:57.094,Whoop.
00:02:59.596,00:03:00.806,Mops.
00:03:29.584,00:03:34.089,The court of France is not like Vienna.
00:03:34.089,00:03:39.302,Listen closely to Ambassador Mercy's counsel.
00:03:39.302,00:03:42.556,All eyes will be on you.
00:04:37.111,00:04:38.612,Look.
00:04:41.531,00:04:43.200,GIRL: Do you like him?
00:04:43.200,00:04:45.119,MARIE: He has kind eyes.
00:04:45.119,00:04:46.995,GIRL: He's definitely very French.
00:05:29.204,00:05:31.539,MARIE: Three. Four.
00:05:48.389,00:05:49.891,Mmm.
00:05:54.521,00:05:56.439,Are we there yet?
00:05:56.439,00:05:59.693,We have arrived at Schüttern for the official handover.
00:05:59.693,00:06:04.698,"Then you will be presented to the king and to your fiancé, Louis Auguste."
00:06:12.039,00:06:17.669,"Your Royal Highness, may I present your mistress of the household, Comtesse de Noailles."
00:06:17.669,00:06:19.338,Your Royal Highness.
00:06:21.131,00:06:22.341,Oh.
00:06:26.303,00:06:27.804,Madame.
00:06:39.774,00:06:46.823,This structure for the handover ceremony has been built precisely astride the borders of the two great lands.
00:06:46.823,00:06:54.581,"You have entered on Austrian soil, you will exit on French as the dauphine of France."
00:06:55.874,00:07:01.004,Now you must bid farewell to your party and leave all of Austria behind.
00:07:08.262,00:07:09.721,Goodbye.
00:07:20.857,00:07:22.067,Um.
00:07:25.987,00:07:27.030,Mops.
00:07:30.325,00:07:33.703,You can have as many French dogs as you like.
00:07:45.424,00:07:52.764,DE NOAILLES: It is a custom that the bride retain nothing belonging to a foreign court.
00:07:52.764,00:07:57.144,An etiquette always observed on such an occasion.
00:09:02.250,00:09:03.543,You're lucky.
00:09:03.543,00:09:05.795,Apparently she's quite beautiful.
00:09:07.755,00:09:11.259,I'll probably end up with someone who looks like a dog.
00:09:11.259,00:09:12.386,Or a horse.
00:09:12.386,00:09:13.845,Or a horse.
00:09:13.845,00:09:16.264,I've heard she's really nice.
00:09:16.264,00:09:19.518,Think they got rabbits here?
00:09:24.356,00:09:25.648,Come on.
00:09:27.067,00:09:30.278,You notice anything strange about me lately?
00:09:33.365,00:09:34.991,WOMAN 1: It's so muddy here.
00:09:34.991,00:09:37.452,WOMAN 2: I know. My stomach feels a little bit sick.
00:09:37.452,00:09:41.081,WOMAN 1: Are you feeling better now?
00:09:41.081,00:09:44.667,I wonder if our doggie is sick.
00:09:44.667,00:09:46.586,Now.
00:09:47.921,00:09:51.132,"Oh, my goodness, it's so uncomfortable underfoot."
00:09:51.132,00:09:53.093,Come on.
00:09:57.556,00:09:59.182,There we are.
00:10:16.699,00:10:18.701,Hey. Heh-heh!
00:10:27.544,00:10:29.421,How is her bosom?
00:10:29.421,00:10:32.924,I have not looked at the archduchess's bosom.
00:10:32.924,00:10:34.134,"Oh, didn't you?"
00:10:34.134,00:10:36.261,It's the first thing I look at.
00:11:03.746,00:11:05.373,The Duc de Choiseul.
00:11:05.373,00:11:08.293,The foreign minister who was instrumental in this union.
00:11:08.293,00:11:12.671,I shall never forget that you were responsible for my happiness.
00:11:12.671,00:11:15.342,And that of France.
00:11:15.342,00:11:16.675,Please.
00:11:30.398,00:11:32.942,Here comes the Austrian.
00:11:32.942,00:11:35.778,I hope you like apple strudel.
00:11:44.162,00:11:48.291,"May I present Madame la Dauphine, Marie Antoinette."
00:11:51.127,00:11:53.421,My dear grandfather king.
00:11:55.256,00:11:56.633,"Welcome, madame."
