start,end,script
01:06:14.512,01:06:16.389,-You little slut! -You're the slut!
01:06:16.764,01:06:18.641,!@#$%^&amp;*!!
01:06:18.808,01:06:20.727,!@%*$#@**%!!
01:11:46.260,01:11:47.970,Why are you scamming on my boyfriend?
01:11:48.346,01:11:51.015,You're just jealous because guys like me better.
01:11:51.432,01:11:53.100,"Nigga, please."
00:00:34.242,00:00:35.869,"This is your lunch, okay?"
00:00:35.952,00:00:37.871,"Now, I put a dollar in there so you can buy some milk."
00:00:37.954,00:00:39.664,You can ask one of the big kids where to do that.
00:00:39.748,00:00:40.665,You remember your phone number?
00:00:40.790,00:00:42.500,"I wrote it down for you, just in case."
00:00:42.625,00:00:44.169,"Put it in your pocket, I don't want you to lose it."
00:00:45.587,00:00:46.588,Okay?
00:00:48.757,00:00:49.841,I think so.
00:00:52.385,00:00:53.428,It's Cady's big day.
00:00:57.182,00:00:58.266,on their kid's first day of school.
00:00:58.391,00:01:00.727,"But, you know, this usually happens when the kid is five."
00:01:01.144,00:01:04.064,"I'm 16, and until today, I was home-schooled."
00:01:05.857,00:01:07.442,Home-schooled kids are freaks.
00:01:07.525,00:01:11.196,X-Y-L-O-C-A-R-P.
00:01:15.200,00:01:21.998,"And on the third day, God created the Remington bolt-action rifle so that man could fight the dinosaurs."
00:01:22.499,00:01:24.334,And the homosexuals.
00:01:27.921,00:01:32.801,"Except for the fact that both my parents are research zoologists, and we've spent the last 12 years in Africa."
00:01:32.884,00:01:34.511,I had a great life.
00:01:34.594,00:01:37.472,But then my mom got offered tenure at Northwestern University.
00:01:37.597,00:01:41.017,"So, it was goodbye, Africa, and hello, high school."
00:01:44.020,00:01:45.313,I'm okay. Sorry.
00:01:45.772,00:01:46.981,I'll be careful.
00:02:13.174,00:02:14.175,Hi.
00:02:14.759,00:02:16.344,I don't know if anyone told you about me.
00:02:16.803,00:02:19.180,I'm a new student here. My name is Cady Heron.
00:02:19.264,00:02:21.349,Talk to me again and I'll kick your ass.
00:02:28.064,00:02:29.941,Kristen Hadley's boyfriend is gonna sit there.
00:02:31.317,00:02:32.318,"Hey, baby."
00:02:40.076,00:02:41.077,He farts a lot.
00:03:09.480,00:03:10.899,Is everything all right in here?
00:03:10.982,00:03:12.483,"Oh, yeah."
00:03:13.026,00:03:15.528,"So, uh, how was your summer?"
00:03:15.612,00:03:17.614,-I got divorced. -Oh.
00:03:18.323,00:03:19.866,My carpal tunnel came back.
00:03:21.910,00:03:23.369,"Yes, you do."
00:03:24.203,00:03:28.124,"Well, I just wanted to let everyone know that we have a new student joining us."
00:03:28.207,00:03:30.418,She just moved here all the way from Africa.
00:03:30.793,00:03:32.003,Welcome.
00:03:33.129,00:03:34.047,I'm from Michigan.
00:03:34.923,00:03:35.798,Great.
00:03:36.925,00:03:39.928,"Her name is Caddy. Caddy Heron. Where are you, Caddy?"
00:03:40.011,00:03:42.180,That's me. It's pronounced like Katie.
00:03:43.348,00:03:47.518,"I have a nephew named Anfernee, and I know how mad he gets when I call him Anthony."
00:03:48.019,00:03:51.481,Almost as mad as I get when I think about the fact that my sister named him Anfernee.
00:03:52.273,00:03:54.150,"Well, uh, welcome, Cady."
00:03:54.234,00:03:55.860,"And thank you, Mr. Duvall."
00:03:55.944,00:03:56.945,"Well, thank you."
00:03:57.570,00:04:02.116,"And, uh, if you need anything, or if you wanna talk to somebody..."
00:04:02.200,00:04:03.034,Thanks.
00:04:03.576,00:04:06.621,"Maybe some other time, when my shirt isn't see-through."
00:04:07.413,00:04:08.414,Okay.
00:04:09.832,00:04:12.210,"Okay. Good day, everybody."
00:04:16.089,00:04:18.341,"A stressful, surreal blur."
00:04:19.342,00:04:21.177,I got in trouble for the most random things.
00:04:21.261,00:04:22.095,Where are you going?
00:04:22.637,00:04:24.514,"Oh, I have to go to the bathroom."
00:04:24.931,00:04:26.557,You need the lavatory pass.
00:04:26.808,00:04:28.393,Okay. Can I have the lavatory pass?
00:04:31.729,00:04:35.650,"I had never lived in a world where adults didn't trust me, where they were always yelling at me."
00:04:35.733,00:04:36.651,Don't read ahead!
