start,end,script
00:02:21.099,00:02:23.017,Yes.
00:02:46.958,00:02:49.460,It's utter chaos around here.
00:02:49.544,00:02:52.171,And I'm terrified that we're running out of time.
00:02:52.255,00:02:54.048,Am I trying to be too perfect?
00:02:54.132,00:02:56.551,"-Oh, but I want it to be so exquisite. -So do we."
00:02:56.634,00:03:01.347,-But we're trying to be too exquisite. -Why not aim for the stars?
00:03:01.431,00:03:02.932,-Good morning. -Good morning.
00:03:03.016,00:03:06.477,"-We do need some answers on the flowers. -Yes, freesia, freesia."
00:03:06.561,00:03:09.564,Everywhere freesia. Daddy loves freesia.
00:03:09.647,00:03:13.568,Good morning. Good morning. Oh. Hello. Hi.
00:03:13.651,00:03:14.903,-Lights? -Lights.
00:03:14.986,00:03:17.655,Not too bright and not too dark.
00:03:18.948,00:03:24.245,"I'm looking for a saffron glow, sort of tea dance '20s."
00:03:24.370,00:03:29.167,"If food is the prose of a party, then lights are its poetry."
00:03:33.254,00:03:36.382,"It works. If food is the prose of a party, lights are its poetry."
00:03:36.466,00:03:37.508,I like that.
00:03:37.592,00:03:40.803,"If music were the food of love, play on. I'm going out of my mind."
00:03:42.764,00:03:45.600,"-What do you think of all this, Helen? -It's gonna be beautiful."
00:03:45.683,00:03:47.936,And Allison says the President may come.
00:03:48.019,00:03:50.438,The President's got better things to do than come to my birthday party.
00:03:52.023,00:03:54.067,"-Daddy? Do you have a minute? -Good morning, Allison."
00:03:54.234,00:03:56.444,Not much more. Big day in the big city.
00:03:56.527,00:03:58.947,-What's on your mind? -Fireworks. Update.
00:03:59.030,00:04:01.741,We are constructing the number 65 on the barge.
00:04:01.824,00:04:05.954,Archers from the State College of New Paltz will shoot flaming arrows at it.
00:04:06.037,00:04:11.876,"When it catches fire, it will give us the effect of a Viking funeral, but with none of the morbidity."
00:04:11.960,00:04:15.505,"The Hudson River authority says that for you, they'll make a special dispensation."
00:04:15.880,00:04:20.260,"But, of course, there will be an overtime bill for the Poughkeepsie Fire Department."
00:04:20.343,00:04:23.680,"So, what do you think?"
00:04:23.763,00:04:25.765,Good? No good?
00:04:26.224,00:04:29.477,"Allison, I trust you. This is your thing."
00:04:29.560,00:04:33.398,But it's your birthday. I hate arrows. They make me nervous.
00:04:34.565,00:04:36.859,"-Good morning, Dad. -Good morning, honey."
00:04:36.943,00:04:37.986,-Morning. -Morning.
00:04:38.069,00:04:39.570,You're Honey. I'm Allison.
00:04:41.823,00:04:46.035,"Oh, Dad, Drew called from the helicopter, and they're still two minutes away."
00:04:46.119,00:04:47.745,-Drew's aboard? -Mmm-hmm.
00:04:48.288,00:04:50.373,He wanted to ride back down with you.
00:04:50.456,00:04:54.460,"So why don't you sit down, relax, and get some food in that flat tummy of yours."
00:04:56.421,00:05:04.345,"You've got patients to attend to. I've got three hysterical chefs, one of whom loves truffles, the other one hates truffles, and the third one doesn't even know what truffles are."
00:05:04.429,00:05:07.265,"-I hate parties. -But, Daddy, calm down."
00:05:07.432,00:05:09.559,You're gonna love it. I swear.
00:05:09.726,00:05:13.062,Isn't it enough to be on the Earth for 65 years without having to be reminded of it?
00:05:13.146,00:05:14.272,No.
00:05:18.234,00:05:21.446,Will you relax? I know it's a big deal day.
00:05:21.529,00:05:24.782,-How'd you know that? -Drew told me.
00:05:24.866,00:05:28.119,-Does he tell you everything? -I hope so.
00:05:29.662,00:05:34.334,"-You like him, don't you? -Yep, I guess so."
00:05:34.792,00:05:36.794,"-I don't want to interfere, but-- -Then don't."
00:05:42.842,00:05:44.385,Shall we?
00:05:45.678,00:05:46.804,Okay.
00:05:46.971,00:05:48.347,"Hello, beautiful."
00:05:50.266,00:05:51.392,Hi.
00:05:55.855,00:05:58.441,"Good morning, Drew. Thanks for coming up."
00:05:58.775,00:06:02.028,"Well, big day. Wanted to line up a few ducks before kickoff."
00:06:02.111,00:06:05.114,"Any thoughts, last minute refinements, variations, anything?"
00:06:05.281,00:06:09.202,"Thoughts, no. I did hear a voice last night."
00:06:09.285,00:06:11.329,-A voice? -In my sleep.
00:06:11.412,00:06:14.207,-What'd it say? -Yes.
00:06:15.249,00:06:17.960,-Yes to the deal? -Maybe. Who knows?
00:06:18.127,00:06:20.379,You know how voices are.
00:06:21.631,00:06:22.840,"I thank you, Delia."
00:06:22.924,00:06:25.635,"Okay, let's go. Delia, your pen."
00:06:26.427,00:06:29.013,"-Hi, Bill. How you doing? -Morning, Quince."
00:06:29.097,00:06:31.557,"-I'm doing great, and you? -Oh, I'm great."
00:06:31.641,00:06:32.892,"This is it, B-day."
00:06:32.975,00:06:34.060,-Huh? -Sorry.
00:06:34.143,00:06:37.897,Bontecou day. We're gonna close with Big John.
00:06:37.980,00:06:39.941,"Look at you, Bill. You're all cool as a cat."
00:06:40.024,00:06:43.236,"Over at Bontecou's, I'll bet he's just shitting in his pants."
00:06:43.319,00:06:47.073,"Remember, everybody, big meeting tonight at Daddy's."
00:06:47.156,00:06:51.077,"Dinner. You, too, Drew. We have lots of loose ends."
00:06:51.244,00:06:54.789,"-Not my birthday again? -You're only 65 once, Dad."
00:06:54.872,00:06:56.749,Thank God. Now let's get the day started.
00:07:15.143,00:07:16.936,Do you love Drew?
00:07:21.899,00:07:23.860,Do you love Drew?
00:07:23.943,00:07:26.529,He's not gonna get a better offer than that.
00:07:33.244,00:07:34.454,Are you gonna marry him?
00:07:39.375,00:07:40.668,I'm probably.
00:07:40.751,00:07:44.172,"Listen, I'm crazy about the guy. He's smart. He's aggressive."
00:07:44.255,00:07:49.177,He could carry Parrish Communications into the 21st century and me along with it.
00:07:49.260,00:07:50.094,Mmm-hmm.
00:07:50.761,00:07:54.599,-So what's wrong with that? -That's for me. I'm talking about you.
00:07:56.684,00:07:59.103,It's not what you say about Drew. It's what you don't say.
00:08:00.771,00:08:03.941,"-Maybe you're not listening. -Oh, yes, I am."
00:08:06.110,00:08:10.490,"There's not an ounce of excitement, not a whisper of a thrill."
00:08:11.157,00:08:14.035,And this relationship has all the passion of a pair of titmice.
00:08:14.869,00:08:17.330,I want you to get swept away out there.
00:08:17.497,00:08:18.456,I want you to levitate.
00:08:18.539,00:08:22.793,I want you to sing with rapture and dance like a dervish.
00:08:22.960,00:08:28.090,"-Oh, that's all. -Yeah. Be deliriously happy, or at least leave yourself open to be."
00:08:29.175,00:08:30.593,Okay.
00:08:31.844,00:08:34.388,Be deliriously happy. I shall...
00:08:34.472,00:08:36.349,I shall do my utmost.
00:08:40.311,00:08:42.855,I know it's a cornball thing.
00:08:43.981,00:08:50.071,"But love is passion, obsession, someone you can't live without."
00:08:52.782,00:08:54.283,"I say, fall head over heels."
00:08:54.450,00:08:58.621,Find someone you can love like crazy and who will love you the same way back.
00:08:59.038,00:09:00.039,How do you find him?
00:09:00.122,00:09:04.252,"Well, you forget your head, and you listen to your heart."
00:09:04.335,00:09:06.254,And I'm not hearing any heart.
00:09:07.421,00:09:11.175,"'Cause the truth is, honey, there's no sense living your life without this."
00:09:11.968,00:09:18.724,"To make the journey and not fall deeply in love, well, you haven't lived a life at all."
00:09:20.101,00:09:25.106,"But you have to try, 'cause if you haven't tried, you haven't lived."
00:09:27.358,00:09:30.278,"-Bravo! -Oh, you're tough."
00:09:33.364,00:09:36.200,I'm sorry. Okay.
00:09:36.284,00:09:39.453,"Give it to me again, but the short version this time."
00:09:39.954,00:09:42.248,Okay. Stay open.
