start,end,script
00:00:48.006,00:00:49.341,"Oh, that's right."
00:00:50.008,00:00:53.679,I'm falling to my death. Guess they can't.
00:00:54.513,00:00:56.473,"How'd it all come to this, you ask?"
00:00:57.641,00:00:59.393,My end starts at the beginning.
00:01:00.018,00:01:01.687,The very beginning.
00:01:08.026,00:01:10.862,I had a fairly standard childhood.
00:01:11.572,00:01:14.783,I came from what you might call a broken home.
00:01:17.911,00:01:21.206,I was eight days old and still living with my parents.
00:01:24.084,00:01:25.752,"Clearly, it was time to move on."
00:01:25.836,00:01:28.672,Here is your Minion. He will take care of you.
00:01:46.690,00:01:50.694,Turns out a kid from the Glaupunkt quadrant had the exact same idea.
00:02:06.918,00:02:08.128,was born!
00:02:12.841,00:02:15.260,Could this be what I was destined for?
00:02:22.851,00:02:24.895,Even fate picks its favorites.
00:02:26.229,00:02:27.439,No big deal.
00:02:49.002,00:02:49.920,Can we keep it?
00:02:55.008,00:02:56.051,and wrong.
00:02:56.426,00:03:01.515,"Mr. Goody Two-Shoes, on the other hand, had life handed to him on a silver platter."
00:03:11.358,00:03:14.069,"But I had something far, far greater."
00:03:14.778,00:03:16.571,My amazing intellect!
00:03:16.863,00:03:19.241,A knack for building objects of mayhem.
00:03:29.292,00:03:33.171,I was given an opportunity to better myself through learning...
00:03:33.797,00:03:36.591,at a strange place called shool.
00:03:37.843,00:03:45.517,It was there that I once again He had already amassed a gigantic army of softheaded groupies.
00:03:51.648,00:03:56.278,He bought their affections with showmanship and extravagant gifts of deliciousness.
00:04:01.450,00:04:03.493,and win over those mindless drones.
00:04:24.890,00:04:30.687,"Good receives all the praise and adulation, while evil is sent to quiet time in the corner."
00:04:36.193,00:04:38.612,While they were learning The Itsy-Bitsy Spider...
00:04:39.404,00:04:43.784,I learned how to dehydrate animate objects and rehydrate them at will.
00:04:45.118,00:04:49.873,"Some days, it felt like it was just me and Minion against the world."
00:04:51.249,00:04:55.170,"No matter how hard I tried, I was always the odd man out."
00:04:55.545,00:04:59.382,"The last one picked, the screw-up, the black sheep."
00:05:16.650,00:05:19.194,Wait. Maybe it was.
00:05:20.028,00:05:22.948,Being bad is the one thing I'm good at!
00:05:23.782,00:05:31.289,"Then it hit me. If I was the bad boy, then I was going to be the baddest boy of them all!"
00:05:41.716,00:05:45.804,"And so began an enduring, epic, lifelong career."
00:05:46.054,00:05:48.181,And I loved it!
00:05:49.975,00:05:52.561,Our battles quickly got more elaborate.
00:05:53.144,00:05:54.938,He would win some.
00:05:55.355,00:05:57.399,I would almost win others.
00:05:57.732,00:06:00.110,He took the name Metro Man.
00:06:00.694,00:06:02.779,Defender of Metrocity.
00:06:03.196,00:06:05.448,I decided to pick something a little more humble.
00:06:05.907,00:06:06.950,Megamind!
00:06:07.284,00:06:11.580,Incredibly handsome criminal genius and master of all villainy!
00:06:31.766,00:06:32.642,Hey!
00:06:39.232,00:06:42.027,Great news. I'm a changed man and...
00:06:42.235,00:06:45.947,and I'm ready to reenter society as a solid citizen.
00:06:46.239,00:06:48.700,You're a villain! And you'll always be a villain.
00:06:48.783,00:06:51.536,You'll never change. And you'll never leave.
00:06:51.745,00:06:54.289,-You're fun. -You got a present in the mail.
00:06:54.372,00:06:57.167,-Is it a puppy? -From Metro Man.
00:06:57.375,00:07:01.004,To count every second of your 85 life sentences.
00:07:01.296,00:07:04.215,That's funny. Never thought Metro Man was the gloating type.
00:07:04.674,00:07:07.135,"Oh, but he does have nice taste. I think I'll keep it."
00:07:07.636,00:07:09.763,Any chance you could give me the time?
00:07:09.888,00:07:12.849,I don't want to be late for the opening of the Metro Man Museum.
00:07:13.683,00:07:16.353,"Oh, no. Looks like you're gonna miss it."
00:07:16.728,00:07:18.688,By several thousand years!
00:07:31.618,00:07:37.207,"It's a beautiful day in beautiful downtown, where we're here to honor a beautiful man..."
00:07:37.374,00:07:38.625,Metro Man.
00:07:39.042,00:07:43.380,His heart is an ocean that's inside a bigger ocean.
00:07:43.880,00:07:51.304,"For years, he's been watching us with his super-vision, saving us with his super-strength and caring for us with his super-heart."
00:07:51.763,00:07:54.432,"Now, it's our turn to give something back."
00:07:54.641,00:07:59.145,"This is Roxanne Ritchi, reporting live from the dedication of the Metro Man Museum."
00:08:02.023,00:08:04.401,that's un-freaking-believable. It's crazy.
00:08:04.484,00:08:06.444,"I wrote that piece myself, Hal."
00:08:06.778,00:08:13.994,"What I was trying to say was, I can't believe that in our modern society they let, like, actual art get onto the news."
00:08:15.745,00:08:17.330,"like, let's just get a coffee or something."
00:08:20.667,00:08:23.878,"Well, if I were Metro Man, Megamind wouldn't be kidnapping you all the time."
00:08:26.673,00:08:30.051,And I'd be watching you like a dingo watches a human baby.
00:08:30.176,00:08:31.428,"-Mm. -Okay, that sounded..."
00:08:31.594,00:08:33.763,"-Okay, that sounded a little weird. -A little bit, yeah."
00:08:33.888,00:08:35.849,You're making a weird face and that's making me feel weird.
00:08:37.767,00:08:39.436,...like something watching something intently with love.
00:08:39.686,00:08:42.105,Not love. We're not in love. I'm not saying I love you.
00:08:44.399,00:08:46.026,"I'm in love with you, I'm saying..."
00:08:46.401,00:08:48.820,Roxanne? Roxaroo?
00:09:08.298,00:09:09.507,"Whoa. What are you doing, guys?"
00:09:20.935,00:09:24.397,"-Oh, you fools. He's tricked us. -You were right."
00:09:46.252,00:09:48.588,"Well, hello, good-looking! Need a lift?"
00:09:48.713,00:09:51.174,"Certainly do, you fantastic fish, you!"
00:10:02.811,00:10:04.729,All right. Put your hands in the air!
00:10:10.026,00:10:13.113,Ladies and gentlemen... your Metro Man!
00:10:17.200,00:10:19.744,"Yeah, Metro City!"
00:10:21.996,00:10:24.833,Give me some. Come on. Give it now. Give it to me. Right on!
00:10:25.125,00:10:27.001,Give me the good stuff. All right!
00:10:50.942,00:10:53.153,"You know, I just want to bring it down a bit."
00:10:53.278,00:10:55.321,"Boys, a little lower. Thank you, fellas."
00:10:55.864,00:10:57.448,Let's get real for a moment.
00:10:58.408,00:10:59.784,That's right. That's right.
00:11:01.870,00:11:04.956,Although getting a whole museum is super cool... super cool...
00:11:05.081,00:11:08.126,you wanna know what the greatest honor you've given me is?
00:11:12.547,00:11:16.551,I'll tell you. The greatest honor you've given me is...
00:11:17.135,00:11:20.180,"letting me serve you, the helpless people of Metro City."
00:11:26.352,00:11:29.022,"who would I be, without you?"
00:11:39.699,00:11:44.120,"Ah! I tell you, Minion, there's no place like evil lair."
00:11:48.833,00:11:51.169,"How do I look, Minion? Do I look bad?"
00:11:51.252,00:11:54.881,"-Disgustingly horrifying, sir. -You always know what to say."
00:11:55.131,00:11:57.300,"Oh, the brainbots certainly missed you, sir."
00:11:57.467,00:11:59.761,Did you miss your daddy? Who's a menacing little cyborg?
00:12:02.430,00:12:04.599,"No, no, no, no."
00:12:04.724,00:12:06.851,You want the wrench? Go get the wrench!
00:12:06.976,00:12:09.646,"-Oh, look at that. -Now, back to laughing."
00:12:32.126,00:12:34.170,Miss Ritchi... we meet again.
00:12:34.295,00:12:36.005,Would it kill you to wash the bag?
00:12:36.172,00:12:38.508,"You can scream all you wish, Miss Ritchi!"
00:12:38.633,00:12:40.426,I'm afraid no one can hear you!
00:12:42.053,00:12:44.097,Wha...? Why isn't she screaming?
00:12:44.430,00:12:46.349,"Miss Ritchi, if you don't mind."
00:12:51.312,00:12:52.814,He's a little better.
00:12:55.900,00:13:01.114,Is there some kind of nerdy supervillain website where you get Tesla coils and blinky dials?
00:13:01.239,00:13:05.243,"Actually, most of it comes from an outlet store in-- Don't answer that."
00:13:08.496,00:13:14.377,She's using her nosy reporter skills on your weak-willed mind to find out all our secrets.
00:13:15.962,00:13:18.006,Such tricks...
00:13:18.589,00:13:20.508,won't work on me...
00:13:20.633,00:13:22.010,-Please talk slower. -...temptress!
00:13:25.847,00:13:28.474,Predictable? Predictable? Oh!
00:13:34.314,00:13:36.441,"Yeah, I was thinking about it on the way over."
00:13:37.358,00:13:38.735,What's this? Boom!
00:13:38.985,00:13:41.070,-In your face. -Cliché.
00:13:41.154,00:13:44.365,"-No, look, watch! -Juvenile."
00:13:44.449,00:13:46.200,-Shock and awe! -Tacky.
00:13:46.492,00:13:48.369,-Oh! It's so scary! -Seen it.
00:13:48.578,00:13:50.288,-What's this one do? -Garish.
00:13:53.541,00:13:54.751,Spider?
00:13:58.629,00:14:01.924,"Uh, yes! The... the spider."
00:14:02.300,00:14:07.972,Even the smallest bite from arachnis deathicus will instantly paralyze-- Oh!
00:14:14.729,00:14:26.574,"Let's stop wasting time and call your boyfriend in tights, It is with great pleasure that I present to Metro Man this new museum. If you please!"
00:14:34.332,00:14:36.626,Hey! My kid can't see.
00:14:59.315,00:15:03.319,"-Megamind. -Oh, bravo, Metro Man!"
00:15:05.446,00:15:07.073,Boo!
00:15:07.156,00:15:10.034,"Yes, I can play along, too. Boo!"
00:15:10.118,00:15:12.245,Should have known you'd try to crash the party.
00:15:12.453,00:15:14.705,"Oh, I intend to do more than crash it."
00:15:14.831,00:15:20.336,This is a day you and Metrocity shall not soon forget!
00:15:22.713,00:15:25.675,"Oh, potato, tomato, potato, tomato."
00:15:25.758,00:15:28.678,We all know how this ends... with you behind bars.
00:15:28.845,00:15:33.057,"Oh, I'm shaking in my custom baby seal leather boots."
00:15:33.266,00:15:40.481,You will leave Metrocity or this will be the last you ever hear of Roxanne Ritchi! Huh?
00:15:42.024,00:15:44.152,"Don't panic, Roxie. I'm on my way."
00:15:44.402,00:15:49.574,"-I'm not panicking. -In order to stop me, you need to find me first, Metro Man."
00:15:51.701,00:15:55.329,"No, we're not! Don't listen to her. She's crazy."
00:16:16.809,00:16:19.061,"Metro Man approaching, sir."
00:16:38.289,00:16:39.665,Hold on a second.
00:16:46.672,00:16:48.758,"Oh, good heavens!"
00:16:49.091,00:16:52.887,"You didn't think you were in the real observatory, did you?"
00:16:58.601,00:17:02.146,"-Ready the death ray, Minion. -Death ray readying."
00:17:09.111,00:17:11.197,you've fallen right into my trap.
00:17:11.364,00:17:14.242,"You can't trap justice. It's an idea, a belief."
00:17:14.492,00:17:17.703,Even the most heartfelt belief can be corroded over time.
00:17:17.787,00:17:19.664,Justice is a non-corrosive metal.
00:17:19.830,00:17:22.041,But metals can be melted by the heat of revange!
00:17:22.166,00:17:24.710,It's revenge and it's best served cold!
00:17:24.794,00:17:27.088,But it can be easily reheated in the microwave of evil!
00:17:27.171,00:17:29.257,"Well, I think your warranty's about to expire."
00:17:29.340,00:17:30.591,Maybe I got an extended warranty!
00:17:30.675,00:17:33.386,Warranties are invalid if you don't use the product for its intended purpose!
00:17:36.764,00:17:42.895,"Of course. That is, if Metro Man can withstand the full concentrated power of the sun!"
00:17:43.896,00:17:44.897,Fire!
00:17:55.157,00:17:56.742,Minion... fire?
00:17:56.909,00:17:59.328,"-Uh, it's still warming up, sir. -Come again?"
00:17:59.412,00:18:00.788,"-Warming up, sir. -Warming up?"
00:18:00.913,00:18:02.915,The sun is warming up?
00:18:03.082,00:18:05.668,One second more...
00:18:05.835,00:18:07.962,and... just...
00:18:08.129,00:18:11.591,"tippy-tappy, tippy-tap-tap, tip-top more..."
00:18:11.716,00:18:14.468,-Honestly! -...and we are ready in just....
00:18:16.095,00:18:17.346,I told you to have things ready.
00:18:17.555,00:18:19.348,-I told you countless times. -Hang on one second...
00:18:21.267,00:18:23.019,My spider bite is acting up!
00:18:23.185,00:18:25.563,Your plan is failing. Just admit it.
00:18:25.646,00:18:27.106,"Yeah, good luck with that one."
