start,end,script
00:03:27.041,00:03:28.416,"Oh, crap!"
00:03:40.428,00:03:44.224,"Well, Nick the Dick!"
00:03:45.392,00:03:47.268,Fishing in Cuernavaca.
00:03:47.268,00:03:48.854,I'm sure you are.
00:03:48.854,00:03:51.190,"What do you say we take a look at your catch, huh?"
00:03:51.190,00:03:52.524,Come on.
00:03:59.823,00:04:02.159,"Oh, me, I would have thrown them back!"
00:04:08.040,00:04:11.001,"So, Nick, what do you get?"
00:04:11.001,00:04:15.172,"Hope you saved it all for your lawyer, my friend, because you are gonna need it."
00:04:19.676,00:04:21.136,We'll take it from here.
00:04:21.136,00:04:22.846,Who the hell are you?
00:04:22.846,00:04:24.472,"INS, Division Six."
00:04:24.472,00:04:27.142,JANUS: Division Six?
00:04:27.142,00:04:29.103,Really?
00:04:29.103,00:04:31.105,"Who you got your money on, Dee?"
00:04:31.105,00:04:32.355,"Tough call, Kay."
00:04:33.565,00:04:35.234,"What's up, how are you?"
00:04:35.234,00:04:36.944,"Good, good."
00:04:36.944,00:04:38.445,Okay.
00:04:38.445,00:04:40.030,"Grandma, don't worry."
00:04:40.030,00:04:43.033,Welcome to the United States.
00:04:43.033,00:04:45.702,"Where are you going, Nogales?"
00:04:45.702,00:04:47.871,Looking for work?
00:04:47.871,00:04:51.750,"And you, the same?"
00:04:51.750,00:04:53.668,Pleasure seeing you here.
00:04:53.668,00:04:55.587,And you?
00:04:55.587,00:04:59.091,What if I break your face?
00:05:01.384,00:05:05.305,"You're very ugly, no?"
00:05:05.305,00:05:08.892,"You don't speak a word of Spanish. Ha, ha."
00:05:08.892,00:05:10.435,"We got a winner here, Dee."
00:05:10.435,00:05:11.853,"Oh, I know!"
00:05:11.853,00:05:14.564,The rest of you can leave!
00:05:14.564,00:05:16.357,Don't move!
00:05:16.357,00:05:17.901,Get in the truck and leave.
00:05:17.901,00:05:19.945,"Sir! Sir, you can't just..."
00:05:19.945,00:05:21.822,"Don't sir me, young man."
00:05:21.822,00:05:24.032,You have no idea who you're dealing with.
00:05:25.742,00:05:29.788,Get in the truck right now!
00:05:29.788,00:05:32.582,We're gonna have a little chat with our friend here.
00:05:32.582,00:05:34.751,You fellows can hit the road.
00:05:34.751,00:05:37.879,Keep on protecting us from the dangerous aliens.
