start,end,script
00:12:29.623,00:12:31.250,BOO YA!
00:12:33.544,00:24:18.623,FINE MEN'S WEAR MUSIC PAD OUT NOW - ALOHA SHADY CHIC BIGGEST HIT OF 1968 FANCY'S THE SAINT BEWITCHED THE DATING GAME MR SPIKEY VILLAIN INTERNATIONAL VILLAIN CONVENTION NEW YORK ORLANDO BANK VILLAIN-CON INTERNATIONAL ORLANDO COMING SOON!
00:24:29.259,00:26:59.617,BAIT SHOP PARKING LUV - 2 - ROB NEW YORK VILLAIN-CON INTERNATIONAL WELCOME TO VILLAIN-CON 1968 GREEN WEAPON FREEZE-RAY ON SALE FOR THE FIRST TIME POISONS HENCHMAN PLACEMENT SPECIALIST SHUT UP! AND WAIT YOUR TURN AHEAD OF OUR TIME SINCE 1945 SAFE CRACKING 1 MINUTE ONLY!
00:27:15.925,00:34:42.622,SCARLET OVERKILL I Missed You! H.
00:35:58.489,01:08:48.332,CAMPBELL'S CONDENSED TOMATO SOUP Tower of London - London THE CROWN JEWELS TOWER OF LONDON HOME OF THE QUEEN'S CROWN STRICTLY PROHIBITED KEEP OUT SWORD IN THE STONE NEWS AUSTRALIA INDIA AiR BRiTANNiA WE LOVE U BOB BOB IS HERE TO STAY CARNABY STREET BIG BEN GOD SAVE THE QUEEN SORRY FOR YOUR LOSS SORRY SCARLET ABBEY PIG'S SPLEEN SINCE 1967 BREAKING NEWS DO NOT PUSH THIS BUTTON DO NOT FLIP THIS SWITCH DO NOT PULL THIS LEVER!
01:08:54.130,01:12:42.524,DO NOT BLOW IN THIS HOLE TNT GOD SAVE THE QUEEN QUEEN FIASCO!
00:01:21.750,00:01:23.875,Whoo-hoo-hoo!
00:01:23.917,00:01:25.667,Whee-hoo-hoo!
00:01:25.709,00:01:28.333,Hey! Yo!
00:01:45.375,00:01:47.000,Minions.
00:01:47.041,00:01:51.959,Minions have been on this planet-- far longer than we have.
00:01:52.000,00:01:53.709,They go by many names.
00:01:53.750,00:02:01.083,"Dave, Carl, Paul, Mike-- Oh-- Oh, that one is Norbert."
00:02:01.125,00:02:03.000,He's an idiot.
00:02:03.041,00:02:09.500,"They're all different, but they all share the same goal: To serve the most despicable master they could find."
00:02:09.542,00:02:11.417,Ooh!
00:02:16.750,00:02:21.750,Making their master happy was the tribe's very reason for existence.
00:02:21.792,00:02:25.291,"Well, that's not to say that they didn't have other passions."
00:02:25.333,00:02:27.667,"Oh! Ha, hey!"
00:02:30.750,00:02:31.792,Banana!
00:02:31.834,00:02:34.000,Yum-yum! Huh?
00:02:34.041,00:02:36.041,Finding a boss was easy.
00:02:37.375,00:02:40.542,"But keeping a boss, therein lies the rub."
00:02:57.542,00:02:59.083,Oh!
00:03:06.875,00:03:08.875,Oh!
00:03:16.417,00:03:19.417,Aye. Oh.
00:03:20.291,00:03:21.959,Hmm. Oof!
00:03:22.000,00:03:25.041,Nope. It wasn't easy for these guys.
00:03:25.083,00:03:27.333,But they never gave up!
00:03:27.375,00:03:29.333,With the emergence of the Stone Age...
00:03:29.375,00:03:31.917,came the rise of a new species.
00:03:31.959,00:03:35.291,Man was very different from the dinosaur.
00:03:35.333,00:03:40.000,"He was shorter, hairier-- and way, way smarter."
00:03:45.542,00:03:50.458,The Minions took an instant liking to man-- - and helped him the best they could.
00:03:53.291,00:03:56.000,"Oh, no!"
00:03:58.291,00:03:59.500,Hmm?
00:03:59.542,00:04:01.208,"Oh, oh!"
00:04:07.875,00:04:09.417,Poor man.
00:04:09.458,00:04:11.792,So trusting. So fragile.
00:04:11.834,00:04:14.834,So-- So delicious.
00:04:14.875,00:04:17.959,Their quest for a boss put the Minions front and center...
00:04:18.000,00:04:21.041,for some of civilization's most historic moments.
00:04:23.333,00:04:25.458,Anubis!
00:04:26.834,00:04:29.208,Ancient Egypt held great promise.
00:04:30.834,00:04:32.500,Okay!
00:04:32.542,00:04:34.208,Pancake!
00:04:36.625,00:04:38.208,But it didn't last long.
00:04:38.250,00:04:40.250,Hmm. Oh.
00:04:40.291,00:04:42.625,Ow!
00:04:43.625,00:04:46.291,The Dark Ages were actually fun times.
