start,end,script
00:49:07.819,00:49:11.531,"You've been very secretive about how you vote, what you're voting for."
01:17:20.385,01:17:22.721,"You were really major at midterms, honey."
00:00:43.460,00:00:46.963,This is the first one that I started when I was 13.
00:00:49.382,00:01:00.143,"My life, my career, my-- my dream… For a while, I wrote with quill and ink."
00:01:00.226,00:01:04.689,"That was a phase I went through. Like, I had a glass quill with, like, an ink jet."
00:01:07.525,00:01:15.658,"You know, my entire moral code, as a kid and now, is a need to be thought of as good."
00:01:15.992,00:01:18.828,That's dangerous. That's not-- That's dangerous for you.
00:01:20.246,00:01:23.083,It was all I wrote about. It was all I wanted.
00:01:23.166,00:01:28.088,It was the complete and total… belief system that I subscribed to as a kid.
00:01:30.006,00:01:31.382,Do the right thing.
00:01:31.466,00:01:32.926,Do the good thing.
00:01:33.009,00:01:46.356,"And obviously, I'm not a perfect person by any stretch, but overall, the main thing that I always tried to be was… um… like, just… like, a good girl."
00:01:54.030,00:01:57.617,"a multitalented performing artist from Reading, Pennsylvania."
00:01:58.618,00:02:00.703,Please welcome Taylor Swift!
00:02:06.751,00:02:13.299,"one of my first memories of country music was when I was six years old, and my parents took me to see LeAnn Rimes in concert."
00:02:19.013,00:02:19.931,happy!
00:02:32.235,00:02:35.989,"See, that's-- that's Sony Music, right there."
00:02:46.457,00:02:50.044,"Hey, this is Taylor Swift, and thanks for listening to Cat Country 98.1."
00:02:52.755,00:02:54.716,You're doing a good job at being a musician.
00:02:55.008,00:02:58.219,"Like, those pats on the head were all I lived for."
00:02:58.303,00:03:02.557,"No one's going to be watching this 'cause it's my home video, but… right here, look at that."
00:03:02.640,00:03:39.052,Look at that. Sixty… that… that was it.
00:05:44.594,00:05:52.769,I'm so… Everybody was so happy watching it.
00:06:37.772,00:06:49.409,"I've just been, like, running up and down stairs, like, moving things around, unpacking boxes, like… …trying not to think about you calling me with Grammy nominations."
00:06:52.745,00:06:54.080,the full list.
00:06:54.163,00:07:03.756,"Because right now, um, in the main… the big categories of album, record, song… um, you are not nominated."
00:07:07.009,00:07:18.729,"-And-- -Uh, okay, it's-- it's, um… Everything is like this cr-- You know, it's so weird, I said-- If-- This is… You know what? Like, this is fine."
00:07:20.064,00:07:21.899,I just need to make a better record.
00:07:25.570,00:07:27.864,"No, I'm making… I'm making a better record."
00:07:31.117,00:07:33.995,"I'm still waiting for the pop… you know, the pop categories."
00:07:34.078,00:07:36.038,Those should be hitting any second.
00:07:37.915,00:07:40.293,"So, do you want me to call you right back when those hit?"
00:07:41.002,00:07:41.961,Sure.
00:08:51.572,00:09:32.780,"And I guess it's, like… The only thing I have-- I really have minimal stuff, but it's like… And, like… First verse, and, like, maybe a lower volume so you can hear -what lyrics I'm trying to say. -Yeah."
00:10:05.271,00:10:06.397,-Damn. -Holy shit!
00:10:06.480,00:10:09.567,"Oh, my God, did we just do, like, this whole verse and chorus?"
00:10:11.235,00:10:12.069,Holy shit.
00:10:24.290,00:10:25.541,This means it's working.
00:10:39.930,00:10:47.021,"If I don't beat everything I've done prior, it'll be deemed as, like, a colossal failure."
00:10:47.647,00:10:51.776,"Maybe first I could talk to you about, um, kind of new album stuff."
00:10:52.234,00:11:00.034,There's gonna be from… from 16 to 20 songs on it… is what I'm guessing it's gonna end up at.
00:11:02.912,00:11:04.664,That's what-- that's what I was hoping for.
00:11:18.177,00:11:24.892,"niche specialty thing that they do… that, you know, sets them apart from everybody else."
00:11:26.060,00:11:29.980,And… my storytelling is what it is for me.
00:11:30.064,00:11:35.611,"I-I… I know that, without me writing my own songs, I wouldn't… be here."
00:11:54.714,00:11:56.674,where we feel like we grew up together.
00:11:56.966,00:12:05.015,"I'll-- I'll be going through something, write the album about it, and then it'll come out, and… sometimes it'll just coincide with what they're going through."
00:12:05.474,00:12:08.978,Kind of… Kind of like they're reading my diary.
00:12:30.332,00:12:31.167,Okay.
00:12:32.877,00:12:38.716,"This is a song I wrote yesterday, and… it's about a girl who's just different."
00:12:39.508,00:12:43.637,And I really like it because it's just s-so happy.
00:13:09.121,00:13:13.667,"I have to be honest with you, this song was seriously finished five minutes ago."
00:13:13.751,00:13:47.451,"So, you know, I usually have these things memorized, but… I just finished it five minutes ago, so… I started playing guitar and wrote a couple songs, and I've written 150 songs and written every song on this album, so… I actually came up with the concept for it in math class my freshman year."
00:13:47.535,00:13:50.412,"You know, I've had a single out now for about a month."
00:13:54.959,00:14:03.968,I want each and every one of you to call 'em up… and tell 'em you wanna hear a song called Tim McGraw by this girl named Taylor Swift.
00:14:19.775,00:14:25.447,A 16-year-old girl released her debut country music album and dreamed of making it big.
00:14:25.531,00:14:28.868,"Well, today that girl is as big as it gets."
00:14:28.951,00:14:33.289,"In the past year, she has taken Nashville and country music on an unforgettable trip around the world."
00:14:38.168,00:14:40.629,to write and perform a number one country song.
00:14:40.713,00:14:44.008,"I give myself, like, five seconds a day to be like, Yes, this is happening!"
00:14:45.968,00:14:48.095,I'm trying to figure out how I'm gonna make it last.
00:14:51.891,00:14:53.100,Taylor Swift!
00:15:01.525,00:15:05.070,and my family for moving to Nashville so that I could do this.
00:15:06.322,00:15:18.208,And the fans… Thank you so much.
00:15:33.557,00:15:37.770,"a very spectacle-type live show, and I remember thinking, This feels like a dream."
00:15:37.853,00:15:39.897,This feels like a dream. This feels like a dream.
00:15:50.616,00:15:58.791,"and that is where you derive all of your joy and fulfillment, one bad thing can cause everything to crumble."
00:16:03.587,00:16:05.714,as angelic and as beautiful as this.
00:16:05.798,00:16:08.968,"Ladies and gentlemen, give it up for Taylor Swift."
00:16:13.389,00:16:21.105,And the Moonman for Best Female Video goes to… Taylor Swift.
00:16:35.911,00:16:42.251,"I always dreamed about what it would be like to maybe win one of these someday, but I never actually thought that would happen."
00:16:42.668,00:16:59.101,"Uh, I sing country music, so thank you so much for giving me a chance to win a VMA Award, I… Yo, Taylor… I-I'm really happy for you. I'mma let you finish, but Beyoncé had one of the best videos of all time!"
00:17:17.953,00:17:24.960,"and I was really excited because I had just won the award, and then I was really excited because Kanye West was on the stage."
00:17:25.044,00:17:28.714,"And then I, um… then I wasn't so excited anymore."
00:17:37.556,00:17:49.151,"I-I don't know him, and I-I've never met him, so… Are you still a fan? I take it no?"
00:17:49.318,00:17:54.865,"You know, I just… I don't know him, and I don't wanna start anything 'cause I just, you know, I had a great night tonight."
00:17:54.948,00:17:57.618,"Everyone is talking about this Kanye West thing, aren't they?"
00:17:57.701,00:18:06.585,"In case you're lucky enough to have missed it, Kanye West interrupted a young singer named Taylor Swift while she… President Obama calling Kanye West a jackass."
00:18:06.668,00:18:11.590,I can name you ten or 15 people that he wouldn't have gone up and taken that mic away from.
00:18:11.673,00:18:14.551,But he did it with a 17-year-old girl because he could.
00:18:23.727,00:18:26.522,"At the time, I didn't know they were booing him doing that."
00:18:27.022,00:18:28.774,I thought that they were booing me.
00:18:29.483,00:18:42.287,"For someone who's built their whole belief system on getting people to clap for you, the whole crowd booing… is a pretty… formative experience."
00:19:11.441,00:19:16.071,for a lot of psychological… paths that I went down.
