start,end,script
00:00:35.618,00:00:37.746,We were in a bar.
00:00:39.247,00:00:40.415,Having a drink.
00:00:41.666,00:00:43.251,Fuck.
00:00:44.252,00:00:49.591,I don't even know how I got here.
00:00:54.721,00:00:56.973,No one except you can help me.
00:01:02.395,00:01:05.315,"Come on, come on!"
00:01:05.732,00:01:07.817,Tell me the truth!
00:01:08.068,00:01:09.444,Come on!
00:01:09.903,00:01:11.446,They will kill me.
00:01:14.616,00:01:16.409,You asked me.
00:01:18.787,00:01:19.913,Come on!
00:01:24.626,00:01:26.002,Contact in Minsk.
00:01:30.089,00:01:34.427,Dmitriy Dmitriyev.
00:01:48.399,00:01:50.318,What's happened?
00:01:53.655,00:01:54.906,Here's to friends!
00:00:23.273,00:00:24.608,All right.
00:00:27.694,00:00:29.530,I don't know what to do.
00:00:30.864,00:00:33.659,I don't know what's happened.
00:00:35.744,00:00:37.371,We were in a bar.
00:00:39.206,00:00:40.666,Having a drink.
00:00:41.833,00:00:43.085,Fuck.
00:00:44.461,00:00:49.967,I don't even know how I got here.
00:00:51.468,00:00:52.928,"Come on, come on."
00:00:53.011,00:00:54.179,She's been under too long.
00:00:54.721,00:00:56.890,No one except you can help me.
00:01:05.857,00:01:07.776,Tell me the truth!
00:01:08.068,00:01:09.319,Come on!
00:01:14.658,00:01:16.159,You asked me.
00:01:18.495,00:01:19.705,Come on!
00:01:24.334,00:01:25.836,Contact in Minsk.
00:01:26.085,00:01:28.046,"The name, pal. Give us the name."
00:01:29.965,00:01:34.219,Dmitriy Dmitriyev.
00:01:48.525,00:01:50.319,What's happened?
00:01:53.363,00:01:54.531,Here's to friends!
00:02:15.761,00:02:16.678,Get rid of that scum.
00:02:25.520,00:02:27.064,MAN: Hold her still.
00:02:29.775,00:02:30.817,Come on.
00:02:56.510,00:02:57.761,Did we get it?
00:02:58.845,00:03:00.639,We got it.
00:03:56.361,00:03:57.988,"Would you like to watch a movie, Mr. Rosen?"
00:03:58.071,00:03:59.322,"No, thank you."
00:04:05.203,00:04:07.789,"Would you like to watch a movie, Mr. Phelps?"
00:04:07.873,00:04:10.333,"No, I prefer the theater."
00:04:10.417,00:04:12.794,Would you consider the cinema of the Ukraine?
00:04:14.921,00:04:16.798,Perhaps you'll choose one for me.
00:04:21.219,00:04:22.387,Thank you.
