start,end,script
00:00:35.577,00:00:38.497,Ball one to Johnny Damon and we are under way.
00:00:38.497,00:00:42.835,"Damon has eight hits in 18 at bats, a double, a triple, a couple of stolen bases."
00:00:42.835,00:00:45.004,He had four hits in the series opener.
00:00:46.296,00:00:47.965,Strike.
00:00:59.685,00:01:02.604,"Down the right-field line, fair off the bat of Damon."
00:01:02.604,00:01:05.733,It rolls by Spencer.
00:01:05.733,00:01:10.070,And Damon will coast into second base with a leadoff double.
00:01:14.241,00:01:17.870,"Into right-center field, broken bat, it'll fall, a base hit."
00:01:17.870,00:01:19.997,They wave around Damon.
00:01:19.997,00:01:25.669,And Jason Giambi delivers with a run-scoring single here in the opening inning.
00:01:25.669,00:01:28.296,And the Athletics have taken that 1-nothing lead.
00:01:28.296,00:01:30.298,"MAN: Go, come on. We gotta spin it."
00:01:36.597,00:01:39.725,"Let's go, Yankees!"
00:01:39.725,00:01:42.310,"Let's go, Yankees!"
00:01:42.310,00:01:44.939,"Let's go, Yankees!"
00:01:44.939,00:01:47.315,"Let's go, Yankees!"
00:01:47.315,00:01:49.234,ANNOUNCER 1: Bases loaded.
00:01:49.234,00:01:51.987,"The Yankees have the tying run at second, down 2-nothing."
00:01:58.368,00:02:01.663,The A's are kicking it and throwing it all over the field.
00:02:01.663,00:02:06.085,And it might lead to their elimination if they don't get it right in a hurry.
00:02:06.085,00:02:10.589,Hammered down the right-field line. Justice!
00:02:10.589,00:02:12.883,The Yankees have taken the lead.
00:02:18.472,00:02:24.686,"They're standing, anticipating another trip to the League Championship Series."
00:02:24.686,00:02:27.064,The Yankees one out away.
00:02:28.398,00:02:35.823,"ANNOUNCER 2: Eric Byrnes, never with an at bat in Yankee Stadium, and they don't get much bigger than this one."
00:02:35.823,00:02:39.576,Or more hectic when you're up there trying to get a job done.
00:03:01.765,00:03:04.977,And they're a strike away.
00:03:04.977,00:03:08.105,And they're roaring in the Bronx.
00:03:09.898,00:03:38.177,Losing the first two games at home in the best-of-five series and roar back to-- ANNOUNCER 1: The Yankees will defend their title.
00:03:48.687,00:03:59.322,"NEW YORK, NEW YORK It's okay, Joe, you can leave it on."
00:03:59.322,00:04:02.117,I don't need to watch.
00:04:02.117,00:04:03.368,Okay.
00:04:12.335,00:04:18.133,Imagine how bad it'd be if you were a Yankee player and didn't like the taste of champagne.
00:04:19.342,00:04:20.844,Better ask to get traded.
00:04:20.844,00:04:26.266,You gotta give the Yankees-- --win the big game.
00:04:26.266,00:04:30.020,ANNOUNCER 1: What a series that is gonna be in the next...
00:04:37.736,00:04:41.115,You know how many kids are wearing Giambi's--?
00:04:41.115,00:04:44.034,Giambi's jerseys and hats and pictures and posters?
00:04:44.034,00:04:47.579,HOST: Those same kids will be booing in July when the Yankees come here.
00:04:47.579,00:04:51.792,Is it Giambi that's stabbing the back or the Pinstripes on the East Coast?
00:04:51.792,00:04:54.753,CALLER: You can't blame them for pilfering the henhouse.
00:04:54.753,00:04:57.422,The henhouse is there.
00:04:57.422,00:05:00.383,They're offering $120 million over six years.
