start,end,script
00:04:01.533,00:04:02.868,Didn’t mean to.
00:04:04.411,00:04:05.787,You were outside?
00:04:05.871,00:04:08.373,-Why didn’t you wake me? -I wanted to be alone.
00:04:09.249,00:04:12.544,"I mean, I needed to clear my head and get the ideas flowing."
00:04:13.879,00:04:15.088,And did they?
00:04:16.590,00:04:17.549,No.
00:04:18.592,00:04:19.676,They will.
00:04:20.218,00:04:21.344,Don’t worry.
00:04:22.095,00:04:23.263,It’ll come.
00:04:27.601,00:04:30.061,-I must stink. -I like it.
00:04:30.353,00:04:31.563,I better shower.
00:06:31.600,00:06:33.310,-Can I grab these? -I got it.
00:06:48.825,00:06:50.076,Ooh.
00:06:50.577,00:06:51.995,Perfect.
00:06:52.746,00:06:54.205,You didn’t need to do all of this.
00:06:54.289,00:06:55.373,I wanted to.
00:06:55.582,00:06:56.917,You’ve been working so hard.
00:06:57.751,00:06:59.252,Yeah. Right.
00:07:54.891,00:07:56.017,Wait here.
00:08:11.282,00:08:12.826,-Come in. Please. -Thanks. Thanks.
00:08:12.909,00:08:14.661,Oh. Hello.
00:08:16.162,00:08:22.293,"So this gentleman here just started working at the hospital, and he thought we were-- -What do you do there? -I’m an orthopedic surgeon."
00:08:25.463,00:08:26.548,Research.
00:08:26.631,00:08:28.883,"Yes. I know, it’s a bit boring."
00:08:30.969,00:08:33.471,Sit for a second. Can we get you anything to drink?
00:08:33.555,00:08:35.724,No. That isn’t... That’s fine.
00:08:36.725,00:08:38.560,-Some tea? -Hmm?
00:08:38.643,00:08:40.353,"-Some tea? -No, no, no, no, no."
00:08:40.437,00:08:41.855,"Uh, I don’t..."
00:08:41.938,00:08:43.231,Uh...
00:08:45.108,00:08:46.484,But you must.
00:08:46.568,00:08:48.611,"A guest and a doctor? I mean, who knows?"
00:08:48.695,00:08:50.238,I might trip down the stairs one day.
00:08:52.073,00:08:53.533,-I’ll go make some. -Thank you.
00:08:55.493,00:08:56.745,Sorry for the mess.
00:08:56.828,00:08:58.830,We’re moving in after months of construction.
00:09:04.002,00:09:05.462,I thought it was your daughter.
00:09:40.872,00:09:41.873,Fine.
00:10:21.412,00:10:23.414,"this was an opera singer, late 20s."
00:10:23.498,00:10:29.254,Her femurs were rotated so far inward that she couldn’t spread her knees more than a foot apart.
00:10:32.924,00:10:35.135,-Where’d that come from? -I always carry a supply.
00:10:35.218,00:10:36.845,I never tasted something like this.
00:10:36.928,00:10:39.389,It’s hard to come by. I had to share.
00:10:39.472,00:10:40.473,Won’t you join?
00:10:40.557,00:10:42.433,Mmm. She’s not much of a drinker.
00:10:42.809,00:10:43.852,I drink.
00:10:43.935,00:10:45.895,"Here, let me put a little in your tea."
00:10:46.604,00:10:48.439,"I’m fine with tea, thank you."
00:10:51.109,00:10:53.862,The good doctor here is about to publish a major paper.
00:10:55.405,00:10:57.365,I still have reams of research to write up.
00:10:57.448,00:10:59.242,And he’s moved here to finish it.
00:11:00.118,00:11:02.328,And... And what brings you to us?
00:11:02.412,00:11:04.747,"Well, they told me I could find a room here."
00:11:04.831,00:11:06.916,He thought we were a bed and breakfast.
00:11:10.044,00:11:12.422,how this place is too big for the two of us.
00:11:15.592,00:11:20.638,"Well, I really should be going if I’m going to find another-- Nonsense. No, no. No, it’s late. Stay the night."
00:11:22.140,00:11:24.058,"Please. We’d enjoy the company, right?"
00:11:25.810,00:11:27.228,"Yes, of course."
00:11:28.271,00:11:29.772,-Are you sure? -Positive.
00:11:31.191,00:11:33.735,"Well, then I’ll just grab the rest of my stuff."
00:11:33.818,00:11:36.321,That’s incredibly kind and generous.
00:11:38.907,00:11:41.326,-You all right? -I’m fine.
00:11:47.373,00:11:48.625,Thanks.
00:11:49.751,00:11:51.252,We don’t know him.
00:11:51.336,00:11:53.588,-He’s a doctor. -He’s a stranger.
00:11:53.713,00:11:55.298,We’re just gonna let him sleep in our house?
00:11:56.549,00:11:58.301,You want me to ask him to leave?
00:12:02.180,00:12:03.932,-Is that all? -That’s everything.
00:12:05.767,00:12:07.185,"Um, we don’t smoke."
00:12:08.019,00:12:09.187,That’s smart.
00:12:10.521,00:12:12.273,"In the house, I mean."
00:12:12.774,00:12:13.858,Sorry.
00:14:02.383,00:14:05.053,"Oh, and this! I love this."
00:14:05.219,00:14:07.180,How come you have so many copies?
00:14:07.263,00:14:08.431,"Well, I wrote it."
00:14:09.057,00:14:10.558,"Oh, my."
00:14:12.560,00:14:14.854,-I’m a huge fan. -You’ve read it?
00:14:17.065,00:14:18.941,Your words have changed my life.
00:14:20.651,00:14:22.737,"Oh, I’m sorry. You must..."
00:14:22.820,00:14:24.405,You must hear that all the time.
00:14:24.489,00:14:26.074,"Not really, no."
00:14:30.703,00:14:31.913,What is that?
00:14:34.540,00:14:36.876,"This is very, very delicate."
00:14:37.919,00:14:40.088,It was a gift.
00:14:44.258,00:14:45.635,Is it from you?
00:14:49.097,00:14:50.098,No.
00:14:51.599,00:14:54.519,"When I was younger, I lost everything in a fire."
00:14:55.937,00:14:57.897,It’s hard to imagine what that means.
00:14:57.980,00:14:59.273,Losing everything.
00:14:59.357,00:15:02.068,"Your memories, your work, even your dirty toothbrush."
00:15:02.193,00:15:07.532,I didn’t even know if I could ever create again until I found this in the ashes.
00:15:09.242,00:15:10.660,Isn’t that remarkable?
00:15:12.203,00:15:14.497,It gave me the strength to start again.
00:15:15.373,00:15:16.874,And then I met her.
00:15:16.958,00:15:18.042,You.
00:15:18.501,00:15:21.421,And she breathed life back into every room.
00:15:21.504,00:15:23.172,She redid all of it.
00:15:23.881,00:15:25.216,Every last detail.
00:15:26.551,00:15:28.428,-By yourself? -Mmm-hmm.
00:15:28.845,00:15:30.054,Wow.
00:15:30.138,00:15:31.973,So you’re not just a pretty face.
00:15:34.392,00:15:37.603,I just came up to say I’m gonna get ready for bed.
00:15:40.857,00:15:42.442,You okay? Want some water?
00:15:43.025,00:15:44.026,Are you all right?
00:15:49.240,00:15:50.450,I’ll be up soon.
00:15:51.659,00:15:53.369,Sure you don’t want some water?
00:15:53.453,00:15:54.871,Just a little bit.
00:15:54.954,00:15:55.955,Here you go.
00:15:56.998,00:15:58.291,Sit down.
00:16:49.133,00:16:50.718,Is everything all right?
00:16:50.801,00:16:52.887,He drank too much. He’ll be fine.
00:16:55.806,00:16:57.975,-What is... -Give him some privacy.
00:16:59.352,00:17:01.187,"Okay, get it out."
00:17:01.479,00:17:02.772,Just get it all out.
00:18:56.052,00:18:57.219,Smells great.
00:18:57.595,00:18:59.013,What happened last night?
00:18:59.096,00:19:01.057,I couldn’t sleep. I got so excited.
00:19:01.849,00:19:02.975,From what?
00:19:03.100,00:19:04.810,His stories. I love the man’s mind.
00:19:05.603,00:19:10.149,"It is so inspiring, speaking with someone who really appreciates the work."
00:19:11.400,00:19:12.610,I love your work.
00:19:14.111,00:19:16.781,Of course you do. I know that.
00:19:19.700,00:19:21.035,So is he better?
00:19:26.374,00:19:29.001,"-Is he all right? -Fine, fine. One sec."
00:19:38.678,00:19:40.513,"Oh, sorry. Just need a light."
00:19:41.722,00:19:43.724,Don’t worry about it. I’ll take it outside.
00:19:47.520,00:19:49.313,-Morning. -Good morning.
00:19:50.481,00:19:52.149,How are you feeling?
00:19:52.233,00:19:53.275,Wonderful.
00:19:55.861,00:19:57.321,You’re all better?
00:19:57.738,00:19:58.781,Better?
00:20:01.784,00:20:03.828,-How did you sleep? -Like a baby.
00:20:05.121,00:20:07.623,Really vivid dreams. Must be the air.
00:20:13.170,00:20:15.172,"No, don’t. I’ll get it."
00:20:25.766,00:20:27.017,-Hello. -Hello.
00:20:27.143,00:20:28.811,"-Can I help you? -Ah, you made it!"
00:20:29.687,00:20:31.063,My better half.
00:20:39.780,00:20:41.282,Nice to meet you.
00:20:41.907,00:20:44.410,"-Oh, the pleasure is mine. -Well, come in."
00:20:47.955,00:20:49.915,I didn’t realize you were married.
00:20:50.166,00:20:51.208,Really?
00:20:53.127,00:20:54.336,Breakfast!
00:21:06.474,00:21:08.142,"-No, don’t! -Oh!"
00:21:09.727,00:21:11.854,"-Oh, sorry. -I got it!"
00:21:15.900,00:21:17.651,-Are you all right? -I think so.
00:21:17.735,00:21:19.403,You’re okay. Ice.
00:21:19.528,00:21:20.696,Ice!
00:21:26.410,00:21:27.536,Oh.
00:21:31.499,00:21:32.833,It’s very nice to meet you.
00:21:49.892,00:21:52.102,I was getting used to being alone.
00:21:55.397,00:21:57.066,...it just happened for us.
00:21:57.525,00:22:02.571,"I saw her, and I knew she was the woman I wanted to spend the rest of my life with."
00:22:10.037,00:22:11.622,"You believe me, right?"
00:22:20.464,00:22:23.300,-Did you have any doubts? -No! Not a one.
00:22:23.884,00:22:26.262,"You guys understand that kind of connection, right?"
00:22:27.304,00:22:28.305,You must.
00:22:28.389,00:22:30.099,"I mean, you’re both so different."
00:22:30.182,00:22:32.059,It must have been what pulled you together.
00:22:32.476,00:22:34.061,You’re so beautiful. Come here.
