start,end,script
00:01:50.541,00:01:51.375,Morning.
00:01:52.291,00:01:53.125,Bye.
00:01:53.208,00:01:54.333,"No, shoot."
00:01:54.416,00:01:56.625,Can we do that thing? Can you have the sign?
00:01:56.708,00:01:59.250,Take a picture holding a first-day-of-school sign?
00:01:59.333,00:02:01.583,"No, Mom. I'm in 11th grade. I'm not doing that."
00:02:01.666,00:02:04.291,"Okay, don't do the sign, just a picture of yourself."
00:02:10.791,00:02:14.666,"Thank you. Have a great first day. Keep your head up high, Vivian."
00:02:23.000,00:02:24.166,You little shit.
00:03:47.291,00:03:49.250,"Did you hear, rankings are already starting?"
00:03:49.333,00:03:52.083,What? This is the first day.
00:03:52.166,00:03:55.250,"I mean, they haven't even had time to, like, look at us yet."
00:03:55.333,00:03:59.458,Are they basing their decisions on summer? Because nobody even saw us this summer.
00:03:59.541,00:04:03.125,Unless someone was spying on us playing Mario Kart in your mom's basement.
00:04:03.208,00:04:05.625,I might get ranked Best Power Slide on Rainbow Road.
00:04:05.708,00:04:08.000,-Should we have gone to a pool? -It doesn't matter.
00:04:08.083,00:04:11.541,Emma Cunningham's gonna get ranked Most Bangable for the second year.
00:04:11.625,00:04:14.666,It's not like she's been in a horrific car accident or anything.
00:04:17.208,00:04:20.500,"No, please, block the sidewalk to admire her nails."
00:04:20.583,00:04:22.291,-Hi. -There we go.
00:04:22.375,00:04:25.375,"That wasn't so hard, was it? No, it was not."
00:04:29.000,00:04:30.875,Did you hear she and Mitchell Wilson broke up?
00:04:30.958,00:04:32.500,I heard he broke up with her.
00:04:36.958,00:04:39.833,-It's so nice not to be on anyone's radar. -Totally.
00:04:44.208,00:04:47.375,It's gonna be Kiera Pascal for Best Ass again. For sure.
00:04:49.708,00:04:52.125,Do they know how much running and jumping she's doing?
00:04:55.750,00:04:58.375,and will probably take Best Rack from Olivia Day-Young.
00:05:01.458,00:05:03.375,"Eyes on the prize, my dear."
00:05:03.458,00:05:07.333,Just two more years and we will be safely tucked away in a lab at Berkeley.
00:05:07.416,00:05:09.458,What prompt will you do for the essay?
00:05:09.541,00:05:12.750,-Because those questions are stressful. -I'm doing the service one.
00:05:12.833,00:05:17.333,"I'm talking about how much I've grown from volunteering at the VFW, blah, blah, blah."
00:05:19.541,00:05:21.916,-Do you have Mr. Davies for English? -Uh-huh.
00:05:22.000,00:05:24.625,Beware. He calls on anyone who sits in the front row.
00:05:24.708,00:05:26.083,What would I do without you?
00:05:27.208,00:05:28.958,I guess we'll never find out.
00:05:39.333,00:05:41.333,-You can put your valued things. -Thanks.
00:05:48.250,00:05:49.500,Did you miss me?
00:05:49.583,00:05:50.916,-Seriously? -Where you going?
00:05:51.000,00:05:53.375,-Stop. -I got a seat right here for you.
00:05:53.458,00:05:56.416,"Okay, let's wrap up the conversations."
00:05:56.500,00:05:59.500,"Stop talking, please."
00:05:59.583,00:06:03.958,"Unless one of you young people fixed global warming, your summer vacations were boring."
00:06:04.041,00:06:06.416,"Whoa, Mike, you're not starting class without me?"
00:06:07.000,00:06:09.208,"-Wow, what a treat. Mr. Wilson's here. -Sorry."
