start,end,script
00:00:21.146,00:00:56.056,Captioning sponsored by 20th CENTURY FOX Bald Eagle calling Tippytoe.
00:00:56.097,00:00:57.432,Over.
00:00:57.474,00:01:01.603,Bald Eagle calling Tippytoe. Over.
00:01:01.645,00:01:03.772,"Tippytoe, come in."
00:01:04.147,00:01:06.400,This is Tippytoe.
00:01:06.441,00:01:08.736,Did you receive the souvenir package? Over.
00:01:08.777,00:01:10.111,Package received.
00:01:10.153,00:01:12.113,"Is it snowing there now, Dad?"
00:01:12.155,00:01:15.075,"I wouldn't know, kiddo, because I'm in Marrakech."
00:01:15.116,00:01:16.911,"This is the big one, buddy."
00:01:16.952,00:01:18.495,A dream come true.
00:01:18.537,00:01:20.121,We've been compromised.
00:01:20.163,00:01:22.123,Kiss her for me!
00:01:22.165,00:01:25.126,This is Mama Bird.
00:01:26.461,00:01:28.797,You get to sleep.
00:01:28.839,00:01:31.132,"Guess where I am now, pal."
00:01:32.968,00:01:34.302,"Papua, New Guinea."
00:01:34.344,00:01:37.096,Makes the old Guinea look like nothing.
00:01:39.474,00:01:42.269,Bald Eagle calling Tippytoe.
00:01:42.310,00:01:45.064,Bald Eagle calling Tippytoe.
00:01:45.146,00:01:47.148,Over.
00:01:47.190,00:01:48.901,I can reach now.
00:01:48.943,00:01:51.028,Wow.
00:01:51.070,00:01:53.488,Two months and 17 days.
00:01:51.070,00:01:55.407,"Well, don't worry, because Samoa is what we've been looking for."
00:01:55.449,00:01:57.158,This one is going to be my legacy.
00:01:57.200,00:01:59.745,Yeahbsolutely.
00:02:17.178,00:02:19.139,calling Tippytoe. Over.
00:02:21.433,00:02:23.811,calling Tippytoe. Over.
00:02:23.852,00:02:26.063,Tippytoe to Bald Eagle.
00:02:26.105,00:02:27.689,Over.
00:02:27.731,00:02:30.150,Come in.
00:02:30.191,00:02:31.359,"Hey, kiddo."
00:02:31.401,00:02:33.988,I'm right on the verge of something big here.
00:02:34.029,00:02:36.406,But... I'm not going to make it home for your birthday.
00:02:36.448,00:02:41.202,"I'm really sorry, but opportunities like this are hard to find, son."
00:02:47.417,00:02:50.378,"Opportunities like this are hard to find, Franklin."
00:02:50.420,00:02:54.215,I'm about to bag a rare species on this little expedition.
00:02:54.257,00:02:57.260,15 F.A.R.-- that's a million absolute.
00:02:57.302,00:02:58.846,And a landmark building.
00:02:58.887,00:03:01.222,"Ah, don't thank me."
