start,end,script
00:01:00.227,00:03:11.441,A shock inside me That words just can't describe BOTH: And there's no explaining Something in the way you move I can't deny Every word from your lips is a lullaby A twist of fate makes life worthwhile You are gold and silver I said I wasn't gonna lose my head -But then pop goes my heart -Pop goes my heart I wasn't gonna fall in love again But then pop goes my heart ALL: Pop goes my heart And I just can't let you go I can't lose this feeling These precious moments We have so few Let's go far away Where there's nothing to do but play You've shown to me That my destiny's with you And there's no explaining I said I wasn't gonna lose my head But then pop goes my heart ALL: Pop goes my heart I wasn't gonna fall in love again But then pop goes my heart ALL: Pop goes my heart And I just can't let you go I can't lose this feeling A twist of fate makes life worthwhile You are gold and silver I said I wasn't gonna lose my head -But then pop goes my heart -Pop goes my heart I wasn't gonna fall in love again -But then pop goes my heart -Pop goes my heart And I just can't let you go But today they're best known as Colin Thompson's old group.
00:03:11.524,00:03:21.284,"Colin, or as he's been dubbed by the Queen, Sir Colin, has gone on to sell millions of records, starred in blockbuster films and create his own cologne, A Whiff of Colin."
00:03:21.368,00:03:22.785,But here's a question.
00:03:22.869,00:03:26.289,Can you remember the name of the other guy in PoP?
00:03:26.373,00:03:29.208,Whatever happened to Alex Fletcher?
00:03:30.042,00:03:34.046,Tonight we find out on Battle of the '80s Has-Beens.
00:03:35.507,00:03:37.717,We think it's gonna be bigger than American Idol.
00:03:38.718,00:03:40.136,"So, what do you think, Alex?"
00:03:40.220,00:03:41.763,"Well, I love it."
00:03:41.846,00:03:45.642,"It's brilliant on so many levels, I don't even know where to start."
00:03:45.725,00:03:46.768,DAVID: Good for you.
00:03:46.934,00:03:53.024,Because some of the people we've approached have had a little problem with the term has-been.
00:03:53.107,00:03:54.234,ALEX: Have they? Have they?
00:03:54.567,00:03:58.946,"You see, I, I don't share that. I am a happy has-been. Really."
00:03:59.071,00:04:01.366,It's a very clear statement: I live in the past.
00:04:01.449,00:04:03.243,Everything good I ever did was long ago.
00:04:03.326,00:04:05.662,So don't expect anything new or exciting from me now.
00:04:05.745,00:04:08.665,Really takes the pressure off. Especially on a first date.
00:04:08.998,00:04:10.207,DAVID: Good for you.
00:04:11.083,00:04:15.547,"So, uh, we've already taped several shows and we're going to start airing them this week."
00:04:15.630,00:04:18.675,And some of the performers include REO Speedwagon.
00:04:18.758,00:04:20.927,-Speedwagon. -Flock of Seagulls.
00:04:21.010,00:04:22.094,The Flock? Okay.
00:04:22.345,00:04:24.013,"-Debbie Gibson, Tiffany... -ALEX: Debbie."
00:04:28.601,00:04:30.353,So Relax.
00:04:31.813,00:04:33.022,Nice one.
00:04:33.105,00:04:36.443,"Um, good. Okay. Worthy adversaries, all."
00:04:36.526,00:04:38.861,"Uh, and, um, how many songs would I actually get to perform?"
00:04:39.446,00:04:41.406,"I'd like to do two, you know?"
00:04:41.489,00:04:45.535,A ballad and then maybe a more up-tempo number where I get to shake it a bit.
00:04:46.619,00:04:50.957,I can't promise any of the acts that they'll be singing.
00:04:56.045,00:04:57.630,DAVID: Boxing.
00:04:59.466,00:05:03.678,That's why the show is called Battle of the '80s Has-Beens.
00:05:03.761,00:05:06.931,Only the winner gets to sing.
00:05:09.892,00:05:11.728,Oh.
00:05:14.606,00:05:17.024,"Right, right, right. Got you."
00:05:23.155,00:05:25.032,"-Afternoon, Mr. Fletcher. -Hello, Willy."
00:05:25.116,00:05:26.242,Have a good day.
00:05:26.326,00:05:28.160,"Yes, well, enjoyed it so far."
00:05:29.579,00:05:32.248,"-CHRIS: All right. There he is. -Oh, my manager."
00:05:32.332,00:05:35.251,"All right, listen, I had no idea they meant boxing."
00:05:35.335,00:05:37.211,"Nobody said a word to me, I swear."
00:05:37.294,00:05:39.922,"No, it's not a problem. I can definitely take Flock of Seagulls."
00:05:40.006,00:05:42.509,We did a tour with them in '89 and we beat them severely.
00:05:42.592,00:05:44.135,They cried like little girls.
00:05:44.218,00:05:47.889,"All right, listen. It's my fault and I hate myself for it, but I'm not upset."
00:05:48.014,00:05:49.557,And do you know why?
00:05:49.641,00:05:51.017,"Uh, you've been at my liquor."
00:05:51.768,00:05:53.520,Because of her.
00:05:54.479,00:05:56.773,CHRIS: Cora Corman. Biggest star in the world.
00:05:56.856,00:05:59.526,Bigger than Britney and Christina put together.
00:05:59.776,00:06:02.862,And guess who she loves.
00:06:03.195,00:06:04.238,Her country?
00:06:05.114,00:06:09.285,"You. She's a huge PoP fan and she wants to meet you, Alex."
00:06:14.499,00:06:15.625,"Khan, I've missed you."
00:06:15.708,00:06:17.919,"KHAN: Alex, I have Sophie here for you."
00:06:18.002,00:06:19.504,"Uh, that sounds like fun. Who is she?"
00:06:19.712,00:06:21.631,She's here to do your plants.
00:06:21.714,00:06:23.299,"ALEX: Uh, but Jane does my plants."
00:06:23.382,00:06:27.512,"She says she can be in and out in five minutes, and this is really the best time for her."
00:06:27.595,00:06:29.722,It seems she cannot be stopped. Send her up.
00:06:30.389,00:06:32.642,So start again. Cora Corman.
00:06:32.725,00:06:35.728,Why do you have a plant lady? Why do you even have plants?
00:06:36.395,00:06:43.194,"Because from time to time, ladies accompany me back to the apartment, and one of them once mentioned that plants make women feel comfortable."
00:06:43.277,00:06:46.030,Is that true? Plants make women comfortable?
00:06:46.698,00:06:49.617,"Well, maybe if I had plants I'd still be married."
00:06:49.701,00:06:51.160,"Yes, I think that was the problem."
00:06:51.243,00:06:55.122,"Not Susan's affair and raging nymphomania, but your lack of vegetation."
00:06:57.041,00:06:58.250,Hang on.
00:07:03.840,00:07:06.551,"-Hi, I'm Sophie Fisher. -I'm Alex Fletcher."
00:07:06.759,00:07:09.762,"-You didn't get the message from Jane? -No, no, no. I haven't listened to my..."
