start,end,script
00:03:55.527,00:03:57.112,"Over here, sir, over here."
00:04:55.962,00:04:58.256,"Freddy, go and find a cab."
00:04:58.673,00:05:00.967,Do you want me to catch pneumonia?
00:05:12.354,00:05:15.232,"Don't just stand there, Freddy. Go and find a cab."
00:05:15.565,00:05:16.900,"All right, I'll get it. I'll get it."
00:05:33.667,00:05:36.878,"Look where you're going, dear. Look where you're going."
00:05:36.962,00:05:38.171,I'm so sorry.
00:05:38.588,00:05:42.467,Two bunches of violets trod in the mud. A full day's wages.
00:05:43.927,00:05:45.846,"Freddy, go and find a cab."
00:05:49.850,00:05:51.852,"Oh, he's your son, is he?"
00:05:51.935,00:05:58.066,"Well, if you'd done your duty by him as a mother should, you wouldn't let him spoil a poor girl's flowers and then run away without paying."
00:05:58.191,00:06:00.277,"Oh, go about your business, my girl."
00:06:00.360,00:06:02.696,And you wouldn't go off without paying either.
00:06:03.446,00:06:06.283,Two bunches of violets trod in the mud.
00:06:09.953,00:06:11.913,is there any sign of it stopping?
00:06:11.997,00:06:14.416,"-I'm afraid not. It's worse than before. -Oh, dear."
00:06:14.499,00:06:16.793,"If it's worse, it's a sign it's nearly over."
00:06:16.877,00:06:19.921,"Cheer up, captain. Buy a flower off a poor girl."
00:06:20.005,00:06:21.339,"I'm sorry, I haven't any change."
00:06:21.423,00:06:24.134,"Oh, I can change half a crown. Here, take this for two pence."
00:06:24.217,00:06:27.304,"I told you, I'm awfully sorry, I haven't-- Oh, wait a minute. Oh, yes."
00:06:27.554,00:06:29.472,"Here's three half pence, if that's any use to you."
00:06:30.056,00:06:31.099,"Thank you, sir."
00:06:39.274,00:06:41.318,"Here, you be careful. Better give him a flower for it."
00:06:41.735,00:06:45.864,There is a bloke here behind that pillar taking down every blessed word you're saying.
00:06:49.951,00:06:52.537,I ain't done nothing wrong by speaking to the gentleman.
00:06:52.829,00:06:55.540,I've a right to sell flowers if I keep off the curb.
00:06:55.749,00:06:57.876,"I'm a respectable girl, so help me."
00:06:58.043,00:07:00.795,I never spoke to him except to ask him to buy a flower off me.
00:07:02.923,00:07:06.051,"-There's a tec taking her down. -Well, I'm making an honest living."
00:07:06.134,00:07:08.553,-Who's doing all that shouting? -Where is it coming from?
00:07:10.013,00:07:13.224,"Oh, sir, don't let him charge me. They don't know what it means to me."
00:07:13.308,00:07:19.356,"They'll take away me character and drive me on the streets -for speaking to gentlemen. -There, there, there, there."
00:07:19.439,00:07:21.900,"Who's hurting you, you silly girl? What do you take me for?"
00:07:21.983,00:07:24.486,"-On my Bible oath, I never spoke a word. -Oh, shut up, shut up."
00:07:24.569,00:07:25.654,Do I look like a policeman?
00:07:25.737,00:07:29.115,Then what did you take down my words for? How do I know you took me down right?
00:07:29.199,00:07:31.034,You just show me what you wrote about me.
00:07:34.496,00:07:35.372,Oh.
00:07:39.542,00:07:41.503,What's that? That ain't proper writing. I can't read it.
00:07:41.795,00:07:42.712,I can.
00:07:42.921,00:07:47.008,"I say, captain, now, buy a flower off a poor girl."
00:07:50.178,00:07:52.555,"Oh, it's 'cause I called him captain."
00:07:53.264,00:07:58.937,"I meant no harm. Oh, sir, don't let him lay a charge -against me for a word like that. -Charge? I'll make no charge."
00:07:59.229,00:08:05.026,"Really, sir, if you are a detective, you needn't begin protecting me against molestation from young women until I ask you."
00:08:05.110,00:08:07.612,Anyone could tell the girl meant no harm.
00:08:07.737,00:08:10.782,He ain't no tec. He's a gentleman. Look at his boots.
00:08:10.907,00:08:12.867,How are all your people down at Selsey?
00:08:12.993,00:08:15.537,Who told you my people come from Selsey?
00:08:15.620,00:08:16.705,Never mind. They do.
00:08:17.831,00:08:21.751,How do you come to be up so far east? You were born in Lisson Grove.
00:08:22.627,00:08:26.095,"Oh, what 'arm is there my leaving Lisson Grove?"
