start,end,script
00:19:53.791,00:19:55.708,Wait for me!
00:19:56.333,00:19:58.250,Don't go!
00:20:10.666,00:20:12.125,Don't leave me.
00:20:15.750,00:20:17.208,Come back!
00:20:19.750,00:20:21.458,Don't leave me!
00:20:24.416,00:20:26.125,Don't go!
00:20:36.083,00:20:41.708,"It's me, daughter of Turning Water and Three Spotted!"
00:20:42.875,00:20:44.291,Come back!
00:33:31.333,00:33:32.875,Welcome.
00:33:32.958,00:33:34.375,I am friend.
00:33:35.250,00:33:37.000,You are Johanna?
00:33:38.666,00:33:42.000,My name is Cicada. I do not know Cho-hanna.
00:33:58.708,00:34:00.083,He's taking you home.
00:34:02.250,00:34:03.750,I have no home.
00:34:03.833,00:34:07.000,It was burned by soldiers when I was taken.
00:34:09.500,00:34:10.833,Your Kiowa family?
00:34:16.416,00:34:17.791,All dead.
00:35:07.833,00:35:10.416,He's taking you to another home.
00:53:46.041,00:53:49.375,Captain did a wondrous thing!
00:53:53.708,00:53:57.166,Three hands.
00:54:00.750,00:54:04.041,Three enemies dead.
00:54:12.916,00:54:16.833,His lightning brought us victory.
01:02:29.833,01:02:44.833,All the buffalo are dying… And we must choose… Make a stand or fall forever.
01:09:57.375,01:09:58.625,Horses.
01:14:17.291,01:14:18.291,Water.
01:17:52.041,01:17:53.916,They know we are here.
01:19:13.750,01:19:15.166,This way.
01:23:39.375,01:23:40.375,No.
01:23:41.833,01:23:49.333,To move forward… you must first remember.
01:26:44.458,01:26:45.583,Water.
01:34:04.500,01:34:07.458,"Wolf, he wouldn't listen."
01:35:38.000,01:35:39.166,What is that?
01:35:40.333,01:35:41.541,Books.
01:35:41.625,01:35:43.000,Stories.
01:35:44.625,01:35:48.333,There is no time for stories.
01:48:02.625,01:48:04.625,We did what we could.
01:48:27.583,01:48:32.166,You belong with me.
01:48:40.166,01:48:41.791,You belong with me.
00:02:23.916,00:02:26.583,"-Good evening, ladies and gentlemen. -Good evening."
00:02:27.541,00:02:30.041,It's good to be back with you all here in Wichita Falls.
00:02:30.125,00:02:36.083,"My name is Captain Jefferson Kyle Kidd, and I'm here tonight to bring y'all the news from across this great world of ours."
00:02:39.166,00:02:40.166,Pleasure.
00:02:40.958,00:02:44.375,"Now, I know how life is in these parts, working a trade sunup to sundown."
00:02:44.458,00:02:46.791,No time for reading newspapers. Am I correct?
00:02:48.541,00:02:50.208,Let me do that work for you.
00:02:50.291,00:03:00.041,"And maybe, just for tonight, we can escape our troubles and hear of the great changes that are happening out there."
00:03:03.041,00:03:04.125,"Starting local, then."
00:03:04.708,00:03:10.875,"Our own Houston Telegraph from 1st February, this news."
00:03:12.125,00:03:20.333,The meningitis epidemic continues to spread without prejudice across the Panhandle and North Texas region.
00:03:20.416,00:04:04.750,"So far, it has claimed of the state of Texas up there in the capital… -There. -Much obliged."
00:05:53.416,00:05:54.625,Hey!
00:05:56.916,00:05:57.916,Hey!
00:06:00.833,00:06:02.208,Hey!
00:06:02.833,00:06:03.958,Stop!
00:06:06.666,00:06:08.083,I'm not gonna hurt you!
00:06:10.333,00:06:11.333,Come here!
00:06:29.791,00:06:30.958,Who are you?
00:06:35.083,00:06:36.250,Do you have a name?
00:06:57.666,00:06:59.250,I don't speak Kiowa.
00:07:00.250,00:07:01.250,Come.
00:07:03.958,00:07:04.958,Come on.
00:07:07.000,00:07:09.416,It's all right. It's all right.
00:07:11.208,00:07:12.208,Come on.
00:07:13.750,00:07:15.541,You can't stay out here.
00:07:16.333,00:07:17.541,Give me your hand.
00:07:45.333,00:07:47.541,Johanna Leonberger.
00:07:49.333,00:07:50.583,Is that your name?
00:08:20.416,00:08:21.833,Go check it on that side.
00:08:28.083,00:08:29.791,"Where'd you serve, Captain?"
00:08:29.875,00:08:34.791,"Third Texas Infantry. Surrendered Galveston, 26th May, 1865."
00:08:35.708,00:08:36.708,Any sidearms?
00:08:36.791,00:08:37.833,"No, sir."
00:08:39.458,00:08:41.041,Just bird shot.
00:08:41.833,00:08:45.208,Says here you're from San Antonio. What's your business up here?
00:08:45.291,00:08:47.458,I read the news from town to town.
00:08:48.750,00:08:51.791,I was headed down to the Red River and-- and I seen him.
00:08:53.083,00:08:57.333,I think he was transporting this little girl here for the federal authorities.
00:09:00.500,00:09:02.375,Looks like the Indians had her.
00:09:04.750,00:09:08.166,Here's her agency papers. Just found them.
00:09:23.916,00:09:27.083,-You're good. -What the hell do I do with this child?
00:09:27.166,00:09:29.500,Fetch her to Red River. Command post will know.
00:09:29.583,00:09:31.958,"-Hyah. -Hyah, hyah."
00:10:03.166,00:10:05.625,when they cleared the Kiowa out of Montague County.
00:10:07.125,00:10:13.208,"You've been living with them since they kidnapped you, when they attacked your family in Hill Country six years prior."
00:10:15.583,00:10:16.916,Dear Heaven.
00:10:20.958,00:10:30.875,"Her mother, father and sister were… Well, they passed. But you have an aunt and an uncle."
00:10:33.583,00:10:35.458,Still living down there.
00:10:36.458,00:10:37.791,Near Castroville.
00:10:40.583,00:10:42.625,So that's where you were being taken.
00:10:45.750,00:10:47.166,I know Castroville.
00:10:48.250,00:10:50.333,I used to live near there before the war.
00:10:58.583,00:11:00.375,Lot of German folk down there.
00:11:07.333,00:11:10.500,Kannst du Deutsch sprechen?
00:11:11.291,00:11:29.083,"Kann-- Kannst du deine Familie… Remember your German family? Uh… Come tomorrow, we will find somebody who can take you home."
00:12:24.083,00:12:25.250,Come on. Uh-uh.
00:12:29.083,00:12:31.375,Pardon me. Lost child here.
00:12:35.583,00:12:37.375,"Much obliged. Bless you, sir."
00:12:37.458,00:12:38.625,I got a lost child.
00:12:41.000,00:12:42.083,Thank you.
00:12:49.125,00:12:52.291,-What's your business? -Here to see your Indian agent.
00:12:53.375,00:12:55.041,He's up north of the Red.
00:12:55.125,00:12:56.750,On the reservation.
00:12:57.458,00:13:00.125,"Well, I found this child, see."
00:13:00.208,00:13:04.833,And the lieutenant who was patrolling the road told me to bring her to see you.
00:13:07.916,00:13:09.333,What do you expect me to do?
00:13:09.416,00:13:10.958,She needs taking home.
00:13:11.041,00:13:13.625,The agent won't be back for another three months.
00:13:13.708,00:13:15.916,Strays are his responsibility.
00:13:16.000,00:13:18.166,Looks like you'll need to take her.
00:13:18.250,00:13:19.791,"I can't take her, sir."
00:13:19.875,00:13:22.791,I work and travel from town to town.
00:13:22.875,00:13:24.500,I can't take her.
00:13:25.500,00:13:26.541,"Listen, friend."
00:13:27.166,00:13:30.083,Wait for the agent or take her yourself. It's up to you.
00:13:33.416,00:13:34.666,"If you will, please."
00:14:17.208,00:14:19.625,"Good to lay eyes on you, Captain."
00:14:19.708,00:14:21.166,"Hello, Simon."
00:14:22.041,00:14:24.958,Wonder if I could have a word with you and Mrs. Boudlin.
00:14:26.375,00:14:27.833,"Well, of course, sir."
00:14:34.250,00:14:36.166,"Wait for the agent, it appears."
