start,end,script
00:00:44.085,00:00:45.880,My grandfather was a lawman.
00:00:45.921,00:00:48.549,"Father, too."
00:00:48.590,00:00:53.428,"Me and him was sheriffs at the same time, him up in Plano and me out here."
00:00:53.470,00:00:55.389,I think he's pretty proud of that.
00:00:56.598,00:00:58.141,I know I was.
00:00:59.768,00:01:03.188,Some of the old-time sheriffs never even wore a gun.
00:01:03.230,00:01:05.148,A lot of folks find that hard to believe.
00:01:05.190,00:01:06.775,Jim Scarborough never carried one.
00:01:06.817,00:01:08.402,That's the younger Jim.
00:01:08.443,00:01:13.032,Gaston Boykins wouldn't wear one up in Comanche County.
00:01:13.073,00:01:15.826,I always liked to hear about the old-timers.
00:01:16.660,00:01:20.039,Never missed a chance to do so.
00:01:20.080,00:01:28.171,You can't help but compare yourself against the old-timers can't help but wonder how they'd have operated these times.
00:01:28.213,00:01:32.342,There's this boy I sent to the electric chair at Huntsville here a while back.
00:01:33.260,00:01:36.013,My arrest and my testimony.
00:01:37.932,00:01:41.268,He killed a 14-year-old girl.
00:01:41.309,00:01:46.648,"Papers said it was a crime of passion, but he told me there wasn't any passion to it."
00:01:46.690,00:01:50.945,Told me he'd been planning to kill somebody for about as long as he could remember.
00:01:50.986,00:01:53.948,"Said if they turned him out, he'd do it again."
00:01:53.989,00:01:55.783,Said he knew he was going to hell.
00:01:56.825,00:01:59.119,Be there in about 15 minutes.
00:01:59.160,00:02:00.829,I don't know what to make of that.
00:02:02.039,00:02:03.665,I sure do don't.
00:02:05.626,00:02:08.754,"The crime you see now, it's hard to even take its measure."
00:02:10.297,00:02:13.759,It's not that I'm afraid of it.
00:02:13.801,00:02:18.555,I always knew you had to be willing to die to even do this job.
00:02:18.597,00:02:26.187,But I don't want to push my chips forward and go out and meet something I don't understand.
00:02:30.067,00:02:33.028,A man would have to put his soul at hazard.
00:02:34.613,00:02:36.364,"He'd have to say, Okay."
00:02:40.869,00:02:42.913,I'll be part of this world.
00:02:44.456,00:02:47.459,"Yes, sir, I just walked in the door."
00:02:47.501,00:02:55.926,"Sheriff, he had some sort of thing on him, like a oxygen tank for emphysema or something and a hose that run down his sleeve."
00:02:57.136,00:02:58.512,What the hell's he got that for?
00:02:58.553,00:02:59.721,You got me.
00:02:59.763,00:03:01.431,"Well, you can look at it when you get in."
00:03:01.473,00:03:02.474,I'll be down there in a bit.
00:03:02.516,00:03:04.225,"Yes, sir, I got it under control."
00:04:42.449,00:04:44.159,Howdy. What's this about?
00:04:44.201,00:04:46.036,"Step out of the car, please, sir."
00:04:46.078,00:04:47.871,What is that?
00:04:47.913,00:04:49.873,"I need you to step out of the car, sir."
00:05:00.175,00:05:02.677,"Would you hold still, please, sir?"
00:05:32.624,00:05:33.667,You hold still.
00:05:44.385,00:05:45.553,Shit.
00:09:35.867,00:09:37.452,I ain't got no water.
00:09:53.301,00:09:54.844,"I told you, I ain't got no agua."
00:10:10.026,00:10:11.027,Do you speak English?
00:10:13.780,00:10:15.407,Where's the last guy?
00:10:15.449,00:10:18.785,Ultimo hombre.
00:10:18.826,00:10:20.412,Where'd he go?
00:10:26.709,00:10:29.712,I reckon I go out the way I come in.
00:10:35.469,00:10:37.095,There ain't no lobos.
00:10:51.901,00:10:54.195,to watch your backtrack.
00:10:56.448,00:10:58.450,Now shoot my dumb ass.
00:11:01.828,00:11:06.541,"But if you stop, you stopped in shade."
00:13:09.122,00:13:10.290,Yeah.
00:13:18.298,00:13:19.382,Hmm.
00:14:27.200,00:14:28.535,What's in the satchel?
00:14:30.911,00:14:32.455,That'll be the day.
00:14:33.456,00:14:34.915,Where'd you get the pistol?
00:14:34.957,00:14:35.916,At the getting place.
00:14:37.418,00:14:38.670,Did you buy that gun?
00:14:38.712,00:14:40.421,No. I found it.
00:14:42.841,00:14:46.386,-Llewelyn.
00:14:46.427,00:14:48.471,What'd you get for that thing?
00:14:49.889,00:14:51.683,"Well, you don't need to know everything, Carla Jean."
00:14:52.975,00:14:55.019,I need to know that.
00:14:55.061,00:14:58.523,"Keep running that mouth of yours, I'm gonna take you in the back and screw you."
00:14:59.190,00:15:00.400,Big talk.
00:15:00.859,00:15:02.360,Keep it up.
00:15:02.402,00:15:05.446,Fine. I don't want to know.
00:15:05.488,00:15:07.824,I don't even want to know where you been all day.
00:15:09.534,00:15:10.744,That'll work.
00:15:25.383,00:15:26.634,All right.
00:15:32.849,00:15:35.017,-Yeah?
00:15:37.437,00:15:38.979,"What're you doing, baby?"
00:15:42.983,00:15:45.904,"A little something I forgot to do, but I'll be back."
00:15:45.945,00:15:48.155,And what're you gonna do?
00:15:48.197,00:15:51.576,"I'm fixing to do something dumber than hell, but I'm going anyways."
00:15:53.828,00:15:56.163,"If I don't come back, you tell Mother I love her."
00:15:57.540,00:15:59.375,"Your mother's dead, Llewelyn."
00:16:03.713,00:16:05.548,"Well, then I'll tell her myself."
00:20:59.258,00:21:00.509,How much?
00:21:00.551,00:21:01.510,69 cents.
00:21:02.428,00:21:04.388,And the gas?
00:21:04.430,00:21:06.473,Y'all getting any rain up your way?
00:21:07.767,00:21:09.102,What way would that be?
00:21:09.143,00:21:11.145,"Well, I seen you was from Dallas."
00:21:13.355,00:21:19.361,"What business is it of yours where I'm from, friendo?"
00:21:21.280,00:21:22.782,"Well, I didn't mean nothing by it."
00:21:22.823,00:21:25.243,You didn't mean nothing?
00:21:25.284,00:21:27.203,I was just passing the time.
00:21:29.080,00:21:32.625,"If you don't want to accept that, I don't know what else I can do for you."
00:21:35.669,00:21:36.963,Will there be something else?
00:21:37.004,00:21:38.881,I don't know.
00:21:45.679,00:21:46.847,Is something wrong?
00:21:46.889,00:21:48.849,-With what?
00:21:49.976,00:21:52.186,Is that what you're asking me?
00:21:52.228,00:21:54.188,Is there something wrong with anything?
00:21:54.230,00:21:55.940,Will there be anything else?
00:21:55.982,00:21:57.566,You already asked me that.
00:22:01.195,00:22:03.781,"Well, I need to see about closing now."
00:22:03.823,00:22:05.407,-See about closing?
00:22:05.449,00:22:06.742,What time do you close?
00:22:06.784,00:22:08.035,Now. We close now.
00:22:08.077,00:22:10.037,Now is not a time.
00:22:10.079,00:22:12.331,Generally around dark.
00:22:16.961,00:22:18.838,"You don't know what you're talking about, do you?"
00:22:18.879,00:22:19.922,Sir?
00:22:21.215,00:22:24.426,I said you don't know what you're talking about.
00:22:27.180,00:22:28.764,What time do you go to bed?
00:22:28.806,00:22:29.890,Sir?
00:22:29.932,00:22:31.600,"You're a bit deaf, aren't you?"
00:22:31.642,00:22:33.560,"I said, what time do you go to bed?"
00:22:35.437,00:22:36.438,Oh...
00:22:37.940,00:22:41.568,Somewhere around 9:30.
00:22:41.610,00:22:43.196,I could come back then.
00:22:43.237,00:22:45.698,Why would you be coming back?
00:22:45.739,00:22:47.074,"Yeah, you said that."
00:22:48.784,00:22:50.410,"Well, I got to close now."
00:22:50.452,00:22:52.621,You live in that house out back?
00:22:54.248,00:22:56.083,"Yes, I do."
00:22:56.125,00:22:57.417,You lived here all your life?
00:22:59.170,00:23:02.673,"Well, this is my wife's father's place, originally."
00:23:05.634,00:23:07.511,You married into it?
00:23:07.553,00:23:10.430,"We lived in Temple, Texas for many years."
00:23:11.682,00:23:15.228,"Raised a family there, in Temple."
00:23:15.269,00:23:17.855,We come out here about four years ago.
00:23:17.897,00:23:19.857,You married into it.
00:23:19.899,00:23:21.359,If that's the way you want to put it.
00:23:21.399,00:23:24.402,"Well, I don't have some way to put it."
00:23:24.444,00:23:26.072,That's the way it is.
00:23:33.746,00:23:36.582,What's the most you ever lost on a coin toss?
00:23:37.291,00:23:38.376,Sir?
00:23:38.416,00:23:41.503,The most you ever lost on a coin toss.
00:23:43.381,00:23:45.758,I don't know. I couldn't say.
00:23:48.677,00:23:49.803,Call it.
00:23:49.845,00:23:51.597,-Call it?
00:23:51.638,00:23:53.682,-For what?
00:23:56.352,00:24:00.064,"Well, we need to know what we're calling it for here."
00:24:00.106,00:24:01.690,You need to call it.
00:24:01.732,00:24:05.361,"I can't call it for you, or it wouldn't be fair."
00:24:05.403,00:24:06.737,I didn't put nothing up.
00:24:06.779,00:24:08.614,"Yes, you did."
00:24:08.655,00:24:11.742,You've been putting it up your whole life.
00:24:12.701,00:24:14.828,You know what date is on this coin?
00:24:14.870,00:24:15.788,No.
00:24:15.829,00:24:17.748,1958.
00:24:17.790,00:24:20.334,It's been traveling 22 years to get here.
00:24:20.376,00:24:22.211,And now it's here.
00:24:22.253,00:24:24.213,And it's either heads or tails.
00:24:25.089,00:24:26.924,And you have to say. Call it.
00:24:26.966,00:24:30.010,"Well, look, I need to know what I stand to win."
00:24:30.052,00:24:31.262,Everything.
00:24:31.887,00:24:32.888,How's that?
00:24:32.930,00:24:35.433,You stand to win everything.
00:24:39.770,00:24:40.896,All right.
00:24:41.939,00:24:42.940,"Heads, then."
00:24:47.778,00:24:48.988,Well done.
00:24:50.948,00:24:53.075,"Don't put it in your pocket, sir."
00:24:53.117,00:24:55.328,Don't put it in your pocket.
00:24:56.996,00:24:58.289,Where do you want me to put it?
00:24:58.331,00:25:00.624,"Anywhere, not in your pocket."
00:25:00.666,00:25:04.003,Or it'll get mixed in with the others and become just a coin.
00:25:08.174,00:25:09.300,Which it is.
00:25:20.811,00:25:21.854,Llewelyn?
00:25:24.773,00:25:26.025,What the hell?
00:25:29.362,00:25:31.155,Why would we go to Odessa?
00:25:31.197,00:25:34.325,"No, not we. You."
00:25:34.367,00:25:36.160,"Well, how come?"
00:25:36.202,00:25:38.245,"Look, right now it's midnight, Sunday."
00:25:38.287,00:25:40.164,The courthouse opens nine hours from now.
00:25:40.206,00:25:44.335,Someone's gonna be calling in the vehicle number on the inspection plate on my truck.
00:25:44.377,00:25:46.544,"And around 9:30, they'll show up here."
00:25:46.586,00:25:48.088,But for how long do we have to...
00:25:48.130,00:25:51.633,"Baby, at what point would you quit bothering to look for your $2 million?"
00:25:52.634,00:25:54.887,What am I supposed to tell Mama?
00:25:54.928,00:25:57.890,"Why don't you try standing in the door and hollering, Mama, I'm home?"
00:25:57.931,00:25:59.933,-Llewelyn...
00:25:59.975,00:26:02.144,"Anything you leave, you ain't gonna see again."
00:26:04.104,00:26:08.234,"Well, don't fall down apologizing."
00:26:08.275,00:26:09.818,"Baby, things happen."
00:26:11.237,00:26:12.863,"Come on, I can't take them back."
00:26:36.095,00:26:37.346,Mind riding bitch?
00:26:50.859,00:26:52.819,-This his truck?
00:26:57.032,00:26:58.451,Got a screwgie?
00:27:01.912,00:27:03.247,Who cut his tires?
00:27:03.289,00:27:05.874,I guess. Wasn't us.
00:27:07.501,00:27:09.002,That is a dead dog.
00:27:13.799,00:27:15.134,Where's the receiver?
00:27:15.175,00:27:16.802,I've got it.
00:27:16.843,00:27:19.805,some ripe petunias.
00:27:20.973,00:27:22.141,"Hold this, please."
00:27:30.483,00:27:31.567,Want it?
00:27:34.361,00:27:36.113,anything on this?
00:27:38.407,00:27:39.450,All right.
00:27:42.786,00:27:44.079,Give me that.
00:27:54.381,00:27:55.841,I thought it was a car afire.
00:27:55.882,00:27:57.301,It is a car afire.
00:27:57.343,00:28:00.346,"Wendell said there's something in the back country, too."
00:28:00.387,00:28:01.888,Step in there.
00:28:01.930,00:28:03.932,When's the county gonna start paying a rental on my horse?
00:28:03.974,00:28:06.185,I love you more and more every day.
00:28:06.226,00:28:07.853,That's very nice.
00:28:08.895,00:28:10.397,-Be careful.
00:28:10.439,00:28:12.358,-Don't get hurt.
00:28:12.399,00:28:13.526,Don't hurt no one.
00:28:16.862,00:28:18.113,If you say so.
00:28:52.898,00:28:55.150,Wouldn't think a car'd burn like that.
00:28:55.568,00:28:56.443,"Yes, sir."
00:28:57.528,00:28:58.945,We should've brought wienies.
