start,end,script
00:00:53.428,00:00:56.389,I know you but we've never met.
00:00:58.183,00:00:59.434,I'm with you...
00:01:00.769,00:01:02.395,But I don't know your name.
00:01:05.273,00:01:06.483,I know I'm dreaming.
00:01:07.317,00:01:09.069,But it feels like more than that.
00:01:11.488,00:01:12.989,It feels like a memory.
00:01:16.117,00:01:17.452,How can that be?
00:01:27.962,00:01:30.381,"March 14th, 2077."
00:01:31.424,00:01:37.138,"Five years since the mandatory memory wipe, and I'm still haunted by these dreams."
00:01:40.517,00:01:42.477,Victoria and I were assigned together.
00:01:43.186,00:01:47.524,"In two weeks, our mission here will be finished, and we'll join the others."
00:01:48.525,00:01:50.735,"But the questions I ask, she doesn't."
00:01:51.319,00:01:53.988,"The things I wonder about, she won't."
00:01:55.657,00:01:59.035,It's been half a century since the scavengers destroyed our moon.
00:01:59.410,00:02:03.206,"Forced to leave their own dying planet, they came to take ours."
00:02:04.457,00:02:06.918,"Without the moon, the Earth was thrown into chaos."
00:02:07.460,00:02:09.587,Earthquakes toppled cities within hours.
00:02:10.588,00:02:12.757,Tsunamis wiped out what remained.
00:02:13.466,00:02:15.176,Then came the invasion.
00:02:16.511,00:02:18.221,We did what we had to do.
00:02:19.180,00:02:20.515,We used the nukes.
00:02:22.892,00:02:25.812,"We won the war, but lost the planet."
00:02:26.604,00:02:27.856,Left it contaminated.
00:02:28.314,00:02:29.899,Most of it uninhabitable.
00:02:31.818,00:02:34.696,What remained of humanity had to leave the Earth.
00:02:36.072,00:02:39.075,"We built the Tet, our mission control."
00:02:40.034,00:02:45.123,"A temporary space station before the migration to Titan, Saturn's largest moon."
00:02:45.707,00:02:47.000,Everyone's there now.
00:02:47.959,00:02:50.169,"Well, almost everyone."
00:02:51.671,00:02:54.966,"Until our tour is complete, Vika and I do our job."
00:02:55.800,00:03:00.930,"We protect the hydro rigs, which convert Earth's sea water into fusion energy for the new colony."
00:03:01.681,00:03:03.850,The survival of humanity depends on it.
00:03:09.314,00:03:10.690,Thank you for the coffee.
00:03:10.857,00:03:14.360,Remnants of the scavenger army continue to disrupt the operation.
00:03:15.236,00:03:19.365,"They attack our drones at night, and try to kill me during the day."
00:03:20.283,00:03:22.994,"There's still fight in them, but I don't know why."
