start,end,script
00:06:37.167,00:06:38.708,They're not even ripe yet.
00:07:14.000,00:07:15.625,You had some already!
00:07:58.917,00:08:00.250,Okja!
00:08:03.542,00:08:05.250,"Okja, what are you doing?"
00:08:09.333,00:08:11.000,Look at all the fish here!
00:08:20.667,00:08:22.750,I want fish stew today!
00:08:59.917,00:09:01.625,What? Now?
00:09:03.292,00:09:04.292,Again?
00:10:18.750,00:10:19.792,Mija!
00:10:22.750,00:10:24.250,Is she not here yet?
00:10:24.792,00:10:25.833,Mija!
00:10:29.000,00:10:30.417,Where has she gone off to?
00:10:42.500,00:10:49.333,"Mija Joo of 37-1, Sanyang Town!"
00:10:50.083,00:10:55.500,Promptly return home for dinner. Mija!
00:10:58.500,00:11:00.958,Come home quick. Grandpa is starving!
00:12:18.625,00:12:21.042,Don't be scared. It's a shortcut.
00:13:10.000,00:13:11.500,No! Go back up!
00:14:26.833,00:14:28.083,Where are you?
00:16:29.958,00:16:34.833,Mundo from the office is coming to visit.
00:16:34.917,00:16:35.958,Mundo?
00:16:36.708,00:16:39.375,To collect the money for Okja?
00:16:39.917,00:16:43.833,I've already sent them the money.
00:16:43.917,00:16:46.542,"So Okja is ours now, right?"
00:16:47.458,00:16:48.625,Of course.
00:16:54.042,00:16:56.167,So why is he coming? Paperwork?
00:17:02.583,00:17:05.292,They said soccer would be on.
00:17:17.916,00:17:19.166,Son of a...
00:17:19.250,00:17:21.291,Great. Now we can buy a new TV.
00:17:22.625,00:17:25.000,This one's still fine.
00:17:26.917,00:17:28.042,Such a tightwad...
00:18:53.458,00:18:55.458,Welcome. Hard climb?
00:18:55.542,00:18:56.667,Good afternoon.
00:18:59.458,00:19:01.417,"Here, have some water."
00:19:02.625,00:19:04.500,I thought a bunch of you were coming.
00:19:05.750,00:19:07.125,They're behind me.
00:19:11.000,00:19:13.208,Always on top of her dental hygiene!
00:19:14.583,00:19:16.500,"Wait, wait. Let me out, Okja."
00:19:16.583,00:19:17.667,Mundo?
00:19:18.875,00:19:20.333,"Hello, Mundo."
00:19:20.417,00:19:22.417,-Did you brush your own teeth? -Yeah.
00:19:32.708,00:19:35.167,Retina Display!
00:19:35.250,00:19:36.375,Bring me the black box.
00:19:52.792,00:19:54.875,Does Okja eat and poop well?
00:19:55.458,00:19:58.375,"Yes, and she has a super-high metabolism."
00:19:59.541,00:20:01.208,Right. That's what the readings say.
00:20:27.333,00:20:30.333,"He... he's that guy! From TV, right?"
00:20:30.417,00:20:31.417,He is.
00:20:32.417,00:20:35.375,What was it? Animal Magic!
00:20:35.458,00:20:38.125,He's the very healthy guy!
00:20:59.583,00:21:01.458,He looks exactly like he does on TV.
00:21:25.458,00:21:26.708,"Excuse me, sir."
00:21:26.791,00:21:30.833,"If you don't mind, Dr. Johnny's a bit thirsty."
00:21:31.416,00:21:32.500,Thank you.
00:21:35.833,00:21:36.916,Wait. That's soju...
00:21:37.916,00:21:41.375,"Hey, that's mine..."
00:21:53.917,00:21:55.208,"Hey, Okja."
00:21:55.292,00:21:57.167,It's okay. Come on out.
00:21:57.250,00:21:59.917,That's it... Very good.
00:22:33.208,00:22:34.625,They're filming!
00:22:59.375,00:23:01.333,-What's he saying? -Dunno.
00:24:50.792,00:24:53.708,"Here. Autograph, please."
00:25:21.833,00:25:25.750,Mija. Let's go visit your mom and dad.
00:25:26.250,00:25:28.708,Now? I want to watch this.
00:25:28.792,00:25:31.583,They'll be doing this all day.
00:25:31.667,00:25:38.250,Your mom and dad appeared in my dream last night and said they missed you.
00:25:38.333,00:25:39.583,Come on.
00:25:48.042,00:25:49.042,Come quick.
00:25:50.708,00:25:51.833,It won't take long.
00:26:07.292,00:26:11.500,Who do you miss more?
00:26:12.208,00:26:14.583,Mom or dad?
00:26:16.125,00:26:17.583,I can't remember...
00:26:18.250,00:26:19.250,their faces.
00:26:22.500,00:26:27.583,It's been so many years.
00:26:28.208,00:26:32.792,Just the two of us in the mountains.
00:26:33.375,00:26:35.500,Not two. Three.
00:26:38.333,00:26:40.583,"Oh, sure. Three."
00:26:42.792,00:26:44.000,The three of us.
00:26:47.292,00:26:49.250,"Okja, too."
00:26:54.917,00:26:57.042,Our little fatty!
00:26:58.667,00:26:59.667,What's that?
00:27:00.708,00:27:01.666,This is...
00:27:02.417,00:27:03.583,a gold pig.
00:27:05.375,00:27:08.333,100% real gold.
00:27:09.167,00:27:17.708,"In the old days, the elders would give a gold pig to their daughters as a wedding gift."
00:27:18.542,00:27:21.833,"Mija, it's yours now."
00:27:22.583,00:27:23.583,Take it.
00:27:24.917,00:27:26.958,Why all of a sudden?
00:27:37.500,00:27:41.875,"Well, you're not getting married now..."
00:27:43.500,00:27:49.417,but... Okja is going far away...
00:27:50.583,00:27:57.250,so you can keep this gold pig instead.
00:27:58.416,00:27:59.625,What?
00:28:00.167,00:28:05.458,The pig competition's nearly over.
00:28:06.208,00:28:10.042,So they're taking all the pigs back to the company.
00:28:10.750,00:28:12.208,But Okja's ours.
00:28:12.917,00:28:14.375,We bought her from them.
00:28:15.042,00:28:17.208,You sent them the money!
00:28:18.333,00:28:19.625,Actually...
00:28:19.708,00:28:22.792,they wouldn't let me buy Okja.
00:28:22.875,00:28:27.000,So I bought you this gold pig instead.
00:28:28.667,00:28:30.167,What are you talking about?
00:28:35.042,00:28:36.625,"Hey, did you hear that?"
00:28:37.500,00:28:41.750,Your daughter raises her voice at me now.
00:28:46.708,00:28:47.750,Mija.
00:28:48.458,00:28:55.042,They say Okja was selected as the best pig.
00:28:55.125,00:28:58.542,They have plans for her in America.
00:28:58.625,00:28:59.917,America?
00:29:00.000,00:29:05.375,She'll spend the night at the Mirando building in Seoul.
00:29:05.958,00:29:10.958,"And tomorrow, she'll be on a plane to America."
00:29:13.125,00:29:17.375,She's a celebrity now!
00:29:21.958,00:29:22.958,Mija.
00:29:23.792,00:29:26.292,To be honest...
00:29:27.000,00:29:29.667,you're nearly a grown woman now.
00:29:29.750,00:29:36.542,I don't like you playing with that pig all day.
00:29:37.041,00:32:07.250,"You should go to town, meet a boy and-- You must be hungry."
00:32:08.333,00:32:11.583,"I made your favorite, chicken stew."
00:32:12.333,00:32:14.458,Go wash up so we can eat.
00:32:14.541,00:32:17.250,I put in this and that.
00:32:18.916,00:32:21.041,Everything that's good for you.
00:32:25.917,00:32:27.833,Where are you going?
00:32:28.792,00:32:29.792,Seoul.
00:32:30.542,00:32:31.583,What?
00:32:32.292,00:32:33.917,I'm going to bring Okja home.
00:32:34.458,00:32:36.125,Are you crazy?
00:32:36.208,00:32:40.125,Seoul? In the middle of the night?
00:32:40.208,00:32:43.000,You have no money to go to Seoul.
00:32:47.000,00:32:50.083,Stop! It's dangerous. Don't move!
00:32:50.167,00:32:51.792,"Oh, my God..."
00:32:52.750,00:32:54.417,"Oh, God..."
00:32:54.500,00:32:55.750,"Go away, you'll get hurt!"
00:33:00.375,00:33:03.042,Where do you think you're going?
00:33:03.125,00:33:04.792,You're not going anywhere!
00:33:10.000,00:33:11.041,Stop right there!
00:33:28.250,00:33:31.208,Blade shoulder! Loin! Spare rib! Hock!
00:33:31.833,00:33:32.666,Got it?
00:33:34.833,00:33:38.000,This is what will happen to her.
00:33:38.083,00:33:40.333,This is Okja's fate!
00:33:41.042,00:33:42.167,Fate!
00:33:44.125,00:33:45.125,Mija.
00:33:51.416,00:33:53.083,Mija! Mija!
00:33:56.042,00:33:57.083,Mija!
00:33:58.667,00:33:59.667,Mija!
00:34:01.791,00:34:03.375,Mija!
00:35:23.792,00:35:25.792,Excuse me!
00:35:35.875,00:35:37.083,I'm here for Okja!
00:35:38.625,00:35:40.916,Use the phone.
00:35:57.083,00:35:59.125,"Hey, could you come to the lobby?"
00:36:01.333,00:36:05.375,"No, some kid is here. She wants me to open the door."
00:36:05.458,00:36:08.000,Please state the name you are looking for.
00:36:08.708,00:36:10.833,M-U-N-D-O.
00:36:10.916,00:36:12.583,"Sorry, please speak clearly."
00:36:13.250,00:36:16.750,You can't just send anybody up here.
00:36:18.375,00:36:20.291,"Screen these people, okay?"
00:36:20.375,00:36:23.125,M-U-N-D-O!
00:36:25.875,00:36:27.125,Excuse me!
00:36:29.750,00:36:30.833,Excuse me!
00:36:59.541,00:37:01.000,What the...
00:37:10.625,00:37:13.167,You little bitch! Hey!
00:37:17.125,00:37:18.541,Mundo!
00:37:37.291,00:37:38.208,Hey!
00:37:38.292,00:37:39.667,You little shit!
00:37:39.750,00:37:42.708,-Stay where you are! -Hey! Stop!
00:37:47.167,00:37:49.542,Just open the door!
00:37:50.666,00:37:53.208,Open the door so we can talk.
00:37:53.292,00:37:54.292,Hey!
00:37:55.750,00:37:58.083,Open the damn door.
00:38:06.083,00:38:09.917,"Come on, you guys. Stop taking photos, okay? This is classified."
00:38:10.000,00:38:12.500,These are direct orders from HQ in America.
00:38:12.583,00:38:14.458,No photos!
00:38:14.542,00:38:19.208,I don't want to see anything on Instagram or Facebook. Okay?
00:38:22.083,00:38:24.666,"Okja, I'm here! Okja!"
00:38:24.750,00:38:27.167,Let's talk! Where are you going?
00:38:28.125,00:38:29.083,"Wait! No, stop!"
00:38:46.458,00:38:50.292,Look how tall the truck is! Right?
00:38:54.625,00:38:55.667,Are you new here?
00:39:00.833,00:39:02.125,Call the police!
00:39:02.208,00:39:03.833,Wait! Stop! Damn it!
00:40:09.666,00:40:13.041,What does that say? 4.2...
00:40:13.958,00:40:17.542,"This isn't taller than 4.2 meters, is it? Is it?"
00:40:24.208,00:40:28.333,Do you have a license to drive this thing?
00:40:28.416,00:40:29.541,A commercial license?
00:40:36.666,00:40:40.166,"Wait! Hey! Come on, now! Hey, no!"
00:40:54.375,00:40:56.708,What now? What's that noise?
00:40:57.875,00:40:58.875,What's that?
00:41:09.625,00:41:11.208,What the hell?
00:41:17.000,00:41:18.375,Nice to meet you.
00:41:19.416,00:41:20.916,We're not terrorists!
00:41:21.750,00:41:22.833,What?
00:41:22.916,00:41:24.250,We don't like violence!
