start,end,script
00:00:53.136,00:00:55.389,You're doing so good.
00:00:55.389,00:00:56.932,You're doing so good.
00:00:56.932,00:00:59.059,Yeah.
00:00:59.059,00:01:02.187,Dr. Matthews to the nurses' station.
00:01:02.187,00:01:03.898,Excuse me.
00:01:03.898,00:01:07.985,Uhm... My wife's in labor.
00:01:07.985,00:01:10.153,"MAN: I just need you to fill this out, please."
00:01:11.446,00:01:13.657,Thank you.
00:01:20.831,00:01:22.332,I'll be right up.
00:01:22.332,00:01:25.335,Okay?
00:01:26.420,00:01:29.757,Is this your first?
00:01:29.757,00:01:31.466,"MAN: Sir, can you sign here?"
00:01:31.466,00:01:33.176,Thank you.
00:01:33.176,00:01:36.430,We're gonna name her Jessica. Mmm.
00:01:55.532,00:01:56.867,Uh?
00:02:06.710,00:02:08.420,NURSE: Vitals look good.
00:02:08.420,00:02:11.090,Mmm. Mmm.
00:02:11.673,00:02:13.258,Where's John?
00:02:13.258,00:02:15.761,Where's my husband?
00:02:15.761,00:02:17.387,Everything's gonna be okay.
00:02:19.014,00:02:20.599,Ah.
00:02:23.894,00:02:26.396,What's happening? What's...?
00:02:26.396,00:02:27.856,I'm so sorry for your loss.
00:02:27.856,00:02:30.191,What?
00:02:30.191,00:02:32.486,"No, it's not dead."
00:02:32.486,00:02:34.571,What are you talking about?
00:02:34.571,00:02:36.949,It's a terrible loss.
00:02:37.866,00:02:41.495,Just relax.
00:02:41.495,00:02:44.581,"What? No, no, no. Put me to sleep. I wanna be asleep."
00:02:44.581,00:02:47.208,It's too late for that.
00:02:51.797,00:02:53.966,"It's okay, you're doing great."
00:02:53.966,00:02:56.135,"Oh, what are you doing?"
00:02:56.135,00:02:58.053,DOCTOR: You might feel some tugging.
00:03:00.806,00:03:03.809,Ah!
00:03:03.809,00:03:06.645,"Oh, my God."
00:03:06.645,00:03:08.022,Oh!
00:03:08.022,00:03:10.024,"Congratulations, Mrs. Coleman."
00:04:27.434,00:04:31.230,"WOMAN: Yes, Kate, your dreams can be a manifestation of your emotions."
00:04:31.230,00:04:35.859,It's your body and mind's way of dealing with the stress and grief of what happened.
00:04:35.859,00:04:38.779,"Mmm, what if this has nothing to do with the stillbirth?"
00:04:38.779,00:04:40.906,What do you think it's about?
00:04:42.407,00:04:45.410,We're seeing kids for the first time this weekend.
