start,end,script
00:01:40.433,00:01:42.060,Mike and I will be eating corn dogs.
00:01:42.143,00:01:44.270,"Mike says that's his favorite. Rob, what's yours?"
00:02:13.842,00:02:17.971,"And, uh, you know, for the most part, they're not dumping a lot of rain at this point."
00:02:18.054,00:02:23.768,"They actually have some movement to them, so not very stationary, staying on point, I should say."
00:02:23.852,00:02:28.231,"So, as we go through the hour-by-hour here, maybe around midnight tonight-- we're gonna stop this here."
00:02:32.652,00:02:35.738,"-Hello, Louis. -Hello, Mrs. Moore."
00:02:36.322,00:02:37.157,Addie.
00:02:41.411,00:02:43.454,Can I talk to you about something?
00:02:43.538,00:02:44.372,Sure.
00:02:46.457,00:02:48.418,"-May I come in? -Oh, oh, yeah, sure."
00:02:51.296,00:02:54.549,This is the next storm system moving into the Pacific Northwest.
00:02:54.632,00:02:59.262,This will come in our direction over the next two days and really clear everything on out of here.
00:02:59.345,00:03:02.390,"So the highs today, we only saw the lower 70s today."
00:03:02.473,00:03:03.558,"Tomorrow, much the same."
00:03:03.641,00:03:07.854,"We're gonna be embedded in a lot of cloud cover, maybe a few streaks of sun here and there."
00:03:07.937,00:03:10.481,"But by Saturday, watch this."
00:03:12.233,00:03:17.322,"...by the time we get into Sunday because that system comes right through, -dries us out... -Oh, oh! I'm so sorry."
00:03:26.956,00:03:28.750,I want to suggest something to you.
00:03:28.833,00:03:31.794,It's a... proposal of sorts.
00:03:32.879,00:03:34.088,Not marriage.
00:03:36.925,00:03:41.137,"It is a kind of marriage-like question, actually, but, um..."
00:03:47.977,00:03:51.522,Would you be interested in coming to my house sometime to sleep with me?
00:03:58.029,00:03:59.072,See...
00:03:59.864,00:04:00.865,we're both alone.
00:04:01.783,00:04:05.912,"You know, we've been on our own for... for years."
00:04:05.995,00:04:06.913,"And, uh..."
00:04:10.416,00:04:13.962,"I'm lonely, and I'm guessing you might be, too."
00:04:17.757,00:04:19.592,"Louis, it's not about sex."
00:04:23.179,00:04:25.807,I lost interest in that a long time ago.
00:04:26.766,00:04:27.684,"No, it's, um..."
00:04:30.561,00:04:32.814,"It's about getting through the night, you know?"
00:04:34.023,00:04:34.857,About...
00:04:35.858,00:04:42.156,"lying down in bed together and-- and talking through the night until we fall asleep, that kind of thing."
00:04:45.618,00:04:47.328,"Nights are the worst, don't you think?"
00:04:54.669,00:04:56.421,"you know, someone nice."
00:05:01.467,00:05:03.594,-I don't know. -Is it...
00:05:03.678,00:05:05.972,Would that be something of interest to you?
00:05:15.732,00:05:16.941,Can I think about it?
00:05:26.242,00:05:29.037,"I'll-- I'll call you, okay? I'll give you a call."
00:05:29.120,00:05:31.456,I'm sure Diane had your number here somewhere.
00:05:36.252,00:05:38.504,"-Thank you for your time. -No, thank you."
00:05:41.215,00:05:44.260,"Oh, here. Stupid door. Here, let me get that."
00:05:48.848,00:05:49.682,Thank you.
