start,end,script
00:01:22.041,00:01:27.583,"Sir Robert, your father is an old and valued friend, a great warrior who saved my life in the Holy Land."
00:01:28.666,00:01:32.000,"You fought well for eight years, but not always on the right side."
00:01:35.750,00:01:38.625,"I welcome your renewed fealty, and accept your submission."
00:01:40.500,00:01:41.333,Good.
00:01:43.250,00:01:48.500,"My lords of Scotland, today you have each pledged fealty to me as your rightful overlord."
00:01:48.666,00:01:52.833,Any lands confiscated during this conflict will now be returned to you.
00:01:56.791,00:02:01.791,"of your years of opposition, and accept responsibility for the bloodshed that could have been avoided."
00:02:02.541,00:02:05.125,"Lord John Comyn, Lord Robert Bruce..."
00:02:13.041,00:02:19.708,"However, neither can be favored. Therefore, England will continue to govern your province and receive its due in taxes."
00:02:20.708,00:02:24.458,"-Our viceroy, Sir Aymer de Valence... -Sire."
00:02:27.833,00:02:36.916,"You both will be proud to serve under him, and you will take that opportunity, if you are wise, to heal the differences between you."
00:02:37.000,00:02:38.416,Offer your hands.
00:02:43.333,00:02:45.958,Now let us be what we once were...
00:02:50.833,00:02:54.000,Music! Drink! Feast!
00:03:05.333,00:03:06.708,"a memorable day, Sire."
00:03:18.000,00:03:20.291,That must have been painful for you.
00:03:25.166,00:03:28.583,"Do you remember our summers at Westminster, when I was a little boy?"
00:03:28.916,00:03:32.250,"Our footraces, dueling with wooden swords."
00:03:33.166,00:03:34.708,You were always so good at everything.
00:03:34.791,00:03:36.916,That was just because I was older than you.
00:03:38.625,00:03:40.666,What would you say to a duel right now?
00:03:41.208,00:03:42.416,Like old times?
00:03:45.583,00:03:47.291,"The order was to come unarmed, Your Highness."
00:03:47.375,00:03:48.208,Quiet.
00:03:51.333,00:03:53.791,Let's say five pounds to whomever wins leverage.
00:03:56.041,00:03:57.416,Let's make it ten.
00:03:58.708,00:04:00.833,I heard you'd developed a taste for wagering.
00:04:00.916,00:04:02.333,"Piers, fetch him a sword."
00:04:07.416,00:04:10.416,of fighting for the people. It's understandable.
00:04:10.916,00:04:11.750,Whoa!
00:04:22.250,00:04:23.833,I just wanted to win.
00:04:25.958,00:04:26.958,So...
00:04:28.500,00:04:29.916,William Wallace...
00:04:30.958,00:04:32.583,the last rebel standing.
00:04:46.541,00:04:47.750,Not nearly enough.
00:04:49.958,00:04:52.500,They say he lives in Selkirk Forest.
00:04:54.000,00:04:56.375,Some consider him a martyr...
00:04:58.166,00:04:59.750,"others, a madman."
00:05:01.625,00:05:02.625,What do you think?
00:05:11.083,00:05:14.291,who loves his country more than his life.
00:05:23.625,00:05:27.875,you Scottish nobles don’t share that passion.
