start,end,script
00:00:49.299,00:00:51.676,Turns out I was looking in the wrong direction.
00:00:52.802,00:00:57.223,When alien life entered our world it was from deep beneath the Pacific Ocean.
00:00:58.016,00:01:00.727,A fissure between two tectonic plates.
00:01:02.020,00:01:04.314,A portal between dimensions.
00:01:05.732,00:01:06.649,The Breach.
00:01:08.151,00:01:12.113,I was 15 when the first Kaiju made land in San Francisco.
00:01:38.640,00:01:46.231,"By the time tanks, jets and missiles took it down six days and 35 miles later, three cities were destroyed."
00:01:48.358,00:01:51.111,Tens of thousands of lives were lost.
00:01:55.657,00:02:00.745,"We mourned our dead, memorialized the attack, and moved on."
00:02:06.042,00:02:11.214,"And then, only six months later, the second attack hit Manila."
00:02:14.050,00:02:17.053,creates a toxic phenomenon named Kaiju Blue.
00:02:19.848,00:02:20.849,And then the fourth.
00:02:21.516,00:02:24.644,"And then we learned, this was not gonna stop."
00:02:25.186,00:02:26.479,This was just the beginning.
00:02:28.565,00:02:30.066,We needed a new weapon.
00:02:30.859,00:02:37.699,The world came together pooling its resources and throwing aside old rivalries for the sake of the greater good.
00:02:39.075,00:02:43.121,"To fight monsters, we created monsters of our own."
00:02:44.706,00:02:46.499,The Jaeger program was born.
00:02:48.710,00:02:50.336,There were setbacks at first.
00:02:50.920,00:02:55.466,The neural load to interface with a Jaeger proved too much for a single pilot.
00:02:56.718,00:02:58.511,A two-pilot system was implemented.
00:02:59.262,00:03:02.473,"Left-hemisphere, right-hemisphere pilot control."
00:03:05.727,00:03:08.021,Jaegers stopping Kaijus everywhere.
00:03:09.480,00:03:11.983,But the Jaegers were only as good as their pilots.
00:03:12.692,00:03:15.028,So Jaeger pilots turned into rock stars.
00:03:15.653,00:03:17.697,Danger turned into propaganda.
00:03:18.531,00:03:20.408,Kaijus into toys.
00:03:23.161,00:03:24.579,We got really good at it.
00:03:25.997,00:03:26.831,Winning.
00:03:31.336,00:03:32.170,Then...
00:03:33.379,00:03:34.672,Then it all changed.
00:03:40.470,00:03:44.307,"Kaiju. Code name, Knifehead. Category 3. 8,700 metric tons."
00:03:47.936,00:03:50.396,"-Hey, come on! We're being deployed. -Great."
00:03:54.734,00:03:57.320,"Kaiju's a Category 3, biggest one yet."
00:03:57.862,00:03:59.989,"Code name, Knifehead."
00:04:00.740,00:04:02.408,-What time is it? -2:00.
00:04:03.159,00:04:03.993,A.M.?
00:04:04.494,00:04:05.328,Yep.
00:04:06.996,00:04:08.915,What do you say? Fifth notch on the belt?
00:04:12.001,00:04:12.835,Time for the drop.
00:04:15.463,00:04:16.881,"-Hey, kid. -Yeah?"
00:04:17.507,00:04:18.508,Don't get cocky.
00:04:22.136,00:04:25.139,you wouldn't have picked my brother Yancy and I for heroes.
00:04:25.932,00:04:26.849,No chance.
00:04:31.271,00:04:32.981,We were never star athletes.
00:04:33.606,00:04:35.191,Never at the head of the class.
00:04:35.900,00:04:38.111,But we could hold our own in a fight.
00:04:38.903,00:04:43.574,"And it turned out we had a unique skill, we were Drift compatible."
00:05:02.885,00:05:06.306,Data relay gel dispersing in circuitry suit.
00:05:36.294,00:05:38.337,"Tendo, what's happening, my man?"
00:05:38.421,00:05:41.007,"How'd that date with Alison go last night, Mr. Choi?"
