start,end,script
00:01:07.358,00:01:08.401,THE NEW FASCIST REGIME.
00:01:08.485,00:01:11.321,MILITARY POSTS ARE ESTABLISHED TO EXTERMINATE THE RESISTANCE.
00:01:34.260,00:01:50.193,"A long time ago, in the Underground Realm, where there are no lies or pain, there lived a princess who dreamt of the human world."
00:01:52.278,00:01:57.408,"She dreamt of blue skies, soft breeze, and sunshine."
00:02:02.539,00:02:07.794,"One day, eluding her keepers, the princess escaped."
00:02:12.882,00:02:20.056,"Once outside, the bright sun blinded her and erased her memory."
00:02:23.059,00:02:26.229,She forgot who she was and where she came from.
00:02:26.771,00:02:32.902,"Her body suffered cold, sickness, and pain."
00:02:34.404,00:02:44.831,"However, her father, the king, always knew that the Princess' soul would return, perhaps in another body, in another place, at another time."
00:02:45.498,00:02:52.463,"He would wait for her until he drew his last breath, until the world stopped turning."
00:03:01.472,00:03:04.267,"Why did you bring so many books, Ofelia?"
00:03:04.350,00:03:06.728,"We're going to the country, the outdoors."
00:03:12.275,00:03:13.860,Fairy tales?
00:03:14.360,00:03:18.364,You're a bit old to be filling your head with such nonsense.
00:03:21.576,00:03:23.202,Ask him to stop the car.
00:03:37.634,00:03:40.178,"Ofelia, wait."
00:03:40.678,00:03:42.263,Your brother's not well.
00:03:45.850,00:03:47.060,"Madam, are you okay?"
00:03:48.019,00:03:50.021,"Madam, do you need anything?"
00:03:54.776,00:03:57.987,Water. Water for the captain's wife.
00:03:58.071,00:03:59.072,Come on!
00:04:54.294,00:04:55.295,Ofelia?
00:04:57.714,00:05:00.717,"Ofelia, come here."
00:05:03.803,00:05:06.931,-I saw a fairy. -Just look at your shoes!
00:05:08.308,00:05:09.350,Let's go.
00:05:10.601,00:05:13.438,"When we get there, come out to greet the Captain."
00:05:13.521,00:05:15.064,I want you to call him Father.
00:05:15.773,00:05:18.234,You have no idea how good he's been to us.
00:05:19.652,00:05:22.864,"It's just a word, Ofelia."
00:05:48.848,00:05:50.433,"They're coming, Captain."
00:05:51.559,00:05:53.061,They're 15 minutes late.
00:06:11.079,00:06:12.080,Carmen.
00:06:19.670,00:06:20.671,Welcome.
00:06:25.885,00:06:28.096,"Please, don't. I can walk perfectly well."
00:06:28.721,00:06:31.140,The doctor says you must not exert yourself.
00:06:31.974,00:06:32.809,No.
