start,end,script
00:01:41.560,00:01:43.729,I WROTE IT ALL DOWN.
00:01:43.729,00:01:45.689,FOUR FLOORS-- PERFECT.
00:01:45.689,00:01:48.984,"COURTYARD IN BACK, SOUTH-FACING GARDEN. PERFECT."
00:01:48.984,00:01:50.819,SHOULDN'T WE JUST WAIT FOR THE CAR SERVICE ?
00:01:50.819,00:01:52.237,"NO, WE'LL SIT IN TRAFFIC FOREVER."
00:01:52.237,00:01:53.405,IS THAT THE LISTING SHEET ?
00:01:53.405,00:01:55.323,THERE IS NO LISTING SHEET.
00:01:55.323,00:01:57.785,I HEARD ABOUT IT THIS MORNING.
00:01:57.785,00:01:59.369,"WELL, HOW MANY MORE AFTER THIS ONE ?"
00:01:59.369,00:02:01.830,NONE. YOU KNOW HOW TIGHT THE MARKET IS.
00:02:01.830,00:02:03.582,"SARAH, DO YOU HAVE TO RIDE THAT HERE ?"
00:02:03.582,00:02:05.042,"MOM, WE'RE IN THE STREET."
00:02:06.293,00:02:08.211,EVAN !
00:02:11.048,00:02:14.259,"ONE DAY, YOU WILL LEARN TO RESPECT PEOPLE'S TIME, LYDIA."
00:02:14.259,00:02:19.056,"ONE DAY, YOU WILL REALIZE THAT THE WORLD DOES NOT STOP AND START AT YOUR CONVENIENCE."
00:02:19.056,00:02:21.100,"OH, I AM SO, SO SORRY."
00:02:21.100,00:02:28.857,"I'M MEETING ARTHUR DIGBY LAURENCE IN 26 MINUTES, AND IF YOU THINK ARTHUR DIGBY LAURENCE IS THE KIND OF MAN WHO TOLERATES TARDINESS, YOU ARE SADLY MISTAKEN."
00:02:28.857,00:02:30.651,YOU ARE A SAINT TO WAIT FOR US.
00:02:31.485,00:02:33.194,HEY.
00:02:35.155,00:02:39.534,IT'S KIND OF BETWEEN A TOWN HOUSE AND A BROWNSTONE.
00:02:39.534,00:02:43.705,"WE LIKE TO CALL IT A TOWNSTONE, BUILT IN 1879."
00:02:43.705,00:02:46.458,"THIS IS THE MIDDLE OF THE HOUSE, THE PARLOR FLOOR."
00:02:46.458,00:02:51.254,HERE IS THE LIVING ROOM.
00:02:51.254,00:02:58.137,"CASUAL DINING BELOW ON THE KITCHEN FLOOR, WHICH WAS RENOVATED IN '94 WITH ALL THE EXPECTED AMENITIES."
00:02:58.137,00:03:00.263,SARAH !
00:03:01.515,00:03:03.851,THERE ARE TWO BEDROOM FLOORS ABOVE.
00:03:05.560,00:03:07.896,"MY GOD, IT'S AMAZING."
00:03:07.896,00:03:11.150,"HEY, KID, NO SCOOTER."
00:03:11.150,00:03:13.986,I DON'T HAVE TO TELL YOU THIS AMOUNT OF LIVING SPACE...
00:03:13.986,00:03:15.779,IS EXTREMELY UNCOMMON IN MANHATTAN.
00:03:17.739,00:03:21.743,IT'S GOT A YARD.
00:03:21.743,00:03:25.497,"WHICH IS IN A BIT OF DISARRAY, BUT THEN AGAIN, 21-FOOT LOT, 53 DEEP."
00:03:25.497,00:03:27.624,IT ALLOWS FOR AN EXPANSIVE GARDEN.
00:03:27.624,00:03:30.085,WORKING ELEVATOR.
00:03:31.712,00:03:34.089,THE PREVIOUS OWNER WAS DISABLED THE LAST YEARS OF HIS LIFE.
00:03:34.089,00:03:35.590,"HIGHLY UNUSUAL, THE ELEVATOR."
00:03:35.590,00:03:37.759,YOU WILL NOT FIND THIS IN 90% OF BROWNSTONES.
00:03:37.759,00:03:42.764,"PERHAPS IT IS SOMETHING OF A FIXER-UPPER, BUT WE ANTICIPATE AN ENORMOUS AMOUNT OF INTEREST."
00:03:42.764,00:03:46.393,IT'S A VERY EMOTIONAL PROPERTY.
00:03:46.393,00:03:48.687,SHALL WE HAVE A LOOK AT THE REST ?
00:03:52.107,00:03:54.234,YOU SHOULD MAKE AN OFFER IMMEDIATELY.
00:03:54.234,00:03:56.945,"WELL, CAN I SEE IT FIRST ?"
00:03:54.234,00:03:59.489,"BELIEVE ME, THERE IS NOTHING REMOTELY LIKE THIS ON MARKET RIGHT NOW."
00:03:59.489,00:04:02.367,YOU CAN'T MOVE FROM GREENWICH TO THE UPPER WEST SIDE...
00:04:02.367,00:04:04.452,AND EXPECT TO STILL HAVE A HOUSE AND A YARD...
00:04:04.452,00:04:06.454,"AND A DOG AND A CAT, BUT HERE IT IS."
00:04:06.454,00:04:09.041,IT'S GOT EVERYTHING YOU TOLD ME YOU WANTED AND MORE.
00:04:09.041,00:04:12.002,YOU'LL HAVE ANOTHER FAMILY.
00:04:12.002,00:04:13.712,IT'S A FORTUNE.
00:04:13.712,00:04:15.338,"MOM, IT'S NOT BARNEYS."
00:04:15.338,00:04:18.133,YOU DON'T HAVE TO PAY THE PRICE ON THE TAG.
00:04:22.387,00:04:24.514,YOU CAN AFFORD IT.
00:04:26.100,00:04:29.978,IT WOULD BE SO LOVELY IF I COULD SHOW THE PROPERTY BEFORE I LEAVE.
00:04:33.648,00:04:39.362,"HARDWOOD FLOORS THROUGHOUT, AS MANY AS SIX WORKING FIREPLACES."
00:04:39.362,00:04:43.117,THIS IS THE TOP FLOOR.
00:04:43.117,00:04:45.035,THEY SHARE ONE SMALL BATH.
00:04:45.035,00:04:47.579,"ORIGINALLY, THIS WOULD HAVE BEEN THE SERVANTS' QUARTERS."
00:04:47.579,00:04:50.373,THE PREVIOUS OWNER KEPT A SMALL NURSING STAFF.
00:04:50.373,00:04:52.793,I DON'T KNOW IF YOU HAVE LIVE-IN HELP.
00:04:52.793,00:04:54.628,"NO, NO, IT'S JUST THE TWO OF US."
00:04:59.549,00:05:02.970,"THIRD FLOOR, SPARE BEDROOM, DEN, WHAT HAVE YOU."
