start,end,script
00:07:41.377,00:07:43.713,"Vasquez Rocks, California."
00:08:02.773,00:08:06.652,"Area 51, Nevada."
00:19:30.919,00:19:32.838,Graeme. Grab his legs!
01:25:45.390,01:25:46.683,Graeme.
01:25:46.850,01:25:48.101,Strike this woman.
01:32:56.362,01:32:57.863,Three tits.
01:32:58.447,01:32:59.657,Awesome!
01:35:35.813,01:35:39.358,2 Years Later.
00:00:53.762,00:00:55.388,from the attack of the Death Squadron.
00:00:55.472,00:01:00.351,"Paul, having proclaimed himself King of Blue Magic Land, offers Tom the Hawkman the command of the army..."
00:01:20.955,00:01:24.083,"Go on, then, Paul. Don't be long."
00:01:45.897,00:01:46.898,Paul?
00:01:51.319,00:01:52.654,Paul?
00:01:59.119,00:02:00.245,Paul.
00:03:35.381,00:03:36.674,I love it here.
00:03:36.758,00:03:38.718,You know? It feels so...
00:03:38.801,00:03:40.720,-Right. -Yeah.
00:03:40.803,00:03:45.850,"We're 5,339 miles from home, and yet somehow I feel like we belong."
00:03:45.934,00:03:48.102,I know what you mean. I know what you mean.
00:03:48.186,00:03:51.731,"I think this is probably the most fun I have ever had, you know?"
00:03:51.814,00:03:53.691,"I'm so glad we came, Clive."
00:03:55.443,00:03:56.527,Clive?
00:03:58.529,00:03:59.822,-May I? -Be my guest.
00:03:59.906,00:04:02.283,I was over there on my own.
00:04:02.367,00:04:04.202,That there is a Black Vampire.
00:04:07.038,00:04:10.708,"-How much? -$1,349.99."
00:04:16.047,00:04:17.048,Fair enough.
00:04:18.758,00:04:21.135,I can't believe we're gonna meet Adam Shadowchild.
00:04:21.219,00:04:23.638,"I know. He's, like, the coolest man in the world."
00:04:23.721,00:04:25.139,Thank you.
00:04:26.766,00:04:29.394,"Come forth. Welcome, my friends."
00:04:29.477,00:04:38.486,"I just wanted to say that the Planet Fall trilogy has been a huge influence on me and my work, and Sebastian Rico is a wonderful protagonist."
00:04:38.569,00:04:41.197,Don't tell me. You're a writer.
00:04:41.281,00:04:43.324,"-I am. Yeah. -Well, good."
00:04:43.408,00:04:45.952,He actually won a Nebulon Award in 1992.
00:04:46.035,00:04:49.539,"-I'm working on a follow-up. -Oh. Well, I'd love to see that."
00:04:49.622,00:04:51.332,"-Oh, not today. - t's right here."
00:04:51.416,00:04:55.003,No. It's a legal thing. I'm sure it's... I'm sure it's good.
00:04:55.086,00:04:57.880,That is a wonderful cover. Three tits.
00:04:59.799,00:05:01.009,Awesome.
00:05:01.092,00:05:03.594,-That was Graeme. My illustrator. -I'm an artist.
00:05:03.678,00:05:05.847,"-Move along, please, guys. -Yes."
00:05:05.930,00:05:07.640,"No, no. I..."
00:05:07.724,00:05:08.975,Thank you.
00:05:13.313,00:05:14.814,Then fuck off.
00:05:14.897,00:05:17.150,"Let's get a picture of you, me and Adam."
00:05:17.233,00:05:18.484,"-OK, ready? -Ready."
00:05:21.154,00:05:22.071,Whah!
00:05:28.453,00:05:29.454,Yes.
00:05:29.537,00:05:31.873,-Is that the RV place? -Yes.
00:05:31.956,00:05:34.250,And there's definitely two single beds?
00:05:34.334,00:05:37.628,Because there's been a bit of a mix-up at the hotel.
00:05:37.712,00:05:39.422,OK. Excellent. Thank you very much.
00:05:39.505,00:05:42.091,And have a nice day to you as well.
00:05:43.926,00:05:46.095,-Is it here? -It's in the car park.
00:05:46.179,00:05:47.513,I think you mean the parking lot.
00:05:52.435,00:05:56.647,"It's amazing, isn't it? We're actually here. America. Huh?"
00:05:56.731,00:05:59.192,How long have we dreamt about this?
00:05:59.275,00:06:01.861,-Since we were kids. -Yeah.
00:06:01.944,00:06:04.697,Now look at us. Grown men.
00:06:08.201,00:06:09.786,-Hi. -Hiya.
00:06:09.869,00:06:12.288,"-Good evening, sir. -Come on in."
00:06:13.414,00:06:15.458,"Uh, where can I set these down?"
00:06:15.541,00:06:18.961,"-You can put it on the bed, or uh... -You guys on honeymoon?"
00:06:21.881,00:06:24.258,"-No. No, it's all... -No, silly. We're just friends."
00:06:24.342,00:06:26.803,We had a mix-up. The reservations were messed up.
00:06:26.886,00:06:28.888,Pop it on the table here. Let me clear all that.
00:06:28.971,00:06:31.557,"-Ah, goin' on a road trip, huh? -Yeah."
00:06:31.641,00:06:38.147,"Well, you know, what better way to follow Comic-Con than a tour of America's most famous UFO hot spots?"
00:06:38.231,00:06:39.440,Huh?
00:06:39.524,00:06:44.278,"You know, we're gonna... Area 51 and the Black Mailbox in Nevada."
