start,end,script
00:01:28.625,00:01:29.875,She always has.
00:01:42.833,00:01:45.666,Mum met Dad on the beach when they were teenagers.
00:01:53.833,00:01:55.750,They've been together ever since.
00:02:11.375,00:02:13.083,That's me when I was four.
00:02:29.666,00:02:31.375,He's always been annoying.
00:02:35.625,00:02:36.583,And then Oli.
00:02:37.250,00:02:38.458,Lucky last.
00:02:40.666,00:02:42.125,And that's us.
00:02:42.208,00:02:43.166,The Blooms.
00:02:47.500,00:02:50.500,Everything was pretty much perfect.
00:02:51.750,00:02:53.500,But then last year happened.
00:03:09.750,00:03:12.333,But Mum and Dad chose Thailand instead.
00:03:21.541,00:03:23.166,I liked Thailand.
00:03:39.291,00:03:40.375,-Here you go. -Thank you.
00:05:29.666,00:05:31.208,"Stop playing, please."
00:05:32.166,00:05:33.041,Please.
00:05:34.708,00:05:38.000,"Rueben or Oli, can you go and see if Mum is okay?"
00:05:40.458,00:05:42.458,"-Yeah, yeah, you're overworked. -Noah should do it."
00:05:42.541,00:05:45.791,It doesn't matter who did it yesterday or the day before.
00:05:45.875,00:05:48.041,"I'm just asking you to check on Mum, please."
00:05:53.958,00:05:55.250,Uniforms.
00:05:55.333,00:05:57.666,"Pants… pants off, uniforms on."
00:05:57.750,00:05:59.791,-Stop it! -I'll have a whole-grain sandwich.
00:06:16.791,00:06:18.125,A bit of help down here.
00:06:19.041,00:06:20.000,'Kay.
00:06:37.916,00:06:40.958,"But at least there, she wasn't the only one stuck in bed."
00:06:54.083,00:06:57.083,…but what Mum calls her bra strap.
00:07:34.583,00:07:35.500,I'm okay.
00:07:38.125,00:07:39.916,"Can you close the door, please?"
00:08:06.708,00:08:07.583,Turn the TV off.
00:08:09.166,00:08:11.291,"Mum, I can't do my laces."
00:08:13.416,00:08:15.291,Dad knows how to tie the best knots.
00:08:20.333,00:08:21.916,"Oh, shit."
00:08:23.500,00:08:26.541,Can we buy our own lunches today? It's Friday.
00:08:26.625,00:08:29.250,"-Can I get a pie? -Ooh, can I get a sausage roll?"
00:08:29.333,00:08:30.750,"Yeah, of course you can."
00:08:31.916,00:08:36.000,You've only been home a little while. It will get better. I promise.
00:08:40.625,00:08:41.833,I love you.
00:08:41.916,00:08:43.375,I'll call you after drop-off.
00:08:44.208,00:08:45.583,Give us a kiss before you go.
00:09:17.791,00:09:24.666,Light westerly winds are bringing fantastic surfing conditions with waves around one to two meters.
00:09:24.750,00:09:31.875,Conditions will be better in the morning as ground swell mixed with those offshore winds should bring well-formed waves that break cleanly.
00:09:31.958,00:09:35.250,"So, if you can make the most of it, you'll have a cracking morning."
00:09:35.333,00:11:02.791,"Looking further ahead at another fine day tomorrow… Hello, darling."
00:11:08.833,00:11:09.666,Hi.
00:11:11.166,00:11:12.083,Hmm.
00:11:13.333,00:11:15.875,What are you doing sitting here in the dark?
00:11:15.958,00:11:16.833,Nothing.
00:11:19.416,00:11:22.125,You need some light and fresh air in here.
00:11:22.791,00:11:26.958,"Hmm, why don't you take your book out onto the lawn?"
00:11:27.041,00:11:28.708,Or do your exercises.
00:11:28.791,00:11:32.666,Remember what the doctor in rehab said. You've gotta keep your spirits up.
00:11:34.458,00:11:37.750,Or try one of those podcast thingies.
00:11:37.833,00:11:45.375,"I bumped into Bron in the supermarket, and she reckons she can be hanging out the washing and solving a murder all at the same time."
00:11:48.250,00:11:52.666,I'd love to have a special lunch when Kylie gets back.
00:11:54.375,00:11:55.208,Sorry?
00:11:55.958,00:11:57.458,"What did you say, darling?"
00:11:58.083,00:11:59.250,I didn't say anything.
00:12:00.458,00:12:02.500,"Oh, thought you did."
00:12:10.958,00:12:12.916,Didn't Cam change these sheets?
00:12:26.041,00:12:27.291,What's this?
00:13:32.125,00:13:33.791,Hey. Hello.
00:13:35.125,00:13:36.250,Are you okay?
00:13:50.583,00:13:52.291,Maybe you should've left it there.
00:13:52.375,00:13:54.250,"She would have died, Mum."
00:13:59.958,00:14:01.791,I just think it'd be better off at the vet.
00:14:04.583,00:14:09.750,"Well, says here a magpie's gender can't be determined until after a year."
00:14:09.833,00:14:11.708,"So, we don't know."
00:14:15.958,00:14:17.708,"Well, she needs a name."
00:14:19.333,00:14:20.583,"No, Cam."
00:14:20.666,00:14:22.166,"No names, please."
00:14:22.916,00:14:24.875,Got enough to worry about around here.
00:14:24.958,00:14:25.791,Penguin.
