start,end,script
00:00:04.800,00:00:06.920,George.
00:00:08.120,00:00:10.480,This is Mommy Pig.
00:00:10.480,00:00:11.880,And this is Daddy Pig.
00:00:13.320,00:00:14.680,Peppa Pig.
00:00:20.200,00:00:25.040,NARRATOR: Peppa and her family are visiting Uncle Pig and Auntie Pig and Cousin Chloe.
00:00:25.040,00:00:29.400,"I expect Uncle Pig will fall asleep after lunch, like he always does."
00:00:29.400,00:00:34.960,"Daddy Pig, you shouldn't say such things about your own brother, especially in front of the children."
00:00:34.960,00:00:36.160,But it's true.
00:00:36.160,00:00:51.520,"Uncle Pig always eats too much lunch and falls asleep, snoring loudly, like this: DADDY PIG: Uh, Peppa, George, forget what I just said about Uncle Pig."
00:00:51.520,00:00:52.720,"Okay, Daddy."
00:00:56.000,00:00:59.880,Peppa and her family have arrived at Uncle Pig and Auntie Pig's house.
00:00:59.880,00:01:02.360,"Hello, Auntie Pig and Uncle Pig."
00:01:02.360,00:01:03.680,Hello.
00:01:03.680,00:01:05.120,"Hello, everyone."
00:01:05.120,00:01:06.880,"Hello, big brother."
00:01:06.880,00:01:09.120,Uncle Pig is Daddy Pig's brother.
00:01:09.120,00:01:11.760,Chloé Pig is Peppa and George's cousin.
00:01:11.760,00:01:13.040,"Hello, Chloé."
00:01:13.040,00:01:14.520,"Hello, Peppa."
00:01:14.520,00:01:15.880,"Hello, George."
00:01:15.880,00:01:17.520,I want to show you something.
00:01:17.520,00:01:19.360,Wait for us!
00:01:21.640,00:01:24.840,This is my new puppet theatre.
00:01:24.840,00:01:27.360,My Daddy made it for me.
00:01:27.360,00:01:29.400,Wow.
00:01:29.400,00:01:31.800,I've made two puppets already.
00:01:31.800,00:01:33.880,This one is called Chloé.
00:01:33.880,00:01:36.160,Hello. I am Chloé Pig.
00:01:38.520,00:01:40.560,And this one is my Daddy.
00:01:40.560,00:01:41.840,Uncle pig.
00:01:41.840,00:01:44.760,"Hello, Peppa."
00:01:47.360,00:01:51.000,"Chloé, can me and George make puppets too?"
00:01:51.000,00:01:52.320,Yes.
00:01:54.160,00:01:56.400,Chloé paints the puppet's eyes.
00:01:57.400,00:02:00.240,Can I do the mouth?
00:02:00.240,00:02:02.320,My name is Peppa.
00:02:03.840,00:02:06.720,"George, what puppet would you like to make?"
00:02:06.720,00:02:07.960,Dinosaur!
00:02:07.960,00:02:09.640,A dinosaur?
00:02:09.640,00:02:13.720,George always says dinosaur for everything.
00:02:13.720,00:02:17.120,Okay. A scary dinosaur puppet.
00:02:17.120,00:02:20.040,Chloé is making George a dinosaur puppet.
00:02:20.040,00:02:22.160,It needs pointy teeth.
00:02:22.160,00:02:23.400,There.
00:02:23.400,00:02:25.520,A scary dinosaur.
00:02:26.760,00:02:28.440,Grrr.
00:02:30.040,00:02:32.400,"AUNTIE PIG: Lunchtime, everyone."
00:02:32.400,00:02:35.680,"After lunch, we'll do a puppet show.."
00:02:35.680,00:02:37.440,Hooray!
00:02:37.440,00:02:41.640,Auntie Pig has made spaghetti for lunch.
00:02:42.880,00:02:46.080,This spaghetti is delicious.
00:02:47.600,00:02:49.040,Best spaghetti ever.
00:02:49.040,00:02:51.200,You can tell you two are brothers.
00:02:51.200,00:02:52.920,Alike in every way.
00:02:54.240,00:02:55.520,What do you mean?
00:02:56.680,00:02:58.840,We are completely different.
00:03:00.280,00:03:04.600,"Peppa, George and I are going to do a puppet show."
00:03:04.600,00:03:06.880,Fantastic. Call us when you're ready.
00:03:06.880,00:03:08.680,See you later.
00:03:08.680,00:03:10.520,A puppet show.
00:03:11.760,00:03:13.920,Have I got time for some more spaghetti?
00:03:13.920,00:03:15.440,Could I have some more too?
00:03:18.920,00:03:21.640,The puppet show is about to begin.
00:03:23.880,00:03:26.360,"Hello, my name is Chloé."
00:03:26.360,00:03:28.320,And I am Peppa.
00:03:28.320,00:03:29.720,Grrr.
00:03:29.720,00:03:32.720,Aah! It's a dinosaur.
00:03:32.720,00:03:34.720,A scary dinosaur.
00:03:36.480,00:03:38.720,"Oh, I say."
00:03:38.720,00:03:40.520,Bravo.
00:03:40.520,00:03:44.600,"I am Uncle Pig Hello, Uncle Pig."
