start,end,script
00:00:29.321,00:00:53.804,"Please don't stop the music Please don't stop the music Now, this is exactly the type of performance you would expect to see at the International Championship of Collegiate A Cappella."
00:00:53.846,00:00:55.597,"Am I right, Gail?"
00:00:55.639,00:00:57.850,"John, you're so right, everything else seems wrong."
00:00:57.892,00:01:00.644,"JOHN: Boy, these Barden University Treblemakers always thrill the judges."
00:01:00.686,00:01:02.897,And the ladies in the room cannot get enough.
00:01:02.938,00:01:04.815,"So true, John."
00:01:04.857,00:01:07.526,Nothing makes a woman feel more like a girl than a man who sings like a boy.
00:01:13.532,00:01:39.516,"We're hand in hand, chest to chest And now we're face to face I wanna take you away Let's escape into the music DJ, let it play, I just can't refuse it Like the way you do this Keep on rockin' to it Please don't stop the Please don't stop the Please don't stop the Chloe, look at you. You're a mess. You're unfocused."
00:01:39.558,00:01:44.063,"And your breath smells like egg. Like, all the time."
00:01:44.103,00:01:47.608,I can't believe the Bellas are being passed on to you two slut bags after we graduate.
00:01:47.649,00:01:49.526,Just don't eff up your solo.
00:01:49.568,00:01:51.194,I won't disappoint you.
00:01:51.236,00:01:54.907,"My dad always says, If you're not here to win, get the hell out of Kuwait."
00:01:54.949,00:01:56.408,Has your dad ever told you to shut up?
00:02:00.412,00:02:01.663,I'm fine.
00:02:08.545,00:02:13.008,"Please don't stop the music Ouch! Boy, that hurt."
00:02:13.050,00:02:14.843,GAIL: Sexy man-splits.
00:02:14.885,00:02:16.344,"JOHN: His pain is our gain, Gail."
00:02:32.945,00:02:33.612,"All right, good luck, guys!"
00:02:36.949,00:02:39.076,Good luck out there!
00:02:39.118,00:02:43.538,"Seriously, you girls are awesome...ly horrible."
00:02:43.580,00:02:46.166,I hate you. Kill yourselves.
00:02:49.003,00:02:51.880,"All right, ladies, it's now or never. Hands in!"
00:02:52.464,00:02:54.341,"ALL: One, two..."
00:02:56.802,00:03:00.555,"Up now, the Barden Bellas!"
00:03:00.597,00:03:06.812,"JOHN: Well, the Bellas tonight are making history as the first ever all-female group to advance to the ICCA finals."
00:03:06.854,00:03:09.148,"GAIL: That's right, John."
00:03:06.854,00:03:12.151,"Now, why do you think it's taken so long for an all-lady group to break through that a cappella glass ceiling?"
00:03:12.191,00:03:20.117,"Well, Gail, the women, typically, cannot hit the low notes, which really round out an arrangement, thrill the judges, and that can really hurt them in competition."
00:03:20.159,00:03:21.952,Women are about as good at a cappella as they are at being doctors.
00:03:27.666,00:03:29.960,"One, two, three, four."
00:03:38.927,00:03:48.520,"You would hardly recognize me, I'm so glad How could a person like me care for you?"
00:03:48.562,00:03:53.067,Why do I bother When you're not the one for me?
00:03:53.108,00:03:57.696,"Ooh-ooh-ooh-ooh-ooh It's enough, enough?"
00:03:57.738,00:04:02.576,I saw the sign Is it me or did we just take a left turn into Snoozeville?
00:04:02.617,00:04:04.494,"Yeah, and we parked in a lot where they do not validate."
00:04:08.207,00:04:12.460,I saw the sign and it opened up my eyes I saw the...
00:04:14.838,00:04:15.964,No!
00:04:16.006,00:04:18.550,This is a surprise!
00:04:18.592,00:04:20.886,This has never happened!
00:04:18.592,00:04:24.014,"Now, this is how you bring some excitement to the International Championship of Collegiate A Cappella."
00:04:24.056,00:04:26.767,She had a week's worth of lunch and lost it.
00:04:26.808,00:04:28.351,"Well, she didn't lose it."
00:04:28.393,00:04:29.186,It's all over the third row.
00:05:43.885,00:05:45.637,I got it. Thanks.
00:05:53.603,00:05:55.563,Hi there! Welcome to Barden University. What dorm?
00:05:56.564,00:05:58.566,"Baker Hall, I think."
00:05:58.608,00:06:02.612,"Okay. So, what you're gonna do is you're gonna go down this way, you're gonna take a right and you go through those double doors..."
00:06:04.198,00:06:15.209,"no more, no Your campus map."
00:06:15.250,00:06:18.086,And your official BU rape whistle.
00:06:18.128,00:06:19.087,Don't blow it unless it's actually happening.
00:06:54.915,00:06:55.999,Hey.
00:06:58.919,00:06:59.961,You must be Kimmy Jin.
00:07:02.672,00:07:03.548,No English?
00:07:05.050,00:07:06.051,Yes English?
00:07:08.095,00:07:10.055,Just tell me where you're at with English.
00:07:16.103,00:07:18.813,There he is. I'm Benji.
00:07:18.855,00:07:21.191,And you must be kidding. Wow!
00:07:23.026,00:07:25.486,"Looking at it now, I can see that it's a bit much."
00:07:25.528,00:07:27.364,I can take it down.
00:07:27.406,00:07:30.992,"No, no way. I mean, it took a second for my eyes to adjust, but I can roll with this."
00:07:31.034,00:07:33.120,"Look, just so you know, I'm not a total nerd."
00:07:33.161,00:07:36.081,I also happen to be super into close-up magic.
00:07:38.250,00:07:40.919,"Dude, that's awesome!"
00:07:40.961,00:07:42.670,How long was that little guy in there?
00:07:42.712,00:07:43.463,Several days.
00:07:57.269,00:07:59.062,"MAN: Hey, this is campus police."
00:08:02.607,00:08:04.276,Just... It's your old man making a funny.
00:08:05.693,00:08:07.279,"Chris Rock, everybody."
00:08:07.321,00:08:09.656,"Hey, you must be Beca's roommate."
00:08:09.697,00:08:11.325,"I'm Dr. Mitchell, Beca's dad."
00:08:12.700,00:08:13.785,I teach Comparative Literature here.
00:08:18.457,00:08:21.793,"So, when did you get here?"
00:08:21.835,00:08:24.379,Took a cab.
00:08:24.421,00:08:25.130,How is the stepmonster?
00:08:27.382,00:08:31.136,"She is fine, thank you for asking. She's actually in Vegas at a conference..."
00:08:31.178,00:08:33.305,"No, Dad, I don't actually care. I just wanted to say stepmonster."
00:08:36.433,00:08:38.810,"So, have you guys been out on the quad yet?"
00:08:38.852,00:08:41.313,"In the springtime, all the students study on the grass."
00:08:41.355,00:08:43.273,"I don't wanna study on the grass, Dad."
00:08:43.315,00:08:46.776,I need to move to LA and get a job at a record label and start paying my dues.
00:08:46.818,00:08:48.569,Here we go again.
00:08:46.818,00:08:51.698,"You know, Beca, DJing is not a profession, it's a hobby."
00:08:51.739,00:08:54.617,Unless you're Rick Dees or someone awesome.
00:08:54.659,00:08:58.038,That's not... I...
00:08:58.079,00:09:01.333,I wanna produce music.
00:09:01.375,00:09:04.002,But you're going to get a college education first.
00:09:04.044,00:09:06.338,"For free, I might add."
00:09:08.173,00:09:11.426,I'm going to the Activities Fair.
00:09:11.468,00:09:14.513,"Me, too. I'm going to the Activities Fair with my super-good friend, Kimmy Jin."
00:09:27.442,00:09:30.570,taking numbers. Join our righteous frat.
00:09:30.611,00:09:32.697,"If you ain't pledging Sigma Beta, you ain't worth no crap."
00:09:34.782,00:09:37.869,That's a double negative.
00:09:37.911,00:09:41.540,Follow me. There's only one group on this campus worth joining.
00:09:41.581,00:09:44.625,"As far as Barden goes, that's what being a man's all about."
00:09:50.382,00:09:58.890,Wanna see you whip it So could treat you right Give me just a minute Of your time tonight The Treblemakers.
00:09:58.932,00:10:02.477,"The rock stars of a cappella, the messiahs of Barden."
00:10:02.519,00:10:06.356,"Well, you know, not including athletes, frat guys, or actual cool people."
00:10:06.398,00:10:09.526,Organized nerd singing.
00:10:09.568,00:10:12.612,"Yeah, it makes so much sense. How's your voice?"
00:10:12.653,00:10:18.201,"We both are here to have the... So let it whip Oh, nice."
00:10:21.662,00:10:23.582,I will stop at nothing to take those ding-a-lings down.
00:10:25.625,00:10:28.378,"Hey, Barb. You gonna audition this year? We have openings."
00:10:28.420,00:10:31.839,"Now that you've puked your way to the bottom, you might actually consider me?"
00:10:31.881,00:10:35.927,I auditioned for you three times and never got in because you said my boobs look like baloney.
00:10:38.138,00:10:42.267,The word's out.
00:10:42.309,00:10:45.312,Good luck auditioning this year. Douche-b's.
00:10:46.646,00:10:50.024,"Oh, my God."
00:10:50.066,00:10:52.944,"God, if we can't even recruit Baloney Barb, then we can't get anybody."
00:10:52.986,00:10:55.363,"Just take the dramatics down a notch, okay?"
00:10:55.405,00:10:56.615,"Well, you're the one who got us into this hot mess."
00:10:56.656,00:10:57.991,We'll be fine.
00:10:58.032,00:11:05.790,I am confident that we will find eight super-hot girls with bikini-ready bodies who can harmonize and have perfect pitch. Okay?
