start,end,script
00:00:14.720,00:00:15.760,Elly!
00:00:25.960,00:00:27.360,Loula!
00:00:31.800,00:00:33.320,Sleepy Bird!
00:00:45.680,00:00:53.360,"where Pocoyo and his friends live, and Pocoyo and Pato should just be settling down to..."
00:00:58.120,00:01:04.040,"Hmm, as I was saying, they should be settling down to bed."
00:01:22.720,00:01:26.720,Do you know what we usually do when it gets late?
00:01:29.640,00:01:30.760,Quack!
00:01:33.640,00:01:38.880,Can any of you tell Pocoyo what he needs to do next?
00:01:47.000,00:01:49.280,It's bedtime.
00:01:50.800,00:01:51.680,No.
00:01:53.040,00:01:56.560,I'm afraid Pocoyo doesn't want to go to sleep.
00:01:56.760,00:02:00.200,"But, Pocoyo, everyone needs sleep."
00:02:01.520,00:02:03.440,You don't need sleep?
00:02:03.800,00:02:05.360,Are you sure?
00:02:14.640,00:02:15.880,Quack!
00:02:18.880,00:02:24.040,that he needs his sleep and your airplane sounds are keeping him awake.
00:02:29.160,00:02:31.960,"Oh, how nice, Pocoyo."
00:02:49.400,00:02:50.880,"All right, then."
00:02:51.040,00:02:52.960,That's better.
00:02:54.480,00:02:55.800,Good night.
00:03:07.360,00:03:08.920,What's this now?
00:03:10.400,00:03:11.560,Quack!
00:03:14.640,00:03:15.480,Ah.
00:03:46.680,00:03:47.520,Quack!
00:03:53.360,00:03:54.440,Quack!
00:04:07.000,00:04:09.800,"for building block towers, Pocoyo."
00:04:10.000,00:04:12.960,You can build another tomorrow if you like.
00:04:19.000,00:04:20.400,Good night.
00:04:31.520,00:04:32.640,Pocoyo.
00:04:32.760,00:04:39.760,"Um, Pocoyo, bedtime isn't the time for playing with trains either."
00:04:54.800,00:04:55.880,Quack!
00:05:04.440,00:05:07.200,He's finally down to sleep.
00:05:07.400,00:05:10.640,Now you can get some sleep yourself.
00:05:17.160,00:05:19.680,"Oh, no. What's the matter, Pato?"
00:05:20.000,00:05:21.920,"Can't sleep now, eh?"
00:05:24.080,00:05:26.920,"Well, maybe I can help."
00:05:27.240,00:05:30.160,Perhaps a little soothing music?
00:05:30.320,00:05:31.320,Let's see now.
00:05:31.440,00:05:32.440,Um...
00:05:42.800,00:05:44.480,"Hmm, that didn't work."
00:05:45.800,00:05:50.960,I know. Can all of you sing Pato the lullaby with me?
00:06:03.640,00:06:09.000,"La-la-la La-la-la, la-la-la."
00:06:09.480,00:06:17.680,La-la-la It looks like our friends are finally asleep.
00:06:21.480,00:06:26.320,"Good night, Pocoyo, and good night to you too."
00:06:26.720,00:06:30.080,"Good night, all, and hooray for Pocoyo."
00:06:33.320,00:06:36.120,Bye-bye. See you soon.
00:06:49.160,00:06:50.760,Pato!
00:06:55.320,00:06:56.360,Elly!
00:07:06.560,00:07:07.960,Loula!
00:07:12.400,00:07:13.920,Sleepy Bird!
00:07:26.000,00:07:27.200,Hi.
00:07:31.400,00:07:35.720,"Wow, that's quite a system you've got going there."
00:07:36.000,00:07:40.840,"Pocoyo passes the bricks up, and Pato puts them on top."
00:07:41.040,00:07:44.160,"Well, your teamwork is really paying off."
00:07:44.360,00:07:46.600,It looks fantastic.
00:07:46.680,00:07:51.080,Can any of you guess what Pocoyo and Pato are building?
00:08:14.400,00:08:16.480,"Oh, dear, Pocoyo."
00:08:16.560,00:08:17.880,What are you going to do?
00:08:18.000,00:08:22.640,"Pato needs another brick, but you've already used them all up."
00:08:25.440,00:08:30.280,"Oh, oh, oh, Pocoyo, I'm not sure that's such a good idea."
00:09:03.320,00:09:07.320,there's no reason to get so angry with one another.
00:09:07.840,00:09:09.960,It's no one's fault.
00:09:10.400,00:09:15.000,"Pato wanted more bricks, and Pocoyo was only trying to help."
00:09:15.120,00:09:17.000,"Oh, come on, now."
00:09:17.280,00:09:18.800,Make friends.
00:09:20.200,00:09:21.280,No.
00:09:36.840,00:09:39.080,"Pocoyo, Pato."
00:10:12.920,00:10:16.440,Maybe she can sort out this ridiculous situation.
00:11:12.480,00:11:13.480,Mine.
00:12:23.120,00:12:25.320,This really has got out of hand.
00:12:53.000,00:12:55.760,what Elly thinks they should do?
00:13:12.680,00:13:17.360,that being friendly is a lot more fun than being angry.
00:13:17.480,00:13:20.280,Hooray for Pocoyo and Pato.
00:13:21.440,00:13:22.720,Bye-bye.
00:13:31.480,00:13:33.080,Pato!
00:13:37.640,00:13:38.680,Elly!
00:13:48.880,00:13:50.280,Loula!
00:13:54.720,00:13:56.240,Sleepy Bird!
00:14:10.600,00:14:12.080,"Hello, Pocoyo."
00:14:12.560,00:14:13.560,Huh.
00:14:17.080,00:14:18.280,"Oh, dear."
00:14:18.400,00:14:22.440,It looks like Pocoyo is in a bad mood today.
00:14:23.080,00:14:24.960,"Cheer up, Pocoyo."
00:14:29.000,00:14:34.440,"Oh, look, Pocoyo, here comes someone who'll put a smile back on your face."
00:14:35.000,00:14:36.680,"Take a look, Pocoyo."
00:14:36.920,00:14:38.280,It's your friend...
00:14:38.520,00:14:45.200,"Hmm, can any of you tell Pocoyo which one of his friends is coming?"
00:14:45.560,00:14:46.680,Mm.
00:14:56.200,00:15:00.400,"I'm afraid Pocoyo is feeling a bit unhappy, Octopus."
00:15:00.640,00:15:01.920,Can you help?
00:15:32.960,00:15:35.480,You've cheered Pocoyo up.
00:15:35.600,00:15:37.040,Good job.
00:15:50.480,00:15:55.200,"Elly, what beautiful dancing."
00:16:16.520,00:16:20.760,Pocoyo's laughing interrupted her beautiful dancing.
00:16:20.880,00:16:22.800,She could do with cheering up.
00:16:45.160,00:16:47.240,"Well done, Octopus."
00:16:47.360,00:16:50.600,Elly's back to her old self again.
00:16:52.360,00:16:54.160,"Ah, and here's Pato."
00:17:08.840,00:17:12.720,Your hat has fallen down over your eyes.
00:17:20.360,00:17:22.040,That old problem.
00:17:25.400,00:17:26.840,"Oh, dear."
00:17:26.960,00:17:32.280,"Pocoyo, Pato thinks you and Elly are laughing at him."
00:17:32.440,00:17:33.760,Do you see?
00:17:38.320,00:17:40.880,"Oh, that's nice, Pocoyo and Elly."
00:17:41.000,00:17:45.560,But Pato still doesn't seem to be back to his normal self.
00:17:46.080,00:17:47.240,Hm.
00:17:47.600,00:17:50.160,What could cheer Pato up?
00:17:50.360,00:17:58.400,Can any of you tell Pocoyo and Elly what or who might be able to cheer Pato up?
00:18:37.680,00:18:39.200,to make him giggle.
00:18:42.240,00:18:44.000,A feather? Umm.
00:18:44.200,00:18:47.000,How will that make Pato laugh?
00:18:57.960,00:19:00.040,Pato is laughing at last.
00:19:01.600,00:19:04.760,So tickling Pato made him laugh.
00:19:04.880,00:19:07.600,"What a brilliant idea, Octopus."
00:19:08.920,00:19:11.880,"But I must say, that wouldn't work on me."
00:19:24.240,00:19:26.080,"That does rather tickle, doesn't it?"
00:19:26.200,00:19:27.960,"All right, all right, Octopus."
00:19:28.080,00:19:29.800,I think-- I think that's enough.
00:19:29.920,00:19:30.920,"Thank you, Octopus."
00:19:31.040,00:19:33.160,"Stop it. Stop it, please!"
00:19:33.280,00:19:34.320,Please.
00:19:46.360,00:19:54.000,even if-- Even-- Even if you are unhappy to start with.
00:19:54.240,00:19:59.040,Hooray-- Hooray for Octopus and for Pocoyo.
00:19:59.320,00:20:02.720,See you-- See you next time. Bye-bye!
00:20:14.720,00:20:16.320,Pato!
00:20:20.920,00:20:21.960,Elly!
00:20:32.160,00:20:33.560,Loula!
00:20:38.000,00:20:39.520,Sleepy Bird!
00:21:02.400,00:21:03.520,Box.
00:21:06.160,00:21:09.720,What a wonderful thing a box is.
00:21:10.120,00:21:15.240,"Why, there's so much you can do with it, so many things a box can be."
00:21:35.760,00:21:38.080,"What are you pretending it is, Pocoyo?"
00:21:38.200,00:21:39.480,"Beep, beep!"
00:21:43.000,00:21:46.360,What is Pocoyo pretending the box is?
00:21:58.400,00:22:00.360,Box... Car.
00:22:11.080,00:22:13.040,Box... Car.
00:22:29.120,00:22:34.720,"Your box car is moving all on its own, like a real car."
00:22:55.720,00:22:59.640,It looks like Elly has a good idea for what the box could be.
00:23:00.480,00:23:02.040,It's a table.
00:23:08.960,00:23:11.840,But an unusual sort of table.
00:23:13.560,00:23:15.800,The box is off again.
00:23:56.320,00:24:00.920,And it looks like Pato has another idea for what the box could be.
00:24:05.240,00:24:10.720,"He's going to step on the box to reach that lovely, juicy apple."
00:24:12.000,00:24:13.320,No!
00:24:28.720,00:24:33.280,"Well, I'm afraid this box isn't like most boxes."
00:24:33.960,00:24:36.720,Do you know why the box keeps running away?
00:24:39.400,00:24:41.280,Let me give you a clue.
00:24:42.000,00:24:45.880,There's something inside the box.
00:24:48.120,00:24:55.240,"It is very, very friendly, with floppy ears and a very waggy tail."
00:24:55.360,00:24:57.440,Can you guess what it is?
00:25:16.760,00:25:18.320,What about all of you?
00:25:18.440,00:25:25.760,"Can any of you tell our friends what, or who, is inside the box and making it move?"
00:25:38.440,00:25:39.920,Loula?
00:25:54.560,00:25:59.160,"You know, I think Loula really likes that box."
00:26:01.600,00:26:07.840,I wonder if there isn't something you could do with the box so that she could spend more time in it.
00:26:25.000,00:26:31.680,"a box can be many things to many people, and to many dogs, too, for that matter."
00:26:35.520,00:26:37.440,Hooray for Pocoyo!
00:26:37.560,00:26:39.280,Hooray for boxes!
00:26:39.400,00:26:42.280,"And hooray for you too, Loula."
00:00:08.600,00:00:10.120,Pato!
00:00:14.880,00:00:15.880,Elly!
00:00:49.280,00:00:50.200,"Look, he's..."
00:00:50.320,00:00:51.120,Hmm...
00:00:51.200,00:00:52.720,What is he doing?
00:00:52.840,00:00:54.080,"Hello, Pocoyo."
00:00:54.240,00:00:55.040,Hi.
00:01:07.640,00:01:09.360,He's drumming.
00:01:09.480,00:01:12.440,"It makes a fine noise, doesn't it?"
00:01:15.800,00:01:20.160,"Yes, the drum is a wonderful instrument."
00:01:20.360,00:01:21.960,"Oh, my."
00:01:22.080,00:01:25.440,"Yes, that is quite a big sound, Pocoyo."
00:01:25.560,00:01:28.520,"Yes, indeed, Pocoyo!"
00:01:28.640,00:01:29.560,Pocoyo!
00:01:29.680,00:01:31.440,Poocooyoo!
00:01:38.520,00:01:40.360,Drum! Loud!
00:01:43.400,00:01:44.840,Perhaps you could...
00:01:44.960,00:01:46.720,Pocoyo?
00:01:47.440,00:01:49.160,Show friends.
00:02:13.040,00:02:14.480,Sleepy bird. Drum.
00:02:25.960,00:02:29.760,Poooocooooyoooo!
00:02:33.000,00:02:37.880,Uh! I believe Sleepy Bird was taking a nap.
00:02:38.120,00:02:46.080,"I'm not sure she wants to, uh, do any drumming right now or hear any, I'm afraid."
00:03:02.200,00:03:03.400,"Oh, here's Elly."
00:03:03.520,00:03:06.960,And how lovely. She's dancing.
00:03:27.000,00:03:29.600,"Are you all right, Elly?"
00:03:32.200,00:03:34.160,"Um, Pocoyo!"
00:03:34.320,00:03:38.360,I don't think Elly wants to drum right now either.
00:03:38.480,00:03:39.720,She's dancing.
00:03:58.240,00:03:59.520,Quack! Quack!
00:03:59.640,00:04:00.600,Pato.
00:04:00.720,00:04:01.960,Drum.
00:04:02.080,00:04:03.520,Drum!
00:04:15.120,00:04:16.400,Quack! Quack! Quack!
00:04:18.920,00:04:19.840,Drum.
00:04:28.240,00:04:29.080,Pato.
00:04:38.120,00:04:41.880,I'm afraid Pato doesn't want to drum either.
00:04:51.520,00:04:55.280,"Oh, I'm afraid Pocoyo's a bit upset."
00:05:02.080,00:05:03.600,Pocoyo?
00:05:03.720,00:05:04.920,Pocoyooo.
00:05:07.640,00:05:19.440,"I know you wanted to drum, but sometimes not everyone wants to do exactly the same thing you do at exactly the same time you want to do it."
00:05:23.400,00:05:30.360,"But maybe if you wait a bit and check back with them later, - when they're finished with... - Drum."
00:05:33.360,00:05:36.320,Why don't you drum a little now?
00:05:36.440,00:05:38.760,There's not really anyone around to upset...
00:05:38.840,00:05:42.680,I-I mean to appreciate it at the moment.
00:05:48.360,00:05:49.840,"Oh, look, Pocoyo!"
00:05:49.960,00:05:50.800,It's...
00:05:52.360,00:05:54.040,"Um, Pocoyo."
00:05:54.240,00:05:56.560,If I might stop you for a moment.
00:06:08.520,00:06:12.360,"I think your friends want to do some drumming now, Pocoyo."
00:06:13.000,00:06:15.800,"Elly, Pato, drum!"
00:06:27.760,00:06:30.720,"Or in this case, loud things..."
00:06:30.880,00:06:33.880,Come to those who learn to wait!
00:06:34.000,00:06:37.120,Hooray for Pocoyo!
00:06:38.000,00:06:41.000,See you soon!
00:06:49.640,00:06:51.160,Pato!
00:06:55.800,00:06:56.800,Elly!
00:07:07.040,00:07:08.280,Loula!
00:07:12.840,00:07:14.240,Sleepy bird!
00:07:28.280,00:07:30.160,They're out for a ride.
00:07:30.240,00:07:31.440,"Hello, Pocoyo."
00:07:31.560,00:07:33.160,"Hello, Elly."
00:07:34.640,00:07:43.080,There's nothing like a relaxing ride on a nice day to make you feel wonderful and bring friends together.
00:07:50.280,00:07:51.480,Oh.
00:07:54.080,00:08:01.000,It seems like Elly and Pocoyo's relaxing little ride together is becoming a race.
00:08:01.400,00:08:03.480,And there's Pato.
00:08:04.480,00:08:06.120,But where's he going?
00:08:06.240,00:08:07.200,Aha!
00:08:07.320,00:08:09.400,There he is. I see.
00:08:09.520,00:08:14.040,Pato wants Elly and Pocoyo to have a real race.
00:08:14.280,00:08:15.920,How exciting!
00:08:16.040,00:08:17.280,"Gather round, everyone."
00:08:17.600,00:08:23.320,Elly and Pocoyo are going to have a race to see who's faster.
00:08:25.840,00:08:28.520,I think Pato wants to get things going.
00:08:28.640,00:08:29.440,Quack!
00:08:31.520,00:08:33.680,"to get the race started, Pato?"
00:08:40.000,00:08:43.840,"Yes, you say, ready, steady..."
00:08:43.960,00:08:47.040,"And then what comes next, Pato?"
00:08:47.640,00:08:48.960,"Oh, dear."
00:08:49.080,00:08:51.720,Pato can't remember what comes next.
00:08:51.840,00:08:55.640,Can any of you help Pato to get the race started?
00:08:55.760,00:08:57.440,Say it with me.
00:08:57.600,00:08:59.040,Ready...
00:08:59.160,00:09:00.600,Steady...
00:09:07.320,00:09:09.320,Well done. Isn't it thrilling?
00:09:09.440,00:09:11.800,Pocoyo and Elly are neck and neck!
00:09:12.440,00:09:16.360,"Oh, and I think they've woken Sleepy Bird."
00:09:17.680,00:09:18.720,"Oh, and look!"
00:09:18.840,00:09:21.680,It seems as though she wants to join the race as well.
00:09:23.920,00:09:27.320,"Oh, it doesn't look like she can go very fast."
00:09:30.120,00:09:33.680,It looks as though Elly is taking the lead.
00:09:37.000,00:09:39.280,"Oh, no, what bad luck!"
00:09:39.400,00:09:42.480,Elly appears to be stuck in the sand.
00:09:43.960,00:09:49.480,"And there goes Pocoyo, leaving poor Elly in the dust..."
00:09:49.600,00:09:51.600,I-I-I mean sand!
00:09:52.960,00:09:54.120,Wait a moment.
00:09:54.240,00:09:56.840,Looks like Elly has an idea.
00:09:56.960,00:09:59.240,What's she going to do?
00:09:59.600,00:10:02.040,She's pulling herself out!
00:10:02.160,00:10:03.200,"Pull, Elly!"
00:10:03.320,00:10:04.640,Pull!
00:10:07.400,00:10:09.400,She did it.
00:10:14.200,00:10:16.560,And she's off again.
00:10:19.000,00:10:20.520,"Nice going, Pocoyo."
00:10:20.640,00:10:22.640,You're way ahead.
00:10:23.520,00:10:27.200,"You're working up quite a sweat, aren't you?"
00:10:34.720,00:10:36.080,This is very strange.
00:10:36.200,00:10:38.480,"What are you doing now, Pocoyo?"
00:10:38.600,00:10:39.720,Ice cream.
00:10:42.240,00:10:44.040,in the middle of the race?
00:10:44.160,00:10:50.360,"Well, I must say, you must be feeling pretty confident if you're eating ice cream."
00:10:55.960,00:10:57.480,"Oh, Elly."
00:10:59.160,00:11:02.920,"Well, you'd better get going if you want to win the race, Pocoyo."
00:11:04.600,00:11:05.920,And he's off again!
00:11:06.040,00:11:08.160,Look at that Pocoyo go!
00:11:08.280,00:11:11.360,"Oh, and there's Sleepy Bird."
00:11:16.920,00:11:20.200,Pocoyo and Elly are neck and neck again!
00:11:20.320,00:11:22.200,What a race!
00:11:23.760,00:11:25.240,"Oh, no, what was that?"
00:11:37.280,00:11:43.480,"It looks like the car and scooter have fallen apart, and so close to the finish."
00:11:44.040,00:11:44.840,"Oh, dear."
00:11:44.960,00:11:49.960,How are Pocoyo and Elly going to finish the race without a car or scooter?
00:11:50.080,00:11:56.920,"You know, I wonder if there's a way you might still be able to finish the race."
00:11:57.040,00:11:58.840,"Just think, Pocoyo."
00:11:58.960,00:12:00.920,You have a bit that still works.
00:12:01.040,00:12:03.640,"And, Elly, you have another bit."
00:12:03.920,00:12:07.600,"Is there a way you can make a new vehicle, Pocoyo?"
00:12:07.720,00:12:15.480,Can any of you help Pocoyo and Elly work out how they could make something new?
00:12:21.720,00:12:28.600,"If you put each of your pieces together, you can finish the race together in style."
00:12:30.560,00:12:32.040,Look at that.
00:12:32.160,00:12:34.640,Pocoyo and Elly have made a...
00:12:34.760,00:12:35.720,Car-Ooter.
00:12:43.520,00:12:46.320,It appears that you've both won the race...
00:12:46.440,00:12:48.320,Together!
00:12:52.960,00:13:00.200,"Oh, well, um, actually, it seems that Sleepy Bird is the winner."
00:13:01.680,00:13:08.720,"Ah, I suppose it just goes to show, it's really not who gets to the finish line first that matters."
00:13:08.840,00:13:12.400,The fun is all in how you get there.
00:13:12.520,00:13:13.920,And with whom.
00:13:14.040,00:13:16.160,Hooray for Pocoyo!
00:13:16.280,00:13:18.400,Bye-bye. See you soon.
00:13:26.720,00:13:28.240,Pato!
00:13:33.160,00:13:34.160,Elly!
00:13:44.400,00:13:45.640,Loula!
00:13:50.200,00:13:51.600,Sleepy bird!
00:14:03.600,00:14:04.440,Hi.
00:14:25.960,00:14:29.840,"My, what a wonderful castle Elly has built."
00:14:29.960,00:14:31.680,"Don't you think so, Pocoyo?"
00:15:01.920,00:15:04.960,"What is it, Elly? Is something the matter?"
00:15:06.040,00:15:08.000,"Oh, I see."
00:15:08.160,00:15:10.600,There's something missing.
00:15:10.800,00:15:16.200,"Pocoyo, can you see what's missing from Elly's castle?"
00:15:18.280,00:15:24.440,Can any of you help Pocoyo work out what's missing from the castle?
00:15:32.680,00:15:35.240,It needs a flag.
00:15:59.840,00:16:01.040,"Oh, my goodness."
00:16:01.160,00:16:03.400,What does Elly mean?
00:16:03.520,00:16:09.480,I think Elly's telling you not to touch the castle while she's away.
00:16:12.760,00:16:18.840,And she wants you to make sure no one else touches it either.
00:16:18.960,00:16:20.640,Don't touch.
00:16:31.360,00:16:33.840,Don't touch. Don't touch.
00:16:35.120,00:16:36.440,Don't touch.
00:16:40.400,00:16:41.880,Touch.
00:16:53.600,00:16:55.400,Don't touch.
00:17:27.240,00:17:29.440,"- Pato, don't touch. - Quack."
00:17:50.720,00:17:52.680,Don't touch!
00:17:56.440,00:17:58.440,Don't touch!
