start,end,script
00:02:19.514,00:02:21.099,Lydia. Kitty.
00:03:00.680,00:03:03.266,Netherfield Park is let at last.
00:03:03.725,00:03:05.643,Do you not want to know who has taken it?
00:03:07.812,00:03:10.481,I doubt I have any choice in the matter.
00:03:17.447,00:03:20.575,"Liddy, Kitty, what have I told you about listening at the door?"
00:03:20.658,00:03:24.120,Never mind that. There's a Mr. Bingley -arrived from the North. -Perchance.
00:03:24.203,00:03:26.581,"-£5,000 a year. -Really?"
00:03:27.165,00:03:28.207,-He's single. -He's single.
00:03:28.291,00:03:29.417,"-Who's single? -A Mr. Bingley, apparently."
00:03:30.627,00:03:31.628,Kitty.
00:03:31.711,00:03:33.755,And how can that possibly affect them?
00:03:33.838,00:03:36.049,"Oh, Mr. Bennet, how can you be so tiresome?"
00:03:36.132,00:03:38.509,You know he must marry one of them.
00:03:40.929,00:03:42.889,You must go and visit him at once.
00:03:43.681,00:03:46.184,Good heavens. People.
00:03:48.853,00:03:52.857,"For we may not visit if you do not, as you well know, Mr. Bennet."
00:03:52.941,00:03:54.275,Aren't you listening? You never listen.
00:03:57.362,00:04:00.323,"There's no need, I already have."
00:04:01.074,00:04:02.200,-Have? -When?
00:04:02.659,00:04:06.246,"Oh, Mr. Bennet, how can you tease me so?"
00:04:06.579,00:04:09.040,Have you no compassion for my poor nerves?
00:04:09.123,00:04:10.625,"You mistake me, my dear."
00:04:10.708,00:04:12.835,I have the highest respect for them.
00:04:12.919,00:04:16.339,They've been my constant companions these 20 years.
00:04:16.422,00:04:17.548,Papa.
00:04:17.674,00:04:18.883,-Is he amiable? -Who?
00:04:20.677,00:04:21.886,He's sure to be handsome.
00:04:21.970,00:04:25.431,"With £5,000 a year, it would not matter -if he had warts and a leer. -Who's got warts?"
00:04:25.515,00:04:29.769,I will give my hearty consent to his marrying whichever of the girls he chooses.
00:04:29.852,00:04:32.522,"So will he come to the ball tomorrow, Papa?"
00:04:33.564,00:04:34.816,I believe so.
00:04:39.737,00:04:41.030,"Please, Jane, I'll lend you my green slippers."
00:04:41.114,00:04:42.156,"-They were mine. -Oh, were they?"
00:04:42.240,00:04:43.825,"Well, then I'll do your mending for a week."
00:04:43.908,00:04:45.076,I'll re-trim your new bonnet.
00:04:45.159,00:04:47.328,"-Two weeks. -And I'll pay you myself, Jane."
00:05:40.131,00:05:41.966,I can't breathe.
00:05:55.646,00:06:00.443,"Now, if every man in the room does not end the evening in love with you, then I'm no judge of beauty."
00:06:00.526,00:06:03.821,"-Or men. -No, they are far too easy to judge."
00:06:05.364,00:06:08.201,"Humorless poppycocks, in my limited experience."
00:06:08.326,00:06:13.247,"One of these days, Lizzie, someone will catch your eye and then you'll have to watch your tongue."
00:06:34.602,00:06:36.270,How good of you to come.
00:06:36.354,00:06:38.606,"So, which of the painted peacocks is our Mr. Bingley?"
00:06:38.689,00:06:41.609,"Well, he's on the right, and on the left is his sister."
00:06:41.692,00:06:43.236,And the person with the quizzical brow?
00:06:53.579,00:06:55.456,and he owns half of Derbyshire.
00:06:55.581,00:06:57.291,The miserable half?
00:07:01.587,00:07:03.881,He's about the best butcher in the county.
00:07:24.610,00:07:27.321,"Mr. Bennet, you must introduce him to the girls."
00:07:27.405,00:07:28.823,Immediately.
00:07:30.825,00:07:32.952,Smile. Smile at Mr. Bingley. Smile.
00:07:49.302,00:07:50.428,Mary.
00:07:50.636,00:07:53.973,"Mr. Bingley, my eldest daughter you know."
00:07:56.809,00:07:59.103,Elizabeth and Miss Mary Bennet.
00:07:59.187,00:08:00.563,It is a pleasure.
00:08:00.938,00:08:03.566,"I have two others, but they're already dancing."
00:08:03.649,00:08:05.568,I'm delighted to make your acquaintance.
00:08:08.946,00:08:10.323,in Derbyshire.
00:08:30.968,00:08:33.137,"How do you like it here in Hertfordshire, Mr. Bingley?"
